iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-01,22:19:40,0.5,LocalHost,88.9,16679079936,8667660288,48.0,7466430464,3539881984,4605513728,1766326272,1181540352,4491227136,210440192
1,2022-01-01,22:19:40,0.5,LocalHost,99.8,16679079936,8605876224,48.4,7528165376,3478073344,4604289024,1766338560,1181540352,4491300864,210509824
2,2022-01-01,22:19:41,0.5,LocalHost,97.3,16679079936,8583536640,48.5,7550504960,3455733760,4604289024,1766338560,1181540352,4491300864,210509824
3,2022-01-01,22:19:41,0.5,LocalHost,46.9,16679079936,8582807552,48.5,7551234048,3455000576,4603568128,1766342656,1181544448,4491300864,210509824
4,2022-01-01,22:19:42,0.5,LocalHost,39.8,16679079936,8586051584,48.5,7547990016,3458244608,4601303040,1766342656,1181544448,4491300864,210509824
5,2022-01-01,22:19:42,0.5,LocalHost,24.2,16679079936,8586317824,48.5,7547719680,3458510848,4600860672,1766342656,1181544448,4491304960,210509824
6,2022-01-01,22:19:43,0.5,LocalHost,22.4,16679079936,8586317824,48.5,7547719680,3458510848,4600860672,1766342656,1181544448,4491304960,210509824
7,2022-01-01,22:19:43,0.5,LocalHost,21.4,16679079936,8586317824,48.5,7547719680,3458510848,4600889344,1766342656,1181544448,4491304960,210509824
8,2022-01-01,22:19:44,0.5,LocalHost,20.8,16679079936,8586883072,48.5,7547154432,3459076096,4600868864,1766342656,1181544448,4491304960,210509824
9,2022-01-01,22:19:44,0.5,LocalHost,17.2,16679079936,8586821632,48.5,7547207680,3459010560,4600958976,1766334464,1181552640,4491309056,210509824
10,2022-01-01,22:19:45,0.5,LocalHost,22.4,16679079936,8586891264,48.5,7547150336,3459067904,4600754176,1766338560,1181556736,4491304960,210509824
11,2022-01-01,22:19:45,0.5,LocalHost,29.6,16679079936,8586801152,48.5,7547236352,3458977792,4601016320,1766338560,1181560832,4491304960,210509824
12,2022-01-01,22:19:46,0.5,LocalHost,30.7,16679079936,8586792960,48.5,7547244544,3458969600,4601016320,1766338560,1181560832,4491304960,210509824
13,2022-01-01,22:19:46,0.5,LocalHost,25.4,16679079936,8586805248,48.5,7547228160,3458977792,4601032704,1766338560,1181560832,4491313152,210509824
14,2022-01-01,22:19:47,0.5,LocalHost,28.8,16679079936,8586547200,48.5,7547482112,3458719744,4601094144,1766338560,1181564928,4491313152,210509824
15,2022-01-01,22:19:47,0.5,LocalHost,23.2,16679079936,8586547200,48.5,7547482112,3458719744,4601094144,1766338560,1181564928,4491313152,210509824
16,2022-01-01,22:19:48,0.5,LocalHost,25.7,16679079936,8586547200,48.5,7547482112,3458719744,4601094144,1766338560,1181564928,4491313152,210509824
17,2022-01-01,22:19:48,0.5,LocalHost,23.5,16679079936,8586805248,48.5,7547219968,3458977792,4601278464,1766338560,1181564928,4491317248,210509824
18,2022-01-01,22:19:49,0.5,LocalHost,28.7,16679079936,8586805248,48.5,7547219968,3458977792,4601278464,1766338560,1181564928,4491317248,210509824
19,2022-01-01,22:19:49,0.5,LocalHost,24.0,16679079936,8586805248,48.5,7547219968,3458977792,4601278464,1766338560,1181564928,4491317248,210509824
20,2022-01-01,22:19:50,0.5,LocalHost,27.3,16679079936,8588095488,48.5,7545937920,3460259840,4601069568,1766342656,1181573120,4491309056,210509824
21,2022-01-01,22:19:50,0.5,LocalHost,22.3,16679079936,8588120064,48.5,7545921536,3460268032,4601344000,1766346752,1181573120,4491317248,210509824
22,2022-01-01,22:19:51,0.5,LocalHost,24.1,16679079936,8588120064,48.5,7545917440,3460268032,4601344000,1766346752,1181577216,4491317248,210509824
23,2022-01-01,22:19:51,0.5,LocalHost,32.2,16679079936,8588120064,48.5,7545913344,3460268032,4601344000,1766346752,1181577216,4491321344,210509824
24,2022-01-01,22:19:52,0.5,LocalHost,22.8,16679079936,8588120064,48.5,7545913344,3460268032,4601344000,1766346752,1181577216,4491321344,210509824
25,2022-01-01,22:19:52,0.5,LocalHost,23.5,16679079936,8588120064,48.5,7545913344,3460268032,4601344000,1766346752,1181577216,4491321344,210509824
26,2022-01-01,22:19:53,0.5,LocalHost,25.9,16679079936,8586670080,48.5,7547367424,3458813952,4601081856,1766346752,1181577216,4491321344,210509824
27,2022-01-01,22:19:53,0.5,LocalHost,22.8,16679079936,8586579968,48.5,7547457536,3458719744,4601397248,1766350848,1181577216,4491325440,210509824
28,2022-01-01,22:19:54,0.5,LocalHost,29.1,16679079936,8586579968,48.5,7547453440,3458719744,4601397248,1766350848,1181577216,4491329536,210509824
29,2022-01-01,22:19:54,0.5,LocalHost,24.7,16679079936,8586579968,48.5,7547453440,3458719744,4601397248,1766350848,1181577216,4491329536,210509824
30,2022-01-01,22:19:55,0.5,LocalHost,26.1,16679079936,8586571776,48.5,7547461632,3458711552,4601282560,1766350848,1181581312,4491325440,210509824
31,2022-01-01,22:19:55,0.5,LocalHost,22.0,16679079936,8586330112,48.5,7547695104,3458461696,4601405440,1766350848,1181589504,4491333632,210509824
32,2022-01-01,22:19:56,0.5,LocalHost,23.3,16679079936,8586330112,48.5,7547686912,3458461696,4601393152,1766350848,1181605888,4491325440,210509824
33,2022-01-01,22:19:56,0.5,LocalHost,23.1,16679079936,8586330112,48.5,7547678720,3458461696,4601393152,1766350848,1181605888,4491333632,210509824
34,2022-01-01,22:19:57,0.5,LocalHost,25.4,16679079936,8586330112,48.5,7547678720,3458461696,4601393152,1766350848,1181605888,4491333632,210509824
35,2022-01-01,22:19:57,0.5,LocalHost,28.5,16679079936,8586330112,48.5,7547678720,3458461696,4601393152,1766350848,1181618176,4491321344,210509824
36,2022-01-01,22:19:58,0.5,LocalHost,29.2,16679079936,8586330112,48.5,7547666432,3458461696,4601393152,1766350848,1181618176,4491333632,210509824
37,2022-01-01,22:19:58,0.5,LocalHost,31.3,16679079936,8586592256,48.5,7547404288,3458719744,4601159680,1766354944,1181618176,4491337728,210509824
38,2022-01-01,22:19:59,0.5,LocalHost,26.5,16679079936,8586592256,48.5,7547404288,3458719744,4601159680,1766354944,1181618176,4491337728,210509824
39,2022-01-01,22:19:59,0.5,LocalHost,24.8,16679079936,8586592256,48.5,7547404288,3458719744,4601159680,1766354944,1181618176,4491337728,210509824
40,2022-01-01,22:20:00,0.5,LocalHost,28.8,16679079936,8585818112,48.5,7548182528,3457937408,4601208832,1766354944,1181626368,4491333632,210509824
41,2022-01-01,22:20:00,0.5,LocalHost,32.2,16679079936,8594436096,48.5,7548534784,3466395648,4601229312,1766473728,1181630464,4482519040,201555968
42,2022-01-01,22:20:01,0.5,LocalHost,30.6,16679079936,8594436096,48.5,7548530688,3466395648,4601229312,1766473728,1181638656,4482514944,201555968
43,2022-01-01,22:20:01,0.5,LocalHost,26.8,16679079936,8594509824,48.5,7548424192,3466461184,4601237504,1766473728,1181642752,4482551808,201592832
44,2022-01-01,22:20:02,0.5,LocalHost,23.5,16679079936,8594509824,48.5,7548424192,3466461184,4601237504,1766473728,1181642752,4482551808,201592832
45,2022-01-01,22:20:02,0.5,LocalHost,31.9,16679079936,8594378752,48.5,7548575744,3466301440,4601475072,1766486016,1181642752,4482560000,201592832
46,2022-01-01,22:20:03,0.5,LocalHost,27.5,16679079936,8594378752,48.5,7548571648,3466301440,4601475072,1766486016,1181650944,4482555904,201592832
