iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-27,20:56:42,0.5,LocalHost,70.4,16679079936,9456918528,43.3,6660796416,5157154816,3904745472,1613922304,898666496,3962462208,225783808
1,2021-12-27,20:56:42,0.5,LocalHost,59.1,16679079936,9406177280,43.6,6711529472,5106393088,3904868352,1613926400,898678784,3962478592,225783808
2,2021-12-27,20:56:43,0.5,LocalHost,21.6,16679079936,9406185472,43.6,6711513088,5106393088,3904872448,1613930496,898691072,3962482688,225783808
3,2021-12-27,20:56:43,0.5,LocalHost,19.7,16679079936,9406173184,43.6,6711529472,5106376704,3904913408,1613930496,898691072,3962482688,225783808
4,2021-12-27,20:56:44,0.5,LocalHost,16.9,16679079936,9406173184,43.6,6711529472,5106376704,3904913408,1613930496,898691072,3962482688,225783808
5,2021-12-27,20:56:44,0.5,LocalHost,18.6,16679079936,9406173184,43.6,6711529472,5106376704,3904913408,1613930496,898691072,3962482688,225783808
6,2021-12-27,20:56:45,0.5,LocalHost,18.3,16679079936,9405923328,43.6,6711775232,5106126848,3904913408,1613930496,898691072,3962486784,225783808
7,2021-12-27,20:56:45,0.5,LocalHost,19.6,16679079936,9405239296,43.6,6712459264,5105442816,3904929792,1613930496,898691072,3962486784,225783808
8,2021-12-27,20:56:46,0.5,LocalHost,20.3,16679079936,9404899328,43.6,6712815616,5105086464,3904970752,1613934592,898691072,3962486784,225783808
9,2021-12-27,20:56:46,0.5,LocalHost,18.7,16679079936,9404899328,43.6,6712815616,5105086464,3904970752,1613934592,898691072,3962486784,225783808
10,2021-12-27,20:56:47,0.5,LocalHost,15.7,16679079936,9404899328,43.6,6712815616,5105086464,3904970752,1613934592,898691072,3962486784,225783808
11,2021-12-27,20:56:47,0.5,LocalHost,18.3,16679079936,9402339328,43.6,6715379712,5102505984,3904987136,1613938688,898703360,3962490880,225783808
12,2021-12-27,20:56:48,0.5,LocalHost,17.9,16679079936,9402339328,43.6,6715371520,5102505984,3904987136,1613938688,898727936,3962474496,225783808
13,2021-12-27,20:56:48,0.5,LocalHost,19.3,16679079936,9402355712,43.6,6715355136,5102505984,3905003520,1613938688,898727936,3962490880,225783808
14,2021-12-27,20:56:49,0.5,LocalHost,19.4,16679079936,9402355712,43.6,6715355136,5102505984,3905003520,1613938688,898727936,3962490880,225783808
15,2021-12-27,20:56:49,0.5,LocalHost,16.8,16679079936,9402355712,43.6,6715351040,5102505984,3905003520,1613938688,898727936,3962494976,225783808
16,2021-12-27,20:56:50,0.5,LocalHost,18.6,16679079936,9402355712,43.6,6715351040,5102505984,3905003520,1613938688,898727936,3962494976,225783808
17,2021-12-27,20:56:50,0.5,LocalHost,19.6,16679079936,9398992896,43.6,6718713856,5099143168,3908997120,1613938688,898727936,3962494976,225783808
18,2021-12-27,20:56:51,0.5,LocalHost,18.0,16679079936,9402105856,43.6,6715609088,5102247936,3905011712,1613938688,898727936,3962494976,225783808
19,2021-12-27,20:56:51,0.5,LocalHost,17.2,16679079936,9402109952,43.6,6715604992,5102247936,3905011712,1613942784,898727936,3962499072,225783808
20,2021-12-27,20:56:52,0.5,LocalHost,17.7,16679079936,9402109952,43.6,6715604992,5102247936,3905011712,1613942784,898727936,3962499072,225783808
21,2021-12-27,20:56:52,0.5,LocalHost,15.3,16679079936,9402904576,43.6,6714814464,5103022080,3905028096,1613946880,898744320,3962499072,225783808
22,2021-12-27,20:56:53,0.5,LocalHost,18.6,16679079936,9402904576,43.6,6714814464,5103022080,3905028096,1613946880,898744320,3962499072,225783808
23,2021-12-27,20:56:53,0.5,LocalHost,19.3,16679079936,9402912768,43.6,6714793984,5103022080,3905036288,1613946880,898764800,3962499072,225783808
24,2021-12-27,20:56:54,0.5,LocalHost,17.0,16679079936,9402650624,43.6,6715052032,5102755840,3905036288,1613950976,898781184,3962490880,225783808
25,2021-12-27,20:56:54,0.5,LocalHost,16.6,16679079936,9402683392,43.6,6715031552,5102764032,3905060864,1613950976,898781184,3962503168,225783808
26,2021-12-27,20:56:55,0.5,LocalHost,17.0,16679079936,9402683392,43.6,6715031552,5102764032,3905060864,1613950976,898781184,3962503168,225783808
27,2021-12-27,20:56:55,0.5,LocalHost,17.3,16679079936,9402683392,43.6,6715031552,5102764032,3905060864,1613950976,898781184,3962503168,225783808
28,2021-12-27,20:56:56,0.5,LocalHost,21.2,16679079936,9401745408,43.6,6715969536,5101821952,3905130496,1613955072,898781184,3962507264,225783808
29,2021-12-27,20:56:56,0.5,LocalHost,21.0,16679079936,9401921536,43.6,6715797504,5101989888,3905064960,1613959168,898781184,3962511360,225783808
30,2021-12-27,20:56:57,0.5,LocalHost,20.4,16679079936,9402011648,43.6,6715707392,5102080000,3904987136,1613959168,898781184,3962511360,225783808
31,2021-12-27,20:56:57,0.5,LocalHost,20.8,16679079936,9400635392,43.6,6717083648,5100683264,3905806336,1613959168,898797568,3962515456,225783808
32,2021-12-27,20:56:58,0.5,LocalHost,20.0,16679079936,9400643584,43.6,6717075456,5100691456,3905806336,1613959168,898797568,3962515456,225783808
33,2021-12-27,20:56:58,0.5,LocalHost,18.4,16679079936,9400635392,43.6,6717083648,5100683264,3905806336,1613959168,898797568,3962515456,225783808
34,2021-12-27,20:56:59,0.5,LocalHost,17.7,16679079936,9400635392,43.6,6717071360,5100683264,3905859584,1613959168,898818048,3962507264,225783808
35,2021-12-27,20:56:59,0.5,LocalHost,19.2,16679079936,9400750080,43.6,6716911616,5100683264,3905880064,1614053376,898834432,3962650624,225783808
36,2021-12-27,20:57:00,0.5,LocalHost,16.9,16679079936,9400750080,43.6,6716911616,5100683264,3905880064,1614053376,898834432,3962650624,225783808
37,2021-12-27,20:57:00,0.5,LocalHost,15.1,16679079936,9409785856,43.6,6716817408,5109714944,3905884160,1614053376,898834432,3953713152,216846336
38,2021-12-27,20:57:01,0.5,LocalHost,22.1,16679079936,9409798144,43.6,6716813312,5109714944,3905896448,1614053376,898834432,3953717248,216846336
39,2021-12-27,20:57:01,0.5,LocalHost,18.4,16679079936,9409839104,43.6,6716813312,5109714944,3905896448,1614094336,898834432,3953717248,216846336
40,2021-12-27,20:57:02,0.5,LocalHost,17.3,16679079936,9409839104,43.6,6716813312,5109714944,3905896448,1614094336,898834432,3953717248,216846336
41,2021-12-27,20:57:02,0.5,LocalHost,17.1,16679079936,9410109440,43.6,6716538880,5109972992,3905761280,1614094336,898850816,3953717248,216846336
42,2021-12-27,20:57:03,0.5,LocalHost,17.5,16679079936,9410109440,43.6,6716538880,5109972992,3905761280,1614094336,898850816,3953717248,216846336
43,2021-12-27,20:57:03,0.5,LocalHost,17.1,16679079936,9410109440,43.6,6716534784,5109972992,3905761280,1614094336,898850816,3953721344,216846336
