iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,06:50:26,0.5,LocalHost,84.5,16679079936,5080125440,69.5,11060142080,162402304,4565663744,1516343296,1163436032,4293099520,201637888
1,2022-01-02,06:50:26,0.5,LocalHost,92.8,16679079936,5068820480,69.6,11071651840,177049600,4545597440,1513820160,1156235264,4274143232,201453568
2,2022-01-02,06:50:27,0.5,LocalHost,93.9,16679079936,5062221824,69.6,11078250496,170450944,4545998848,1513820160,1156235264,4274143232,201453568
3,2022-01-02,06:50:27,0.5,LocalHost,83.1,16679079936,5058285568,69.7,11082113024,166895616,4544356352,1513709568,1156235264,4273836032,201453568
4,2022-01-02,06:50:28,0.5,LocalHost,60.9,16679079936,5060354048,69.7,11080044544,168964096,4542849024,1513709568,1156235264,4273836032,201453568
5,2022-01-02,06:50:28,0.5,LocalHost,48.8,16679079936,5060669440,69.7,11079729152,169279488,4542251008,1513709568,1156235264,4273836032,201453568
6,2022-01-02,06:50:29,0.5,LocalHost,38.2,16679079936,5060403200,69.7,11079991296,169013248,4542251008,1513709568,1156239360,4273836032,201453568
7,2022-01-02,06:50:29,0.5,LocalHost,40.3,16679079936,5061742592,69.7,11078647808,170352640,4541718528,1513709568,1156239360,4273840128,201453568
8,2022-01-02,06:50:30,0.5,LocalHost,35.9,16679079936,5061742592,69.7,11078647808,170352640,4541718528,1513709568,1156239360,4273840128,201453568
9,2022-01-02,06:50:30,0.5,LocalHost,36.4,16679079936,5062029312,69.7,11078365184,170496000,4541390848,1513705472,1156239360,4273979392,201453568
10,2022-01-02,06:50:31,0.5,LocalHost,42.9,16679079936,5062574080,69.6,11077824512,171032576,4541390848,1513713664,1156243456,4273979392,201453568
11,2022-01-02,06:50:31,0.5,LocalHost,45.9,16679079936,5062475776,69.6,11077918720,170934272,4541452288,1513701376,1156247552,4273979392,201453568
12,2022-01-02,06:50:32,0.5,LocalHost,48.9,16679079936,5062475776,69.6,11077910528,170934272,4541452288,1513701376,1156251648,4273983488,201453568
13,2022-01-02,06:50:32,0.5,LocalHost,49.8,16679079936,5062475776,69.6,11077910528,170934272,4541452288,1513701376,1156251648,4273983488,201453568
14,2022-01-02,06:50:33,0.5,LocalHost,50.2,16679079936,5062475776,69.6,11077910528,170934272,4541452288,1513701376,1156251648,4273983488,201453568
15,2022-01-02,06:50:33,0.5,LocalHost,50.2,16679079936,5062475776,69.6,11077910528,170934272,4541452288,1513701376,1156251648,4273983488,201453568
16,2022-01-02,06:50:34,0.5,LocalHost,47.6,16679079936,5062238208,69.6,11078144000,170696704,4541718528,1513701376,1156251648,4273987584,201453568
17,2022-01-02,06:50:34,0.5,LocalHost,47.9,16679079936,5062254592,69.6,11078135808,170704896,4541460480,1513701376,1156251648,4273987584,201453568
18,2022-01-02,06:50:35,0.5,LocalHost,49.6,16679079936,5062254592,69.6,11078135808,170704896,4541460480,1513701376,1156251648,4273987584,201453568
19,2022-01-02,06:50:35,0.5,LocalHost,46.9,16679079936,5062086656,69.7,11078303744,170483712,4541571072,1513701376,1156251648,4274040832,201453568
20,2022-01-02,06:50:36,0.5,LocalHost,45.2,16679079936,5063290880,69.6,11077103616,171679744,4540874752,1513697280,1156255744,4274040832,201453568
21,2022-01-02,06:50:36,0.5,LocalHost,48.7,16679079936,5064048640,69.6,11076349952,172429312,4540731392,1513701376,1156263936,4274036736,201453568
22,2022-01-02,06:50:37,0.5,LocalHost,43.9,16679079936,5064052736,69.6,11076341760,172429312,4540735488,1513701376,1156263936,4274044928,201453568
23,2022-01-02,06:50:37,0.5,LocalHost,34.3,16679079936,5064052736,69.6,11076341760,172429312,4540735488,1513701376,1156263936,4274044928,201453568
24,2022-01-02,06:50:38,0.5,LocalHost,39.5,16679079936,5064052736,69.6,11076337664,172429312,4540735488,1513701376,1156263936,4274049024,201453568
25,2022-01-02,06:50:38,0.5,LocalHost,41.4,16679079936,5064052736,69.6,11076337664,172429312,4540735488,1513701376,1156263936,4274049024,201453568
26,2022-01-02,06:50:39,0.5,LocalHost,46.5,16679079936,5063270400,69.6,11077120000,171646976,4540735488,1513701376,1156263936,4274049024,201453568
27,2022-01-02,06:50:39,0.5,LocalHost,44.5,16679079936,5063278592,69.6,11077111808,171655168,4540735488,1513701376,1156263936,4274049024,201453568
28,2022-01-02,06:50:40,0.5,LocalHost,37.4,16679079936,5063282688,69.6,11077107712,171655168,4540735488,1513705472,1156263936,4274053120,201453568
29,2022-01-02,06:50:40,0.5,LocalHost,37.0,16679079936,5063282688,69.6,11077103616,171655168,4540735488,1513705472,1156263936,4274057216,201453568
30,2022-01-02,06:50:41,0.5,LocalHost,40.1,16679079936,5064675328,69.6,11075710976,173047808,4540469248,1513705472,1156263936,4274057216,201453568
31,2022-01-02,06:50:41,0.5,LocalHost,54.7,16679079936,5064413184,69.6,11075960832,172666880,4540743680,1513824256,1156268032,4274184192,201453568
32,2022-01-02,06:50:42,0.5,LocalHost,47.5,16679079936,5064413184,69.6,11075956736,172666880,4540743680,1513824256,1156280320,4274176000,201453568
33,2022-01-02,06:50:42,0.5,LocalHost,36.2,16679079936,5064413184,69.6,11075944448,172666880,4540731392,1513824256,1156280320,4274188288,201453568
34,2022-01-02,06:50:43,0.5,LocalHost,36.4,16679079936,5064413184,69.6,11075940352,172666880,4540731392,1513824256,1156280320,4274192384,201453568
