iteration,measurement_period,machine/VNF,usercpu,syscpu,nicecpu,idlecpu,IOwaitcpu,HWInteruptscpu,SWInteruptscpu,stolencpu,Total(NoIdle),RAMused
2,0.1,LocalHost,4.4,50.5,0.0,36.3,7.7,0.0,1.1,0.0,63.7,9982368
4,0.1,LocalHost,3.2,46.2,0.0,44.1,5.4,0.0,1.1,0.0,55.9,9982368
6,0.1,LocalHost,2.2,49.4,0.0,43.8,4.5,0.0,0.0,0.0,56.1,9982368
8,0.1,LocalHost,3.4,45.5,0.0,46.6,4.5,0.0,0.0,0.0,53.4,9982368
10,0.1,LocalHost,8.5,41.5,0.0,42.6,7.4,0.0,0.0,0.0,57.4,9982368
12,0.1,LocalHost,5.5,49.5,0.0,41.8,3.3,0.0,0.0,0.0,58.3,9982368
14,0.1,LocalHost,6.2,49.0,0.0,44.8,0.0,0.0,0.0,0.0,55.2,9982368
16,0.1,LocalHost,4.2,49.0,0.0,40.6,6.2,0.0,0.0,0.0,59.4,9982368
18,0.1,LocalHost,6.2,45.8,0.0,44.8,3.1,0.0,0.0,0.0,55.1,9982368
20,0.1,LocalHost,5.3,45.3,0.0,41.1,7.4,0.0,1.1,0.0,59.1,9982368
22,0.1,LocalHost,4.1,46.9,0.0,48.0,0.0,0.0,1.0,0.0,52.0,9982368
24,0.1,LocalHost,8.0,51.1,0.0,40.9,0.0,0.0,0.0,0.0,59.1,9982368
26,0.1,LocalHost,4.5,38.2,0.0,56.2,0.0,0.0,1.1,0.0,43.8,9982368
28,0.1,LocalHost,5.6,48.1,0.0,45.4,0.0,0.0,0.9,0.0,54.6,9982368
30,0.1,LocalHost,8.3,47.9,0.0,43.8,0.0,0.0,0.0,0.0,56.2,9982368
32,0.1,LocalHost,6.3,43.2,0.0,50.5,0.0,0.0,0.0,0.0,49.5,9982368
34,0.1,LocalHost,4.1,45.4,0.0,50.5,0.0,0.0,0.0,0.0,49.5,9982368
36,0.1,LocalHost,6.5,39.8,0.0,53.8,0.0,0.0,0.0,0.0,46.3,9982368
38,0.1,LocalHost,5.6,56.1,0.0,37.4,0.0,0.0,0.9,0.0,62.6,9982368
40,0.1,LocalHost,6.5,45.7,0.0,46.7,0.0,0.0,1.1,0.0,53.3,9982368
42,0.1,LocalHost,8.5,43.6,0.0,46.8,0.0,0.0,1.1,0.0,53.2,9982368
44,0.1,LocalHost,4.4,42.9,0.0,51.6,0.0,0.0,1.1,0.0,48.4,9982368
46,0.1,LocalHost,4.2,46.9,0.0,49.0,0.0,0.0,0.0,0.0,51.1,9982740
48,0.1,LocalHost,6.1,40.8,0.0,44.9,8.2,0.0,0.0,0.0,55.1,9982740
50,0.1,LocalHost,6.2,59.8,0.0,30.9,1.0,0.0,2.1,0.0,69.1,9982740
52,0.1,LocalHost,7.5,34.4,0.0,57.0,0.0,0.0,1.1,0.0,43.0,9982740
54,0.1,LocalHost,4.0,44.4,0.0,48.5,2.0,0.0,1.0,0.0,51.4,9982740
56,0.1,LocalHost,4.4,35.2,0.0,50.5,8.8,0.0,1.1,0.0,49.5,9982740
58,0.1,LocalHost,4.2,38.9,0.0,48.4,7.4,0.0,1.1,0.0,51.6,9982740
60,0.1,LocalHost,4.3,39.1,0.0,48.9,7.6,0.0,0.0,0.0,51.0,9982740
62,0.1,LocalHost,6.7,39.3,0.0,51.7,1.1,0.0,1.1,0.0,48.2,9982740
64,0.1,LocalHost,5.4,43.0,0.0,51.6,0.0,0.0,0.0,0.0,48.4,9982740
66,0.1,LocalHost,4.3,40.9,0.0,54.8,0.0,0.0,0.0,0.0,45.2,9982740
68,0.1,LocalHost,6.2,41.7,0.0,52.1,0.0,0.0,0.0,0.0,47.9,9982740
70,0.1,LocalHost,2.3,38.6,0.0,59.1,0.0,0.0,0.0,0.0,40.9,9982740
72,0.1,LocalHost,7.1,38.8,0.0,53.1,0.0,0.0,1.0,0.0,46.9,9982740
74,0.1,LocalHost,3.1,43.8,0.0,49.0,4.2,0.0,0.0,0.0,51.1,9982740
76,0.1,LocalHost,6.6,41.8,0.0,49.5,2.2,0.0,0.0,0.0,50.6,9982740
78,0.1,LocalHost,5.3,44.2,0.0,48.4,0.0,0.0,2.1,0.0,51.6,9982740
80,0.1,LocalHost,5.5,35.2,0.0,58.2,0.0,0.0,1.1,0.0,41.8,9982740
82,0.1,LocalHost,5.7,35.6,0.0,50.6,6.9,0.0,1.1,0.0,49.3,9982740
84,0.1,LocalHost,4.2,39.6,0.0,50.0,5.2,0.0,1.0,0.0,50.0,9982740
86,0.1,LocalHost,6.8,54.5,0.0,34.1,3.4,0.0,1.1,0.0,65.8,9982740
88,0.1,LocalHost,3.3,39.6,0.0,48.4,7.7,0.0,1.1,0.0,51.7,9982740
90,0.1,LocalHost,4.5,37.1,0.0,51.7,6.7,0.0,0.0,0.0,48.3,9982740
92,0.1,LocalHost,2.2,42.4,0.0,48.9,5.4,0.0,1.1,0.0,51.1,9982740
94,0.1,LocalHost,5.2,39.2,0.0,49.5,5.2,0.0,1.0,0.0,50.6,9982740
96,0.1,LocalHost,6.0,63.0,0.0,25.0,5.0,0.0,1.0,0.0,75.0,9982740
98,0.1,LocalHost,7.7,52.7,0.0,34.1,5.5,0.0,0.0,0.0,65.9,9984124
100,0.1,LocalHost,3.5,36.0,0.0,51.2,8.1,0.0,1.2,0.0,48.8,9984124
102,0.1,LocalHost,4.0,42.4,0.0,45.5,7.1,0.0,1.0,0.0,54.5,9984124
104,0.1,LocalHost,3.3,44.0,0.0,47.3,5.5,0.0,0.0,0.0,52.8,9984124
106,0.1,LocalHost,4.3,38.0,0.0,46.7,9.8,0.0,1.1,0.0,53.2,9984124
108,0.1,LocalHost,5.5,35.2,0.0,51.6,6.6,0.0,1.1,0.0,48.4,9984124
110,0.1,LocalHost,2.3,45.3,0.0,47.7,4.7,0.0,0.0,0.0,52.3,9984124
112,0.1,LocalHost,5.8,53.7,0.0,33.9,5.0,0.0,1.7,0.0,66.2,9984124
114,0.1,LocalHost,6.2,53.6,0.0,37.1,3.1,0.0,0.0,0.0,62.9,9984124
116,0.1,LocalHost,5.2,41.7,0.0,45.8,7.3,0.0,0.0,0.0,54.2,9984124
118,0.1,LocalHost,5.8,59.5,0.0,30.6,3.3,0.0,0.8,0.0,69.4,9984124
120,0.1,LocalHost,6.1,50.5,0.0,38.4,4.0,0.0,1.0,0.0,61.6,9984124
122,0.1,LocalHost,5.2,45.4,0.0,47.4,0.0,0.0,2.1,0.0,52.7,9984124
124,0.1,LocalHost,5.2,42.7,0.0,52.1,0.0,0.0,0.0,0.0,47.9,9984124
126,0.1,LocalHost,7.4,39.4,0.0,52.1,0.0,0.0,1.1,0.0,47.9,9984124
128,0.1,LocalHost,3.3,47.8,0.0,47.8,0.0,0.0,1.1,0.0,52.2,9984124
130,0.1,LocalHost,3.3,39.6,0.0,56.0,0.0,0.0,1.1,0.0,44.0,9984124
132,0.1,LocalHost,5.9,58.8,0.0,34.3,0.0,0.0,1.0,0.0,65.7,9984124
134,0.1,LocalHost,4.1,38.1,0.0,54.6,0.0,0.0,3.1,0.0,45.3,9984124
136,0.1,LocalHost,6.2,56.2,0.0,37.5,0.0,0.0,0.0,0.0,62.4,9984124
138,0.1,LocalHost,5.7,33.3,0.0,60.9,0.0,0.0,0.0,0.0,39.0,9984124
140,0.1,LocalHost,5.3,41.1,0.0,52.6,0.0,0.0,1.1,0.0,47.5,9984124
142,0.1,LocalHost,4.1,42.3,0.0,53.6,0.0,0.0,0.0,0.0,46.4,9984124
144,0.1,LocalHost,3.1,41.7,0.0,53.1,0.0,0.0,2.1,0.0,46.9,9984124
146,0.1,LocalHost,4.1,43.3,0.0,51.5,0.0,0.0,1.0,0.0,48.4,9984124
148,0.1,LocalHost,5.4,42.4,0.0,48.9,3.3,0.0,0.0,0.0,51.1,9987104
150,0.1,LocalHost,2.2,39.8,0.0,50.5,7.5,0.0,0.0,0.0,49.5,9987104
152,0.1,LocalHost,6.9,41.2,0.0,44.1,6.9,0.0,1.0,0.0,56.0,9987104
154,0.1,LocalHost,8.4,35.8,0.0,49.5,6.3,0.0,0.0,0.0,50.5,9987104
156,0.1,LocalHost,4.3,45.2,0.0,48.4,2.2,0.0,0.0,0.0,51.7,9987104
158,0.1,LocalHost,4.3,43.5,0.0,51.1,0.0,0.0,1.1,0.0,48.9,9987104
160,0.1,LocalHost,2.0,52.0,0.0,45.9,0.0,0.0,0.0,0.0,54.0,9987104
