iteration,measurement_period,machine/VNF,usercpu,syscpu,nicecpu,idlecpu,IOwaitcpu,HWInteruptscpu,SWInteruptscpu,stolencpu,Total(NoIdle),RAMused
2,0.1,LocalHost,5.3,54.3,0.0,40.4,0.0,0.0,0.0,0.0,59.6,10009772
4,0.1,LocalHost,6.8,46.6,0.0,44.3,2.3,0.0,0.0,0.0,55.7,10009772
6,0.1,LocalHost,4.4,44.4,0.0,42.2,8.9,0.0,0.0,0.0,57.7,10009772
8,0.1,LocalHost,5.6,48.9,0.0,38.9,6.7,0.0,0.0,0.0,61.2,10009772
10,0.1,LocalHost,8.0,44.8,0.0,41.4,5.7,0.0,0.0,0.0,58.5,10009772
12,0.1,LocalHost,4.5,47.2,0.0,40.4,7.9,0.0,0.0,0.0,59.6,10009772
14,0.1,LocalHost,5.9,41.2,0.0,43.5,8.2,0.0,1.2,0.0,56.5,10009772
16,0.1,LocalHost,3.4,48.3,0.0,47.1,1.1,0.0,0.0,0.0,52.8,10009772
18,0.1,LocalHost,6.6,46.2,0.0,47.3,0.0,0.0,0.0,0.0,52.8,10009772
20,0.1,LocalHost,6.2,45.8,0.0,46.9,0.0,0.0,1.0,0.0,53.0,10009772
22,0.1,LocalHost,4.4,38.5,0.0,57.1,0.0,0.0,0.0,0.0,42.9,10009772
24,0.1,LocalHost,6.1,38.4,0.0,53.5,0.0,0.0,2.0,0.0,46.5,10009772
26,0.1,LocalHost,4.2,39.6,0.0,54.2,2.1,0.0,0.0,0.0,45.9,10009772
28,0.1,LocalHost,4.7,30.2,0.0,54.7,10.5,0.0,0.0,0.0,45.4,10009772
30,0.1,LocalHost,5.0,41.6,0.0,49.5,4.0,0.0,0.0,0.0,50.6,10009772
32,0.1,LocalHost,7.2,41.2,0.0,50.5,0.0,0.0,1.0,0.0,49.4,10009772
34,0.1,LocalHost,4.5,36.4,0.0,52.3,5.7,0.0,1.1,0.0,47.7,10009772
36,0.1,LocalHost,5.3,43.6,0.0,44.7,6.4,0.0,0.0,0.0,55.3,10013600
38,0.1,LocalHost,4.7,55.1,0.0,33.6,5.6,0.0,0.9,0.0,66.3,10013600
40,0.1,LocalHost,5.5,40.7,0.0,47.3,6.6,0.0,0.0,0.0,52.8,10013600
42,0.1,LocalHost,6.3,38.9,0.0,45.3,7.4,0.0,2.1,0.0,54.7,10013600
44,0.1,LocalHost,6.0,32.1,0.0,60.7,0.0,0.0,1.2,0.0,39.3,10013600
46,0.1,LocalHost,5.7,50.0,0.0,44.3,0.0,0.0,0.0,0.0,55.7,10013600
48,0.1,LocalHost,7.6,39.1,0.0,52.2,0.0,0.0,1.1,0.0,47.8,10013600
50,0.1,LocalHost,4.3,44.1,0.0,51.6,0.0,0.0,0.0,0.0,48.4,10013600
52,0.1,LocalHost,9.2,38.8,0.0,51.0,0.0,0.0,1.0,0.0,49.0,10013600
54,0.1,LocalHost,3.6,35.7,0.0,60.7,0.0,0.0,0.0,0.0,39.3,10013600
56,0.1,LocalHost,8.4,37.9,0.0,51.6,0.0,0.0,2.1,0.0,48.4,10013600
58,0.1,LocalHost,5.5,40.7,0.0,53.8,0.0,0.0,0.0,0.0,46.2,10013600
60,0.1,LocalHost,7.1,40.8,0.0,52.0,0.0,0.0,0.0,0.0,47.9,10013600
62,0.1,LocalHost,5.4,41.3,0.0,52.2,0.0,0.0,1.1,0.0,47.8,10013600
64,0.1,LocalHost,6.4,48.9,0.0,43.6,0.0,0.0,1.1,0.0,56.4,10013600
66,0.1,LocalHost,3.4,46.0,0.0,50.6,0.0,0.0,0.0,0.0,49.4,10013600
68,0.1,LocalHost,2.3,41.4,0.0,56.3,0.0,0.0,0.0,0.0,43.7,10013600
70,0.1,LocalHost,6.5,43.0,0.0,49.5,0.0,0.0,1.1,0.0,50.6,10013600
72,0.1,LocalHost,7.8,37.8,0.0,53.3,0.0,0.0,1.1,0.0,46.7,10013600
74,0.1,LocalHost,4.3,42.6,0.0,53.2,0.0,0.0,0.0,0.0,46.9,10013600
76,0.1,LocalHost,3.3,39.6,0.0,56.0,0.0,0.0,1.1,0.0,44.0,10013600
78,0.1,LocalHost,5.1,45.5,0.0,48.5,0.0,0.0,1.0,0.0,51.6,10013600
80,0.1,LocalHost,3.4,42.0,0.0,54.5,0.0,0.0,0.0,0.0,45.4,10013600
82,0.1,LocalHost,6.5,44.6,0.0,48.9,0.0,0.0,0.0,0.0,51.1,10013600
84,0.1,LocalHost,6.7,44.9,0.0,48.3,0.0,0.0,0.0,0.0,51.6,10013600
86,0.1,LocalHost,4.3,42.6,0.0,52.1,0.0,0.0,1.1,0.0,48.0,10012624
88,0.1,LocalHost,4.0,44.0,0.0,50.0,0.0,0.0,2.0,0.0,50.0,10012624
90,0.1,LocalHost,5.7,35.2,0.0,59.1,0.0,0.0,0.0,0.0,40.9,10012624
92,0.1,LocalHost,8.1,34.9,0.0,55.8,0.0,0.0,1.2,0.0,44.2,10012624
94,0.1,LocalHost,6.2,50.0,0.0,43.8,0.0,0.0,0.0,0.0,56.2,10012624
96,0.1,LocalHost,2.2,61.8,0.0,36.0,0.0,0.0,0.0,0.0,64.0,10012624
98,0.1,LocalHost,3.4,61.4,0.0,35.2,0.0,0.0,0.0,0.0,64.8,10012624
100,0.1,LocalHost,2.2,56.2,0.0,37.1,3.4,0.0,1.1,0.0,62.9,10012624
102,0.1,LocalHost,3.3,49.5,0.0,38.5,8.8,0.0,0.0,0.0,61.6,10012624
104,0.1,LocalHost,7.2,46.4,0.0,38.1,8.2,0.0,0.0,0.0,61.8,10012624
106,0.1,LocalHost,5.4,63.0,0.0,29.3,2.2,0.0,0.0,0.0,70.6,10012624
108,0.1,LocalHost,5.3,41.1,0.0,44.2,8.4,0.0,1.1,0.0,55.9,10012624
110,0.1,LocalHost,4.2,52.6,0.0,40.0,2.1,0.0,1.1,0.0,60.0,10012624
112,0.1,LocalHost,4.3,51.1,0.0,40.4,3.2,0.0,1.1,0.0,59.7,10012624
114,0.1,LocalHost,4.2,53.1,0.0,37.5,5.2,0.0,0.0,0.0,62.5,10012624
116,0.1,LocalHost,4.5,51.1,0.0,40.9,3.4,0.0,0.0,0.0,59.0,10012624
118,0.1,LocalHost,4.4,48.9,0.0,46.7,0.0,0.0,0.0,0.0,53.3,10012624
120,0.1,LocalHost,3.2,50.5,0.0,45.2,0.0,0.0,1.1,0.0,54.8,10012624
122,0.1,LocalHost,3.2,52.6,0.0,44.2,0.0,0.0,0.0,0.0,55.8,10012624
124,0.1,LocalHost,3.3,53.3,0.0,43.5,0.0,0.0,0.0,0.0,56.6,10012624
126,0.1,LocalHost,2.2,56.2,0.0,41.6,0.0,0.0,0.0,0.0,58.4,10012624
128,0.1,LocalHost,6.3,51.6,0.0,42.1,0.0,0.0,0.0,0.0,57.9,10012624
130,0.1,LocalHost,3.4,48.3,0.0,42.5,5.7,0.0,0.0,0.0,57.4,10012624
132,0.1,LocalHost,3.3,50.0,0.0,35.6,8.9,0.0,2.2,0.0,64.4,10012624
134,0.1,LocalHost,4.4,49.5,0.0,37.4,8.8,0.0,0.0,0.0,62.7,10012624
136,0.1,LocalHost,3.4,47.1,0.0,39.1,9.2,0.0,1.1,0.0,60.8,10012624
138,0.1,LocalHost,3.3,46.2,0.0,41.8,8.8,0.0,0.0,0.0,58.3,10012704
140,0.1,LocalHost,1.1,30.7,0.0,59.1,6.8,0.0,2.3,0.0,40.9,10012704
142,0.1,LocalHost,3.3,31.5,0.0,56.5,8.7,0.0,0.0,0.0,43.5,10012704
144,0.1,LocalHost,4.4,28.6,0.0,56.0,9.9,0.0,1.1,0.0,44.0,10012704
146,0.1,LocalHost,2.2,26.7,0.0,56.7,13.3,0.0,1.1,0.0,43.3,10012704
148,0.1,LocalHost,3.3,27.8,0.0,67.8,1.1,0.0,0.0,0.0,32.2,10012704
150,0.1,LocalHost,6.4,37.2,0.0,54.3,0.0,0.0,2.1,0.0,45.7,10012704
152,0.1,LocalHost,3.4,26.4,0.0,69.0,0.0,0.0,1.1,0.0,30.9,10012704
154,0.1,LocalHost,5.3,39.4,0.0,54.3,1.1,0.0,0.0,0.0,45.8,10012704
156,0.1,LocalHost,4.2,25.3,0.0,69.5,0.0,0.0,1.1,0.0,30.6,10012704
158,0.1,LocalHost,5.1,36.7,0.0,55.1,1.0,0.0,2.0,0.0,44.8,10012704
160,0.1,LocalHost,4.6,28.7,0.0,58.6,8.0,0.0,0.0,0.0,41.3,10012704
162,0.1,LocalHost,3.4,39.1,0.0,57.5,0.0,0.0,0.0,0.0,42.5,10012704
164,0.1,LocalHost,3.3,32.2,0.0,64.4,0.0,0.0,0.0,0.0,35.5,10012704
166,0.1,LocalHost,4.4,22.0,0.0,73.6,0.0,0.0,0.0,0.0,26.4,10012704
168,0.1,LocalHost,6.6,33.0,0.0,59.3,0.0,0.0,1.1,0.0,40.7,10012704
170,0.1,LocalHost,7.3,31.7,0.0,61.0,0.0,0.0,0.0,0.0,39.0,10012704
172,0.1,LocalHost,8.6,45.7,0.0,44.8,0.0,0.0,1.0,0.0,55.3,10012704
174,0.1,LocalHost,3.4,25.3,0.0,60.9,10.3,0.0,0.0,0.0,39.0,10012704
176,0.1,LocalHost,3.3,25.0,0.0,62.0,7.6,0.0,2.2,0.0,38.1,10012704
178,0.1,LocalHost,4.3,23.9,0.0,62.0,7.6,0.0,2.2,0.0,38.0,10012704
180,0.1,LocalHost,6.3,35.8,0.0,48.4,8.4,0.0,1.1,0.0,51.6,10012704
182,0.1,LocalHost,4.6,20.7,0.0,54.0,20.7,0.0,0.0,0.0,46.0,10012704
184,0.1,LocalHost,5.0,41.0,0.0,38.0,14.0,0.0,2.0,0.0,62.0,10012704
186,0.1,LocalHost,6.7,44.9,0.0,41.6,6.7,0.0,0.0,0.0,58.3,10012704
188,0.1,LocalHost,9.8,30.4,0.0,51.1,8.7,0.0,0.0,0.0,48.9,10015008
190,0.1,LocalHost,2.4,23.8,0.0,59.5,13.1,0.0,1.2,0.0,40.5,10015008
192,0.1,LocalHost,3.4,24.7,0.0,64.0,7.9,0.0,0.0,0.0,36.0,10015008
194,0.1,LocalHost,7.1,49.6,0.0,37.2,5.3,0.0,0.9,0.0,62.9,10015008
196,0.1,LocalHost,6.7,35.6,0.0,50.0,6.7,0.0,1.1,0.0,50.1,10015008
198,0.1,LocalHost,4.3,41.5,0.0,52.1,1.1,0.0,1.1,0.0,48.0,10015008
200,0.1,LocalHost,9.7,35.5,0.0,49.5,4.3,0.0,1.1,0.0,50.6,10015008
202,0.1,LocalHost,3.4,31.0,0.0,56.3,9.2,0.0,0.0,0.0,43.6,10015008
204,0.1,LocalHost,5.6,23.6,0.0,62.9,7.9,0.0,0.0,0.0,37.1,10015008
206,0.1,LocalHost,4.5,25.0,0.0,63.6,6.8,0.0,0.0,0.0,36.3,10015008
208,0.1,LocalHost,3.3,28.3,0.0,59.8,8.7,0.0,0.0,0.0,40.3,10015008
210,0.1,LocalHost,5.6,45.6,0.0,41.1,6.7,0.0,1.1,0.0,59.0,10015008
212,0.1,LocalHost,3.3,31.1,0.0,55.6,10.0,0.0,0.0,0.0,44.4,10015008
214,0.1,LocalHost,3.3,26.7,0.0,63.3,6.7,0.0,0.0,0.0,36.7,10015008
216,0.1,LocalHost,7.8,26.7,0.0,61.1,2.2,0.0,2.2,0.0,38.9,10015008
218,0.1,LocalHost,4.6,35.6,0.0,58.6,0.0,0.0,1.1,0.0,41.3,10015008
220,0.1,LocalHost,5.4,40.2,0.0,54.3,0.0,0.0,0.0,0.0,45.6,10015008
222,0.1,LocalHost,5.6,41.6,0.0,52.8,0.0,0.0,0.0,0.0,47.2,10015008
224,0.1,LocalHost,6.4,41.5,0.0,52.1,0.0,0.0,0.0,0.0,47.9,10015008
226,0.1,LocalHost,4.7,27.1,0.0,67.1,0.0,0.0,1.2,0.0,33.0,10015008
228,0.1,LocalHost,3.2,34.7,0.0,58.9,2.1,0.0,1.1,0.0,41.1,10015008
230,0.1,LocalHost,3.4,31.0,0.0,60.9,4.6,0.0,0.0,0.0,39.0,10015008
232,0.1,LocalHost,3.4,29.5,0.0,67.0,0.0,0.0,0.0,0.0,32.9,10015008
234,0.1,LocalHost,4.3,32.6,0.0,62.0,0.0,0.0,1.1,0.0,38.0,10015008
236,0.1,LocalHost,5.5,36.3,0.0,57.1,0.0,0.0,1.1,0.0,42.9,10015008
238,0.1,LocalHost,4.4,30.0,0.0,65.6,0.0,0.0,0.0,0.0,34.4,10011716
240,0.1,LocalHost,2.1,38.3,0.0,59.6,0.0,0.0,0.0,0.0,40.4,10011716
242,0.1,LocalHost,6.5,27.2,0.0,65.2,0.0,0.0,1.1,0.0,34.8,10011716
244,0.1,LocalHost,2.4,29.8,0.0,58.3,9.5,0.0,0.0,0.0,41.7,10011716
246,0.1,LocalHost,3.3,27.8,0.0,58.9,8.9,0.0,1.1,0.0,41.1,10011716
248,0.1,LocalHost,7.2,49.5,0.0,41.4,1.8,0.0,0.0,0.0,58.5,10011716
250,0.1,LocalHost,6.4,35.1,0.0,57.4,0.0,0.0,1.1,0.0,42.6,10011716
252,0.1,LocalHost,5.3,53.1,0.0,40.7,0.0,0.0,0.9,0.0,59.3,10011716
254,0.1,LocalHost,4.1,41.8,0.0,53.1,0.0,0.0,1.0,0.0,46.9,10011716
256,0.1,LocalHost,3.3,35.9,0.0,60.9,0.0,0.0,0.0,0.0,39.2,10011716
258,0.1,LocalHost,7.3,55.5,0.0,36.4,0.0,0.0,0.9,0.0,63.7,10011716
260,0.1,LocalHost,2.3,34.1,0.0,63.6,0.0,0.0,0.0,0.0,36.4,10011716
262,0.1,LocalHost,4.1,34.7,0.0,60.2,0.0,0.0,1.0,0.0,39.8,10011716
264,0.1,LocalHost,5.8,58.3,0.0,35.0,0.0,0.0,1.0,0.0,65.1,10011716
266,0.1,LocalHost,3.7,30.5,0.0,65.9,0.0,0.0,0.0,0.0,34.2,10011716
268,0.1,LocalHost,3.3,34.4,0.0,61.1,0.0,0.0,1.1,0.0,38.8,10011716
270,0.1,LocalHost,3.3,31.1,0.0,57.8,7.8,0.0,0.0,0.0,42.2,10011716
272,0.1,LocalHost,10.1,31.5,0.0,49.4,7.9,0.0,1.1,0.0,50.6,10011716
274,0.1,LocalHost,5.4,29.3,0.0,58.7,6.5,0.0,0.0,0.0,41.2,10011716
276,0.1,LocalHost,10.2,42.0,0.0,42.0,5.7,0.0,0.0,0.0,57.9,10011716
278,0.1,LocalHost,4.4,28.6,0.0,57.1,8.8,0.0,1.1,0.0,42.9,10011716
280,0.1,LocalHost,7.1,51.3,0.0,35.4,6.2,0.0,0.0,0.0,64.6,10011716
282,0.1,LocalHost,6.1,37.8,0.0,48.0,8.2,0.0,0.0,0.0,52.1,10011716
284,0.1,LocalHost,5.6,27.0,0.0,57.3,9.0,0.0,1.1,0.0,42.7,10011716
286,0.1,LocalHost,3.4,29.9,0.0,57.5,9.2,0.0,0.0,0.0,42.5,10012324
288,0.1,LocalHost,6.2,32.0,0.0,54.6,6.2,0.0,1.0,0.0,45.4,10012324
290,0.1,LocalHost,5.8,25.6,0.0,60.5,8.1,0.0,0.0,0.0,39.5,10012324
292,0.1,LocalHost,3.5,30.2,0.0,59.3,7.0,0.0,0.0,0.0,40.7,10012324
294,0.1,LocalHost,5.4,28.3,0.0,65.2,0.0,0.0,1.1,0.0,34.8,10012324
296,0.1,LocalHost,4.4,32.2,0.0,63.3,0.0,0.0,0.0,0.0,36.6,10012324
298,0.1,LocalHost,3.4,43.2,0.0,52.3,0.0,0.0,1.1,0.0,47.7,10012324
300,0.1,LocalHost,2.2,44.1,0.0,53.8,0.0,0.0,0.0,0.0,46.3,10012324
302,0.1,LocalHost,4.4,41.1,0.0,53.3,0.0,0.0,1.1,0.0,46.6,10012324
304,0.1,LocalHost,1.2,27.1,0.0,70.6,0.0,0.0,1.2,0.0,29.5,10012324
306,0.1,LocalHost,4.5,29.2,0.0,65.2,0.0,0.0,1.1,0.0,34.8,10012324
308,0.1,LocalHost,4.9,54.4,0.0,40.8,0.0,0.0,0.0,0.0,59.3,10012324
310,0.1,LocalHost,6.4,47.9,0.0,45.7,0.0,0.0,0.0,0.0,54.3,10012324
