iteration,measurement_period,machine/VNF,usercpu,syscpu,nicecpu,idlecpu,IOwaitcpu,HWInteruptscpu,SWInteruptscpu,stolencpu,Total(NoIdle),RAMused
2,0.1,LocalHost,3.0,77.8,0.0,17.2,1.0,0.0,1.0,0.0,82.8,9975860
4,0.1,LocalHost,4.7,47.2,0.0,41.5,6.6,0.0,0.0,0.0,58.5,9975860
6,0.1,LocalHost,4.0,42.6,0.0,44.6,8.9,0.0,0.0,0.0,55.5,9975860
8,0.1,LocalHost,2.0,45.1,0.0,45.1,7.8,0.0,0.0,0.0,54.9,9975860
10,0.1,LocalHost,4.0,41.4,0.0,46.5,7.1,0.0,1.0,0.0,53.5,9975860
12,0.1,LocalHost,2.9,43.1,0.0,45.1,8.8,0.0,0.0,0.0,54.8,9975860
14,0.1,LocalHost,2.9,52.0,0.0,38.2,6.9,0.0,0.0,0.0,61.8,9975860
16,0.1,LocalHost,5.7,54.7,0.0,33.0,5.7,0.0,0.9,0.0,67.0,9975860
18,0.1,LocalHost,5.6,55.1,0.0,38.3,0.9,0.0,0.0,0.0,61.6,9975860
20,0.1,LocalHost,2.0,38.8,0.0,53.1,6.1,0.0,0.0,0.0,46.9,9975860
22,0.1,LocalHost,8.8,43.9,0.0,43.9,3.5,0.0,0.0,0.0,56.2,9975860
24,0.1,LocalHost,5.8,47.1,0.0,40.4,6.7,0.0,0.0,0.0,59.6,9975860
26,0.1,LocalHost,2.8,39.3,0.0,51.4,5.6,0.0,0.9,0.0,48.6,9975860
28,0.1,LocalHost,5.7,46.7,0.0,47.6,0.0,0.0,0.0,0.0,52.4,9975860
30,0.1,LocalHost,2.9,49.0,0.0,48.0,0.0,0.0,0.0,0.0,51.9,9975860
32,0.1,LocalHost,4.7,51.9,0.0,42.5,0.0,0.0,0.9,0.0,57.5,9975860
34,0.1,LocalHost,5.6,47.2,0.0,47.2,0.0,0.0,0.0,0.0,52.8,9975860
36,0.1,LocalHost,8.5,43.4,0.0,48.1,0.0,0.0,0.0,0.0,51.9,9975860
38,0.1,LocalHost,5.6,41.1,0.0,52.3,0.0,0.0,0.9,0.0,47.6,9975860
40,0.1,LocalHost,3.9,45.6,0.0,50.5,0.0,0.0,0.0,0.0,49.5,9975860
42,0.1,LocalHost,6.1,48.5,0.0,45.5,0.0,0.0,0.0,0.0,54.6,9975860
44,0.1,LocalHost,3.9,51.5,0.0,44.7,0.0,0.0,0.0,0.0,55.4,9975860
46,0.1,LocalHost,5.9,51.0,0.0,43.1,0.0,0.0,0.0,0.0,56.9,9975860
48,0.1,LocalHost,4.0,51.5,0.0,43.4,0.0,0.0,1.0,0.0,56.5,9978924
50,0.1,LocalHost,3.1,51.5,0.0,45.4,0.0,0.0,0.0,0.0,54.6,9978924
52,0.1,LocalHost,4.0,52.5,0.0,43.4,0.0,0.0,0.0,0.0,56.5,9978924
54,0.1,LocalHost,4.8,48.1,0.0,46.2,0.0,0.0,1.0,0.0,53.9,9978924
56,0.1,LocalHost,4.9,47.6,0.0,46.6,0.0,0.0,1.0,0.0,53.5,9978924
58,0.1,LocalHost,2.9,51.9,0.0,45.2,0.0,0.0,0.0,0.0,54.8,9978924
60,0.1,LocalHost,5.9,43.1,0.0,51.0,0.0,0.0,0.0,0.0,49.0,9978924
62,0.1,LocalHost,5.9,48.5,0.0,45.5,0.0,0.0,0.0,0.0,54.4,9978924
64,0.1,LocalHost,3.9,46.1,0.0,50.0,0.0,0.0,0.0,0.0,50.0,9978924
66,0.1,LocalHost,6.7,45.7,0.0,46.7,0.0,0.0,1.0,0.0,53.4,9978924
68,0.1,LocalHost,3.8,44.3,0.0,51.9,0.0,0.0,0.0,0.0,48.1,9978924
70,0.1,LocalHost,5.7,41.5,0.0,48.1,4.7,0.0,0.0,0.0,51.9,9978924
72,0.1,LocalHost,5.0,40.0,0.0,51.0,4.0,0.0,0.0,0.0,49.0,9978924
74,0.1,LocalHost,5.0,41.6,0.0,51.5,1.0,0.0,1.0,0.0,48.6,9978924
76,0.1,LocalHost,3.8,45.7,0.0,50.5,0.0,0.0,0.0,0.0,49.5,9978924
78,0.1,LocalHost,8.4,41.1,0.0,50.5,0.0,0.0,0.0,0.0,49.5,9978924
80,0.1,LocalHost,3.9,41.7,0.0,54.4,0.0,0.0,0.0,0.0,45.6,9978924
82,0.1,LocalHost,4.9,47.1,0.0,46.1,1.0,0.0,1.0,0.0,54.0,9978924
84,0.1,LocalHost,6.7,40.4,0.0,51.9,0.0,0.0,1.0,0.0,48.1,9978924
86,0.1,LocalHost,5.6,43.5,0.0,50.9,0.0,0.0,0.0,0.0,49.1,9978924
88,0.1,LocalHost,9.3,36.1,0.0,52.6,2.1,0.0,0.0,0.0,47.5,9978924
90,0.1,LocalHost,6.1,52.6,0.0,37.7,1.8,0.0,1.8,0.0,62.3,9978924
92,0.1,LocalHost,5.9,45.1,0.0,49.0,0.0,0.0,0.0,0.0,51.0,9978924
94,0.1,LocalHost,6.7,56.7,0.0,35.0,0.0,0.0,1.7,0.0,65.1,9978924
96,0.1,LocalHost,5.2,39.2,0.0,54.6,0.0,0.0,1.0,0.0,45.4,9978924
98,0.1,LocalHost,5.9,46.1,0.0,41.2,5.9,0.0,1.0,0.0,58.9,9977972
100,0.1,LocalHost,3.2,38.9,0.0,53.7,4.2,0.0,0.0,0.0,46.3,9977972
102,0.1,LocalHost,6.1,38.8,0.0,51.0,3.1,0.0,1.0,0.0,49.0,9977972
104,0.1,LocalHost,5.2,41.7,0.0,49.0,4.2,0.0,0.0,0.0,51.1,9977972
106,0.1,LocalHost,4.2,38.9,0.0,49.5,7.4,0.0,0.0,0.0,50.5,9977972
108,0.1,LocalHost,5.0,40.6,0.0,45.5,7.9,0.0,1.0,0.0,54.5,9977972
110,0.1,LocalHost,13.6,42.7,0.0,36.9,6.8,0.0,0.0,0.0,63.1,9977972
112,0.1,LocalHost,5.9,42.2,0.0,45.1,6.9,0.0,0.0,0.0,55.0,9977972
114,0.1,LocalHost,4.2,40.6,0.0,46.9,8.3,0.0,0.0,0.0,53.1,9977972
116,0.1,LocalHost,3.8,41.9,0.0,46.7,6.7,0.0,1.0,0.0,53.4,9977972
118,0.1,LocalHost,2.1,39.6,0.0,49.0,8.3,0.0,1.0,0.0,51.0,9977972
120,0.1,LocalHost,3.9,45.1,0.0,45.1,5.9,0.0,0.0,0.0,54.9,9977972
122,0.1,LocalHost,3.0,41.4,0.0,48.5,7.1,0.0,0.0,0.0,51.5,9977972
124,0.1,LocalHost,8.1,39.4,0.0,46.5,6.1,0.0,0.0,0.0,53.6,9977972
126,0.1,LocalHost,3.8,43.4,0.0,47.2,5.7,0.0,0.0,0.0,52.9,9977972
128,0.1,LocalHost,4.8,44.2,0.0,51.0,0.0,0.0,0.0,0.0,49.0,9977972
130,0.1,LocalHost,3.9,42.2,0.0,52.9,0.0,0.0,1.0,0.0,47.1,9977972
132,0.1,LocalHost,5.1,42.4,0.0,52.5,0.0,0.0,0.0,0.0,47.5,9977972
134,0.1,LocalHost,4.1,41.2,0.0,52.6,0.0,0.0,2.1,0.0,47.4,9977972
136,0.1,LocalHost,4.9,49.0,0.0,45.1,0.0,0.0,1.0,0.0,54.9,9977972
138,0.1,LocalHost,5.0,43.6,0.0,50.5,0.0,0.0,1.0,0.0,49.6,9977972
140,0.1,LocalHost,2.9,44.8,0.0,52.4,0.0,0.0,0.0,0.0,47.7,9977972
142,0.1,LocalHost,6.9,39.2,0.0,52.9,0.0,0.0,1.0,0.0,47.1,9977972
144,0.1,LocalHost,6.5,43.0,0.0,50.5,0.0,0.0,0.0,0.0,49.5,9977972
146,0.1,LocalHost,5.0,40.0,0.0,55.0,0.0,0.0,0.0,0.0,45.0,9977972
148,0.1,LocalHost,2.9,44.2,0.0,52.9,0.0,0.0,0.0,0.0,47.1,9977972
150,0.1,LocalHost,7.0,54.8,0.0,38.3,0.0,0.0,0.0,0.0,61.8,9977460
152,0.1,LocalHost,4.6,49.5,0.0,45.0,0.0,0.0,0.9,0.0,55.0,9977460
154,0.1,LocalHost,5.9,53.5,0.0,39.6,0.0,0.0,1.0,0.0,60.4,9977460
156,0.1,LocalHost,5.5,44.0,0.0,49.5,0.0,0.0,0.9,0.0,50.4,9977460
158,0.1,LocalHost,4.8,43.3,0.0,51.9,0.0,0.0,0.0,0.0,48.1,9977460
160,0.1,LocalHost,10.0,40.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,9977460
162,0.1,LocalHost,4.8,42.3,0.0,52.9,0.0,0.0,0.0,0.0,47.1,9977460
164,0.1,LocalHost,3.8,43.3,0.0,51.9,0.0,0.0,1.0,0.0,48.1,9977460
166,0.1,LocalHost,7.6,39.0,0.0,53.3,0.0,0.0,0.0,0.0,46.6,9977460
168,0.1,LocalHost,5.7,41.9,0.0,52.4,0.0,0.0,0.0,0.0,47.6,9977460
170,0.1,LocalHost,5.5,45.5,0.0,49.1,0.0,0.0,0.0,0.0,51.0,9977460
172,0.1,LocalHost,4.9,43.7,0.0,51.5,0.0,0.0,0.0,0.0,48.6,9977460
174,0.1,LocalHost,3.9,43.7,0.0,52.4,0.0,0.0,0.0,0.0,47.6,9977460
176,0.1,LocalHost,6.7,41.0,0.0,51.4,0.0,0.0,1.0,0.0,48.7,9977460
178,0.1,LocalHost,7.9,39.6,0.0,52.5,0.0,0.0,0.0,0.0,47.5,9977460
180,0.1,LocalHost,3.1,42.3,0.0,54.6,0.0,0.0,0.0,0.0,45.4,9977460
182,0.1,LocalHost,3.9,42.2,0.0,47.1,6.9,0.0,0.0,0.0,53.0,9977460
184,0.1,LocalHost,8.2,67.3,0.0,21.4,2.0,0.0,1.0,0.0,78.5,9977460
