iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,LocalHost,16288168,2346732,6762448,9525720
2,0.1,LocalHost,16288168,2328240,6743940,9545212
3,0.1,LocalHost,16288168,2319324,6734740,9553428
4,0.1,LocalHost,16288168,2317024,6732464,9556004
5,0.1,LocalHost,16288168,2304960,6720660,9567508
6,0.1,LocalHost,16288168,2292548,6708248,9579920
7,0.1,LocalHost,16288168,2281768,6697468,9590968
8,0.1,LocalHost,16288168,2275120,6690620,9597824
9,0.1,LocalHost,16288168,2267868,6683212,9605188
10,0.1,LocalHost,16288168,2265260,6680916,9607592
11,0.1,LocalHost,16288168,2264652,6680308,9608112
12,0.1,LocalHost,16288168,2271080,6686736,9601172
13,0.1,LocalHost,16288168,2271600,6686956,9601212
14,0.1,LocalHost,16288168,2271040,6686428,9601740
15,0.1,LocalHost,16288168,2270772,6686136,9601772
16,0.1,LocalHost,16288168,2271120,6686500,9602172
17,0.1,LocalHost,16288168,2270300,6686276,9601892
18,0.1,LocalHost,16288168,2270636,6686320,9602432
19,0.1,LocalHost,16288168,2270744,6686428,9601740
20,0.1,LocalHost,16288168,2270256,6685940,9602228
21,0.1,LocalHost,16288168,2269956,6685640,9602528
22,0.1,LocalHost,16288168,2270048,6685732,9602436
23,0.1,LocalHost,16288168,2269788,6685472,9602696
24,0.1,LocalHost,16288168,2269788,6685472,9602500
25,0.1,LocalHost,16288168,2269960,6685636,9602336
26,0.1,LocalHost,16288168,2270564,6686248,9601920
27,0.1,LocalHost,16288168,2270580,6685996,9601976
28,0.1,LocalHost,16288168,2270524,6686208,9601960
29,0.1,LocalHost,16288168,2270012,6685696,9602472
30,0.1,LocalHost,16288168,2270012,6685700,9602468
31,0.1,LocalHost,16288168,2269664,6685336,9602832
32,0.1,LocalHost,16288168,2269648,6685336,9602636
33,0.1,LocalHost,16288168,2269844,6685532,9602724
34,0.1,LocalHost,16288168,2270212,6685900,9602268
35,0.1,LocalHost,16288168,2270344,6686424,9601744
36,0.1,LocalHost,16288168,2292128,6707816,9580352
37,0.1,LocalHost,16288168,2284796,6700484,9587936
38,0.1,LocalHost,16288168,2284992,6700680,9587764
39,0.1,LocalHost,16288168,2284220,6699908,9588000
40,0.1,LocalHost,16288168,2284452,6700336,9587832
41,0.1,LocalHost,16288168,2284968,6700656,9587512
42,0.1,LocalHost,16288168,2285204,6700900,9587268
43,0.1,LocalHost,16288168,2284968,6700308,9587860
44,0.1,LocalHost,16288168,2284244,6699940,9588228
45,0.1,LocalHost,16288168,2284260,6699664,9588800
46,0.1,LocalHost,16288168,2283948,6699368,9588800
47,0.1,LocalHost,16288168,2283616,6698780,9589388
48,0.1,LocalHost,16288168,2283080,6698780,9589388
49,0.1,LocalHost,16288168,2283292,6698724,9589444
50,0.1,LocalHost,16288168,2283112,6698956,9589212
51,0.1,LocalHost,16288168,2284008,6699716,9588424
52,0.1,LocalHost,16288168,2284240,6699972,9588196
53,0.1,LocalHost,16288168,2284288,6700020,9588148
54,0.1,LocalHost,16288168,2284468,6700200,9587968
55,0.1,LocalHost,16288168,2284500,6700236,9587932
56,0.1,LocalHost,16288168,2284436,6700136,9588032
57,0.1,LocalHost,16288168,2284468,6700216,9588268
58,0.1,LocalHost,16288168,2284136,6699884,9588284
59,0.1,LocalHost,16288168,2560152,6974404,9314420
60,0.1,LocalHost,16288168,2542696,6958724,9329444
61,0.1,LocalHost,16288168,2542684,6958452,9329716
62,0.1,LocalHost,16288168,2542904,6958292,9330228
63,0.1,LocalHost,16288168,2542724,6958492,9329676
64,0.1,LocalHost,16288168,2542788,6958556,9329612
65,0.1,LocalHost,16288168,2542656,6958424,9329744
66,0.1,LocalHost,16288168,2543224,6958992,9329176
67,0.1,LocalHost,16288168,2543472,6959244,9328924
68,0.1,LocalHost,16288168,2543472,6959220,9328948
69,0.1,LocalHost,16288168,2543564,6959464,9328704
70,0.1,LocalHost,16288168,2543572,6959472,9328696
71,0.1,LocalHost,16288168,2543136,6959036,9329132
72,0.1,LocalHost,16288168,2543424,6959584,9328584
73,0.1,LocalHost,16288168,2543652,6959552,9328616
74,0.1,LocalHost,16288168,2543904,6959804,9328364
75,0.1,LocalHost,16288168,2543904,6959804,9328364
76,0.1,LocalHost,16288168,2543688,6959588,9328580
77,0.1,LocalHost,16288168,2543704,6959604,9328564
78,0.1,LocalHost,16288168,2543940,6960036,9328132
79,0.1,LocalHost,16288168,2544128,6960028,9328140
80,0.1,LocalHost,16288168,2544160,6960060,9328108
81,0.1,LocalHost,16288168,2544160,6960060,9328108
82,0.1,LocalHost,16288168,2544176,6960076,9328092
83,0.1,LocalHost,16288168,2544232,6960132,9328036
84,0.1,LocalHost,16288168,2544288,6960188,9327980
85,0.1,LocalHost,16288168,2544312,6960212,9327956
86,0.1,LocalHost,16288168,2544144,6959788,9328380
87,0.1,LocalHost,16288168,2543772,6959676,9328492
88,0.1,LocalHost,16288168,2543788,6959692,9328476
89,0.1,LocalHost,16288168,2543788,6959692,9328476
90,0.1,LocalHost,16288168,2543804,6959712,9328456
91,0.1,LocalHost,16288168,2543680,6959588,9328580
92,0.1,LocalHost,16288168,2544100,6960020,9328148
93,0.1,LocalHost,16288168,2544100,6960020,9328148
94,0.1,LocalHost,16288168,2544300,6960228,9327940
95,0.1,LocalHost,16288168,2543620,6959832,9328336
96,0.1,LocalHost,16288168,2544452,6960408,9328052
97,0.1,LocalHost,16288168,2543876,6959832,9328336
98,0.1,LocalHost,16288168,2544288,6956456,9327972
99,0.1,LocalHost,16288168,2543240,6959196,9328864
100,0.1,LocalHost,16288168,2542864,6958536,9329372
101,0.1,LocalHost,16288168,2543240,6959196,9328972
102,0.1,LocalHost,16288168,2542772,6958728,9329440
103,0.1,LocalHost,16288168,2542476,6958700,9329468
104,0.1,LocalHost,16288168,2543376,6959348,9328820
105,0.1,LocalHost,16288168,2543240,6959188,9328980
106,0.1,LocalHost,16288168,2542856,6958828,9329340
107,0.1,LocalHost,16288168,2543408,6959380,9328788
108,0.1,LocalHost,16288168,2543384,6959356,9328812
109,0.1,LocalHost,16288168,2542996,6958968,9329200
110,0.1,LocalHost,16288168,2542996,6958968,9329200
111,0.1,LocalHost,16288168,2543344,6959320,9328848
112,0.1,LocalHost,16288168,2543516,6959492,9328676
113,0.1,LocalHost,16288168,2543540,6959516,9328652
114,0.1,LocalHost,16288168,2543500,6959476,9328692
115,0.1,LocalHost,16288168,2543492,6959468,9328700
116,0.1,LocalHost,16288168,2543372,6959348,9328820
117,0.1,LocalHost,16288168,2543576,6959552,9328616
118,0.1,LocalHost,16288168,2543464,6959440,9328728
119,0.1,LocalHost,16288168,2543140,6959636,9328272
120,0.1,LocalHost,16288168,2544108,6960084,9328084
121,0.1,LocalHost,16288168,2543988,6959964,9328008
122,0.1,LocalHost,16288168,2544184,6960160,9328008
123,0.1,LocalHost,16288168,2544168,6960144,9328024
124,0.1,LocalHost,16288168,2544328,6960304,9327864
125,0.1,LocalHost,16288168,2544784,6961020,9327148
126,0.1,LocalHost,16288168,2545336,6961316,9326852
127,0.1,LocalHost,16288168,2545224,6961204,9326704
128,0.1,LocalHost,16288168,2544748,6960728,9327440
129,0.1,LocalHost,16288168,2544596,6960772,9327396
130,0.1,LocalHost,16288168,2544808,6960668,9327500
131,0.1,LocalHost,16288168,2544632,6960612,9327824
132,0.1,LocalHost,16288168,2544184,6960164,9328004
133,0.1,LocalHost,16288168,2544168,6960148,9328020
134,0.1,LocalHost,16288168,2544168,6960148,9328020
135,0.1,LocalHost,16288168,2544648,6960632,9327536
136,0.1,LocalHost,16288168,2544616,6960600,9327568
137,0.1,LocalHost,16288168,2544876,6960900,9327268
138,0.1,LocalHost,16288168,2544884,6960912,9326996
139,0.1,LocalHost,16288168,2545436,6961464,9326704
140,0.1,LocalHost,16288168,2545016,6961044,9327124
141,0.1,LocalHost,16288168,2545056,6961084,9327084
142,0.1,LocalHost,16288168,2544808,6960836,9327332
143,0.1,LocalHost,16288168,2544832,6960860,9327308
144,0.1,LocalHost,16288168,2545108,6961136,9326836
145,0.1,LocalHost,16288168,2545580,6961608,9326560
146,0.1,LocalHost,16288168,2544940,6960992,9327176
147,0.1,LocalHost,16288168,2544892,6960920,9327248
148,0.1,LocalHost,16288168,2544924,6960960,9327208
149,0.1,LocalHost,16288168,2544900,6960940,9327228
150,0.1,LocalHost,16288168,2545024,6961064,9326844
151,0.1,LocalHost,16288168,2545000,6961040,9326924
152,0.1,LocalHost,16288168,2544908,6960952,9327216
153,0.1,LocalHost,16288168,2544896,6960944,9327224
154,0.1,LocalHost,16288168,2545172,6961244,9326924
155,0.1,LocalHost,16288168,2545108,6961156,9327012
156,0.1,LocalHost,16288168,2545060,6961108,9327060
157,0.1,LocalHost,16288168,2545100,6961148,9327020
158,0.1,LocalHost,16288168,2544580,6958108,9330564
159,0.1,LocalHost,16288168,2546268,6962008,9326572
160,0.1,LocalHost,16288168,2545704,6962012,9325896
161,0.1,LocalHost,16288168,2546392,6962448,9325720
162,0.1,LocalHost,16288168,2546392,6962440,9325728
163,0.1,LocalHost,16288168,2546344,6962392,9325776
164,0.1,LocalHost,16288168,2546240,6962292,9325876
165,0.1,LocalHost,16288168,2545956,6962008,9326160
166,0.1,LocalHost,16288168,2545908,6961960,9326208
167,0.1,LocalHost,16288168,2545748,6961800,9326368
168,0.1,LocalHost,16288168,2546016,6962068,9326100
169,0.1,LocalHost,16288168,2545448,6961500,9326668
170,0.1,LocalHost,16288168,2545416,6961468,9326700
171,0.1,LocalHost,16288168,2545580,6961632,9326536
172,0.1,LocalHost,16288168,2545636,6961688,9326480
173,0.1,LocalHost,16288168,2545604,6961660,9326508
174,0.1,LocalHost,16288168,2545628,6961684,9326484
175,0.1,LocalHost,16288168,2545652,6961708,9326460
176,0.1,LocalHost,16288168,2545636,6961692,9326476
177,0.1,LocalHost,16288168,2545636,6961692,9326476
178,0.1,LocalHost,16288168,2545424,6961492,9326676
179,0.1,LocalHost,16288168,2545472,6961516,9326652
180,0.1,LocalHost,16288168,2545172,6961248,9326920
181,0.1,LocalHost,16288168,2545196,6961532,9326636
182,0.1,LocalHost,16288168,2545352,6961452,9326716
183,0.1,LocalHost,16288168,2545360,6961460,9326560
184,0.1,LocalHost,16288168,2545312,6961412,9326756
185,0.1,LocalHost,16288168,2545072,6961180,9326988
186,0.1,LocalHost,16288168,2545716,6961824,9326764
187,0.1,LocalHost,16288168,2545428,6961536,9326632
188,0.1,LocalHost,16288168,2545540,6961648,9326520
189,0.1,LocalHost,16288168,2545500,6961608,9326560
190,0.1,LocalHost,16288168,2545436,6961544,9326532
191,0.1,LocalHost,16288168,2545428,6961540,9326628
192,0.1,LocalHost,16288168,2545216,6961044,9327408
193,0.1,LocalHost,16288168,2544688,6960800,9327368
194,0.1,LocalHost,16288168,2544632,6960744,9327424
195,0.1,LocalHost,16288168,2544656,6960768,9327400
