iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,LocalHost,16288168,370012,5410000,10878792
2,0.1,LocalHost,16288168,367316,5406356,10882104
3,0.1,LocalHost,16288168,366060,5405788,10882380
4,0.1,LocalHost,16288168,365488,5405384,10882588
5,0.1,LocalHost,16288168,365864,5405760,10882788
6,0.1,LocalHost,16288168,365544,5405692,10882736
7,0.1,LocalHost,16288168,365672,5405492,10882440
8,0.1,LocalHost,16288168,364872,5404968,10882940
9,0.1,LocalHost,16288168,365132,5405228,10884452
10,0.1,LocalHost,16288168,363620,5403716,10884452
11,0.1,LocalHost,16288168,361648,5401744,10886424
12,0.1,LocalHost,16288168,361624,5401720,10886448
13,0.1,LocalHost,16288168,361480,5401772,10886396
14,0.1,LocalHost,16288168,361780,5401880,10886288
15,0.1,LocalHost,16288168,361704,5401812,10886556
16,0.1,LocalHost,16288168,361504,5401052,10887116
17,0.1,LocalHost,16288168,360644,5400752,10887156
18,0.1,LocalHost,16288168,360904,5401012,10887156
19,0.1,LocalHost,16288168,360760,5400868,10887424
20,0.1,LocalHost,16288168,360636,5400744,10887164
21,0.1,LocalHost,16288168,361156,5401264,10886936
22,0.1,LocalHost,16288168,361124,5401232,10886676
23,0.1,LocalHost,16288168,361660,5401492,10886676
24,0.1,LocalHost,16288168,361176,5401292,10886876
25,0.1,LocalHost,16288168,361176,5401352,10886816
26,0.1,LocalHost,16288168,361696,5401812,10886356
27,0.1,LocalHost,16288168,361956,5402072,10886096
28,0.1,LocalHost,16288168,361404,5401520,10886592
29,0.1,LocalHost,16288168,361656,5401772,10886396
30,0.1,LocalHost,16288168,361396,5401512,10886656
31,0.1,LocalHost,16288168,361448,5401568,10886600
32,0.1,LocalHost,16288168,361604,5401732,10886176
33,0.1,LocalHost,16288168,361864,5401992,10886176
34,0.1,LocalHost,16288168,361864,5401684,10886772
35,0.1,LocalHost,16288168,361040,5401428,10886740
36,0.1,LocalHost,16288168,361300,5401428,10886544
37,0.1,LocalHost,16288168,361132,5401260,10886908
38,0.1,LocalHost,16288168,361132,5401520,10886648
39,0.1,LocalHost,16288168,361128,5401256,10886652
40,0.1,LocalHost,16288168,361680,5401424,10886484
41,0.1,LocalHost,16288168,359784,5399664,10888504
42,0.1,LocalHost,16288168,359280,5399420,10888488
43,0.1,LocalHost,16288168,359296,5398900,10889008
44,0.1,LocalHost,16288168,359020,5399160,10889008
45,0.1,LocalHost,16288168,359280,5399332,10889120
46,0.1,LocalHost,16288168,358804,5398844,10889064
47,0.1,LocalHost,16288168,358828,5398952,10888996
48,0.1,LocalHost,16288168,359600,5399652,10888800
49,0.1,LocalHost,16288168,359520,5399896,10888540
50,0.1,LocalHost,16288168,359220,5399352,10888556
51,0.1,LocalHost,16288168,359648,5399788,10888656
52,0.1,LocalHost,16288168,359632,5399772,10888396
53,0.1,LocalHost,16288168,359432,5399572,10888596
54,0.1,LocalHost,16288168,358760,5398900,10889008
55,0.1,LocalHost,16288168,359020,5398920,10888988
56,0.1,LocalHost,16288168,359040,5399440,10888468
57,0.1,LocalHost,16288168,359320,5399708,10888460
58,0.1,LocalHost,16288168,359808,5399968,10888200
59,0.1,LocalHost,16288168,359776,5399628,10888800
60,0.1,LocalHost,16288168,358932,5399092,10889608
61,0.1,LocalHost,16288168,358920,5399332,10888576
62,0.1,LocalHost,16288168,359172,5399332,10888576
63,0.1,LocalHost,16288168,359432,5399576,10888332
64,0.1,LocalHost,16288168,359676,5399836,10887552
65,0.1,LocalHost,16288168,360456,5400616,10887788
66,0.1,LocalHost,16288168,359820,5400240,10887928
67,0.1,LocalHost,16288168,360340,5400500,10888212
68,0.1,LocalHost,16288168,359684,5399560,10888608
69,0.1,LocalHost,16288168,359684,5399844,10888064
70,0.1,LocalHost,16288168,359752,5399984,10887924
71,0.1,LocalHost,16288168,359804,5399448,10888460
72,0.1,LocalHost,16288168,359092,5399256,10888912
73,0.1,LocalHost,16288168,359320,5399488,10888680
74,0.1,LocalHost,16288168,359204,5399376,10888848
75,0.1,LocalHost,16288168,359028,5399464,10888444
76,0.1,LocalHost,16288168,359288,5399464,10888704
77,0.1,LocalHost,16288168,358844,5398888,10889020
78,0.1,LocalHost,16288168,358904,5399080,10889088
79,0.1,LocalHost,16288168,358904,5399080,10888888
80,0.1,LocalHost,16288168,359040,5399476,10888692
81,0.1,LocalHost,16288168,359564,5399740,10888428
82,0.1,LocalHost,16288168,359412,5399588,10888580
83,0.1,LocalHost,16288168,359708,5399884,10888024
84,0.1,LocalHost,16288168,359968,5400144,10888024
85,0.1,LocalHost,16288168,359784,5399964,10888204
86,0.1,LocalHost,16288168,359784,5400224,10887944
87,0.1,LocalHost,16288168,360016,5400196,10887972
88,0.1,LocalHost,16288168,359724,5399888,10888280
89,0.1,LocalHost,16288168,360260,5400180,10888264
90,0.1,LocalHost,16288168,359292,5399472,10888696
91,0.1,LocalHost,16288168,359456,5399336,10888572
92,0.1,LocalHost,16288168,359760,5399916,10888252
93,0.1,LocalHost,16288168,359712,5399892,10888276
94,0.1,LocalHost,16288168,359660,5399840,10888328
95,0.1,LocalHost,16288168,359468,5399648,10888520
96,0.1,LocalHost,16288168,359468,5399388,10889048
97,0.1,LocalHost,16288168,358608,5399048,10889120
98,0.1,LocalHost,16288168,358868,5399048,10889932
99,0.1,LocalHost,16288168,357732,5398172,10889996
100,0.1,LocalHost,16288168,358120,5398232,10889676
101,0.1,LocalHost,16288168,358020,5398212,10889956
102,0.1,LocalHost,16288168,354736,5397528,10892364
103,0.1,LocalHost,16288168,358040,5398232,10889936
