iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,LocalHost,16288168,461916,6135104,10154052
2,0.1,LocalHost,16288168,459236,6132744,10155632
3,0.1,LocalHost,16288168,458208,6132068,10156444
4,0.1,LocalHost,16288168,457116,6130296,10157656
5,0.1,LocalHost,16288168,456792,6130204,10158072
6,0.1,LocalHost,16288168,455204,6129436,10158468
7,0.1,LocalHost,16288168,455468,6129264,10158460
8,0.1,LocalHost,16288168,455296,6129268,10158220
9,0.1,LocalHost,16288168,455848,6130052,10158236
10,0.1,LocalHost,16288168,455180,6129560,10158800
11,0.1,LocalHost,16288168,455628,6129908,10158076
12,0.1,LocalHost,16288168,456088,6129896,10158280
13,0.1,LocalHost,16288168,456184,6130128,10158888
14,0.1,LocalHost,16288168,455168,6129544,10158892
15,0.1,LocalHost,16288168,455244,6129344,10158844
16,0.1,LocalHost,16288168,455420,6129408,10158760
17,0.1,LocalHost,16288168,455356,6129296,10158416
18,0.1,LocalHost,16288168,455432,6129296,10158524
19,0.1,LocalHost,16288168,455152,6129396,10159032
20,0.1,LocalHost,16288168,453220,6127712,10160488
21,0.1,LocalHost,16288168,453904,6127796,10160112
22,0.1,LocalHost,16288168,453732,6128284,10159972
23,0.1,LocalHost,16288168,453820,6127524,10161064
24,0.1,LocalHost,16288168,452788,6126984,10160664
25,0.1,LocalHost,16288168,453200,6127752,10160680
26,0.1,LocalHost,16288168,453964,6128172,10160220
27,0.1,LocalHost,16288168,453288,6126932,10160456
28,0.1,LocalHost,16288168,453344,6127180,10160208
29,0.1,LocalHost,16288168,453668,6127912,10160268
30,0.1,LocalHost,16288168,453824,6128376,10160216
31,0.1,LocalHost,16288168,453176,6127576,10160596
32,0.1,LocalHost,16288168,453640,6127804,10160364
33,0.1,LocalHost,16288168,453064,6127360,10160984
34,0.1,LocalHost,16288168,452964,6127520,10160736
35,0.1,LocalHost,16288168,453660,6127496,10160944
36,0.1,LocalHost,16288168,453448,6127372,10161116
37,0.1,LocalHost,16288168,452960,6126832,10160816
38,0.1,LocalHost,16288168,453248,6127804,10159844
39,0.1,LocalHost,16288168,454376,6128328,10160148
40,0.1,LocalHost,16288168,453900,6128456,10159820
41,0.1,LocalHost,16288168,454728,6124432,10163792
42,0.1,LocalHost,16288168,453576,6128088,10159820
43,0.1,LocalHost,16288168,454316,6128492,10159780
44,0.1,LocalHost,16288168,454108,6128404,10160148
45,0.1,LocalHost,16288168,453344,6127880,10160288
46,0.1,LocalHost,16288168,453424,6127340,10160580
47,0.1,LocalHost,16288168,453604,6127852,10160332
48,0.1,LocalHost,16288168,453636,6127324,10161248
49,0.1,LocalHost,16288168,453628,6128136,10160636
50,0.1,LocalHost,16288168,453212,6127372,10161216
51,0.1,LocalHost,16288168,453744,6127752,10160592
52,0.1,LocalHost,16288168,453552,6127404,10160648
53,0.1,LocalHost,16288168,452960,6127520,10161052
54,0.1,LocalHost,16288168,452432,6127224,10160944
55,0.1,LocalHost,16288168,454128,6127900,10160076
56,0.1,LocalHost,16288168,453276,6127680,10160824
57,0.1,LocalHost,16288168,453340,6127352,10160816
58,0.1,LocalHost,16288168,453636,6127676,10160232
59,0.1,LocalHost,16288168,453200,6127584,10160532
60,0.1,LocalHost,16288168,453056,6127032,10160616
61,0.1,LocalHost,16288168,453100,6127412,10160296
62,0.1,LocalHost,16288168,453172,6127484,10160772
63,0.1,LocalHost,16288168,453468,6127448,10160544
64,0.1,LocalHost,16288168,453340,6127156,10160492
65,0.1,LocalHost,16288168,452880,6127192,10160992
66,0.1,LocalHost,16288168,452692,6127264,10160388
67,0.1,LocalHost,16288168,453084,6127648,10160572
68,0.1,LocalHost,16288168,453568,6127772,10161124
69,0.1,LocalHost,16288168,452636,6127468,10161112
70,0.1,LocalHost,16288168,453292,6127292,10160640
71,0.1,LocalHost,16288168,453296,6127552,10161016
72,0.1,LocalHost,16288168,452776,6126768,10161312
73,0.1,LocalHost,16288168,453112,6127156,10160800
74,0.1,LocalHost,16288168,453108,6127460,10161392
75,0.1,LocalHost,16288168,452980,6127288,10160880
76,0.1,LocalHost,16288168,453040,6126756,10161288
77,0.1,LocalHost,16288168,453500,6127268,10160640
78,0.1,LocalHost,16288168,453600,6127540,10160628
79,0.1,LocalHost,16288168,453592,6127624,10160284
80,0.1,LocalHost,16288168,453360,6127648,10160576
81,0.1,LocalHost,16288168,453300,6127464,10160184
82,0.1,LocalHost,16288168,453348,6126972,10160676
83,0.1,LocalHost,16288168,452728,6127056,10160972
84,0.1,LocalHost,16288168,453292,6127588,10160580
85,0.1,LocalHost,16288168,452780,6126496,10160892
86,0.1,LocalHost,16288168,453240,6127164,10161004
87,0.1,LocalHost,16288168,453032,6127088,10161088
88,0.1,LocalHost,16288168,452928,6127780,10160388
89,0.1,LocalHost,16288168,453420,6127708,10160720
90,0.1,LocalHost,16288168,453120,6127652,10160516
91,0.1,LocalHost,16288168,452512,6127624,10160532
92,0.1,LocalHost,16288168,453380,6127532,10160376
93,0.1,LocalHost,16288168,452936,6127524,10160904
94,0.1,LocalHost,16288168,452944,6127340,10160828
95,0.1,LocalHost,16288168,452852,6127708,10160916
96,0.1,LocalHost,16288168,453180,6127472,10161164
97,0.1,LocalHost,16288168,452816,6127044,10160604
98,0.1,LocalHost,16288168,453452,6128048,10160120
99,0.1,LocalHost,16288168,453212,6127388,10160260
100,0.1,LocalHost,16288168,453260,6127228,10161292
101,0.1,LocalHost,16288168,452836,6126796,10161556
102,0.1,LocalHost,16288168,453208,6127380,10160788
103,0.1,LocalHost,16288168,453152,6127228,10160940
104,0.1,LocalHost,16288168,449908,6124508,10160092
105,0.1,LocalHost,16288168,453320,6128296,10160096
106,0.1,LocalHost,16288168,453756,6127908,10160528
107,0.1,LocalHost,16288168,454184,6128116,10160068
108,0.1,LocalHost,16288168,453628,6127572,10160384
109,0.1,LocalHost,16288168,453424,6127460,10160188
110,0.1,LocalHost,16288168,454000,6128100,10160072
111,0.1,LocalHost,16288168,452892,6127252,10160396
112,0.1,LocalHost,16288168,453376,6127724,10160444
113,0.1,LocalHost,16288168,453156,6127208,10160864
114,0.1,LocalHost,16288168,453240,6126880,10161456
115,0.1,LocalHost,16288168,453292,6127232,10160460
116,0.1,LocalHost,16288168,453620,6127828,10160420
117,0.1,LocalHost,16288168,453364,6127792,10160648
118,0.1,LocalHost,16288168,453544,6127904,10159744
119,0.1,LocalHost,16288168,452980,6127260,10160128
120,0.1,LocalHost,16288168,453664,6127836,10160464
121,0.1,LocalHost,16288168,453116,6126892,10161092
122,0.1,LocalHost,16288168,453476,6128016,10160500
123,0.1,LocalHost,16288168,453932,6128292,10160292
124,0.1,LocalHost,16288168,453920,6127976,10159692
125,0.1,LocalHost,16288168,453772,6127664,10160764
126,0.1,LocalHost,16288168,453212,6127216,10160972
127,0.1,LocalHost,16288168,452768,6127052,10160812
128,0.1,LocalHost,16288168,452856,6127468,10160804
129,0.1,LocalHost,16288168,453596,6127784,10160692
130,0.1,LocalHost,16288168,452744,6127576,10160768
131,0.1,LocalHost,16288168,453088,6127968,10160308
132,0.1,LocalHost,16288168,453580,6127348,10160300
133,0.1,LocalHost,16288168,453428,6128052,10159856
134,0.1,LocalHost,16288168,454100,6128116,10160696
135,0.1,LocalHost,16288168,452856,6127740,10161124
136,0.1,LocalHost,16288168,452868,6126852,10161128
137,0.1,LocalHost,16288168,452880,6127504,10160404
138,0.1,LocalHost,16288168,453140,6127384,10160544
139,0.1,LocalHost,16288168,453268,6127328,10161128
140,0.1,LocalHost,16288168,452676,6127016,10161512
141,0.1,LocalHost,16288168,452836,6127200,10160708
142,0.1,LocalHost,16288168,453184,6127060,10161144
143,0.1,LocalHost,16288168,452372,6126968,10160680
144,0.1,LocalHost,16288168,448912,6123392,10165040
145,0.1,LocalHost,16288168,453800,6127852,10160640
146,0.1,LocalHost,16288168,453300,6127924,10160420
147,0.1,LocalHost,16288168,453148,6127132,10160776
148,0.1,LocalHost,16288168,453132,6127484,10160700
149,0.1,LocalHost,16288168,452168,6126992,10161252
150,0.1,LocalHost,16288168,452872,6127512,10161236
151,0.1,LocalHost,16288168,452624,6127004,10160952
152,0.1,LocalHost,16288168,452948,6127032,10161240
153,0.1,LocalHost,16288168,452940,6126988,10160672
154,0.1,LocalHost,16288168,452740,6127028,10160880
155,0.1,LocalHost,16288168,452720,6126692,10161036
156,0.1,LocalHost,16288168,452604,6127420,10160748
157,0.1,LocalHost,16288168,453064,6127184,10160724
158,0.1,LocalHost,16288168,453088,6127544,10160712
159,0.1,LocalHost,16288168,453324,6127620,10160028
160,0.1,LocalHost,16288168,453580,6127932,10160500
161,0.1,LocalHost,16288168,452964,6127608,10160460
162,0.1,LocalHost,16288168,452872,6127488,10160764
163,0.1,LocalHost,16288168,453336,6127336,10160344
164,0.1,LocalHost,16288168,453408,6127784,10160540
165,0.1,LocalHost,16288168,453132,6127252,10160444
166,0.1,LocalHost,16288168,452792,6127400,10160536
167,0.1,LocalHost,16288168,449696,6126728,10164004
168,0.1,LocalHost,16288168,453708,6128364,10160056
169,0.1,LocalHost,16288168,453108,6127756,10161152
170,0.1,LocalHost,16288168,453580,6127296,10160620
171,0.1,LocalHost,16288168,453776,6127752,10160732
172,0.1,LocalHost,16288168,452460,6127264,10160920
173,0.1,LocalHost,16288168,453196,6127524,10160996
174,0.1,LocalHost,16288168,452688,6127588,10160780
175,0.1,LocalHost,16288168,453280,6127656,10160252
176,0.1,LocalHost,16288168,453952,6128176,10160072
177,0.1,LocalHost,16288168,453520,6127680,10161264
178,0.1,LocalHost,16288168,452880,6127232,10160448
179,0.1,LocalHost,16288168,452536,6127712,10160196
180,0.1,LocalHost,16288168,452800,6127488,10161408
181,0.1,LocalHost,16288168,453560,6127916,10160252
182,0.1,LocalHost,16288168,453360,6127760,10160956
183,0.1,LocalHost,16288168,453088,6127696,10160488
184,0.1,LocalHost,16288168,453092,6127388,10161100
185,0.1,LocalHost,16288168,452528,6127120,10160596
186,0.1,LocalHost,16288168,452736,6126816,10161236
187,0.1,LocalHost,16288168,453044,6127444,10160744
188,0.1,LocalHost,16288168,453120,6127520,10160908
189,0.1,LocalHost,16288168,453748,6127800,10160656
190,0.1,LocalHost,16288168,453188,6126952,10160436
191,0.1,LocalHost,16288168,453104,6127508,10160388
192,0.1,LocalHost,16288168,453124,6127556,10160740
193,0.1,LocalHost,16288168,453184,6127116,10160532
194,0.1,LocalHost,16288168,452528,6127340,10160832
195,0.1,LocalHost,16288168,453300,6127472,10161272
196,0.1,LocalHost,16288168,453192,6127616,10160768
197,0.1,LocalHost,16288168,452464,6127272,10161636
198,0.1,LocalHost,16288168,452620,6127376,10160932
199,0.1,LocalHost,16288168,452472,6127280,10160908
200,0.1,LocalHost,16288168,453012,6127096,10160572
201,0.1,LocalHost,16288168,452712,6127276,10160984
202,0.1,LocalHost,16288168,452556,6126496,10161164
203,0.1,LocalHost,16288168,453036,6126564,10161084
204,0.1,LocalHost,16288168,453036,6127188,10160780
205,0.1,LocalHost,16288168,452380,6126800,10161368
206,0.1,LocalHost,16288168,452408,6126788,10160860
207,0.1,LocalHost,16288168,452296,6127104,10160892
208,0.1,LocalHost,16288168,453272,6127536,10160372
209,0.1,LocalHost,16288168,453296,6127184,10160484
210,0.1,LocalHost,16288168,453916,6128412,10159800
211,0.1,LocalHost,16288168,453892,6127612,10160280
212,0.1,LocalHost,16288168,453728,6128112,10160144
213,0.1,LocalHost,16288168,452768,6127804,10160500
214,0.1,LocalHost,16288168,452632,6127440,10160728
215,0.1,LocalHost,16288168,452980,6127508,10161452
216,0.1,LocalHost,16288168,452836,6127116,10160860
217,0.1,LocalHost,16288168,453068,6127616,10161228
218,0.1,LocalHost,16288168,452652,6126900,10160852
219,0.1,LocalHost,16288168,452828,6127380,10160936
220,0.1,LocalHost,16288168,453152,6127964,10160960
221,0.1,LocalHost,16288168,452956,6127768,10161412
222,0.1,LocalHost,16288168,453140,6127420,10160908
223,0.1,LocalHost,16288168,452948,6127168,10161016
224,0.1,LocalHost,16288168,452636,6127708,10160904
225,0.1,LocalHost,16288168,452120,6127192,10161388
226,0.1,LocalHost,16288168,452404,6127216,10161476
227,0.1,LocalHost,16288168,452516,6127588,10161204
228,0.1,LocalHost,16288168,449428,6127852,10162352
229,0.1,LocalHost,16288168,454120,6128568,10159984
230,0.1,LocalHost,16288168,453644,6128096,10160136
231,0.1,LocalHost,16288168,453164,6127980,10160508
232,0.1,LocalHost,16288168,449104,6127552,10160996
233,0.1,LocalHost,16288168,453320,6128136,10160032
234,0.1,LocalHost,16288168,453820,6127884,10161016
235,0.1,LocalHost,16288168,452864,6127164,10161088
236,0.1,LocalHost,16288168,453208,6127376,10160876
237,0.1,LocalHost,16288168,452836,6127412,10160648
238,0.1,LocalHost,16288168,452676,6126516,10161428
239,0.1,LocalHost,16288168,452284,6127380,10161140
240,0.1,LocalHost,16288168,452012,6126624,10161416
241,0.1,LocalHost,16288168,452488,6126804,10160844
242,0.1,LocalHost,16288168,452592,6126864,10161604
243,0.1,LocalHost,16288168,452172,6126748,10162084
244,0.1,LocalHost,16288168,452072,6126892,10161016
245,0.1,LocalHost,16288168,451804,6126268,10161796
246,0.1,LocalHost,16288168,452220,6126908,10161588
247,0.1,LocalHost,16288168,452236,6127040,10160404
248,0.1,LocalHost,16288168,452884,6127176,10161144
249,0.1,LocalHost,16288168,453108,6127272,10160636
250,0.1,LocalHost,16288168,453156,6127924,10160424
251,0.1,LocalHost,16288168,453624,6127892,10160016
252,0.1,LocalHost,16288168,453288,6127540,10160896
253,0.1,LocalHost,16288168,451996,6127096,10160976
254,0.1,LocalHost,16288168,452408,6127136,10160892
255,0.1,LocalHost,16288168,452952,6127160,10161064
256,0.1,LocalHost,16288168,452836,6127680,10160812
257,0.1,LocalHost,16288168,452720,6127492,10160156
258,0.1,LocalHost,16288168,452364,6126892,10161016
259,0.1,LocalHost,16288168,452944,6127100,10161296
260,0.1,LocalHost,16288168,452696,6127388,10160556
261,0.1,LocalHost,16288168,452260,6127364,10161056
262,0.1,LocalHost,16288168,452840,6127656,10160376
263,0.1,LocalHost,16288168,453268,6127556,10160612
264,0.1,LocalHost,16288168,452748,6127852,10160588
265,0.1,LocalHost,16288168,453004,6127588,10160828
266,0.1,LocalHost,16288168,452980,6127132,10160840
267,0.1,LocalHost,16288168,453020,6126784,10160864
268,0.1,LocalHost,16288168,452440,6126760,10161332
269,0.1,LocalHost,16288168,452696,6126964,10161500
270,0.1,LocalHost,16288168,452100,6126264,10161124
271,0.1,LocalHost,16288168,452764,6127868,10160760
272,0.1,LocalHost,16288168,453300,6127556,10160420
273,0.1,LocalHost,16288168,453104,6127416,10160492
274,0.1,LocalHost,16288168,448080,6122644,10161112
275,0.1,LocalHost,16288168,452804,6127012,10160896
276,0.1,LocalHost,16288168,453108,6127696,10160708
277,0.1,LocalHost,16288168,452788,6127080,10161304
278,0.1,LocalHost,16288168,452504,6126776,10161248
279,0.1,LocalHost,16288168,452960,6127048,10160788
280,0.1,LocalHost,16288168,452616,6127464,10160848
281,0.1,LocalHost,16288168,452736,6127588,10160640
282,0.1,LocalHost,16288168,453592,6128180,10160272
283,0.1,LocalHost,16288168,453492,6127808,10160380
284,0.1,LocalHost,16288168,453628,6128256,10159204
285,0.1,LocalHost,16288168,454616,6129108,10159892
286,0.1,LocalHost,16288168,453452,6128068,10159840
287,0.1,LocalHost,16288168,453480,6127396,10160880
288,0.1,LocalHost,16288168,455412,6129148,10159108
289,0.1,LocalHost,16288168,454452,6128804,10159800
290,0.1,LocalHost,16288168,454396,6128624,10159816
291,0.1,LocalHost,16288168,453652,6127612,10160728
292,0.1,LocalHost,16288168,453368,6127644,10160608
293,0.1,LocalHost,16288168,453480,6128332,10159576
294,0.1,LocalHost,16288168,453560,6128092,10160600
295,0.1,LocalHost,16288168,453408,6127076,10160572
296,0.1,LocalHost,16288168,453176,6128292,10160584
297,0.1,LocalHost,16288168,453396,6127252,10160136
298,0.1,LocalHost,16288168,453412,6128220,10160280
299,0.1,LocalHost,16288168,453536,6128024,10160356
300,0.1,LocalHost,16288168,453740,6127560,10160724
301,0.1,LocalHost,16288168,453060,6127660,10160248
302,0.1,LocalHost,16288168,453012,6127604,10160712
303,0.1,LocalHost,16288168,452480,6127332,10160576
304,0.1,LocalHost,16288168,452844,6127344,10160644
305,0.1,LocalHost,16288168,453452,6127980,10159436
306,0.1,LocalHost,16288168,453952,6128812,10160500
307,0.1,LocalHost,16288168,453300,6127756,10160500
308,0.1,LocalHost,16288168,453272,6127316,10160864
309,0.1,LocalHost,16288168,453356,6128056,10160220
310,0.1,LocalHost,16288168,453096,6127956,10160484
311,0.1,LocalHost,16288168,453536,6128600,10160232
312,0.1,LocalHost,16288168,453076,6127580,10160328
313,0.1,LocalHost,16288168,452920,6127784,10160124
314,0.1,LocalHost,16288168,453016,6127428,10160532
315,0.1,LocalHost,16288168,452884,6127388,10160520
316,0.1,LocalHost,16288168,453232,6127860,10160048
317,0.1,LocalHost,16288168,453152,6128040,10160448
318,0.1,LocalHost,16288168,454280,6128552,10159956
319,0.1,LocalHost,16288168,453600,6127448,10160060
320,0.1,LocalHost,16288168,453756,6127648,10160260
321,0.1,LocalHost,16288168,453288,6128012,10159896
322,0.1,LocalHost,16288168,452532,6127096,10160552
323,0.1,LocalHost,16288168,453332,6128456,10160248
324,0.1,LocalHost,16288168,453588,6127888,10160112
325,0.1,LocalHost,16288168,453584,6128148,10160084
326,0.1,LocalHost,16288168,453756,6128108,10160060
327,0.1,LocalHost,16288168,453148,6127488,10160740
328,0.1,LocalHost,16288168,453140,6128012,10159896
329,0.1,LocalHost,16288168,453196,6127832,10160072
330,0.1,LocalHost,16288168,453300,6128344,10159304
331,0.1,LocalHost,16288168,453780,6128632,10159796
332,0.1,LocalHost,16288168,453368,6128500,10160320
333,0.1,LocalHost,16288168,453880,6127480,10160432
334,0.1,LocalHost,16288168,453248,6127596,10160468
335,0.1,LocalHost,16288168,453552,6127804,10160676
336,0.1,LocalHost,16288168,453672,6128288,10159940
337,0.1,LocalHost,16288168,454072,6128144,10159800
338,0.1,LocalHost,16288168,453476,6128508,10160036
339,0.1,LocalHost,16288168,453396,6128536,10159712
340,0.1,LocalHost,16288168,454076,6128404,10159876
341,0.1,LocalHost,16288168,453656,6128204,10159964
342,0.1,LocalHost,16288168,453044,6127840,10160328
343,0.1,LocalHost,16288168,453472,6128092,10160464
344,0.1,LocalHost,16288168,453000,6127844,10160444
345,0.1,LocalHost,16288168,453036,6128176,10160176
346,0.1,LocalHost,16288168,453680,6128052,10159856
347,0.1,LocalHost,16288168,453372,6127636,10160612
348,0.1,LocalHost,16288168,453476,6127452,10160592
349,0.1,LocalHost,16288168,454968,6129596,10158852
350,0.1,LocalHost,16288168,454556,6128872,10159308
351,0.1,LocalHost,16288168,454008,6128224,10159996
352,0.1,LocalHost,16288168,453504,6128044,10160180
353,0.1,LocalHost,16288168,453312,6127920,10160000
354,0.1,LocalHost,16288168,453436,6128496,10159988
355,0.1,LocalHost,16288168,453140,6127772,10160256
356,0.1,LocalHost,16288168,452960,6127292,10160620
357,0.1,LocalHost,16288168,453400,6127924,10160384
358,0.1,LocalHost,16288168,453012,6127580,10160932
359,0.1,LocalHost,16288168,452932,6128076,10160492
360,0.1,LocalHost,16288168,452964,6127876,10160556
361,0.1,LocalHost,16288168,453812,6128092,10160392
362,0.1,LocalHost,16288168,453940,6127892,10160520
363,0.1,LocalHost,16288168,453244,6127468,10160180
364,0.1,LocalHost,16288168,453108,6127184,10160724
365,0.1,LocalHost,16288168,453100,6127356,10161388
366,0.1,LocalHost,16288168,452724,6127452,10160736
367,0.1,LocalHost,16288168,452696,6127300,10160612
368,0.1,LocalHost,16288168,452308,6127200,10161088
369,0.1,LocalHost,16288168,452624,6127224,10160684
370,0.1,LocalHost,16288168,452628,6127072,10161128
371,0.1,LocalHost,16288168,452804,6127600,10161056
372,0.1,LocalHost,16288168,452640,6126768,10160620
373,0.1,LocalHost,16288168,452572,6127264,10160904
374,0.1,LocalHost,16288168,453056,6127428,10160740
375,0.1,LocalHost,16288168,453572,6127932,10160236
376,0.1,LocalHost,16288168,452552,6127568,10160340
377,0.1,LocalHost,16288168,452592,6126556,10161092
378,0.1,LocalHost,16288168,452524,6127500,10160408
379,0.1,LocalHost,16288168,453088,6127576,10160328
380,0.1,LocalHost,16288168,452916,6127400,10160872
381,0.1,LocalHost,16288168,452408,6127480,10160688
382,0.1,LocalHost,16288168,452948,6127672,10160496
383,0.1,LocalHost,16288168,453000,6127476,10160508
384,0.1,LocalHost,16288168,453056,6127780,10160128
385,0.1,LocalHost,16288168,452884,6128176,10160324
386,0.1,LocalHost,16288168,452984,6127616,10160552
387,0.1,LocalHost,16288168,452828,6127500,10160432
388,0.1,LocalHost,16288168,452944,6127696,10159952
389,0.1,LocalHost,16288168,452796,6127780,10160464
390,0.1,LocalHost,16288168,453064,6127252,10160396
391,0.1,LocalHost,16288168,452364,6127396,10160840
392,0.1,LocalHost,16288168,452588,6127312,10160596
393,0.1,LocalHost,16288168,452784,6127824,10160688
394,0.1,LocalHost,16288168,453480,6127816,10160280
395,0.1,LocalHost,16288168,452684,6127568,10160612
396,0.1,LocalHost,16288168,452776,6126924,10161352
397,0.1,LocalHost,16288168,452864,6127308,10160628
398,0.1,LocalHost,16288168,453268,6127664,10159724
399,0.1,LocalHost,16288168,452628,6127812,10159836
400,0.1,LocalHost,16288168,453328,6127536,10160112
401,0.1,LocalHost,16288168,453544,6127920,10159988
402,0.1,LocalHost,16288168,452692,6127524,10160888
403,0.1,LocalHost,16288168,452984,6127768,10160256
404,0.1,LocalHost,16288168,453076,6127912,10160296
405,0.1,LocalHost,16288168,452820,6127608,10160300
406,0.1,LocalHost,16288168,452908,6128216,10160048
407,0.1,LocalHost,16288168,452760,6127272,10160980
408,0.1,LocalHost,16288168,452676,6127040,10160924
409,0.1,LocalHost,16288168,452968,6127296,10161360
410,0.1,LocalHost,16288168,461216,6136524,10151748
