iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-01,23:07:07,0.5,LocalHost,88.4,16679079936,8761749504,47.5,7372185600,3663384576,4799377408,1551630336,1199562752,4443947008,210608128
1,2022-01-01,23:07:08,0.5,LocalHost,99.8,16679079936,8698384384,47.8,7435550720,3600019456,4798844928,1551630336,1199579136,4443930624,210608128
2,2022-01-01,23:07:08,0.5,LocalHost,96.2,16679079936,8678879232,48.0,7455039488,3580510208,4798808064,1551634432,1199579136,4443951104,210608128
3,2022-01-01,23:07:09,0.5,LocalHost,51.4,16679079936,8679694336,48.0,7454224384,3581325312,4797476864,1551634432,1199579136,4443951104,210608128
4,2022-01-01,23:07:09,0.5,LocalHost,27.6,16679079936,8680640512,48.0,7453294592,3582255104,4795445248,1551630336,1199579136,4443951104,210608128
5,2022-01-01,23:07:10,0.5,LocalHost,23.0,16679079936,8680382464,48.0,7453548544,3581997056,4795723776,1551630336,1199579136,4443955200,210608128
6,2022-01-01,23:07:10,0.5,LocalHost,25.1,16679079936,8680648704,48.0,7453290496,3582255104,4795457536,1551634432,1199579136,4443955200,210608128
7,2022-01-01,23:07:11,0.5,LocalHost,23.6,16679079936,8680648704,48.0,7453290496,3582255104,4795457536,1551634432,1199579136,4443955200,210608128
8,2022-01-01,23:07:11,0.5,LocalHost,26.6,16679079936,8683573248,47.9,7450365952,3585179648,4795215872,1551634432,1199579136,4443955200,210608128
9,2022-01-01,23:07:12,0.5,LocalHost,24.0,16679079936,8683401216,47.9,7450537984,3585007616,4795199488,1551634432,1199579136,4443955200,210608128
10,2022-01-01,23:07:12,0.5,LocalHost,28.3,16679079936,8683458560,47.9,7450472448,3585060864,4795580416,1551638528,1199587328,4443959296,210608128
11,2022-01-01,23:07:13,0.5,LocalHost,28.4,16679079936,8683208704,47.9,7450722304,3584802816,4795633664,1551642624,1199595520,4443959296,210608128
12,2022-01-01,23:07:13,0.5,LocalHost,27.7,16679079936,8683208704,47.9,7450722304,3584802816,4795633664,1551642624,1199595520,4443959296,210608128
13,2022-01-01,23:07:14,0.5,LocalHost,25.9,16679079936,8683208704,47.9,7450722304,3584802816,4795633664,1551642624,1199599616,4443955200,210608128
14,2022-01-01,23:07:14,0.5,LocalHost,23.7,16679079936,8683208704,47.9,7450714112,3584802816,4795633664,1551642624,1199599616,4443963392,210608128
15,2022-01-01,23:07:15,0.5,LocalHost,26.7,16679079936,8682188800,47.9,7451746304,3583770624,4795678720,1551638528,1199599616,4443963392,210608128
16,2022-01-01,23:07:15,0.5,LocalHost,24.7,16679079936,8682188800,47.9,7451746304,3583770624,4795699200,1551638528,1199599616,4443963392,210608128
17,2022-01-01,23:07:16,0.5,LocalHost,26.0,16679079936,8682188800,47.9,7451746304,3583770624,4795699200,1551638528,1199599616,4443963392,210608128
18,2022-01-01,23:07:16,0.5,LocalHost,25.0,16679079936,8682188800,47.9,7451746304,3583770624,4795699200,1551638528,1199599616,4443963392,210608128
19,2022-01-01,23:07:17,0.5,LocalHost,23.7,16679079936,8683085824,47.9,7450845184,3584667648,4795432960,1551638528,1199599616,4443967488,210608128
20,2022-01-01,23:07:17,0.5,LocalHost,22.7,16679079936,8683225088,47.9,7450710016,3584802816,4795699200,1551642624,1199599616,4443967488,210608128
21,2022-01-01,23:07:18,0.5,LocalHost,25.1,16679079936,8683225088,47.9,7450705920,3584802816,4795699200,1551642624,1199616000,4443955200,210608128
22,2022-01-01,23:07:18,0.5,LocalHost,27.2,16679079936,8683208704,47.9,7450710016,3584786432,4795699200,1551642624,1199616000,4443967488,210608128
23,2022-01-01,23:07:19,0.5,LocalHost,28.8,16679079936,8683208704,47.9,7450710016,3584786432,4795699200,1551642624,1199624192,4443959296,210608128
24,2022-01-01,23:07:19,0.5,LocalHost,29.3,16679079936,8683208704,47.9,7450697728,3584786432,4795699200,1551642624,1199624192,4443971584,210608128
25,2022-01-01,23:07:20,0.5,LocalHost,27.5,16679079936,8683233280,47.9,7450697728,3584786432,4795752448,1551642624,1199624192,4443971584,210608128
26,2022-01-01,23:07:20,0.5,LocalHost,27.0,16679079936,8683233280,47.9,7450697728,3584786432,4795752448,1551642624,1199624192,4443971584,210608128
27,2022-01-01,23:07:21,0.5,LocalHost,31.9,16679079936,8681848832,47.9,7452082176,3583401984,4795486208,1551642624,1199624192,4443971584,210608128
28,2022-01-01,23:07:21,0.5,LocalHost,30.6,16679079936,8681779200,47.9,7452151808,3583197184,4795781120,1551757312,1199624192,4444106752,210608128
29,2022-01-01,23:07:22,0.5,LocalHost,26.5,16679079936,8682160128,47.9,7451766784,3583578112,4795781120,1551757312,1199624192,4444110848,210608128
30,2022-01-01,23:07:22,0.5,LocalHost,29.2,16679079936,8682053632,47.9,7451881472,3583463424,4795781120,1551765504,1199624192,4444110848,210608128
31,2022-01-01,23:07:23,0.5,LocalHost,26.6,16679079936,8682053632,47.9,7451881472,3583463424,4795781120,1551765504,1199624192,4444110848,210608128
32,2022-01-01,23:07:23,0.5,LocalHost,26.8,16679079936,8682041344,47.9,7451885568,3583447040,4796006400,1551765504,1199636480,4444110848,210608128
33,2022-01-01,23:07:24,0.5,LocalHost,27.0,16679079936,8682041344,47.9,7451873280,3583447040,4796006400,1551765504,1199644672,4444114944,210608128
34,2022-01-01,23:07:24,0.5,LocalHost,28.1,16679079936,8682041344,47.9,7451873280,3583447040,4796006400,1551765504,1199652864,4444106752,210608128
35,2022-01-01,23:07:25,0.5,LocalHost,27.1,16679079936,8681259008,48.0,7452647424,3582664704,4796538880,1551765504,1199656960,4444110848,210608128
36,2022-01-01,23:07:25,0.5,LocalHost,25.5,16679079936,8681287680,48.0,7452635136,3582672896,4796030976,1551769600,1199656960,4444114944,210608128
37,2022-01-01,23:07:26,0.5,LocalHost,24.5,16679079936,8681287680,48.0,7452635136,3582672896,4796030976,1551769600,1199656960,4444114944,210608128
38,2022-01-01,23:07:26,0.5,LocalHost,25.8,16679079936,8681295872,48.0,7452635136,3582672896,4796051456,1551769600,1199656960,4444114944,210608128
39,2022-01-01,23:07:27,0.5,LocalHost,25.6,16679079936,8678449152,48.0,7455481856,3579826176,4800053248,1551769600,1199656960,4444114944,210608128
40,2022-01-01,23:07:27,0.5,LocalHost,24.4,16679079936,8681820160,47.9,7452114944,3583188992,4796108800,1551769600,1199656960,4444119040,210608128
41,2022-01-01,23:07:28,0.5,LocalHost,25.7,16679079936,8681820160,47.9,7452114944,3583188992,4796108800,1551769600,1199656960,4444119040,210608128
