iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-28,14:51:41,0.5,LocalHost,88.4,16679079936,3840274432,77.0,12286504960,173322240,4217790464,1308389376,832909312,3386343424,215965696
1,2021-12-28,14:51:42,0.5,LocalHost,86.1,16679079936,3840274432,77.0,12286504960,173322240,4217790464,1308389376,832925696,3386327040,215965696
2,2021-12-28,14:51:42,0.5,LocalHost,89.5,16679079936,3839909888,77.0,12286873600,172933120,4217843712,1308397568,832925696,3386347520,215965696
3,2021-12-28,14:51:43,0.5,LocalHost,91.2,16679079936,3839909888,77.0,12286873600,172933120,4217843712,1308397568,832925696,3386347520,215965696
4,2021-12-28,14:51:43,0.5,LocalHost,87.7,16679079936,3839410176,77.0,12287373312,172433408,4218388480,1308397568,832925696,3386347520,215965696
5,2021-12-28,14:51:44,0.5,LocalHost,75.6,16679079936,3839410176,77.0,12287373312,172433408,4218388480,1308397568,832925696,3386347520,215965696
6,2021-12-28,14:51:44,0.5,LocalHost,73.4,16679079936,3839397888,77.0,12287385600,172417024,4219195392,1308401664,832925696,3386351616,215965696
7,2021-12-28,14:51:45,0.5,LocalHost,69.9,16679079936,3838713856,77.0,12288069632,171732992,4218929152,1308401664,832925696,3386351616,215965696
8,2021-12-28,14:51:45,0.5,LocalHost,66.7,16679079936,3838365696,77.0,12288417792,171384832,4219285504,1308401664,832925696,3386351616,215965696
9,2021-12-28,14:51:46,0.5,LocalHost,66.7,16679079936,3838365696,77.0,12288417792,171384832,4219285504,1308401664,832925696,3386351616,215965696
10,2021-12-28,14:51:46,0.5,LocalHost,63.1,16679079936,3838365696,77.0,12288409600,171089920,4219285504,1308401664,832933888,3386646528,215965696
11,2021-12-28,14:51:47,0.5,LocalHost,63.5,16679079936,3838898176,77.0,12287873024,171622400,4219285504,1308401664,832933888,3386650624,215965696
12,2021-12-28,14:51:47,0.5,LocalHost,63.0,16679079936,3838930944,77.0,12287836160,171651072,4219305984,1308401664,832942080,3386650624,215965696
13,2021-12-28,14:51:48,0.5,LocalHost,63.8,16679079936,3838930944,77.0,12287819776,171651072,4219305984,1308401664,832958464,3386650624,215965696
14,2021-12-28,14:51:48,0.5,LocalHost,65.2,16679079936,3839057920,77.0,12287688704,171651072,4219310080,1308524544,832958464,3386781696,215965696
15,2021-12-28,14:51:49,0.5,LocalHost,65.3,16679079936,3839057920,77.0,12287688704,171651072,4219310080,1308524544,832958464,3386781696,215965696
16,2021-12-28,14:51:49,0.5,LocalHost,63.5,16679079936,3839082496,77.0,12287664128,171503616,4219314176,1308524544,832958464,3386953728,215965696
17,2021-12-28,14:51:50,0.5,LocalHost,65.8,16679079936,3839533056,77.0,12287217664,171950080,4218122240,1308524544,832958464,3386953728,215965696
18,2021-12-28,14:51:50,0.5,LocalHost,65.6,16679079936,3839750144,77.0,12287033344,172134400,4217171968,1308532736,832958464,3386953728,215965696
19,2021-12-28,14:51:51,0.5,LocalHost,63.7,16679079936,3839983616,77.0,12286799872,172367872,4218241024,1308532736,832958464,3386953728,215965696
20,2021-12-28,14:51:51,0.5,LocalHost,66.0,16679079936,3840483328,77.0,12286291968,172867584,4218208256,1308532736,832966656,3386953728,215965696
21,2021-12-28,14:51:52,0.5,LocalHost,65.9,16679079936,3839959040,77.0,12286812160,172343296,4217942016,1308532736,832970752,3386953728,215965696
22,2021-12-28,14:51:52,0.5,LocalHost,61.2,16679079936,3839451136,77.0,12287315968,171835392,4218363904,1308532736,832970752,3386957824,215965696
23,2021-12-28,14:51:53,0.5,LocalHost,65.8,16679079936,3840528384,77.0,12286242816,172900352,4218109952,1308532736,832983040,3386953728,215965696
24,2021-12-28,14:51:53,0.5,LocalHost,63.4,16679079936,3841015808,77.0,12285751296,173383680,4218159104,1308528640,832983040,3386961920,215965696
25,2021-12-28,14:51:54,0.5,LocalHost,64.5,16679079936,3841015808,77.0,12285751296,173383680,4218159104,1308528640,832987136,3386957824,215965696
26,2021-12-28,14:51:54,0.5,LocalHost,66.4,16679079936,3840782336,77.0,12285980672,173125632,4218159104,1308528640,832987136,3386986496,215965696
27,2021-12-28,14:51:55,0.5,LocalHost,69.9,16679079936,3840348160,77.0,12286414848,172691456,4218159104,1308528640,832987136,3386986496,215965696
28,2021-12-28,14:51:55,0.5,LocalHost,66.8,16679079936,3839766528,77.0,12287004672,172093440,4218212352,1308532736,832987136,3386994688,215965696
29,2021-12-28,14:51:56,0.5,LocalHost,69.6,16679079936,3839766528,77.0,12287004672,172093440,4218212352,1308532736,832987136,3386994688,215965696
30,2021-12-28,14:51:56,0.5,LocalHost,71.5,16679079936,3839766528,77.0,12287004672,172093440,4218212352,1308532736,832987136,3386994688,215965696
31,2021-12-28,14:51:57,0.5,LocalHost,70.8,16679079936,3840299008,77.0,12286472192,172625920,4217946112,1308532736,832991232,3386990592,215965696
