iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-01,21:31:45,0.5,LocalHost,87.4,16679079936,8411672576,49.6,7714861056,3328393216,4822126592,1749966848,1165488128,4470337536,217726976
1,2022-01-01,21:31:45,0.5,LocalHost,99.5,16679079936,8351653888,49.9,7774879744,3268366336,4820631552,1749966848,1165488128,4470345728,217726976
2,2022-01-01,21:31:46,0.5,LocalHost,98.3,16679079936,8330080256,50.1,7796449280,3246792704,4820500480,1749966848,1165488128,4470349824,217726976
3,2022-01-01,21:31:46,0.5,LocalHost,51.9,16679079936,8327983104,50.1,7798546432,3244695552,4820516864,1749966848,1165488128,4470349824,217726976
4,2022-01-01,21:31:47,0.5,LocalHost,36.7,16679079936,8330969088,50.1,7795560448,3247681536,4817235968,1749966848,1165488128,4470349824,217726976
5,2022-01-01,21:31:47,0.5,LocalHost,29.3,16679079936,8330977280,50.1,7795552256,3247689728,4817309696,1749966848,1165488128,4470349824,217726976
6,2022-01-01,21:31:48,0.5,LocalHost,28.3,16679079936,8331026432,50.1,7795503104,3247730688,4817162240,1749970944,1165488128,4470358016,217726976
7,2022-01-01,21:31:48,0.5,LocalHost,28.3,16679079936,8331026432,50.1,7795503104,3247730688,4817162240,1749970944,1165488128,4470358016,217726976
8,2022-01-01,21:31:49,0.5,LocalHost,31.4,16679079936,8330076160,50.1,7796453376,3246780416,4816941056,1749970944,1165488128,4470358016,217726976
9,2022-01-01,21:31:49,0.5,LocalHost,31.3,16679079936,8329830400,50.1,7796699136,3246530560,4817080320,1749975040,1165488128,4470362112,217726976
10,2022-01-01,21:31:50,0.5,LocalHost,31.0,16679079936,8329748480,50.1,7796781056,3246440448,4817256448,1749979136,1165500416,4470358016,217726976
11,2022-01-01,21:31:50,0.5,LocalHost,33.7,16679079936,8329490432,50.1,7797035008,3246182400,4817256448,1749979136,1165520896,4470341632,217726976
12,2022-01-01,21:31:51,0.5,LocalHost,29.7,16679079936,8329490432,50.1,7797014528,3246182400,4817256448,1749979136,1165520896,4470362112,217726976
13,2022-01-01,21:31:51,0.5,LocalHost,32.4,16679079936,8329490432,50.1,7797014528,3246182400,4817256448,1749979136,1165520896,4470362112,217726976
14,2022-01-01,21:31:52,0.5,LocalHost,35.0,16679079936,8329883648,50.1,7796629504,3246563328,4817272832,1749979136,1165520896,4470366208,217726976
15,2022-01-01,21:31:52,0.5,LocalHost,31.5,16679079936,8329883648,50.1,7796629504,3246563328,4817272832,1749979136,1165520896,4470366208,217726976
16,2022-01-01,21:31:53,0.5,LocalHost,31.3,16679079936,8329777152,50.1,7796752384,3246440448,4817305600,1749979136,1165520896,4470366208,217726976
17,2022-01-01,21:31:53,0.5,LocalHost,31.0,16679079936,8329777152,50.1,7796752384,3246440448,4817305600,1749979136,1165520896,4470366208,217726976
18,2022-01-01,21:31:54,0.5,LocalHost,30.4,16679079936,8329777152,50.1,7796752384,3246440448,4817305600,1749979136,1165520896,4470366208,217726976
19,2022-01-01,21:31:54,0.5,LocalHost,32.7,16679079936,8330035200,50.1,7796490240,3246698496,4817371136,1749979136,1165520896,4470370304,217726976
20,2022-01-01,21:31:55,0.5,LocalHost,34.7,16679079936,8330301440,50.1,7796232192,3246956544,4817375232,1749983232,1165520896,4470370304,217726976
21,2022-01-01,21:31:55,0.5,LocalHost,32.5,16679079936,8330301440,50.1,7796224000,3246956544,4817375232,1749983232,1165537280,4470362112,217726976
22,2022-01-01,21:31:56,0.5,LocalHost,33.6,16679079936,8330301440,50.1,7796215808,3246956544,4817375232,1749983232,1165537280,4470370304,217726976
23,2022-01-01,21:31:56,0.5,LocalHost,31.4,16679079936,8330301440,50.1,7796215808,3246956544,4817375232,1749983232,1165537280,4470370304,217726976
24,2022-01-01,21:31:57,0.5,LocalHost,32.0,16679079936,8330567680,50.1,7795961856,3247206400,4817358848,1749987328,1165537280,4470374400,217726976
25,2022-01-01,21:31:57,0.5,LocalHost,31.3,16679079936,8330567680,50.1,7795961856,3247206400,4817367040,1749983232,1165537280,4470374400,217726976
26,2022-01-01,21:31:58,0.5,LocalHost,34.4,16679079936,8330104832,50.1,7796424704,3246743552,4817793024,1749983232,1165537280,4470374400,217726976
27,2022-01-01,21:31:58,0.5,LocalHost,33.5,16679079936,8330326016,50.1,7796211712,3246956544,4817743872,1749987328,1165537280,4470374400,217726976
28,2022-01-01,21:31:59,0.5,LocalHost,32.0,16679079936,8330326016,50.1,7796207616,3246956544,4817743872,1749987328,1165537280,4470378496,217726976
29,2022-01-01,21:31:59,0.5,LocalHost,31.3,16679079936,8330326016,50.1,7796203520,3246956544,4817809408,1749987328,1165537280,4470382592,217726976
30,2022-01-01,21:32:00,0.5,LocalHost,31.8,16679079936,8330326016,50.1,7796203520,3246956544,4817842176,1749987328,1165537280,4470382592,217726976
31,2022-01-01,21:32:00,0.5,LocalHost,31.8,16679079936,8338845696,50.0,7796469760,3255476224,4817842176,1749987328,1165537280,4461596672,208941056
32,2022-01-01,21:32:01,0.5,LocalHost,32.4,16679079936,8339107840,50.0,7796158464,3255730176,4817838080,1749987328,1165553664,4461637632,208986112
33,2022-01-01,21:32:01,0.5,LocalHost,32.5,16679079936,8339111936,50.0,7796142080,3255730176,4817690624,1749991424,1165561856,4461645824,208986112
34,2022-01-01,21:32:02,0.5,LocalHost,32.2,16679079936,8339746816,50.0,7795511296,3256360960,4817547264,1749995520,1165561856,4461645824,208986112
