iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,ROS_VNF_driver,2035232,1033724,1593928,441304
2,0.1,ROS_VNF_driver,2035232,1033164,1593368,441612
3,0.1,ROS_VNF_driver,2035232,1032904,1593396,442152
4,0.1,ROS_VNF_driver,2035232,1032652,1593144,442096
5,0.1,ROS_VNF_driver,2035232,1032652,1593144,442088
6,0.1,ROS_VNF_driver,2035232,1032652,1593144,442088
7,0.1,ROS_VNF_driver,2035232,1032652,1593096,441884
8,0.1,ROS_VNF_driver,2035232,1032904,1593104,441876
9,0.1,ROS_VNF_driver,2035232,1032872,1593364,441868
10,0.1,ROS_VNF_driver,2035232,1032904,1593396,441924
11,0.1,ROS_VNF_driver,2035232,1032572,1593060,442172
12,0.1,ROS_VNF_driver,2035232,1032596,1593092,441888
13,0.1,ROS_VNF_driver,2035232,1032848,1593344,441888
14,0.1,ROS_VNF_driver,2035232,1032840,1593340,441892
15,0.1,ROS_VNF_driver,2035232,1032840,1593340,441892
16,0.1,ROS_VNF_driver,2035232,1032840,1593284,442232
17,0.1,ROS_VNF_driver,2035232,1032572,1593324,441656
18,0.1,ROS_VNF_driver,2035232,1033044,1593276,441956
19,0.1,ROS_VNF_driver,2035232,1032784,1593244,441648
20,0.1,ROS_VNF_driver,2035232,1033092,1593300,441680
21,0.1,ROS_VNF_driver,2035232,1033076,1593576,441956
22,0.1,ROS_VNF_driver,2035232,1032776,1593528,441704
23,0.1,ROS_VNF_driver,2035232,1033052,1593536,441964
24,0.1,ROS_VNF_driver,2035232,1032736,1593236,441996
25,0.1,ROS_VNF_driver,2035232,1032824,1593324,441908
26,0.1,ROS_VNF_driver,2035232,1033084,1593584,441648
27,0.1,ROS_VNF_driver,2035232,1033052,1593552,441680
28,0.1,ROS_VNF_driver,2035232,1033060,1593292,441940
29,0.1,ROS_VNF_driver,2035232,1033084,1593300,441680
30,0.1,ROS_VNF_driver,2035232,1041608,1602744,432480
31,0.1,ROS_VNF_driver,2035232,1042552,1603272,431936
32,0.1,ROS_VNF_driver,2035232,1042544,1602972,432260
33,0.1,ROS_VNF_driver,2035232,1042552,1603240,431992
34,0.1,ROS_VNF_driver,2035232,1042836,1603556,431676
35,0.1,ROS_VNF_driver,2035232,1042804,1603524,431456
36,0.1,ROS_VNF_driver,2035232,1043340,1603500,431740
37,0.1,ROS_VNF_driver,2035232,1043088,1603256,431976
38,0.1,ROS_VNF_driver,2035232,1043088,1603564,431668
39,0.1,ROS_VNF_driver,2035232,1042812,1603256,431724
40,0.1,ROS_VNF_driver,2035232,1043088,1603564,431668
41,0.1,ROS_VNF_driver,2035232,1043088,1603564,431416
42,0.1,ROS_VNF_driver,2035232,1043316,1603792,431440
43,0.1,ROS_VNF_driver,2035232,1043348,1603824,431708
44,0.1,ROS_VNF_driver,2035232,1043056,1604036,431472
45,0.1,ROS_VNF_driver,2035232,1043056,1603784,431732
46,0.1,ROS_VNF_driver,2035232,1043072,1603548,431684
47,0.1,ROS_VNF_driver,2035232,1043072,1603548,431716
48,0.1,ROS_VNF_driver,2035232,1043088,1603564,431416
49,0.1,ROS_VNF_driver,2035232,1043340,1603816,431716
50,0.1,ROS_VNF_driver,2035232,1043340,1603816,431416
51,0.1,ROS_VNF_driver,2035232,1043340,1603524,431708
52,0.1,ROS_VNF_driver,2035232,1043088,1603564,431668
53,0.1,ROS_VNF_driver,2035232,1043088,1603564,431668
54,0.1,ROS_VNF_driver,2035232,1043340,1603816,431416
55,0.1,ROS_VNF_driver,2035232,1043340,1603816,431416
56,0.1,ROS_VNF_driver,2035232,1043340,1603816,431416
57,0.1,ROS_VNF_driver,2035232,1043340,1603816,431416
58,0.1,ROS_VNF_driver,2035232,1043340,1603816,431416
59,0.1,ROS_VNF_driver,2035232,1043340,1603816,431416
60,0.1,ROS_VNF_driver,2035232,1043340,1603508,431472
61,0.1,ROS_VNF_driver,2035232,1043284,1603760,431472
62,0.1,ROS_VNF_driver,2035232,1043284,1603760,431472
63,0.1,ROS_VNF_driver,2035232,1043284,1603792,431716
64,0.1,ROS_VNF_driver,2035232,1043088,1603564,431668
65,0.1,ROS_VNF_driver,2035232,1043340,1603532,431700
66,0.1,ROS_VNF_driver,2035232,1043340,1603816,431700
67,0.1,ROS_VNF_driver,2035232,1043340,1603816,431700
68,0.1,ROS_VNF_driver,2035232,1043088,1603532,431976
69,0.1,ROS_VNF_driver,2035232,1043088,1603564,431668
70,0.1,ROS_VNF_driver,2035232,1043088,1603564,431668
71,0.1,ROS_VNF_driver,2035232,1043048,1603256,431724
72,0.1,ROS_VNF_driver,2035232,1043340,1603816,431416
73,0.1,ROS_VNF_driver,2035232,1043332,1603808,431172
74,0.1,ROS_VNF_driver,2035232,1043592,1603784,431448
75,0.1,ROS_VNF_driver,2035232,1043340,1603532,431448
76,0.1,ROS_VNF_driver,2035232,1043056,1603532,431732
77,0.1,ROS_VNF_driver,2035232,1043088,1603572,431660
78,0.1,ROS_VNF_driver,2035232,1043088,1603536,431696
79,0.1,ROS_VNF_driver,2035232,1043088,1603828,431404
80,0.1,ROS_VNF_driver,2035232,1043064,1603552,431680
81,0.1,ROS_VNF_driver,2035232,1043048,1603788,431444
82,0.1,ROS_VNF_driver,2035232,1043292,1603480,431412
83,0.1,ROS_VNF_driver,2035232,1043040,1603780,431452
84,0.1,ROS_VNF_driver,2035232,1043284,1603772,431460
85,0.1,ROS_VNF_driver,2035232,1043284,1603772,431744
86,0.1,ROS_VNF_driver,2035232,1043008,1603496,431672
87,0.1,ROS_VNF_driver,2035232,1043088,1603576,431656
88,0.1,ROS_VNF_driver,2035232,1043088,1603576,431404
89,0.1,ROS_VNF_driver,2035232,1043340,1603828,431436
90,0.1,ROS_VNF_driver,2035232,1043324,1604032,431200
91,0.1,ROS_VNF_driver,2035232,1043340,1603552,431680
92,0.1,ROS_VNF_driver,2035232,1043088,1603576,431656
93,0.1,ROS_VNF_driver,2035232,1043088,1603576,431404
94,0.1,ROS_VNF_driver,2035232,1043340,1603796,431436
95,0.1,ROS_VNF_driver,2035232,1043308,1603788,431444
96,0.1,ROS_VNF_driver,2035232,1043040,1603536,431696
97,0.1,ROS_VNF_driver,2035232,1043340,1603828,431404
98,0.1,ROS_VNF_driver,2035232,1043340,1603828,431704
99,0.1,ROS_VNF_driver,2035232,1043088,1603528,431704
100,0.1,ROS_VNF_driver,2035232,1043340,1603828,431688
101,0.1,ROS_VNF_driver,2035232,1043340,1603788,431712
102,0.1,ROS_VNF_driver,2035232,1043088,1603576,431656
103,0.1,ROS_VNF_driver,2035232,1043056,1603796,431436
104,0.1,ROS_VNF_driver,2035232,1043040,1603528,431704
105,0.1,ROS_VNF_driver,2035232,1043040,1603528,431704
106,0.1,ROS_VNF_driver,2035232,1043064,1603552,431680
107,0.1,ROS_VNF_driver,2035232,1043364,1603560,431672
108,0.1,ROS_VNF_driver,2035232,1043088,1603576,431656
109,0.1,ROS_VNF_driver,2035232,1043072,1603560,431420
110,0.1,ROS_VNF_driver,2035232,1043332,1603824,431408
111,0.1,ROS_VNF_driver,2035232,1043332,1603824,431408
112,0.1,ROS_VNF_driver,2035232,1043332,1603548,431684
113,0.1,ROS_VNF_driver,2035232,1043080,1603572,431660
114,0.1,ROS_VNF_driver,2035232,1043080,1603572,431408
115,0.1,ROS_VNF_driver,2035232,1043332,1603824,431432
116,0.1,ROS_VNF_driver,2035232,1043332,1603832,431400
117,0.1,ROS_VNF_driver,2035232,1043324,1603824,431668
118,0.1,ROS_VNF_driver,2035232,1043080,1603580,431652
119,0.1,ROS_VNF_driver,2035232,1042828,1603328,431904
120,0.1,ROS_VNF_driver,2035232,1042828,1603328,431652
121,0.1,ROS_VNF_driver,2035232,1043332,1603564,431700
122,0.1,ROS_VNF_driver,2035232,1043080,1603272,431960
123,0.1,ROS_VNF_driver,2035232,1042828,1603328,431652
124,0.1,ROS_VNF_driver,2035232,1043080,1603580,431652
125,0.1,ROS_VNF_driver,2035232,1043080,1603580,431652
126,0.1,ROS_VNF_driver,2035232,1043332,1603832,431400
127,0.1,ROS_VNF_driver,2035232,1043056,1603808,431676
128,0.1,ROS_VNF_driver,2035232,1043080,1603580,431960
129,0.1,ROS_VNF_driver,2035232,1043080,1603580,431400
130,0.1,ROS_VNF_driver,2035232,1043056,1603556,431692
131,0.1,ROS_VNF_driver,2035232,1042796,1603548,431984
132,0.1,ROS_VNF_driver,2035232,1042796,1603280,431700
133,0.1,ROS_VNF_driver,2035232,1043080,1603580,431652
134,0.1,ROS_VNF_driver,2035232,1043080,1603580,431652
135,0.1,ROS_VNF_driver,2035232,1043048,1603296,431936
136,0.1,ROS_VNF_driver,2035232,1043080,1603304,431676
137,0.1,ROS_VNF_driver,2035232,1043080,1603580,431652
138,0.1,ROS_VNF_driver,2035232,1043080,1603580,431944
139,0.1,ROS_VNF_driver,2035232,1042828,1603580,431944
140,0.1,ROS_VNF_driver,2035232,1042828,1603328,431904
141,0.1,ROS_VNF_driver,2035232,1042828,1603328,431904
142,0.1,ROS_VNF_driver,2035232,1042828,1603328,431904
143,0.1,ROS_VNF_driver,2035232,1042828,1603580,431652
144,0.1,ROS_VNF_driver,2035232,1042992,1603744,431488
145,0.1,ROS_VNF_driver,2035232,1043316,1603792,431440
146,0.1,ROS_VNF_driver,2035232,1043292,1603792,431440
147,0.1,ROS_VNF_driver,2035232,1043032,1603516,431716
148,0.1,ROS_VNF_driver,2035232,1043080,1603580,431652
149,0.1,ROS_VNF_driver,2035232,1043080,1603580,431652
150,0.1,ROS_VNF_driver,2035232,1042804,1603556,431676
151,0.1,ROS_VNF_driver,2035232,1043064,1603272,431960
152,0.1,ROS_VNF_driver,2035232,1042828,1603328,431652
153,0.1,ROS_VNF_driver,2035232,1043332,1603556,431676
154,0.1,ROS_VNF_driver,2035232,1043332,1603836,431696
155,0.1,ROS_VNF_driver,2035232,1043332,1603836,431680
156,0.1,ROS_VNF_driver,2035232,1043080,1603592,431640
157,0.1,ROS_VNF_driver,2035232,1043080,1603592,431640
158,0.1,ROS_VNF_driver,2035232,1043080,1603316,431664
159,0.1,ROS_VNF_driver,2035232,1043064,1603828,431696
160,0.1,ROS_VNF_driver,2035232,1043332,1603292,431688
161,0.1,ROS_VNF_driver,2035232,1042804,1603568,431908
162,0.1,ROS_VNF_driver,2035232,1042828,1603844,431648
163,0.1,ROS_VNF_driver,2035232,1043080,1603592,431664
164,0.1,ROS_VNF_driver,2035232,1043080,1603592,431640
165,0.1,ROS_VNF_driver,2035232,1043080,1603300,431932
166,0.1,ROS_VNF_driver,2035232,1042796,1603560,431672
167,0.1,ROS_VNF_driver,2035232,1043056,1603820,431704
168,0.1,ROS_VNF_driver,2035232,1043080,1603592,431640
169,0.1,ROS_VNF_driver,2035232,1043080,1603592,431640
170,0.1,ROS_VNF_driver,2035232,1043080,1603592,431924
171,0.1,ROS_VNF_driver,2035232,1042788,1603552,431680
172,0.1,ROS_VNF_driver,2035232,1043056,1603308,431948
173,0.1,ROS_VNF_driver,2035232,1043088,1603300,431680
174,0.1,ROS_VNF_driver,2035232,1043080,1603592,431640
175,0.1,ROS_VNF_driver,2035232,1042788,1603552,431948
176,0.1,ROS_VNF_driver,2035232,1042796,1603308,431924
177,0.1,ROS_VNF_driver,2035232,1043064,1603544,431704
178,0.1,ROS_VNF_driver,2035232,1043324,1603836,431688
179,0.1,ROS_VNF_driver,2035232,1043080,1603592,431640
180,0.1,ROS_VNF_driver,2035232,1043080,1603844,431704
181,0.1,ROS_VNF_driver,2035232,1043080,1603592,431640
182,0.1,ROS_VNF_driver,2035232,1043080,1603324,431656
183,0.1,ROS_VNF_driver,2035232,1042788,1603300,431932
184,0.1,ROS_VNF_driver,2035232,1042788,1603300,431932
185,0.1,ROS_VNF_driver,2035232,1042828,1603340,431640
186,0.1,ROS_VNF_driver,2035232,1043080,1603592,431640
187,0.1,ROS_VNF_driver,2035232,1043080,1603844,431388
188,0.1,ROS_VNF_driver,2035232,1043332,1603844,431388
189,0.1,ROS_VNF_driver,2035232,1043032,1603796,431184
190,0.1,ROS_VNF_driver,2035232,1043048,1603812,431420
191,0.1,ROS_VNF_driver,2035232,1043332,1603844,431388
192,0.1,ROS_VNF_driver,2035232,1043332,1603844,431388
193,0.1,ROS_VNF_driver,2035232,1043332,1603844,431388
194,0.1,ROS_VNF_driver,2035232,1043332,1603852,431380
195,0.1,ROS_VNF_driver,2035232,1043332,1603852,431380
196,0.1,ROS_VNF_driver,2035232,1043332,1603852,431128
197,0.1,ROS_VNF_driver,2035232,1043308,1604080,431152
198,0.1,ROS_VNF_driver,2035232,1043584,1603820,431412
199,0.1,ROS_VNF_driver,2035232,1043332,1603852,431380
200,0.1,ROS_VNF_driver,2035232,1043056,1603544,431728
201,0.1,ROS_VNF_driver,2035232,1043332,1603584,431648
202,0.1,ROS_VNF_driver,2035232,1043080,1603600,431632
203,0.1,ROS_VNF_driver,2035232,1043080,1603600,431632
204,0.1,ROS_VNF_driver,2035232,1043072,1603592,431640
205,0.1,ROS_VNF_driver,2035232,1043064,1603584,431648
206,0.1,ROS_VNF_driver,2035232,1043056,1603576,431656
207,0.1,ROS_VNF_driver,2035232,1043032,1603804,431476
208,0.1,ROS_VNF_driver,2035232,1043332,1603804,431680
209,0.1,ROS_VNF_driver,2035232,1043048,1604072,431160
210,0.1,ROS_VNF_driver,2035232,1043584,1604104,431128
211,0.1,ROS_VNF_driver,2035232,1043584,1604104,431128
212,0.1,ROS_VNF_driver,2035232,1043584,1604104,431128
213,0.1,ROS_VNF_driver,2035232,1043584,1604104,431128
214,0.1,ROS_VNF_driver,2035232,1043584,1603812,431420
215,0.1,ROS_VNF_driver,2035232,1043584,1604104,431128
216,0.1,ROS_VNF_driver,2035232,1043300,1603820,431412
217,0.1,ROS_VNF_driver,2035232,1043332,1603852,431380
218,0.1,ROS_VNF_driver,2035232,1043332,1603852,431672
219,0.1,ROS_VNF_driver,2035232,1043040,1603560,431672
220,0.1,ROS_VNF_driver,2035232,1043040,1603560,431672
221,0.1,ROS_VNF_driver,2035232,1043040,1603812,431664
222,0.1,ROS_VNF_driver,2035232,1043268,1603504,431476
223,0.1,ROS_VNF_driver,2035232,1043236,1603756,431712
224,0.1,ROS_VNF_driver,2035232,1043000,1603772,431680
225,0.1,ROS_VNF_driver,2035232,1043080,1603600,431632
226,0.1,ROS_VNF_driver,2035232,1043080,1603600,431632
227,0.1,ROS_VNF_driver,2035232,1043080,1603600,431632
228,0.1,ROS_VNF_driver,2035232,1043080,1603600,431632
229,0.1,ROS_VNF_driver,2035232,1043080,1603600,431632
230,0.1,ROS_VNF_driver,2035232,1043080,1603604,431376
231,0.1,ROS_VNF_driver,2035232,1043048,1603824,431408
232,0.1,ROS_VNF_driver,2035232,1043332,1603856,431376
233,0.1,ROS_VNF_driver,2035232,1043332,1603856,431684
234,0.1,ROS_VNF_driver,2035232,1043080,1603612,431620
235,0.1,ROS_VNF_driver,2035232,1043064,1603848,431384
236,0.1,ROS_VNF_driver,2035232,1043332,1603580,431652
237,0.1,ROS_VNF_driver,2035232,1043080,1603612,431368
238,0.1,ROS_VNF_driver,2035232,1043332,1603864,431368
239,0.1,ROS_VNF_driver,2035232,1043040,1603824,431408
240,0.1,ROS_VNF_driver,2035232,1043332,1603864,431368
241,0.1,ROS_VNF_driver,2035232,1043048,1603580,431652
242,0.1,ROS_VNF_driver,2035232,1043056,1603588,431392
243,0.1,ROS_VNF_driver,2035232,1043356,1603888,431344
244,0.1,ROS_VNF_driver,2035232,1043364,1603896,431336
245,0.1,ROS_VNF_driver,2035232,1043316,1603848,431692
246,0.1,ROS_VNF_driver,2035232,1043032,1603564,431668
247,0.1,ROS_VNF_driver,2035232,1043032,1603564,431968
248,0.1,ROS_VNF_driver,2035232,1043080,1603612,431620
249,0.1,ROS_VNF_driver,2035232,1043080,1603572,431408
250,0.1,ROS_VNF_driver,2035232,1043064,1603596,431424
251,0.1,ROS_VNF_driver,2035232,1043316,1603848,431384
252,0.1,ROS_VNF_driver,2035232,1043064,1603596,431636
253,0.1,ROS_VNF_driver,2035232,1043316,1603548,431432
254,0.1,ROS_VNF_driver,2035232,1043568,1604100,431132
255,0.1,ROS_VNF_driver,2035232,1043316,1603848,431392
256,0.1,ROS_VNF_driver,2035232,1043316,1603848,431384
