iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,ROS_VNF_driver,2035232,99764,755496,1279736
2,0.1,ROS_VNF_driver,2035232,99116,755392,1279840
3,0.1,ROS_VNF_driver,2035232,98620,755180,1280052
4,0.1,ROS_VNF_driver,2035232,98644,755456,1280360
5,0.1,ROS_VNF_driver,2035232,98360,754920,1280408
6,0.1,ROS_VNF_driver,2035232,98264,754824,1280408
7,0.1,ROS_VNF_driver,2035232,98264,755076,1280156
8,0.1,ROS_VNF_driver,2035232,98516,755020,1280392
9,0.1,ROS_VNF_driver,2035232,98532,755060,1280432
10,0.1,ROS_VNF_driver,2035232,98240,754800,1280432
11,0.1,ROS_VNF_driver,2035232,98240,754800,1280432
12,0.1,ROS_VNF_driver,2035232,98280,754840,1280140
13,0.1,ROS_VNF_driver,2035232,98532,754816,1280164
14,0.1,ROS_VNF_driver,2035232,98532,755296,1279936
15,0.1,ROS_VNF_driver,2035232,98784,755344,1279976
16,0.1,ROS_VNF_driver,2035232,98784,755344,1279888
17,0.1,ROS_VNF_driver,2035232,98752,755312,1279920
18,0.1,ROS_VNF_driver,2035232,98752,755312,1279920
19,0.1,ROS_VNF_driver,2035232,98752,755036,1280196
20,0.1,ROS_VNF_driver,2035232,98500,755060,1280172
21,0.1,ROS_VNF_driver,2035232,98492,755052,1280180
22,0.1,ROS_VNF_driver,2035232,98476,755036,1280196
23,0.1,ROS_VNF_driver,2035232,107920,765220,1269776
24,0.1,ROS_VNF_driver,2035232,108928,765472,1269508
25,0.1,ROS_VNF_driver,2035232,108928,765464,1269768
26,0.1,ROS_VNF_driver,2035232,109140,765700,1269532
27,0.1,ROS_VNF_driver,2035232,109204,765764,1269216
28,0.1,ROS_VNF_driver,2035232,109180,765992,1269240
29,0.1,ROS_VNF_driver,2035232,109456,765992,1269240
30,0.1,ROS_VNF_driver,2035232,109424,765984,1269248
31,0.1,ROS_VNF_driver,2035232,109432,766244,1268988
32,0.1,ROS_VNF_driver,2035232,109708,765984,1268996
33,0.1,ROS_VNF_driver,2035232,109928,766488,1268744
34,0.1,ROS_VNF_driver,2035232,109708,766272,1268960
35,0.1,ROS_VNF_driver,2035232,109392,765712,1269520
36,0.1,ROS_VNF_driver,2035232,108888,765704,1269528
37,0.1,ROS_VNF_driver,2035232,109140,765704,1269276
38,0.1,ROS_VNF_driver,2035232,109392,765956,1269276
39,0.1,ROS_VNF_driver,2035232,109392,765956,1269276
40,0.1,ROS_VNF_driver,2035232,109392,765956,1269276
41,0.1,ROS_VNF_driver,2035232,109488,765780,1269200
42,0.1,ROS_VNF_driver,2035232,109424,765724,1269256
43,0.1,ROS_VNF_driver,2035232,109456,766032,1269200
44,0.1,ROS_VNF_driver,2035232,109456,766032,1269200
45,0.1,ROS_VNF_driver,2035232,109456,766032,1269200
46,0.1,ROS_VNF_driver,2035232,109456,766284,1269248
47,0.1,ROS_VNF_driver,2035232,109424,765724,1269516
48,0.1,ROS_VNF_driver,2035232,109424,766000,1269240
49,0.1,ROS_VNF_driver,2035232,109424,766000,1269232
