iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,ROS_VNF_driver,2035232,648700,1269616,765616
2,0.1,ROS_VNF_driver,2035232,647944,1269816,765416
3,0.1,ROS_VNF_driver,2035232,647944,1269816,765676
4,0.1,ROS_VNF_driver,2035232,647692,1269564,765668
5,0.1,ROS_VNF_driver,2035232,647692,1269564,765416
6,0.1,ROS_VNF_driver,2035232,647952,1269824,765408
7,0.1,ROS_VNF_driver,2035232,647952,1269824,765408
8,0.1,ROS_VNF_driver,2035232,647976,1269848,765384
9,0.1,ROS_VNF_driver,2035232,647984,1269540,765692
10,0.1,ROS_VNF_driver,2035232,647676,1269548,765684
11,0.1,ROS_VNF_driver,2035232,647968,1269840,765684
12,0.1,ROS_VNF_driver,2035232,647652,1269272,765708
13,0.1,ROS_VNF_driver,2035232,647684,1269560,765672
14,0.1,ROS_VNF_driver,2035232,647684,1269260,766004
15,0.1,ROS_VNF_driver,2035232,647572,1269536,765696
16,0.1,ROS_VNF_driver,2035232,647368,1269496,765736
17,0.1,ROS_VNF_driver,2035232,647620,1269496,765484
18,0.1,ROS_VNF_driver,2035232,647368,1269496,765736
19,0.1,ROS_VNF_driver,2035232,647328,1269544,765688
20,0.1,ROS_VNF_driver,2035232,647912,1269788,765444
21,0.1,ROS_VNF_driver,2035232,647912,1269512,765720
22,0.1,ROS_VNF_driver,2035232,647676,1269552,765680
23,0.1,ROS_VNF_driver,2035232,647676,1269552,765680
24,0.1,ROS_VNF_driver,2035232,647676,1269552,765680
25,0.1,ROS_VNF_driver,2035232,647928,1269804,765428
26,0.1,ROS_VNF_driver,2035232,647928,1269804,765428
27,0.1,ROS_VNF_driver,2035232,647652,1269528,765956
28,0.1,ROS_VNF_driver,2035232,647400,1269528,765988
29,0.1,ROS_VNF_driver,2035232,647676,1269552,765680
30,0.1,ROS_VNF_driver,2035232,657040,1279208,755772
31,0.1,ROS_VNF_driver,2035232,657340,1279192,755788
32,0.1,ROS_VNF_driver,2035232,657844,1279720,755512
33,0.1,ROS_VNF_driver,2035232,657860,1279988,755528
34,0.1,ROS_VNF_driver,2035232,657836,1279964,755268
35,0.1,ROS_VNF_driver,2035232,657852,1279980,755252
36,0.1,ROS_VNF_driver,2035232,658104,1280232,755000
37,0.1,ROS_VNF_driver,2035232,658380,1279980,755000
38,0.1,ROS_VNF_driver,2035232,658380,1280256,754976
39,0.1,ROS_VNF_driver,2035232,658380,1280256,754976
40,0.1,ROS_VNF_driver,2035232,658380,1280256,754976
41,0.1,ROS_VNF_driver,2035232,658348,1280236,755256
42,0.1,ROS_VNF_driver,2035232,658128,1280016,755216
43,0.1,ROS_VNF_driver,2035232,658096,1279984,755248
44,0.1,ROS_VNF_driver,2035232,658380,1280268,754964
45,0.1,ROS_VNF_driver,2035232,658380,1280268,754964
46,0.1,ROS_VNF_driver,2035232,658096,1279984,755248
47,0.1,ROS_VNF_driver,2035232,658096,1279984,755548
48,0.1,ROS_VNF_driver,2035232,657868,1279764,755752
49,0.1,ROS_VNF_driver,2035232,657868,1279764,755468
50,0.1,ROS_VNF_driver,2035232,657868,1279764,755216
51,0.1,ROS_VNF_driver,2035232,658120,1280016,755216
52,0.1,ROS_VNF_driver,2035232,658120,1280016,755216
53,0.1,ROS_VNF_driver,2035232,658120,1280016,755216
54,0.1,ROS_VNF_driver,2035232,658120,1280016,755216
55,0.1,ROS_VNF_driver,2035232,658120,1280016,755216
56,0.1,ROS_VNF_driver,2035232,657852,1279716,755264
57,0.1,ROS_VNF_driver,2035232,658120,1280016,755280
58,0.1,ROS_VNF_driver,2035232,658120,1280268,754964
59,0.1,ROS_VNF_driver,2035232,658624,1280520,754980
60,0.1,ROS_VNF_driver,2035232,658080,1279976,755256
61,0.1,ROS_VNF_driver,2035232,658340,1280236,754996
62,0.1,ROS_VNF_driver,2035232,658088,1280236,754996
63,0.1,ROS_VNF_driver,2035232,658348,1280496,755272
64,0.1,ROS_VNF_driver,2035232,658144,1280028,755204
65,0.1,ROS_VNF_driver,2035232,658144,1280028,755204
66,0.1,ROS_VNF_driver,2035232,658144,1280028,755204
67,0.1,ROS_VNF_driver,2035232,658144,1280028,755204
68,0.1,ROS_VNF_driver,2035232,658332,1279948,755284
69,0.1,ROS_VNF_driver,2035232,658144,1279720,755260
70,0.1,ROS_VNF_driver,2035232,658120,1279988,755244
71,0.1,ROS_VNF_driver,2035232,658144,1279760,755220
72,0.1,ROS_VNF_driver,2035232,658144,1280028,755204
73,0.1,ROS_VNF_driver,2035232,658144,1280280,755252
74,0.1,ROS_VNF_driver,2035232,658144,1280028,754952
75,0.1,ROS_VNF_driver,2035232,658120,1280248,754984
76,0.1,ROS_VNF_driver,2035232,658396,1280004,755228
77,0.1,ROS_VNF_driver,2035232,658144,1280028,755204
78,0.1,ROS_VNF_driver,2035232,658112,1279996,755236
79,0.1,ROS_VNF_driver,2035232,658144,1280032,755200
80,0.1,ROS_VNF_driver,2035232,658144,1280032,755460
81,0.1,ROS_VNF_driver,2035232,657892,1279780,755452
82,0.1,ROS_VNF_driver,2035232,657892,1279780,755452
83,0.1,ROS_VNF_driver,2035232,657860,1279748,755484
84,0.1,ROS_VNF_driver,2035232,657892,1279780,755532
85,0.1,ROS_VNF_driver,2035232,658064,1280292,755232
86,0.1,ROS_VNF_driver,2035232,658112,1280252,755264
87,0.1,ROS_VNF_driver,2035232,658348,1280220,755288
88,0.1,ROS_VNF_driver,2035232,658112,1280252,754980
89,0.1,ROS_VNF_driver,2035232,658080,1279960,755272
90,0.1,ROS_VNF_driver,2035232,658048,1280276,755248
91,0.1,ROS_VNF_driver,2035232,658348,1279952,754940
92,0.1,ROS_VNF_driver,2035232,658372,1280260,754972
93,0.1,ROS_VNF_driver,2035232,658372,1279764,755216
94,0.1,ROS_VNF_driver,2035232,658144,1280040,755192
95,0.1,ROS_VNF_driver,2035232,658144,1280040,755192
