iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,01:10:55,0.5,ROS_VNF_driver,7.7,2084077568,1460600832,29.9,461082624,1109868544,545144832,255713280,32034816,481091584,1085440
1,2022-01-02,01:10:56,0.5,ROS_VNF_driver,11.1,2084077568,1460600832,29.9,461082624,1109868544,545144832,255713280,32034816,481091584,1085440
2,2022-01-02,01:10:56,0.5,ROS_VNF_driver,10.0,2084077568,1460600832,29.9,461082624,1109868544,545144832,255713280,32034816,481091584,1085440
3,2022-01-02,01:10:57,0.5,ROS_VNF_driver,12.8,2084077568,1460600832,29.9,461082624,1109868544,545144832,255713280,32034816,481091584,1085440
4,2022-01-02,01:10:57,0.5,ROS_VNF_driver,10.5,2084077568,1460600832,29.9,461082624,1109868544,545144832,255713280,32034816,481091584,1085440
5,2022-01-02,01:10:58,0.5,ROS_VNF_driver,12.5,2084077568,1460600832,29.9,461082624,1109868544,545144832,255713280,32034816,481091584,1085440
6,2022-01-02,01:10:58,0.5,ROS_VNF_driver,9.5,2084077568,1469722624,29.5,451960832,1118990336,536801280,255713280,32034816,481091584,1085440
7,2022-01-02,01:10:59,0.5,ROS_VNF_driver,8.9,2084077568,1469763584,29.5,451932160,1119047680,536735744,255713280,32034816,481062912,1085440
8,2022-01-02,01:10:59,0.5,ROS_VNF_driver,11.1,2084077568,1469763584,29.5,451932160,1119047680,536735744,255713280,32034816,481062912,1085440
9,2022-01-02,01:11:00,0.5,ROS_VNF_driver,13.1,2084077568,1469763584,29.5,451923968,1119047680,536735744,255713280,32043008,481062912,1085440
10,2022-01-02,01:11:00,0.5,ROS_VNF_driver,12.5,2084077568,1469763584,29.5,451923968,1119047680,536735744,255713280,32043008,481062912,1085440
11,2022-01-02,01:11:01,0.5,ROS_VNF_driver,9.8,2084077568,1469763584,29.5,451923968,1119047680,536735744,255713280,32043008,481062912,1085440
12,2022-01-02,01:11:01,0.5,ROS_VNF_driver,7.6,2084077568,1469763584,29.5,451923968,1119047680,536735744,255713280,32043008,481062912,1085440
13,2022-01-02,01:11:02,0.5,ROS_VNF_driver,9.9,2084077568,1469763584,29.5,451923968,1119047680,536735744,255713280,32043008,481062912,1085440
14,2022-01-02,01:11:02,0.5,ROS_VNF_driver,10.7,2084077568,1469763584,29.5,451923968,1119047680,536735744,255713280,32043008,481062912,1085440
15,2022-01-02,01:11:03,0.5,ROS_VNF_driver,10.8,2084077568,1469763584,29.5,451923968,1119047680,536735744,255713280,32043008,481062912,1085440
16,2022-01-02,01:11:03,0.5,ROS_VNF_driver,6.4,2084077568,1469763584,29.5,451923968,1119047680,536735744,255713280,32043008,481062912,1085440
17,2022-01-02,01:11:04,0.5,ROS_VNF_driver,13.1,2084077568,1469763584,29.5,451923968,1119047680,536735744,255713280,32043008,481062912,1085440
18,2022-01-02,01:11:04,0.5,ROS_VNF_driver,9.9,2084077568,1469763584,29.5,451923968,1119047680,536735744,255713280,32043008,481062912,1085440
19,2022-01-02,01:11:05,0.5,ROS_VNF_driver,7.5,2084077568,1469763584,29.5,451923968,1119047680,536735744,255713280,32043008,481062912,1085440
20,2022-01-02,01:11:05,0.5,ROS_VNF_driver,8.6,2084077568,1469763584,29.5,451915776,1119047680,536735744,255713280,32051200,481062912,1085440
