iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-29,17:11:26,0.2,ROS_VNF_interface,0.0,2084077568,1727901696,17.1,201789440,1517453312,179122176,264249344,20295680,344539136,806912
1,2021-12-29,17:11:26,0.2,ROS_VNF_interface,0.0,2084077568,1727901696,17.1,201789440,1517453312,179122176,264249344,20295680,344539136,806912
2,2021-12-29,17:11:27,0.2,ROS_VNF_interface,0.0,2084077568,1727901696,17.1,201789440,1517453312,179122176,264249344,20295680,344539136,806912
3,2021-12-29,17:11:27,0.2,ROS_VNF_interface,0.0,2084077568,1727901696,17.1,201789440,1517453312,179122176,264249344,20295680,344539136,806912
4,2021-12-29,17:11:27,0.2,ROS_VNF_interface,0.0,2084077568,1727901696,17.1,201789440,1517453312,179122176,264249344,20295680,344539136,806912
5,2021-12-29,17:11:27,0.2,ROS_VNF_interface,0.0,2084077568,1727901696,17.1,201789440,1517453312,179122176,264249344,20295680,344539136,806912
6,2021-12-29,17:11:27,0.2,ROS_VNF_interface,0.0,2084077568,1727901696,17.1,201789440,1517453312,179122176,264249344,20295680,344539136,806912
7,2021-12-29,17:11:28,0.2,ROS_VNF_interface,0.0,2084077568,1727901696,17.1,201789440,1517453312,179122176,264249344,20295680,344539136,806912
8,2021-12-29,17:11:28,0.2,ROS_VNF_interface,0.0,2084077568,1727901696,17.1,201789440,1517453312,179122176,264249344,20295680,344539136,806912
9,2021-12-29,17:11:28,0.2,ROS_VNF_interface,0.0,2084077568,1727901696,17.1,201789440,1517453312,179122176,264249344,20295680,344539136,806912
10,2021-12-29,17:11:28,0.2,ROS_VNF_interface,0.0,2084077568,1727901696,17.1,201789440,1517453312,179122176,264249344,20295680,344539136,806912
11,2021-12-29,17:11:28,0.2,ROS_VNF_interface,0.0,2084077568,1727901696,17.1,201789440,1517453312,179122176,264249344,20295680,344539136,806912
12,2021-12-29,17:11:29,0.2,ROS_VNF_interface,0.0,2084077568,1727901696,17.1,201789440,1517453312,179122176,264249344,20295680,344539136,806912
13,2021-12-29,17:11:29,0.2,ROS_VNF_interface,0.0,2084077568,1727901696,17.1,201789440,1517453312,179122176,264249344,20295680,344539136,806912
14,2021-12-29,17:11:29,0.2,ROS_VNF_interface,0.0,2084077568,1727901696,17.1,201789440,1517453312,179122176,264249344,20295680,344539136,806912
15,2021-12-29,17:11:29,0.2,ROS_VNF_interface,0.0,2084077568,1727901696,17.1,201789440,1517453312,179122176,264249344,20295680,344539136,806912
16,2021-12-29,17:11:29,0.2,ROS_VNF_interface,0.0,2084077568,1727901696,17.1,201789440,1517453312,179122176,264249344,20295680,344539136,806912
17,2021-12-29,17:11:30,0.2,ROS_VNF_interface,2.4,2084077568,1730740224,17.0,198950912,1520291840,175165440,264249344,20295680,344539136,806912
18,2021-12-29,17:11:30,0.2,ROS_VNF_interface,0.0,2084077568,1735483392,16.7,194207744,1525035008,171532288,264249344,20295680,344539136,806912
19,2021-12-29,17:11:30,0.2,ROS_VNF_interface,0.0,2084077568,1735553024,16.7,194138112,1525092352,171491328,264257536,20303872,344543232,806912
20,2021-12-29,17:11:30,0.2,ROS_VNF_interface,0.0,2084077568,1735553024,16.7,194138112,1525092352,171491328,264257536,20303872,344543232,806912
21,2021-12-29,17:11:31,0.2,ROS_VNF_interface,0.0,2084077568,1735553024,16.7,194138112,1525092352,171491328,264257536,20303872,344543232,806912
22,2021-12-29,17:11:31,0.2,ROS_VNF_interface,2.2,2084077568,1735553024,16.7,194138112,1525092352,171491328,264257536,20303872,344543232,806912
23,2021-12-29,17:11:31,0.2,ROS_VNF_interface,0.0,2084077568,1735553024,16.7,194138112,1525092352,171491328,264257536,20303872,344543232,806912
24,2021-12-29,17:11:31,0.2,ROS_VNF_interface,0.0,2084077568,1735553024,16.7,194138112,1525092352,171491328,264257536,20303872,344543232,806912
25,2021-12-29,17:11:31,0.2,ROS_VNF_interface,0.0,2084077568,1735553024,16.7,194138112,1525092352,171491328,264257536,20303872,344543232,806912
26,2021-12-29,17:11:32,0.2,ROS_VNF_interface,0.0,2084077568,1735553024,16.7,194138112,1525092352,171491328,264257536,20303872,344543232,806912
27,2021-12-29,17:11:32,0.2,ROS_VNF_interface,0.0,2084077568,1735553024,16.7,194138112,1525092352,171491328,264257536,20303872,344543232,806912
28,2021-12-29,17:11:32,0.2,ROS_VNF_interface,0.0,2084077568,1735553024,16.7,194138112,1525092352,171491328,264257536,20303872,344543232,806912
29,2021-12-29,17:11:32,0.2,ROS_VNF_interface,0.0,2084077568,1735553024,16.7,194134016,1525092352,171491328,264257536,20303872,344547328,806912
30,2021-12-29,17:11:32,0.2,ROS_VNF_interface,0.0,2084077568,1735553024,16.7,194134016,1525092352,171491328,264257536,20303872,344547328,806912
31,2021-12-29,17:11:33,0.2,ROS_VNF_interface,0.0,2084077568,1735553024,16.7,194134016,1525092352,171491328,264257536,20303872,344547328,806912
32,2021-12-29,17:11:33,0.2,ROS_VNF_interface,0.0,2084077568,1735553024,16.7,194134016,1525092352,171491328,264257536,20303872,344547328,806912
33,2021-12-29,17:11:33,0.2,ROS_VNF_interface,0.0,2084077568,1735553024,16.7,194134016,1525092352,171491328,264257536,20303872,344547328,806912
34,2021-12-29,17:11:33,0.2,ROS_VNF_interface,0.0,2084077568,1735553024,16.7,194134016,1525092352,171491328,264257536,20303872,344547328,806912
35,2021-12-29,17:11:33,0.2,ROS_VNF_interface,0.0,2084077568,1735553024,16.7,194134016,1525092352,171491328,264257536,20303872,344547328,806912
36,2021-12-29,17:11:34,0.2,ROS_VNF_interface,0.0,2084077568,1735553024,16.7,194134016,1525092352,171491328,264257536,20303872,344547328,806912
37,2021-12-29,17:11:34,0.2,ROS_VNF_interface,0.0,2084077568,1735553024,16.7,194134016,1525092352,171491328,264257536,20303872,344547328,806912
38,2021-12-29,17:11:34,0.2,ROS_VNF_interface,0.0,2084077568,1735553024,16.7,194134016,1525092352,171491328,264257536,20303872,344547328,806912
39,2021-12-29,17:11:34,0.2,ROS_VNF_interface,0.0,2084077568,1735553024,16.7,194134016,1525092352,171491328,264257536,20303872,344547328,806912
40,2021-12-29,17:11:35,0.2,ROS_VNF_interface,0.0,2084077568,1735553024,16.7,194134016,1525092352,171491328,264257536,20303872,344547328,806912
