iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-01,21:19:41,0.5,ROS_VNF_driver,12.0,2084077568,1587068928,23.8,334909440,1245093888,430415872,253530112,31064064,473010176,950272
1,2022-01-01,21:19:41,0.5,ROS_VNF_driver,13.1,2084077568,1587068928,23.8,334909440,1245093888,430501888,253530112,31064064,473010176,950272
2,2022-01-01,21:19:42,0.5,ROS_VNF_driver,12.2,2084077568,1587036160,23.8,334942208,1245061120,430538752,253530112,31064064,473010176,950272
3,2022-01-01,21:19:42,0.5,ROS_VNF_driver,8.0,2084077568,1587036160,23.8,334942208,1245061120,430538752,253530112,31064064,473010176,950272
4,2022-01-01,21:19:43,0.5,ROS_VNF_driver,14.0,2084077568,1587036160,23.8,334942208,1245061120,430538752,253530112,31064064,473010176,950272
5,2022-01-01,21:19:43,0.5,ROS_VNF_driver,14.9,2084077568,1587036160,23.8,334942208,1245061120,430538752,253530112,31064064,473010176,950272
6,2022-01-01,21:19:44,0.5,ROS_VNF_driver,12.6,2084077568,1587036160,23.8,334942208,1245061120,430538752,253530112,31064064,473010176,950272
7,2022-01-01,21:19:44,0.5,ROS_VNF_driver,17.0,2084077568,1596649472,23.4,325328896,1254674432,422526976,253530112,31064064,473010176,950272
8,2022-01-01,21:19:45,0.5,ROS_VNF_driver,15.9,2084077568,1596706816,23.4,325271552,1254731776,422449152,253530112,31064064,473010176,950272
9,2022-01-01,21:19:45,0.5,ROS_VNF_driver,13.5,2084077568,1596739584,23.4,325226496,1254764544,422449152,253530112,31076352,473010176,950272
10,2022-01-01,21:19:46,0.5,ROS_VNF_driver,15.6,2084077568,1596739584,23.4,325226496,1254764544,422449152,253530112,31076352,473010176,950272
11,2022-01-01,21:19:46,0.5,ROS_VNF_driver,8.1,2084077568,1596739584,23.4,325226496,1254764544,422449152,253530112,31076352,473010176,950272
12,2022-01-01,21:19:47,0.5,ROS_VNF_driver,13.2,2084077568,1596739584,23.4,325226496,1254764544,422449152,253530112,31076352,473010176,950272
13,2022-01-01,21:19:47,0.5,ROS_VNF_driver,10.3,2084077568,1596739584,23.4,325226496,1254764544,422449152,253530112,31076352,473010176,950272
14,2022-01-01,21:19:48,0.5,ROS_VNF_driver,10.2,2084077568,1596706816,23.4,325259264,1254731776,422449152,253530112,31076352,473010176,950272
15,2022-01-01,21:19:48,0.5,ROS_VNF_driver,13.6,2084077568,1596706816,23.4,325259264,1254731776,422449152,253530112,31076352,473010176,950272
16,2022-01-01,21:19:49,0.5,ROS_VNF_driver,18.2,2084077568,1596706816,23.4,325259264,1254731776,422449152,253530112,31076352,473010176,950272
17,2022-01-01,21:19:49,0.5,ROS_VNF_driver,9.2,2084077568,1596719104,23.4,325259264,1254731776,422510592,253530112,31076352,473010176,950272
18,2022-01-01,21:19:50,0.5,ROS_VNF_driver,11.4,2084077568,1596747776,23.4,325259264,1254731776,422510592,253558784,31076352,473010176,950272
19,2022-01-01,21:19:50,0.5,ROS_VNF_driver,7.4,2084077568,1596747776,23.4,325259264,1254731776,422510592,253558784,31084544,473001984,950272
20,2022-01-01,21:19:51,0.5,ROS_VNF_driver,17.0,2084077568,1596751872,23.4,325251072,1254731776,422567936,253562880,31084544,473010176,950272
21,2022-01-01,21:19:51,0.5,ROS_VNF_driver,18.2,2084077568,1596751872,23.4,325251072,1254731776,422567936,253562880,31084544,473010176,950272
22,2022-01-01,21:19:52,0.5,ROS_VNF_driver,17.0,2084077568,1596751872,23.4,325251072,1254731776,422567936,253562880,31084544,473010176,950272
23,2022-01-01,21:19:52,0.5,ROS_VNF_driver,13.6,2084077568,1596751872,23.4,325251072,1254731776,422567936,253562880,31084544,473010176,950272
24,2022-01-01,21:19:53,0.5,ROS_VNF_driver,15.6,2084077568,1596751872,23.4,325251072,1254731776,422567936,253562880,31084544,473010176,950272
25,2022-01-01,21:19:53,0.5,ROS_VNF_driver,17.8,2084077568,1596751872,23.4,325251072,1254731776,422567936,253562880,31084544,473010176,950272
26,2022-01-01,21:19:54,0.5,ROS_VNF_driver,17.0,2084077568,1596751872,23.4,325251072,1254731776,422567936,253562880,31084544,473010176,950272
27,2022-01-01,21:19:54,0.5,ROS_VNF_driver,8.7,2084077568,1596751872,23.4,325251072,1254731776,422567936,253562880,31084544,473010176,950272
28,2022-01-01,21:19:55,0.5,ROS_VNF_driver,14.3,2084077568,1596719104,23.4,325283840,1254699008,422567936,253562880,31084544,473010176,950272
29,2022-01-01,21:19:55,0.5,ROS_VNF_driver,16.1,2084077568,1596452864,23.4,325550080,1254432768,422567936,253562880,31084544,473010176,950272
30,2022-01-01,21:19:56,0.5,ROS_VNF_driver,17.8,2084077568,1596456960,23.4,325525504,1254432768,422567936,253562880,31092736,473026560,950272
31,2022-01-01,21:19:56,0.5,ROS_VNF_driver,18.5,2084077568,1596456960,23.4,325525504,1254432768,422567936,253562880,31092736,473026560,950272
32,2022-01-01,21:19:57,0.5,ROS_VNF_driver,9.9,2084077568,1596731392,23.4,325267456,1254690816,422608896,253562880,31092736,473026560,950272
33,2022-01-01,21:19:57,0.5,ROS_VNF_driver,8.5,2084077568,1596731392,23.4,325267456,1254690816,422608896,253562880,31092736,473026560,950272
34,2022-01-01,21:19:58,0.5,ROS_VNF_driver,8.5,2084077568,1596735488,23.4,325267456,1254690816,422637568,253566976,31092736,473026560,950272
35,2022-01-01,21:19:58,0.5,ROS_VNF_driver,8.6,2084077568,1596735488,23.4,325267456,1254690816,422637568,253566976,31092736,473026560,950272
36,2022-01-01,21:19:59,0.5,ROS_VNF_driver,14.9,2084077568,1596702720,23.4,325300224,1254658048,422637568,253566976,31092736,473026560,950272
37,2022-01-01,21:19:59,0.5,ROS_VNF_driver,11.0,2084077568,1596702720,23.4,325300224,1254658048,422637568,253566976,31092736,473026560,950272
38,2022-01-01,21:20:00,0.5,ROS_VNF_driver,11.6,2084077568,1596702720,23.4,325300224,1254658048,422637568,253566976,31092736,473026560,950272
39,2022-01-01,21:20:00,0.5,ROS_VNF_driver,4.7,2084077568,1596702720,23.4,325300224,1254658048,422637568,253566976,31092736,473026560,950272
40,2022-01-01,21:20:01,0.5,ROS_VNF_driver,12.6,2084077568,1596702720,23.4,325300224,1254658048,422637568,253566976,31092736,473026560,950272
41,2022-01-01,21:20:01,0.5,ROS_VNF_driver,12.6,2084077568,1596702720,23.4,325300224,1254658048,422637568,253566976,31100928,473018368,950272
42,2022-01-01,21:20:02,0.5,ROS_VNF_driver,8.3,2084077568,1596735488,23.4,325259264,1254690816,422637568,253566976,31100928,473026560,950272
43,2022-01-01,21:20:02,0.5,ROS_VNF_driver,14.9,2084077568,1596735488,23.4,325259264,1254690816,422637568,253566976,31100928,473026560,950272
44,2022-01-01,21:20:03,0.5,ROS_VNF_driver,12.9,2084077568,1596735488,23.4,325259264,1254690816,422637568,253566976,31100928,473026560,950272
45,2022-01-01,21:20:03,0.5,ROS_VNF_driver,3.7,2084077568,1596735488,23.4,325259264,1254690816,422637568,253566976,31100928,473026560,950272
46,2022-01-01,21:20:04,0.5,ROS_VNF_driver,8.2,2084077568,1596735488,23.4,325259264,1254690816,422637568,253566976,31100928,473026560,950272
47,2022-01-01,21:20:04,0.5,ROS_VNF_driver,8.6,2084077568,1596702720,23.4,325292032,1254658048,422637568,253566976,31100928,473026560,950272
48,2022-01-01,21:20:05,0.5,ROS_VNF_driver,6.2,2084077568,1596702720,23.4,325292032,1254658048,422637568,253566976,31100928,473026560,950272
49,2022-01-01,21:20:05,0.5,ROS_VNF_driver,4.9,2084077568,1596702720,23.4,325292032,1254658048,422637568,253566976,31100928,473026560,950272
50,2022-01-01,21:20:06,0.5,ROS_VNF_driver,12.4,2084077568,1596702720,23.4,325292032,1254658048,422637568,253566976,31100928,473026560,950272
51,2022-01-01,21:20:06,0.5,ROS_VNF_driver,13.6,2084077568,1596702720,23.4,325292032,1254658048,422637568,253566976,31100928,473026560,950272
52,2022-01-01,21:20:07,0.5,ROS_VNF_driver,11.8,2084077568,1596702720,23.4,325283840,1254658048,422699008,253566976,31109120,473026560,950272
53,2022-01-01,21:20:07,0.5,ROS_VNF_driver,14.3,2084077568,1596702720,23.4,325283840,1254658048,422699008,253566976,31109120,473026560,950272
54,2022-01-01,21:20:08,0.5,ROS_VNF_driver,16.1,2084077568,1596702720,23.4,325283840,1254658048,422699008,253566976,31109120,473026560,950272
55,2022-01-01,21:20:08,0.5,ROS_VNF_driver,17.0,2084077568,1596702720,23.4,325283840,1254658048,422699008,253566976,31109120,473026560,950272
56,2022-01-01,21:20:09,0.5,ROS_VNF_driver,11.8,2084077568,1596702720,23.4,325283840,1254658048,422699008,253566976,31109120,473026560,950272
57,2022-01-01,21:20:09,0.5,ROS_VNF_driver,14.0,2084077568,1596669952,23.4,325316608,1254625280,422699008,253566976,31109120,473026560,950272
58,2022-01-01,21:20:10,0.5,ROS_VNF_driver,13.8,2084077568,1596669952,23.4,325312512,1254625280,422699008,253566976,31109120,473030656,950272
59,2022-01-01,21:20:10,0.5,ROS_VNF_driver,7.1,2084077568,1596669952,23.4,325312512,1254625280,422699008,253566976,31109120,473030656,950272
60,2022-01-01,21:20:11,0.5,ROS_VNF_driver,11.0,2084077568,1596702720,23.4,325279744,1254658048,422699008,253566976,31109120,473030656,950272
61,2022-01-01,21:20:11,0.5,ROS_VNF_driver,10.8,2084077568,1596702720,23.4,325279744,1254658048,422699008,253566976,31109120,473030656,950272
62,2022-01-01,21:20:12,0.5,ROS_VNF_driver,8.3,2084077568,1596702720,23.4,325279744,1254658048,422699008,253566976,31109120,473030656,950272
63,2022-01-01,21:20:12,0.5,ROS_VNF_driver,10.8,2084077568,1596702720,23.4,325279744,1254658048,422699008,253566976,31117312,473022464,950272
64,2022-01-01,21:20:13,0.5,ROS_VNF_driver,7.6,2084077568,1596674048,23.4,325304320,1254625280,422707200,253571072,31117312,473030656,950272
65,2022-01-01,21:20:13,0.5,ROS_VNF_driver,8.4,2084077568,1596739584,23.4,325238784,1254690816,422707200,253571072,31117312,473030656,950272
66,2022-01-01,21:20:14,0.5,ROS_VNF_driver,9.4,2084077568,1596739584,23.4,325238784,1254690816,422707200,253571072,31117312,473030656,950272
67,2022-01-01,21:20:14,0.5,ROS_VNF_driver,9.8,2084077568,1596739584,23.4,325238784,1254690816,422707200,253571072,31117312,473030656,950272
68,2022-01-01,21:20:15,0.5,ROS_VNF_driver,7.4,2084077568,1596739584,23.4,325238784,1254690816,422707200,253571072,31117312,473030656,950272
69,2022-01-01,21:20:15,0.5,ROS_VNF_driver,11.2,2084077568,1596739584,23.4,325238784,1254690816,422793216,253571072,31117312,473030656,950272
70,2022-01-01,21:20:16,0.5,ROS_VNF_driver,7.5,2084077568,1596796928,23.4,325206016,1254723584,422830080,253571072,31117312,473030656,950272
71,2022-01-01,21:20:16,0.5,ROS_VNF_driver,12.8,2084077568,1596764160,23.4,325238784,1254690816,422830080,253571072,31117312,473030656,950272
