iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-01,19:43:59,0.5,ROS_VNF_driver,6.3,2084077568,1652350976,20.7,270827520,1351888896,362811392,223010816,33972224,427388928,880640
1,2022-01-01,19:43:59,0.5,ROS_VNF_driver,5.3,2084077568,1652350976,20.7,270827520,1351888896,362811392,223010816,33972224,427388928,880640
2,2022-01-01,19:44:00,0.5,ROS_VNF_driver,6.4,2084077568,1652350976,20.7,270827520,1351888896,362811392,223010816,33972224,427388928,880640
3,2022-01-01,19:44:00,0.5,ROS_VNF_driver,6.6,2084077568,1652350976,20.7,270827520,1351888896,362811392,223010816,33972224,427388928,880640
4,2022-01-01,19:44:01,0.5,ROS_VNF_driver,2.3,2084077568,1652350976,20.7,270827520,1351888896,362811392,223010816,33972224,427388928,880640
5,2022-01-01,19:44:01,0.5,ROS_VNF_driver,4.5,2084077568,1652350976,20.7,270827520,1351888896,362811392,223010816,33972224,427388928,880640
6,2022-01-01,19:44:02,0.5,ROS_VNF_driver,5.4,2084077568,1652350976,20.7,270827520,1351888896,362811392,223010816,33972224,427388928,880640
7,2022-01-01,19:44:02,0.5,ROS_VNF_driver,10.8,2084077568,1661247488,20.3,261935104,1360785408,355065856,223010816,33972224,427384832,880640
8,2022-01-01,19:44:03,0.5,ROS_VNF_driver,8.5,2084077568,1661247488,20.3,261935104,1360785408,355065856,223010816,33972224,427384832,880640
9,2022-01-01,19:44:03,0.5,ROS_VNF_driver,8.4,2084077568,1661247488,20.3,261935104,1360785408,355065856,223010816,33984512,427372544,880640
10,2022-01-01,19:44:04,0.5,ROS_VNF_driver,8.6,2084077568,1661247488,20.3,261922816,1360785408,355065856,223010816,33984512,427384832,880640
11,2022-01-01,19:44:04,0.5,ROS_VNF_driver,6.4,2084077568,1661247488,20.3,261922816,1360785408,355065856,223010816,33984512,427384832,880640
12,2022-01-01,19:44:05,0.5,ROS_VNF_driver,3.1,2084077568,1661247488,20.3,261922816,1360785408,355065856,223010816,33984512,427384832,880640
13,2022-01-01,19:44:06,0.5,ROS_VNF_driver,7.3,2084077568,1661247488,20.3,261922816,1360785408,355065856,223010816,33984512,427384832,880640
14,2022-01-01,19:44:06,0.5,ROS_VNF_driver,9.2,2084077568,1661247488,20.3,261922816,1360785408,355065856,223010816,33984512,427384832,880640
15,2022-01-01,19:44:07,0.5,ROS_VNF_driver,5.0,2084077568,1661247488,20.3,261922816,1360785408,355065856,223010816,33984512,427384832,880640
16,2022-01-01,19:44:07,0.5,ROS_VNF_driver,7.5,2084077568,1661247488,20.3,261922816,1360785408,355065856,223010816,33984512,427384832,880640
17,2022-01-01,19:44:08,0.5,ROS_VNF_driver,6.5,2084077568,1661247488,20.3,261922816,1360785408,355065856,223010816,33984512,427384832,880640
18,2022-01-01,19:44:08,0.5,ROS_VNF_driver,4.4,2084077568,1661247488,20.3,261922816,1360785408,355065856,223010816,33984512,427384832,880640
19,2022-01-01,19:44:09,0.5,ROS_VNF_driver,2.2,2084077568,1661247488,20.3,261922816,1360785408,355065856,223010816,33984512,427384832,880640
20,2022-01-01,19:44:09,0.5,ROS_VNF_driver,6.3,2084077568,1661214720,20.3,261947392,1360752640,355065856,223010816,33992704,427384832,880640
21,2022-01-01,19:44:10,0.5,ROS_VNF_driver,5.2,2084077568,1661214720,20.3,261947392,1360752640,355065856,223010816,33992704,427384832,880640
22,2022-01-01,19:44:10,0.5,ROS_VNF_driver,4.4,2084077568,1661235200,20.3,261947392,1360752640,355188736,223010816,33992704,427384832,880640
23,2022-01-01,19:44:11,0.5,ROS_VNF_driver,0.0,2084077568,1661235200,20.3,261947392,1360752640,355188736,223010816,33992704,427384832,880640
24,2022-01-01,19:44:11,0.5,ROS_VNF_driver,2.3,2084077568,1661235200,20.3,261947392,1360752640,355188736,223010816,33992704,427384832,880640
25,2022-01-01,19:44:12,0.5,ROS_VNF_driver,2.2,2084077568,1661235200,20.3,261947392,1360752640,355188736,223010816,33992704,427384832,880640
26,2022-01-01,19:44:12,0.5,ROS_VNF_driver,3.4,2084077568,1661235200,20.3,261947392,1360752640,355188736,223010816,33992704,427384832,880640
27,2022-01-01,19:44:13,0.5,ROS_VNF_driver,7.4,2084077568,1661235200,20.3,261947392,1360752640,355188736,223010816,33992704,427384832,880640
28,2022-01-01,19:44:13,0.5,ROS_VNF_driver,6.4,2084077568,1661235200,20.3,261947392,1360752640,355188736,223010816,33992704,427384832,880640
29,2022-01-01,19:44:14,0.5,ROS_VNF_driver,8.3,2084077568,1661227008,20.3,261955584,1360744448,355594240,223010816,33992704,427384832,880640
30,2022-01-01,19:44:14,0.5,ROS_VNF_driver,2.2,2084077568,1661231104,20.3,261951488,1360744448,355614720,223014912,33992704,427388928,880640
31,2022-01-01,19:44:15,0.5,ROS_VNF_driver,7.4,2084077568,1661231104,20.3,261951488,1360744448,355614720,223014912,34000896,427380736,880640
32,2022-01-01,19:44:15,0.5,ROS_VNF_driver,6.4,2084077568,1661231104,20.3,261943296,1360744448,355614720,223014912,34000896,427388928,880640
33,2022-01-01,19:44:16,0.5,ROS_VNF_driver,3.2,2084077568,1661231104,20.3,261943296,1360744448,355614720,223014912,34000896,427388928,880640
34,2022-01-01,19:44:16,0.5,ROS_VNF_driver,5.3,2084077568,1661231104,20.3,261943296,1360744448,355614720,223014912,34000896,427388928,880640
35,2022-01-01,19:44:17,0.5,ROS_VNF_driver,8.5,2084077568,1661489152,20.3,261685248,1361002496,355246080,223014912,34000896,427388928,880640
36,2022-01-01,19:44:17,0.5,ROS_VNF_driver,5.2,2084077568,1661472768,20.3,261709824,1360977920,355225600,223014912,34000896,427388928,880640
37,2022-01-01,19:44:18,0.5,ROS_VNF_driver,6.2,2084077568,1661472768,20.3,261709824,1360977920,355225600,223014912,34000896,427388928,880640
38,2022-01-01,19:44:18,0.5,ROS_VNF_driver,6.4,2084077568,1661472768,20.3,261709824,1360977920,355225600,223014912,34000896,427388928,880640
