iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-27,22:49:16,0.5,ROS_VNF_driver,10.8,2084077568,1594015744,23.5,329347072,1291235328,425857024,215494656,30994432,432500736,950272
1,2021-12-27,22:49:16,0.5,ROS_VNF_driver,11.6,2084077568,1594015744,23.5,329347072,1291235328,425857024,215494656,30994432,432500736,950272
2,2021-12-27,22:49:17,0.5,ROS_VNF_driver,11.6,2084077568,1594015744,23.5,329347072,1291235328,425857024,215494656,30994432,432500736,950272
3,2021-12-27,22:49:17,0.5,ROS_VNF_driver,8.7,2084077568,1594015744,23.5,329347072,1291235328,425857024,215494656,30994432,432500736,950272
4,2021-12-27,22:49:18,0.5,ROS_VNF_driver,10.6,2084077568,1594015744,23.5,329347072,1291235328,425857024,215494656,30994432,432500736,950272
5,2021-12-27,22:49:18,0.5,ROS_VNF_driver,4.2,2084077568,1594015744,23.5,329347072,1291235328,425857024,215494656,30994432,432500736,950272
6,2021-12-27,22:49:19,0.5,ROS_VNF_driver,1.1,2084077568,1600315392,23.2,323055616,1297526784,419405824,215502848,30994432,432500736,950272
7,2021-12-27,22:49:19,0.5,ROS_VNF_driver,4.1,2084077568,1600315392,23.2,323055616,1297526784,419405824,215502848,30994432,432500736,950272
8,2021-12-27,22:49:20,0.5,ROS_VNF_driver,4.1,2084077568,1600315392,23.2,323047424,1297526784,419405824,215502848,31002624,432500736,950272
9,2021-12-27,22:49:21,0.5,ROS_VNF_driver,2.1,2084077568,1600315392,23.2,323047424,1297526784,419405824,215502848,31002624,432500736,950272
10,2021-12-27,22:49:21,0.5,ROS_VNF_driver,1.1,2084077568,1600315392,23.2,323047424,1297526784,419405824,215502848,31002624,432500736,950272
11,2021-12-27,22:49:22,0.5,ROS_VNF_driver,5.2,2084077568,1600315392,23.2,323047424,1297526784,419405824,215502848,31002624,432500736,950272
12,2021-12-27,22:49:22,0.5,ROS_VNF_driver,0.0,2084077568,1600315392,23.2,323047424,1297526784,419405824,215502848,31002624,432500736,950272
13,2021-12-27,22:49:23,0.5,ROS_VNF_driver,3.1,2084077568,1600315392,23.2,323047424,1297526784,419405824,215502848,31002624,432500736,950272
14,2021-12-27,22:49:23,0.5,ROS_VNF_driver,3.1,2084077568,1600315392,23.2,323047424,1297526784,419405824,215502848,31002624,432500736,950272
15,2021-12-27,22:49:24,0.5,ROS_VNF_driver,1.1,2084077568,1600315392,23.2,323047424,1297526784,419405824,215502848,31002624,432500736,950272
16,2021-12-27,22:49:24,0.5,ROS_VNF_driver,4.2,2084077568,1600315392,23.2,323047424,1297526784,419405824,215502848,31002624,432500736,950272
17,2021-12-27,22:49:25,0.5,ROS_VNF_driver,2.1,2084077568,1600315392,23.2,323047424,1297526784,419405824,215502848,31002624,432500736,950272
18,2021-12-27,22:49:25,0.5,ROS_VNF_driver,2.1,2084077568,1600315392,23.2,323047424,1297526784,419467264,215502848,31002624,432500736,950272
19,2021-12-27,22:49:26,0.5,ROS_VNF_driver,5.1,2084077568,1600315392,23.2,323047424,1297526784,419467264,215502848,31010816,432492544,950272
20,2021-12-27,22:49:26,0.5,ROS_VNF_driver,5.3,2084077568,1600315392,23.2,323039232,1297526784,419467264,215502848,31010816,432500736,950272
21,2021-12-27,22:49:27,0.5,ROS_VNF_driver,10.8,2084077568,1600315392,23.2,323039232,1297526784,419467264,215502848,31010816,432500736,950272
22,2021-12-27,22:49:27,0.5,ROS_VNF_driver,12.6,2084077568,1600315392,23.2,323039232,1297526784,419467264,215502848,31010816,432500736,950272
23,2021-12-27,22:49:28,0.5,ROS_VNF_driver,9.6,2084077568,1600315392,23.2,323039232,1297526784,419467264,215502848,31010816,432500736,950272
24,2021-12-27,22:49:28,0.5,ROS_VNF_driver,9.6,2084077568,1600315392,23.2,323039232,1297526784,419467264,215502848,31010816,432500736,950272
25,2021-12-27,22:49:29,0.5,ROS_VNF_driver,10.6,2084077568,1600315392,23.2,323039232,1297526784,419467264,215502848,31010816,432500736,950272
26,2021-12-27,22:49:29,0.5,ROS_VNF_driver,9.5,2084077568,1600315392,23.2,323039232,1297526784,419467264,215502848,31010816,432500736,950272
27,2021-12-27,22:49:30,0.5,ROS_VNF_driver,9.6,2084077568,1600315392,23.2,323039232,1297526784,419467264,215502848,31010816,432500736,950272
28,2021-12-27,22:49:30,0.5,ROS_VNF_driver,10.6,2084077568,1600315392,23.2,323039232,1297526784,419467264,215502848,31010816,432500736,950272
