iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,05:50:27,0.5,ROS_VNF_driver,12.6,2084077568,1203118080,42.3,712114176,883466240,776941568,213274624,33128448,455368704,1368064
1,2022-01-02,05:50:27,0.5,ROS_VNF_driver,19.1,2084077568,1203118080,42.3,712114176,883466240,776941568,213274624,33128448,455368704,1368064
2,2022-01-02,05:50:28,0.5,ROS_VNF_driver,14.6,2084077568,1203118080,42.3,712114176,883466240,776941568,213274624,33128448,455368704,1368064
3,2022-01-02,05:50:28,0.5,ROS_VNF_driver,11.8,2084077568,1203109888,42.3,712122368,883458048,776941568,213274624,33128448,455368704,1368064
4,2022-01-02,05:50:29,0.5,ROS_VNF_driver,18.1,2084077568,1203109888,42.3,712122368,883458048,776941568,213274624,33128448,455368704,1368064
5,2022-01-02,05:50:29,0.5,ROS_VNF_driver,16.7,2084077568,1203109888,42.3,712122368,883458048,777011200,213274624,33128448,455368704,1368064
6,2022-01-02,05:50:30,0.5,ROS_VNF_driver,16.7,2084077568,1212956672,41.8,702275584,893304832,768802816,213274624,33128448,455368704,1368064
7,2022-01-02,05:50:30,0.5,ROS_VNF_driver,16.2,2084077568,1213038592,41.8,702193664,893386752,768761856,213274624,33128448,455368704,1368064
8,2022-01-02,05:50:31,0.5,ROS_VNF_driver,12.5,2084077568,1213038592,41.8,702193664,893386752,768761856,213274624,33128448,455368704,1368064
9,2022-01-02,05:50:31,0.5,ROS_VNF_driver,13.1,2084077568,1213038592,41.8,702185472,893386752,768761856,213274624,33136640,455368704,1368064
10,2022-01-02,05:50:32,0.5,ROS_VNF_driver,12.2,2084077568,1213038592,41.8,702185472,893386752,768761856,213274624,33136640,455368704,1368064
11,2022-01-02,05:50:32,0.5,ROS_VNF_driver,17.6,2084077568,1213095936,41.8,702128128,893444096,768761856,213274624,33136640,455368704,1368064
12,2022-01-02,05:50:33,0.5,ROS_VNF_driver,12.9,2084077568,1213095936,41.8,702128128,893444096,768761856,213274624,33136640,455368704,1368064
13,2022-01-02,05:50:33,0.5,ROS_VNF_driver,15.7,2084077568,1213095936,41.8,702128128,893444096,768761856,213274624,33136640,455368704,1368064
14,2022-01-02,05:50:34,0.5,ROS_VNF_driver,19.0,2084077568,1213095936,41.8,702128128,893444096,768761856,213274624,33136640,455368704,1368064
15,2022-01-02,05:50:34,0.5,ROS_VNF_driver,18.8,2084077568,1213095936,41.8,702128128,893444096,768761856,213274624,33136640,455368704,1368064
