iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,ROS_VNF_control,2035232,141584,734316,1301152
2,0.1,ROS_VNF_control,2035232,141032,734044,1301188
3,0.1,ROS_VNF_control,2035232,140896,733744,1301488
4,0.1,ROS_VNF_control,2035232,140652,733600,1301632
5,0.1,ROS_VNF_control,2035232,140108,733072,1302444
6,0.1,ROS_VNF_control,2035232,139896,733112,1302120
7,0.1,ROS_VNF_control,2035232,140148,733364,1302144
8,0.1,ROS_VNF_control,2035232,139896,733112,1302120
9,0.1,ROS_VNF_control,2035232,140400,733324,1301656
10,0.1,ROS_VNF_control,2035232,140400,733616,1301980
11,0.1,ROS_VNF_control,2035232,140116,733332,1301900
12,0.1,ROS_VNF_control,2035232,140116,733332,1301900
13,0.1,ROS_VNF_control,2035232,140116,733332,1301648
14,0.1,ROS_VNF_control,2035232,140368,733584,1301924
15,0.1,ROS_VNF_control,2035232,140116,733332,1301900
16,0.1,ROS_VNF_control,2035232,140116,733332,1301900
17,0.1,ROS_VNF_control,2035232,140116,733332,1301900
18,0.1,ROS_VNF_control,2035232,140116,733332,1301900
19,0.1,ROS_VNF_control,2035232,140116,733064,1302168
20,0.1,ROS_VNF_control,2035232,139864,733332,1301900
21,0.1,ROS_VNF_control,2035232,139824,733040,1302192
22,0.1,ROS_VNF_control,2035232,139864,733080,1302152
23,0.1,ROS_VNF_control,2035232,140116,733332,1301900
24,0.1,ROS_VNF_control,2035232,140116,733332,1301900
25,0.1,ROS_VNF_control,2035232,148268,741492,1293748
26,0.1,ROS_VNF_control,2035232,148260,741728,1293496
27,0.1,ROS_VNF_control,2035232,148260,742004,1293520
28,0.1,ROS_VNF_control,2035232,148536,741752,1293228
29,0.1,ROS_VNF_control,2035232,148788,741712,1293520
30,0.1,ROS_VNF_control,2035232,148536,742004,1293228
31,0.1,ROS_VNF_control,2035232,148788,742004,1293228
32,0.1,ROS_VNF_control,2035232,148536,741752,1293480
33,0.1,ROS_VNF_control,2035232,148536,741764,1293216
34,0.1,ROS_VNF_control,2035232,149040,742252,1293264
35,0.1,ROS_VNF_control,2035232,149008,742488,1292996
36,0.1,ROS_VNF_control,2035232,149040,742268,1293020
37,0.1,ROS_VNF_control,2035232,149292,742520,1292712
38,0.1,ROS_VNF_control,2035232,149292,742520,1292988
39,0.1,ROS_VNF_control,2035232,149040,741968,1293296
40,0.1,ROS_VNF_control,2035232,149040,742268,1292964
41,0.1,ROS_VNF_control,2035232,149040,742520,1292712
42,0.1,ROS_VNF_control,2035232,149000,742228,1293004
43,0.1,ROS_VNF_control,2035232,148788,742016,1293216
44,0.1,ROS_VNF_control,2035232,149040,742520,1292712
45,0.1,ROS_VNF_control,2035232,149292,742480,1293012
46,0.1,ROS_VNF_control,2035232,149040,742268,1292964
47,0.1,ROS_VNF_control,2035232,149040,742236,1292996
48,0.1,ROS_VNF_control,2035232,149040,742268,1292964
49,0.1,ROS_VNF_control,2035232,149040,742268,1292964
50,0.1,ROS_VNF_control,2035232,148772,741976,1293296
51,0.1,ROS_VNF_control,2035232,148788,742016,1292964
52,0.1,ROS_VNF_control,2035232,149040,741960,1293020
53,0.1,ROS_VNF_control,2035232,149032,742260,1292972
54,0.1,ROS_VNF_control,2035232,149032,742260,1293256
55,0.1,ROS_VNF_control,2035232,148764,741992,1293240
56,0.1,ROS_VNF_control,2035232,148496,741976,1293256
57,0.1,ROS_VNF_control,2035232,148748,742228,1293004
58,0.1,ROS_VNF_control,2035232,148496,741976,1293256
59,0.1,ROS_VNF_control,2035232,148764,742244,1292988
60,0.1,ROS_VNF_control,2035232,148756,742488,1293020
61,0.1,ROS_VNF_control,2035232,148724,742204,1293320
62,0.1,ROS_VNF_control,2035232,148936,742164,1293068
63,0.1,ROS_VNF_control,2035232,149000,742212,1293296
64,0.1,ROS_VNF_control,2035232,148960,742528,1292704
65,0.1,ROS_VNF_control,2035232,149016,742244,1293264
66,0.1,ROS_VNF_control,2035232,148992,742220,1293012
67,0.1,ROS_VNF_control,2035232,148992,742220,1293012
68,0.1,ROS_VNF_control,2035232,149040,741984,1293248
69,0.1,ROS_VNF_control,2035232,148788,742016,1293216
70,0.1,ROS_VNF_control,2035232,148788,742268,1292964
71,0.1,ROS_VNF_control,2035232,149040,742268,1292964
72,0.1,ROS_VNF_control,2035232,149040,742520,1292712
73,0.1,ROS_VNF_control,2035232,149544,742268,1292964
74,0.1,ROS_VNF_control,2035232,149040,742276,1292956
75,0.1,ROS_VNF_control,2035232,149040,741984,1292996
76,0.1,ROS_VNF_control,2035232,149040,742276,1293248
77,0.1,ROS_VNF_control,2035232,148488,741976,1293304
78,0.1,ROS_VNF_control,2035232,148772,742012,1292968
79,0.1,ROS_VNF_control,2035232,149024,742264,1292968
80,0.1,ROS_VNF_control,2035232,149024,742264,1292968
