iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,ROS_VNF_control,2035232,131304,323220,1712320
2,0.1,ROS_VNF_control,2035232,130516,322836,1712452
3,0.1,ROS_VNF_control,2035232,130428,322520,1712712
4,0.1,ROS_VNF_control,2035232,130176,322560,1712672
5,0.1,ROS_VNF_control,2035232,130176,322304,1712676
6,0.1,ROS_VNF_control,2035232,130208,322596,1712636
7,0.1,ROS_VNF_control,2035232,130176,322836,1712396
8,0.1,ROS_VNF_control,2035232,130468,322820,1712160
9,0.1,ROS_VNF_control,2035232,130720,323112,1712120
10,0.1,ROS_VNF_control,2035232,130704,323348,1711884
11,0.1,ROS_VNF_control,2035232,130956,323324,1711908
12,0.1,ROS_VNF_control,2035232,130956,323348,1711884
13,0.1,ROS_VNF_control,2035232,130964,323356,1711876
14,0.1,ROS_VNF_control,2035232,131264,323332,1711900
15,0.1,ROS_VNF_control,2035232,130940,323332,1711900
16,0.1,ROS_VNF_control,2035232,130908,323300,1711932
17,0.1,ROS_VNF_control,2035232,130908,323300,1711932
18,0.1,ROS_VNF_control,2035232,130704,323432,1711800
19,0.1,ROS_VNF_control,2035232,130956,323432,1711780
20,0.1,ROS_VNF_control,2035232,130956,323484,1711796
21,0.1,ROS_VNF_control,2035232,130704,323232,1712000
22,0.1,ROS_VNF_control,2035232,130704,323232,1712000
23,0.1,ROS_VNF_control,2035232,130704,323488,1711744
24,0.1,ROS_VNF_control,2035232,130956,323492,1711740
25,0.1,ROS_VNF_control,2035232,130956,323496,1711736
26,0.1,ROS_VNF_control,2035232,130956,323748,1711484
27,0.1,ROS_VNF_control,2035232,130956,323196,1711784
28,0.1,ROS_VNF_control,2035232,130908,323272,1711708
29,0.1,ROS_VNF_control,2035232,130860,323548,1711944
30,0.1,ROS_VNF_control,2035232,130664,323280,1711952
31,0.1,ROS_VNF_control,2035232,130656,323280,1712228
32,0.1,ROS_VNF_control,2035232,130632,323508,1711636
33,0.1,ROS_VNF_control,2035232,130972,323596,1711636
