iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,ROS_VNF_control,2035232,93248,260552,1774680
2,0.1,ROS_VNF_control,2035232,93020,260504,1774728
3,0.1,ROS_VNF_control,2035232,93020,260504,1774728
4,0.1,ROS_VNF_control,2035232,93020,260504,1775076
5,0.1,ROS_VNF_control,2035232,93012,260748,1775052
6,0.1,ROS_VNF_control,2035232,93200,260684,1774548
7,0.1,ROS_VNF_control,2035232,93200,260408,1774824
8,0.1,ROS_VNF_control,2035232,92712,260292,1774940
9,0.1,ROS_VNF_control,2035232,92744,260576,1774656
10,0.1,ROS_VNF_control,2035232,92704,260284,1774948
11,0.1,ROS_VNF_control,2035232,92712,260544,1774980
12,0.1,ROS_VNF_control,2035232,92940,260520,1774460
13,0.1,ROS_VNF_control,2035232,93232,260260,1774720
14,0.1,ROS_VNF_control,2035232,92980,260536,1774696
15,0.1,ROS_VNF_control,2035232,92980,260568,1774664
16,0.1,ROS_VNF_control,2035232,92980,260568,1774664
17,0.1,ROS_VNF_control,2035232,92996,260268,1774964
18,0.1,ROS_VNF_control,2035232,92996,260584,1774948
19,0.1,ROS_VNF_control,2035232,92712,260300,1774932
20,0.1,ROS_VNF_control,2035232,92680,260268,1774712
21,0.1,ROS_VNF_control,2035232,92940,260236,1774996
22,0.1,ROS_VNF_control,2035232,92940,260528,1774704
23,0.1,ROS_VNF_control,2035232,92640,260480,1774500
24,0.1,ROS_VNF_control,2035232,93168,260756,1774760
25,0.1,ROS_VNF_control,2035232,93200,260740,1774516
26,0.1,ROS_VNF_control,2035232,93200,260788,1774728
27,0.1,ROS_VNF_control,2035232,92412,260000,1774980
28,0.1,ROS_VNF_control,2035232,99320,267152,1768120
29,0.1,ROS_VNF_control,2035232,99556,267396,1767884
30,0.1,ROS_VNF_control,2035232,99800,267372,1767608
31,0.1,ROS_VNF_control,2035232,100092,267680,1767552
32,0.1,ROS_VNF_control,2035232,100092,267908,1767608
33,0.1,ROS_VNF_control,2035232,100344,267932,1767300
34,0.1,ROS_VNF_control,2035232,100052,267616,1767364
35,0.1,ROS_VNF_control,2035232,100092,267680,1767552
36,0.1,ROS_VNF_control,2035232,100092,267680,1767552
37,0.1,ROS_VNF_control,2035232,100092,267680,1767300
38,0.1,ROS_VNF_control,2035232,100344,267932,1767372
39,0.1,ROS_VNF_control,2035232,100596,268184,1767048
40,0.1,ROS_VNF_control,2035232,100596,268168,1767064
41,0.1,ROS_VNF_control,2035232,100596,268184,1767048
42,0.1,ROS_VNF_control,2035232,100596,268184,1767048
43,0.1,ROS_VNF_control,2035232,100312,267900,1767332
44,0.1,ROS_VNF_control,2035232,100596,267900,1767080
45,0.1,ROS_VNF_control,2035232,100848,268168,1767064
46,0.1,ROS_VNF_control,2035232,100596,268184,1767048
47,0.1,ROS_VNF_control,2035232,100596,268184,1767048
48,0.1,ROS_VNF_control,2035232,100296,268136,1767096
49,0.1,ROS_VNF_control,2035232,100344,267932,1767300
50,0.1,ROS_VNF_control,2035232,100344,267932,1767300
51,0.1,ROS_VNF_control,2035232,100344,267932,1767300
52,0.1,ROS_VNF_control,2035232,100596,268436,1766796
53,0.1,ROS_VNF_control,2035232,100848,268436,1766796
54,0.1,ROS_VNF_control,2035232,100848,268436,1766796
55,0.1,ROS_VNF_control,2035232,100848,268436,1766796
56,0.1,ROS_VNF_control,2035232,100580,268168,1767064
57,0.1,ROS_VNF_control,2035232,100596,268192,1767040
58,0.1,ROS_VNF_control,2035232,100312,268160,1767072
59,0.1,ROS_VNF_control,2035232,100596,268192,1767040
60,0.1,ROS_VNF_control,2035232,100580,268176,1767080
61,0.1,ROS_VNF_control,2035232,100580,268152,1767080
