iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-29,18:06:38,0.2,ROS_VNF_command,0.0,2084077568,1726525440,17.2,203440128,1558511616,178827264,222871552,20131840,301993984,802816
1,2021-12-29,18:06:38,0.2,ROS_VNF_command,0.0,2084077568,1726525440,17.2,203440128,1558511616,178827264,222871552,20131840,301993984,802816
2,2021-12-29,18:06:39,0.2,ROS_VNF_command,0.0,2084077568,1726525440,17.2,203440128,1558511616,178827264,222871552,20131840,301993984,802816
3,2021-12-29,18:06:39,0.2,ROS_VNF_command,0.0,2084077568,1726525440,17.2,203440128,1558511616,178827264,222871552,20131840,301993984,802816
4,2021-12-29,18:06:39,0.2,ROS_VNF_command,0.0,2084077568,1726525440,17.2,203440128,1558511616,178827264,222871552,20131840,301993984,802816
5,2021-12-29,18:06:39,0.2,ROS_VNF_command,0.0,2084077568,1726636032,17.2,203296768,1558511616,178888704,222834688,20131840,302137344,806912
6,2021-12-29,18:06:39,0.2,ROS_VNF_command,0.0,2084077568,1726636032,17.2,203296768,1558511616,178888704,222834688,20131840,302137344,806912
7,2021-12-29,18:06:40,0.2,ROS_VNF_command,0.0,2084077568,1726636032,17.2,203296768,1558511616,178888704,222834688,20131840,302137344,806912
8,2021-12-29,18:06:40,0.2,ROS_VNF_command,0.0,2084077568,1726636032,17.2,203296768,1558511616,178888704,222834688,20131840,302137344,806912
9,2021-12-29,18:06:40,0.2,ROS_VNF_command,0.0,2084077568,1726636032,17.2,203296768,1558511616,178888704,222834688,20131840,302137344,806912
10,2021-12-29,18:06:40,0.2,ROS_VNF_command,0.0,2084077568,1726636032,17.2,203296768,1558511616,178888704,222834688,20131840,302137344,806912
11,2021-12-29,18:06:40,0.2,ROS_VNF_command,0.0,2084077568,1726636032,17.2,203296768,1558511616,178888704,222834688,20131840,302137344,806912
12,2021-12-29,18:06:41,0.2,ROS_VNF_command,0.0,2084077568,1726636032,17.2,203296768,1558511616,178888704,222834688,20131840,302137344,806912
13,2021-12-29,18:06:41,0.2,ROS_VNF_command,0.0,2084077568,1726636032,17.2,203296768,1558511616,178888704,222834688,20131840,302137344,806912
14,2021-12-29,18:06:41,0.2,ROS_VNF_command,0.0,2084077568,1726636032,17.2,203296768,1558511616,178888704,222834688,20131840,302137344,806912
15,2021-12-29,18:06:41,0.2,ROS_VNF_command,0.0,2084077568,1726636032,17.2,203296768,1558511616,178888704,222834688,20131840,302137344,806912
16,2021-12-29,18:06:41,0.2,ROS_VNF_command,0.0,2084077568,1734950912,16.8,194981888,1566826496,170962944,222834688,20131840,302137344,806912
17,2021-12-29,18:06:42,0.2,ROS_VNF_command,0.0,2084077568,1734959104,16.8,194973696,1566834688,170962944,222834688,20131840,302137344,806912
18,2021-12-29,18:06:42,0.2,ROS_VNF_command,0.0,2084077568,1734959104,16.8,194973696,1566834688,170962944,222834688,20131840,302137344,806912
19,2021-12-29,18:06:42,0.2,ROS_VNF_command,0.0,2084077568,1735024640,16.7,194916352,1566892032,170950656,222842880,20131840,302137344,806912
20,2021-12-29,18:06:42,0.2,ROS_VNF_command,0.0,2084077568,1735024640,16.7,194916352,1566892032,170950656,222842880,20131840,302137344,806912
21,2021-12-29,18:06:43,0.2,ROS_VNF_command,2.4,2084077568,1735024640,16.7,194916352,1566892032,170958848,222834688,20131840,302137344,806912
22,2021-12-29,18:06:43,0.2,ROS_VNF_command,0.0,2084077568,1735024640,16.7,194908160,1566892032,170958848,222834688,20140032,302137344,806912
23,2021-12-29,18:06:43,0.2,ROS_VNF_command,0.0,2084077568,1735024640,16.7,194908160,1566892032,170958848,222834688,20140032,302137344,806912
24,2021-12-29,18:06:43,0.2,ROS_VNF_command,0.0,2084077568,1735024640,16.7,194908160,1566892032,170958848,222834688,20140032,302137344,806912
25,2021-12-29,18:06:43,0.2,ROS_VNF_command,0.0,2084077568,1735024640,16.7,194908160,1566892032,170958848,222834688,20140032,302137344,806912
26,2021-12-29,18:06:44,0.2,ROS_VNF_command,0.0,2084077568,1735024640,16.7,194908160,1566892032,170958848,222834688,20140032,302137344,806912
27,2021-12-29,18:06:44,0.2,ROS_VNF_command,0.0,2084077568,1735024640,16.7,194908160,1566892032,170958848,222834688,20140032,302137344,806912
28,2021-12-29,18:06:44,0.2,ROS_VNF_command,0.0,2084077568,1735024640,16.7,194908160,1566892032,170958848,222834688,20140032,302137344,806912
29,2021-12-29,18:06:44,0.2,ROS_VNF_command,0.0,2084077568,1735024640,16.7,194904064,1566892032,170958848,222834688,20140032,302141440,806912
30,2021-12-29,18:06:44,0.2,ROS_VNF_command,0.0,2084077568,1735024640,16.7,194904064,1566892032,170958848,222834688,20140032,302141440,806912
31,2021-12-29,18:06:45,0.2,ROS_VNF_command,0.0,2084077568,1735024640,16.7,194904064,1566892032,170958848,222834688,20140032,302141440,806912
32,2021-12-29,18:06:45,0.2,ROS_VNF_command,0.0,2084077568,1735024640,16.7,194904064,1566892032,170958848,222834688,20140032,302141440,806912
33,2021-12-29,18:06:45,0.2,ROS_VNF_command,0.0,2084077568,1735024640,16.7,194904064,1566892032,170958848,222834688,20140032,302141440,806912
34,2021-12-29,18:06:45,0.2,ROS_VNF_command,0.0,2084077568,1735024640,16.7,194904064,1566892032,170958848,222834688,20140032,302141440,806912
35,2021-12-29,18:06:45,0.2,ROS_VNF_command,0.0,2084077568,1735024640,16.7,194904064,1566892032,170958848,222834688,20140032,302141440,806912
36,2021-12-29,18:06:46,0.2,ROS_VNF_command,0.0,2084077568,1735024640,16.7,194904064,1566892032,170958848,222834688,20140032,302141440,806912
37,2021-12-29,18:06:46,0.2,ROS_VNF_command,0.0,2084077568,1735024640,16.7,194904064,1566892032,170958848,222834688,20140032,302141440,806912
38,2021-12-29,18:06:46,0.2,ROS_VNF_command,0.0,2084077568,1735024640,16.7,194904064,1566892032,170958848,222834688,20140032,302141440,806912
39,2021-12-29,18:06:46,0.2,ROS_VNF_command,0.0,2084077568,1735024640,16.7,194904064,1566892032,170958848,222834688,20140032,302141440,806912
40,2021-12-29,18:06:46,0.2,ROS_VNF_command,0.0,2084077568,1735024640,16.7,194904064,1566892032,170958848,222834688,20140032,302141440,806912
