iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,06:46:11,0.5,ROS_VNF_control,2.0,2084077568,447979520,78.5,1466740736,144457728,1436377088,284065792,30441472,442437632,1314816
1,2022-01-02,06:46:11,0.5,ROS_VNF_control,4.0,2084077568,447979520,78.5,1466740736,144457728,1436377088,284065792,30441472,442437632,1314816
2,2022-01-02,06:46:12,0.5,ROS_VNF_control,3.1,2084077568,447979520,78.5,1466740736,144457728,1436377088,284065792,30441472,442437632,1314816
3,2022-01-02,06:46:12,0.5,ROS_VNF_control,2.1,2084077568,447979520,78.5,1466740736,144457728,1436377088,284065792,30441472,442437632,1314816
4,2022-01-02,06:46:13,0.5,ROS_VNF_control,2.1,2084077568,447979520,78.5,1466740736,144457728,1436377088,284065792,30441472,442437632,1314816
5,2022-01-02,06:46:13,0.5,ROS_VNF_control,3.0,2084077568,447979520,78.5,1466740736,144457728,1436377088,284065792,30441472,442437632,1314816
6,2022-01-02,06:46:14,0.5,ROS_VNF_control,2.1,2084077568,447979520,78.5,1466740736,144457728,1436377088,284065792,30441472,442437632,1314816
7,2022-01-02,06:46:14,0.5,ROS_VNF_control,3.1,2084077568,457646080,78.0,1457119232,154161152,1431851008,280633344,30441472,442355712,1314816
8,2022-01-02,06:46:15,0.5,ROS_VNF_control,2.1,2084077568,457646080,78.0,1457119232,154161152,1431851008,280633344,30441472,442355712,1314816
9,2022-01-02,06:46:15,0.5,ROS_VNF_control,2.1,2084077568,457646080,78.0,1457111040,154161152,1431851008,280633344,30449664,442355712,1314816
10,2022-01-02,06:46:16,0.5,ROS_VNF_control,2.1,2084077568,457646080,78.0,1457111040,154161152,1431851008,280633344,30449664,442355712,1314816
11,2022-01-02,06:46:16,0.5,ROS_VNF_control,3.1,2084077568,457646080,78.0,1457111040,154161152,1431851008,280633344,30449664,442355712,1314816
12,2022-01-02,06:46:17,0.5,ROS_VNF_control,2.0,2084077568,457646080,78.0,1457111040,154161152,1431851008,280633344,30449664,442355712,1314816
