iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,04:55:30,0.5,ROS_VNF_control,4.2,2084077568,751689728,63.9,1160830976,368394240,1245130752,261427200,36184064,518668288,1241088
1,2022-01-02,04:55:30,0.5,ROS_VNF_control,2.1,2084077568,751689728,63.9,1160830976,368394240,1245130752,261427200,36184064,518668288,1241088
2,2022-01-02,04:55:31,0.5,ROS_VNF_control,3.1,2084077568,751689728,63.9,1160830976,368394240,1245130752,261427200,36184064,518668288,1241088
3,2022-01-02,04:55:31,0.5,ROS_VNF_control,3.0,2084077568,751689728,63.9,1160830976,368394240,1245130752,261427200,36184064,518668288,1241088
4,2022-01-02,04:55:32,0.5,ROS_VNF_control,1.1,2084077568,751689728,63.9,1160830976,368394240,1245130752,261427200,36184064,518668288,1241088
5,2022-01-02,04:55:32,0.5,ROS_VNF_control,3.1,2084077568,751689728,63.9,1160830976,368394240,1245130752,261427200,36184064,518668288,1241088
6,2022-01-02,04:55:33,0.5,ROS_VNF_control,2.1,2084077568,751689728,63.9,1160830976,368394240,1245130752,261427200,36184064,518668288,1241088
7,2022-01-02,04:55:33,0.5,ROS_VNF_control,4.1,2084077568,761294848,63.5,1151225856,377999360,1237217280,261427200,36184064,518668288,1241088
8,2022-01-02,04:55:34,0.5,ROS_VNF_control,5.0,2084077568,761294848,63.5,1151225856,377999360,1237217280,261427200,36184064,518668288,1241088
9,2022-01-02,04:55:34,0.5,ROS_VNF_control,1.0,2084077568,761368576,63.5,1151156224,378089472,1237110784,261427200,36192256,518639616,1241088
10,2022-01-02,04:55:35,0.5,ROS_VNF_control,4.1,2084077568,761368576,63.5,1151156224,378089472,1237110784,261427200,36192256,518639616,1241088
11,2022-01-02,04:55:35,0.5,ROS_VNF_control,2.0,2084077568,761368576,63.5,1151156224,378089472,1237110784,261427200,36192256,518639616,1241088
12,2022-01-02,04:55:36,0.5,ROS_VNF_control,5.0,2084077568,761368576,63.5,1151156224,378089472,1237110784,261427200,36192256,518639616,1241088
13,2022-01-02,04:55:36,0.5,ROS_VNF_control,1.0,2084077568,761368576,63.5,1151156224,378089472,1237110784,261427200,36192256,518639616,1241088
14,2022-01-02,04:55:37,0.5,ROS_VNF_control,2.1,2084077568,761368576,63.5,1151156224,378089472,1237110784,261427200,36192256,518639616,1241088
15,2022-01-02,04:55:37,0.5,ROS_VNF_control,2.1,2084077568,761368576,63.5,1151156224,378089472,1237110784,261427200,36192256,518639616,1241088
16,2022-01-02,04:55:38,0.5,ROS_VNF_control,4.0,2084077568,761368576,63.5,1151156224,378089472,1237110784,261427200,36192256,518639616,1241088
17,2022-01-02,04:55:38,0.5,ROS_VNF_control,3.0,2084077568,761368576,63.5,1151156224,378089472,1237110784,261427200,36192256,518639616,1241088
18,2022-01-02,04:55:39,0.5,ROS_VNF_control,5.9,2084077568,761368576,63.5,1151156224,378089472,1237110784,261427200,36192256,518639616,1241088
19,2022-01-02,04:55:39,0.5,ROS_VNF_control,1.1,2084077568,761368576,63.5,1151156224,378089472,1237110784,261427200,36192256,518639616,1241088
20,2022-01-02,04:55:40,0.5,ROS_VNF_control,2.1,2084077568,761368576,63.5,1151156224,378089472,1237110784,261427200,36200448,518631424,1241088
21,2022-01-02,04:55:41,0.5,ROS_VNF_control,2.0,2084077568,761368576,63.5,1151148032,378089472,1237110784,261427200,36200448,518639616,1241088
22,2022-01-02,04:55:41,0.5,ROS_VNF_control,1.0,2084077568,761368576,63.5,1151148032,378089472,1237110784,261427200,36200448,518639616,1241088
23,2022-01-02,04:55:42,0.5,ROS_VNF_control,2.1,2084077568,761368576,63.5,1151148032,378089472,1237110784,261427200,36200448,518639616,1241088
24,2022-01-02,04:55:42,0.5,ROS_VNF_control,5.0,2084077568,761368576,63.5,1151148032,378089472,1237110784,261427200,36200448,518639616,1241088
25,2022-01-02,04:55:43,0.5,ROS_VNF_control,3.1,2084077568,761368576,63.5,1151148032,378089472,1237110784,261427200,36200448,518639616,1241088
