iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-01,17:37:38,0.5,ROS_VNF_control,3.8,2084077568,1556787200,25.3,366882816,1268150272,451035136,216391680,30416896,418627584,880640
1,2022-01-01,17:37:38,0.5,ROS_VNF_control,0.0,2084077568,1556787200,25.3,366882816,1268150272,451035136,216391680,30416896,418627584,880640
2,2022-01-01,17:37:39,0.5,ROS_VNF_control,0.0,2084077568,1556787200,25.3,366882816,1268150272,451035136,216391680,30416896,418627584,880640
3,2022-01-01,17:37:39,0.5,ROS_VNF_control,2.0,2084077568,1556787200,25.3,366882816,1268150272,451035136,216391680,30416896,418627584,880640
4,2022-01-01,17:37:40,0.5,ROS_VNF_control,0.0,2084077568,1556787200,25.3,366882816,1268150272,451035136,216391680,30416896,418627584,880640
5,2022-01-01,17:37:40,0.5,ROS_VNF_control,1.0,2084077568,1556787200,25.3,366882816,1268150272,451035136,216391680,30416896,418627584,880640
6,2022-01-01,17:37:41,0.5,ROS_VNF_control,5.0,2084077568,1566470144,24.8,357208064,1277837312,442515456,216391680,30416896,418615296,880640
7,2022-01-01,17:37:41,0.5,ROS_VNF_control,1.0,2084077568,1566527488,24.8,357158912,1277902848,442499072,216391680,30416896,418598912,880640
8,2022-01-01,17:37:42,0.5,ROS_VNF_control,1.0,2084077568,1566527488,24.8,357158912,1277902848,442499072,216391680,30416896,418598912,880640
9,2022-01-01,17:37:42,0.5,ROS_VNF_control,0.0,2084077568,1566527488,24.8,357150720,1277902848,442499072,216391680,30425088,418598912,880640
10,2022-01-01,17:37:43,0.5,ROS_VNF_control,1.0,2084077568,1566527488,24.8,357150720,1277902848,442499072,216391680,30425088,418598912,880640
11,2022-01-01,17:37:44,0.5,ROS_VNF_control,0.0,2084077568,1566527488,24.8,357150720,1277902848,442499072,216391680,30425088,418598912,880640
12,2022-01-01,17:37:44,0.5,ROS_VNF_control,0.0,2084077568,1566527488,24.8,357150720,1277902848,442499072,216391680,30425088,418598912,880640
13,2022-01-01,17:37:45,0.5,ROS_VNF_control,0.0,2084077568,1566527488,24.8,357150720,1277902848,442499072,216391680,30425088,418598912,880640
14,2022-01-01,17:37:45,0.5,ROS_VNF_control,0.0,2084077568,1566527488,24.8,357150720,1277902848,442499072,216391680,30425088,418598912,880640
15,2022-01-01,17:37:46,0.5,ROS_VNF_control,0.0,2084077568,1566527488,24.8,357150720,1277902848,442499072,216391680,30425088,418598912,880640
16,2022-01-01,17:37:46,0.5,ROS_VNF_control,1.0,2084077568,1566527488,24.8,357150720,1277902848,442499072,216391680,30425088,418598912,880640
17,2022-01-01,17:37:47,0.5,ROS_VNF_control,0.0,2084077568,1566527488,24.8,357150720,1277902848,442499072,216391680,30425088,418598912,880640
18,2022-01-01,17:37:47,0.5,ROS_VNF_control,0.0,2084077568,1566527488,24.8,357150720,1277902848,442499072,216391680,30425088,418598912,880640
19,2022-01-01,17:37:48,0.5,ROS_VNF_control,0.0,2084077568,1566527488,24.8,357150720,1277902848,442499072,216391680,30425088,418598912,880640
20,2022-01-01,17:37:48,0.5,ROS_VNF_control,0.0,2084077568,1566527488,24.8,357150720,1277902848,442499072,216391680,30433280,418590720,880640
21,2022-01-01,17:37:49,0.5,ROS_VNF_control,0.0,2084077568,1566527488,24.8,357142528,1277902848,442499072,216391680,30433280,418598912,880640
22,2022-01-01,17:37:49,0.5,ROS_VNF_control,0.0,2084077568,1566527488,24.8,357142528,1277902848,442499072,216391680,30433280,418598912,880640
23,2022-01-01,17:37:50,0.5,ROS_VNF_control,1.0,2084077568,1566527488,24.8,357142528,1277902848,442499072,216391680,30433280,418598912,880640
24,2022-01-01,17:37:50,0.5,ROS_VNF_control,0.0,2084077568,1566527488,24.8,357142528,1277902848,442499072,216391680,30433280,418598912,880640
25,2022-01-01,17:37:51,0.5,ROS_VNF_control,0.0,2084077568,1566527488,24.8,357142528,1277902848,442499072,216391680,30433280,418598912,880640
26,2022-01-01,17:37:51,0.5,ROS_VNF_control,0.0,2084077568,1566527488,24.8,357142528,1277902848,442499072,216391680,30433280,418598912,880640
27,2022-01-01,17:37:52,0.5,ROS_VNF_control,0.0,2084077568,1566527488,24.8,357142528,1277902848,442499072,216391680,30433280,418598912,880640
28,2022-01-01,17:37:52,0.5,ROS_VNF_control,3.0,2084077568,1566527488,24.8,357142528,1277902848,442499072,216391680,30433280,418598912,880640
29,2022-01-01,17:37:53,0.5,ROS_VNF_control,0.0,2084077568,1566527488,24.8,357138432,1277902848,442499072,216391680,30433280,418603008,880640
30,2022-01-01,17:37:53,0.5,ROS_VNF_control,1.0,2084077568,1566527488,24.8,357138432,1277902848,442499072,216391680,30433280,418603008,880640
31,2022-01-01,17:37:54,0.5,ROS_VNF_control,0.0,2084077568,1566527488,24.8,357130240,1277902848,442499072,216391680,30441472,418603008,880640
32,2022-01-01,17:37:54,0.5,ROS_VNF_control,0.0,2084077568,1566527488,24.8,357130240,1277902848,442499072,216391680,30441472,418603008,880640
33,2022-01-01,17:37:55,0.5,ROS_VNF_control,0.0,2084077568,1566527488,24.8,357130240,1277902848,442499072,216391680,30441472,418603008,880640
34,2022-01-01,17:37:55,0.5,ROS_VNF_control,1.0,2084077568,1566527488,24.8,357130240,1277902848,442499072,216391680,30441472,418603008,880640
