iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-28,05:49:46,0.5,ROS_VNF_control,5.2,2084077568,447201280,78.5,1466523648,90632192,1457139712,316739584,31133696,495788032,1351680
1,2021-12-28,05:49:46,0.5,ROS_VNF_control,3.2,2084077568,447201280,78.5,1466523648,90632192,1457188864,316739584,31133696,495788032,1351680
2,2021-12-28,05:49:47,0.5,ROS_VNF_control,3.1,2084077568,447201280,78.5,1466523648,90632192,1457188864,316739584,31141888,495779840,1351680
3,2021-12-28,05:49:47,0.5,ROS_VNF_control,2.1,2084077568,447201280,78.5,1466515456,90632192,1457188864,316739584,31141888,495788032,1351680
4,2021-12-28,05:49:48,0.5,ROS_VNF_control,0.0,2084077568,447201280,78.5,1466515456,90632192,1457188864,316739584,31141888,495788032,1351680
5,2021-12-28,05:49:48,0.5,ROS_VNF_control,3.0,2084077568,447209472,78.5,1466515456,90632192,1457250304,316739584,31141888,495788032,1351680
6,2021-12-28,05:49:49,0.5,ROS_VNF_control,3.0,2084077568,455208960,78.2,1458515968,98631680,1451831296,314245120,31141888,495788032,1351680
7,2021-12-28,05:49:49,0.5,ROS_VNF_control,1.0,2084077568,455315456,78.2,1458446336,98754560,1451765760,314200064,31141888,495734784,1351680
8,2021-12-28,05:49:50,0.5,ROS_VNF_control,1.0,2084077568,455315456,78.2,1458446336,98754560,1451765760,314200064,31141888,495734784,1351680
9,2021-12-28,05:49:50,0.5,ROS_VNF_control,0.0,2084077568,455315456,78.2,1458446336,98754560,1451765760,314200064,31141888,495734784,1351680
10,2021-12-28,05:49:51,0.5,ROS_VNF_control,1.0,2084077568,455315456,78.2,1458446336,98754560,1451765760,314200064,31141888,495734784,1351680
11,2021-12-28,05:49:51,0.5,ROS_VNF_control,0.0,2084077568,455315456,78.2,1458446336,98754560,1451765760,314200064,31141888,495734784,1351680
