iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,ROS_VNF_state,2035232,329472,943056,1092556
2,0.1,ROS_VNF_state,2035232,329276,943280,1091952
3,0.1,ROS_VNF_state,2035232,329064,943092,1092140
4,0.1,ROS_VNF_state,2035232,328620,942740,1092492
5,0.1,ROS_VNF_state,2035232,328452,942572,1093260
6,0.1,ROS_VNF_state,2035232,328004,942124,1093180
7,0.1,ROS_VNF_state,2035232,328168,942288,1092944
8,0.1,ROS_VNF_state,2035232,328192,942044,1093188
9,0.1,ROS_VNF_state,2035232,328012,942384,1092848
10,0.1,ROS_VNF_state,2035232,327884,942256,1093064
11,0.1,ROS_VNF_state,2035232,328192,942312,1092920
12,0.1,ROS_VNF_state,2035232,328128,942160,1093276
13,0.1,ROS_VNF_state,2035232,327876,942004,1093228
14,0.1,ROS_VNF_state,2035232,327892,941932,1093300
15,0.1,ROS_VNF_state,2035232,327456,941836,1093672
16,0.1,ROS_VNF_state,2035232,327716,941752,1093480
17,0.1,ROS_VNF_state,2035232,328088,942216,1093064
18,0.1,ROS_VNF_state,2035232,328080,941956,1093024
19,0.1,ROS_VNF_state,2035232,328128,941972,1093260
20,0.1,ROS_VNF_state,2035232,327956,942084,1093148
21,0.1,ROS_VNF_state,2035232,327844,941972,1093260
22,0.1,ROS_VNF_state,2035232,327924,942052,1093180
23,0.1,ROS_VNF_state,2035232,327640,942004,1093228
24,0.1,ROS_VNF_state,2035232,328096,942224,1093252
25,0.1,ROS_VNF_state,2035232,327892,942020,1092960
26,0.1,ROS_VNF_state,2035232,328352,942392,1092840
27,0.1,ROS_VNF_state,2035232,327972,942100,1093132
28,0.1,ROS_VNF_state,2035232,328052,942432,1092800
29,0.1,ROS_VNF_state,2035232,328280,942408,1092912
30,0.1,ROS_VNF_state,2035232,328328,950468,1084444
31,0.1,ROS_VNF_state,2035232,336692,950780,1084664
32,0.1,ROS_VNF_state,2035232,336612,950772,1084476
33,0.1,ROS_VNF_state,2035232,336928,951056,1084176
34,0.1,ROS_VNF_state,2035232,336768,951148,1084084
35,0.1,ROS_VNF_state,2035232,337028,950856,1084376
36,0.1,ROS_VNF_state,2035232,336632,950940,1084508
37,0.1,ROS_VNF_state,2035232,336892,951284,1083860
38,0.1,ROS_VNF_state,2035232,337192,951112,1084120
39,0.1,ROS_VNF_state,2035232,337440,951580,1083652
40,0.1,ROS_VNF_state,2035232,337456,951612,1083620
41,0.1,ROS_VNF_state,2035232,337384,951436,1083796
42,0.1,ROS_VNF_state,2035232,337564,951532,1083700
