iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,ROS_VNF_state,2035232,819620,1410292,624940
2,0.1,ROS_VNF_state,2035232,819124,1410224,625260
3,0.1,ROS_VNF_state,2035232,818524,1409160,626072
4,0.1,ROS_VNF_state,2035232,817832,1409028,626204
5,0.1,ROS_VNF_state,2035232,817800,1408624,626608
6,0.1,ROS_VNF_state,2035232,817484,1408680,626552
7,0.1,ROS_VNF_state,2035232,817516,1408712,626520
8,0.1,ROS_VNF_state,2035232,817580,1409028,626204
9,0.1,ROS_VNF_state,2035232,817768,1408964,626268
10,0.1,ROS_VNF_state,2035232,817832,1408752,626568
11,0.1,ROS_VNF_state,2035232,817444,1408640,626592
12,0.1,ROS_VNF_state,2035232,817468,1408664,626568
13,0.1,ROS_VNF_state,2035232,817468,1408664,626568
14,0.1,ROS_VNF_state,2035232,817680,1408876,626444
15,0.1,ROS_VNF_state,2035232,817696,1408892,626340
16,0.1,ROS_VNF_state,2035232,817736,1408932,626300
17,0.1,ROS_VNF_state,2035232,817792,1408900,626332
18,0.1,ROS_VNF_state,2035232,817664,1408860,626372
19,0.1,ROS_VNF_state,2035232,817656,1408852,626380
20,0.1,ROS_VNF_state,2035232,817688,1408884,626348
21,0.1,ROS_VNF_state,2035232,817728,1408924,626308
22,0.1,ROS_VNF_state,2035232,817752,1408948,626624
23,0.1,ROS_VNF_state,2035232,817720,1408916,626568
24,0.1,ROS_VNF_state,2035232,817728,1408924,626056
25,0.1,ROS_VNF_state,2035232,818044,1409240,625992
26,0.1,ROS_VNF_state,2035232,817800,1408996,626236
27,0.1,ROS_VNF_state,2035232,817760,1409208,626276
28,0.1,ROS_VNF_state,2035232,817792,1408988,626796
29,0.1,ROS_VNF_state,2035232,817572,1408768,626552
30,0.1,ROS_VNF_state,2035232,817240,1408436,626796
31,0.1,ROS_VNF_state,2035232,827644,1418848,616668
32,0.1,ROS_VNF_state,2035232,827628,1418828,616152
33,0.1,ROS_VNF_state,2035232,827952,1418876,616104
34,0.1,ROS_VNF_state,2035232,827856,1419316,615916
35,0.1,ROS_VNF_state,2035232,827904,1419280,615900
36,0.1,ROS_VNF_state,2035232,828172,1419380,615852
37,0.1,ROS_VNF_state,2035232,828140,1419316,615664
38,0.1,ROS_VNF_state,2035232,828440,1419648,615584
39,0.1,ROS_VNF_state,2035232,828416,1419536,615696
40,0.1,ROS_VNF_state,2035232,828328,1419536,615696
41,0.1,ROS_VNF_state,2035232,828352,1419284,615948
42,0.1,ROS_VNF_state,2035232,828100,1419308,615924
43,0.1,ROS_VNF_state,2035232,828100,1419308,615924
44,0.1,ROS_VNF_state,2035232,828164,1419064,616460
45,0.1,ROS_VNF_state,2035232,827880,1419088,616144
46,0.1,ROS_VNF_state,2035232,828228,1419160,615820
47,0.1,ROS_VNF_state,2035232,828448,1419656,615576
48,0.1,ROS_VNF_state,2035232,828384,1419592,615908
49,0.1,ROS_VNF_state,2035232,828092,1419552,615680
50,0.1,ROS_VNF_state,2035232,828384,1419844,615624
51,0.1,ROS_VNF_state,2035232,828344,1419804,615592
52,0.1,ROS_VNF_state,2035232,828456,1419624,615608
53,0.1,ROS_VNF_state,2035232,828512,1419720,615512
54,0.1,ROS_VNF_state,2035232,828512,1419720,615512
55,0.1,ROS_VNF_state,2035232,828544,1419916,615308
56,0.1,ROS_VNF_state,2035232,828700,1419736,615496
57,0.1,ROS_VNF_state,2035232,828512,1419720,615512
58,0.1,ROS_VNF_state,2035232,828544,1419752,615480
59,0.1,ROS_VNF_state,2035232,828560,1419768,615464
60,0.1,ROS_VNF_state,2035232,828464,1419924,615756
61,0.1,ROS_VNF_state,2035232,828488,1419948,615544
62,0.1,ROS_VNF_state,2035232,828536,1419712,615268
63,0.1,ROS_VNF_state,2035232,828608,1419816,615532
64,0.1,ROS_VNF_state,2035232,828508,1419716,615516
65,0.1,ROS_VNF_state,2035232,828576,1419752,615228
66,0.1,ROS_VNF_state,2035232,828924,1420108,615432
67,0.1,ROS_VNF_state,2035232,828860,1420068,615448
68,0.1,ROS_VNF_state,2035232,828860,1420068,615164
69,0.1,ROS_VNF_state,2035232,828764,1419688,615544
70,0.1,ROS_VNF_state,2035232,828512,1419720,616088
71,0.1,ROS_VNF_state,2035232,827944,1419152,616080
72,0.1,ROS_VNF_state,2035232,828236,1419444,615788
73,0.1,ROS_VNF_state,2035232,828544,1419752,615748
74,0.1,ROS_VNF_state,2035232,828268,1419460,615772
75,0.1,ROS_VNF_state,2035232,828480,1419696,615624
76,0.1,ROS_VNF_state,2035232,828440,1419380,615600
77,0.1,ROS_VNF_state,2035232,828400,1419616,615616
78,0.1,ROS_VNF_state,2035232,828376,1419592,615640
