iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,ROS_VNF_state,2035232,327944,944452,1091252
2,0.1,ROS_VNF_state,2035232,327544,944028,1091204
3,0.1,ROS_VNF_state,2035232,327592,943808,1091424
4,0.1,ROS_VNF_state,2035232,327332,943848,1091440
5,0.1,ROS_VNF_state,2035232,327088,943604,1091628
6,0.1,ROS_VNF_state,2035232,327088,943604,1091628
7,0.1,ROS_VNF_state,2035232,327292,943808,1091708
8,0.1,ROS_VNF_state,2035232,327088,943320,1091660
9,0.1,ROS_VNF_state,2035232,326896,943412,1091820
10,0.1,ROS_VNF_state,2035232,327116,943632,1091600
11,0.1,ROS_VNF_state,2035232,327228,943744,1091488
12,0.1,ROS_VNF_state,2035232,327252,943680,1091552
13,0.1,ROS_VNF_state,2035232,327316,944084,1091148
14,0.1,ROS_VNF_state,2035232,327616,944132,1091100
15,0.1,ROS_VNF_state,2035232,327496,944012,1091220
16,0.1,ROS_VNF_state,2035232,327724,943688,1091544
17,0.1,ROS_VNF_state,2035232,327276,943508,1091472
18,0.1,ROS_VNF_state,2035232,327488,943996,1090984
19,0.1,ROS_VNF_state,2035232,327884,944400,1090832
20,0.1,ROS_VNF_state,2035232,327788,944304,1090928
21,0.1,ROS_VNF_state,2035232,327440,943956,1091276
22,0.1,ROS_VNF_state,2035232,327464,943980,1091252
23,0.1,ROS_VNF_state,2035232,327496,944012,1091496
24,0.1,ROS_VNF_state,2035232,327464,943980,1091252
25,0.1,ROS_VNF_state,2035232,327480,943932,1091616
26,0.1,ROS_VNF_state,2035232,327528,944156,1091076
27,0.1,ROS_VNF_state,2035232,327492,944272,1091292
28,0.1,ROS_VNF_state,2035232,327428,943884,1091348
29,0.1,ROS_VNF_state,2035232,327496,944024,1091208
30,0.1,ROS_VNF_state,2035232,327464,943708,1091524
31,0.1,ROS_VNF_state,2035232,327228,943756,1091476
32,0.1,ROS_VNF_state,2035232,327472,944000,1091508
33,0.1,ROS_VNF_state,2035232,333504,950080,1085436
34,0.1,ROS_VNF_state,2035232,333780,950040,1085192
35,0.1,ROS_VNF_state,2035232,333748,950316,1084924
36,0.1,ROS_VNF_state,2035232,333716,949976,1085004
37,0.1,ROS_VNF_state,2035232,334048,950672,1084852
38,0.1,ROS_VNF_state,2035232,334008,950292,1084600
39,0.1,ROS_VNF_state,2035232,333992,950212,1084768
40,0.1,ROS_VNF_state,2035232,333920,950708,1084524
41,0.1,ROS_VNF_state,2035232,334284,950820,1084736
42,0.1,ROS_VNF_state,2035232,333952,950488,1084656
43,0.1,ROS_VNF_state,2035232,334040,950568,1084956
44,0.1,ROS_VNF_state,2035232,333992,950528,1084728
45,0.1,ROS_VNF_state,2035232,334180,950716,1084516
46,0.1,ROS_VNF_state,2035232,334236,950772,1084460
47,0.1,ROS_VNF_state,2035232,334284,950820,1084412
48,0.1,ROS_VNF_state,2035232,333984,950520,1084712
49,0.1,ROS_VNF_state,2035232,334128,950664,1084220
50,0.1,ROS_VNF_state,2035232,334492,950940,1084324
51,0.1,ROS_VNF_state,2035232,334444,950980,1084292
52,0.1,ROS_VNF_state,2035232,334364,950632,1084600
53,0.1,ROS_VNF_state,2035232,334096,950348,1084632
54,0.1,ROS_VNF_state,2035232,334120,950600,1084632
55,0.1,ROS_VNF_state,2035232,334340,950568,1084664
56,0.1,ROS_VNF_state,2035232,334284,950820,1084412
57,0.1,ROS_VNF_state,2035232,334632,951168,1084544
58,0.1,ROS_VNF_state,2035232,334176,950712,1084520
59,0.1,ROS_VNF_state,2035232,334428,950932,1084284
60,0.1,ROS_VNF_state,2035232,334696,950932,1084088
61,0.1,ROS_VNF_state,2035232,334412,950948,1084356
