iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,07:41:44,0.5,ROS_VNF_state,11.8,2084077568,1243525120,40.3,671277056,700596224,771674112,423890944,33484800,678719488,1339392
1,2022-01-02,07:41:44,0.5,ROS_VNF_state,7.0,2084077568,1243328512,40.3,671473664,700399616,771674112,423890944,33484800,678719488,1339392
2,2022-01-02,07:41:45,0.5,ROS_VNF_state,6.8,2084077568,1243459584,40.3,671342592,700530688,771674112,423890944,33484800,678719488,1339392
3,2022-01-02,07:41:45,0.5,ROS_VNF_state,5.9,2084077568,1243320320,40.3,671481856,700391424,771674112,423890944,33484800,678719488,1339392
4,2022-01-02,07:41:46,0.5,ROS_VNF_state,10.1,2084077568,1243426816,40.3,671375360,700497920,771674112,423890944,33484800,678719488,1339392
5,2022-01-02,07:41:46,0.5,ROS_VNF_state,10.9,2084077568,1243344896,40.3,671457280,700416000,771674112,423890944,33484800,678719488,1339392
6,2022-01-02,07:41:47,0.5,ROS_VNF_state,16.3,2084077568,1251741696,39.9,663064576,708829184,763420672,423890944,33492992,678690816,1339392
7,2022-01-02,07:41:47,0.5,ROS_VNF_state,16.3,2084077568,1251676160,39.9,663130112,708763648,763420672,423890944,33492992,678690816,1339392
8,2022-01-02,07:41:48,0.5,ROS_VNF_state,15.1,2084077568,1251889152,39.9,662917120,708976640,763420672,423890944,33492992,678690816,1339392
9,2022-01-02,07:41:48,0.5,ROS_VNF_state,21.5,2084077568,1251921920,39.9,662884352,709009408,763420672,423890944,33492992,678690816,1339392
10,2022-01-02,07:41:49,0.5,ROS_VNF_state,22.1,2084077568,1251921920,39.9,662884352,709009408,763420672,423890944,33492992,678690816,1339392
11,2022-01-02,07:41:49,0.5,ROS_VNF_state,17.8,2084077568,1251880960,39.9,662925312,708968448,763420672,423890944,33492992,678690816,1339392
12,2022-01-02,07:41:50,0.5,ROS_VNF_state,14.1,2084077568,1251684352,39.9,663130112,708763648,763428864,423890944,33492992,678690816,1339392
13,2022-01-02,07:41:50,0.5,ROS_VNF_state,18.0,2084077568,1251913728,39.9,662900736,708993024,763428864,423890944,33492992,678690816,1339392
14,2022-01-02,07:41:51,0.5,ROS_VNF_state,21.7,2084077568,1251864576,39.9,662949888,708943872,763428864,423890944,33492992,678690816,1339392
