iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-23,17:18:21,0.5,ROS_VNF_motionplanning,0.0,2084077568,1750167552,16.0,180121600,1570123776,176689152,231026688,20467712,313364480,778240
1,2021-12-23,17:18:22,0.5,ROS_VNF_motionplanning,0.0,2084077568,1750167552,16.0,180121600,1570123776,176689152,231026688,20467712,313364480,778240
2,2021-12-23,17:18:22,0.5,ROS_VNF_motionplanning,0.0,2084077568,1750167552,16.0,180121600,1570123776,176689152,231026688,20467712,313364480,778240
3,2021-12-23,17:18:23,0.5,ROS_VNF_motionplanning,0.0,2084077568,1750167552,16.0,180121600,1570123776,176689152,231026688,20467712,313364480,778240
4,2021-12-23,17:18:23,0.5,ROS_VNF_motionplanning,0.0,2084077568,1750167552,16.0,180121600,1570123776,176689152,231026688,20467712,313364480,778240
5,2021-12-23,17:18:24,0.5,ROS_VNF_motionplanning,0.0,2084077568,1750167552,16.0,180121600,1570123776,176689152,231026688,20467712,313364480,778240
6,2021-12-23,17:18:24,0.5,ROS_VNF_motionplanning,1.0,2084077568,1749925888,16.0,180371456,1569873920,175759360,231034880,20467712,313364480,778240
7,2021-12-23,17:18:25,0.5,ROS_VNF_motionplanning,0.0,2084077568,1749934080,16.0,180363264,1569882112,175759360,231034880,20467712,313364480,778240
8,2021-12-23,17:18:25,0.5,ROS_VNF_motionplanning,0.0,2084077568,1749934080,16.0,180355072,1569882112,175759360,231034880,20475904,313364480,778240
9,2021-12-23,17:18:26,0.5,ROS_VNF_motionplanning,0.0,2084077568,1749934080,16.0,180355072,1569882112,175759360,231034880,20475904,313364480,778240
10,2021-12-23,17:18:26,0.5,ROS_VNF_motionplanning,0.0,2084077568,1749934080,16.0,180355072,1569882112,175759360,231034880,20475904,313364480,778240
11,2021-12-23,17:18:27,0.5,ROS_VNF_motionplanning,1.0,2084077568,1749934080,16.0,180355072,1569882112,175759360,231034880,20475904,313364480,778240
12,2021-12-23,17:18:27,0.5,ROS_VNF_motionplanning,0.0,2084077568,1749934080,16.0,180355072,1569882112,175759360,231034880,20475904,313364480,778240
13,2021-12-23,17:18:28,0.5,ROS_VNF_motionplanning,0.0,2084077568,1749934080,16.0,180355072,1569882112,175759360,231034880,20475904,313364480,778240
14,2021-12-23,17:18:28,0.5,ROS_VNF_motionplanning,0.0,2084077568,1749934080,16.0,180355072,1569882112,175759360,231034880,20475904,313364480,778240
15,2021-12-23,17:18:29,0.5,ROS_VNF_motionplanning,0.0,2084077568,1749934080,16.0,180355072,1569882112,175759360,231034880,20475904,313364480,778240
16,2021-12-23,17:18:29,0.5,ROS_VNF_motionplanning,0.0,2084077568,1749934080,16.0,180355072,1569882112,175759360,231034880,20475904,313364480,778240
17,2021-12-23,17:18:30,0.5,ROS_VNF_motionplanning,0.0,2084077568,1749934080,16.0,180355072,1569882112,175759360,231034880,20475904,313364480,778240
