iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-01,18:24:23,0.5,ROS_VNF_state,8.4,2084077568,1671180288,19.8,252465152,1373638656,359329792,222416896,30724096,427249664,851968
1,2022-01-01,18:24:23,0.5,ROS_VNF_state,1.1,2084077568,1671372800,19.8,252313600,1373736960,359342080,222486528,30724096,427302912,851968
2,2022-01-01,18:24:24,0.5,ROS_VNF_state,3.1,2084077568,1671274496,19.8,252411904,1373638656,359342080,222486528,30724096,427302912,851968
3,2022-01-01,18:24:24,0.5,ROS_VNF_state,2.1,2084077568,1671340032,19.8,252346368,1373704192,359342080,222486528,30724096,427302912,851968
4,2022-01-01,18:24:25,0.5,ROS_VNF_state,3.1,2084077568,1671340032,19.8,252346368,1373704192,359342080,222486528,30724096,427302912,851968
5,2022-01-01,18:24:25,0.5,ROS_VNF_state,1.1,2084077568,1671307264,19.8,252379136,1373671424,359342080,222486528,30724096,427302912,851968
6,2022-01-01,18:24:26,0.5,ROS_VNF_state,0.0,2084077568,1671307264,19.8,252379136,1373671424,359342080,222486528,30724096,427302912,851968
7,2022-01-01,18:24:26,0.5,ROS_VNF_state,5.2,2084077568,1680855040,19.3,242831360,1383219200,351514624,222486528,30724096,427302912,851968
8,2022-01-01,18:24:27,0.5,ROS_VNF_state,3.1,2084077568,1680678912,19.4,243007488,1383043072,351514624,222486528,30732288,427294720,851968
9,2022-01-01,18:24:27,0.5,ROS_VNF_state,2.1,2084077568,1680785408,19.4,242888704,1383149568,351379456,222486528,30732288,427307008,851968
10,2022-01-01,18:24:28,0.5,ROS_VNF_state,2.1,2084077568,1680719872,19.4,242954240,1383084032,351379456,222486528,30732288,427307008,851968
11,2022-01-01,18:24:28,0.5,ROS_VNF_state,3.1,2084077568,1680752640,19.4,242921472,1383116800,351379456,222486528,30732288,427307008,851968
12,2022-01-01,18:24:29,0.5,ROS_VNF_state,0.0,2084077568,1680850944,19.3,242823168,1383215104,351379456,222486528,30732288,427307008,851968
13,2022-01-01,18:24:29,0.5,ROS_VNF_state,1.1,2084077568,1680916480,19.3,242757632,1383280640,351379456,222486528,30732288,427307008,851968
14,2022-01-01,18:24:30,0.5,ROS_VNF_state,0.0,2084077568,1680850944,19.3,242823168,1383215104,351379456,222486528,30732288,427307008,851968
15,2022-01-01,18:24:30,0.5,ROS_VNF_state,2.1,2084077568,1680850944,19.3,242823168,1383215104,351379456,222486528,30732288,427307008,851968
16,2022-01-01,18:24:31,0.5,ROS_VNF_state,1.0,2084077568,1680752640,19.4,242921472,1383116800,351379456,222486528,30732288,427307008,851968
