iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-27,19:56:43,0.5,ROS_VNF_state,3.1,2084077568,1673056256,19.7,250048512,1372696576,361705472,224055296,30834688,430497792,847872
1,2021-12-27,19:56:44,0.5,ROS_VNF_state,0.0,2084077568,1673023488,19.7,250081280,1372663808,361705472,224055296,30834688,430497792,847872
2,2021-12-27,19:56:44,0.5,ROS_VNF_state,0.0,2084077568,1673023488,19.7,250081280,1372663808,361705472,224055296,30834688,430497792,847872
3,2021-12-27,19:56:45,0.5,ROS_VNF_state,0.0,2084077568,1672990720,19.7,250114048,1372631040,361705472,224055296,30834688,430497792,847872
4,2021-12-27,19:56:45,0.5,ROS_VNF_state,3.2,2084077568,1680605184,19.4,242507776,1380237312,353566720,224063488,30834688,430497792,847872
5,2021-12-27,19:56:46,0.5,ROS_VNF_state,2.1,2084077568,1680637952,19.4,242475008,1380270080,353566720,224063488,30834688,430497792,847872
6,2021-12-27,19:56:46,0.5,ROS_VNF_state,2.1,2084077568,1680637952,19.4,242475008,1380270080,353566720,224063488,30834688,430497792,847872
7,2021-12-27,19:56:47,0.5,ROS_VNF_state,2.1,2084077568,1680736256,19.4,242376704,1380368384,353566720,224063488,30834688,430497792,847872
8,2021-12-27,19:56:48,0.5,ROS_VNF_state,1.1,2084077568,1680736256,19.4,242376704,1380368384,353566720,224063488,30834688,430497792,847872
9,2021-12-27,19:56:48,0.5,ROS_VNF_state,0.0,2084077568,1680416768,19.4,242688000,1380044800,353566720,224063488,30842880,430501888,847872
10,2021-12-27,19:56:49,0.5,ROS_VNF_state,5.1,2084077568,1680416768,19.4,242688000,1380044800,353566720,224063488,30842880,430501888,847872
11,2021-12-27,19:56:49,0.5,ROS_VNF_state,2.1,2084077568,1680416768,19.4,242688000,1380044800,353566720,224063488,30842880,430501888,847872
12,2021-12-27,19:56:50,0.5,ROS_VNF_state,0.0,2084077568,1680351232,19.4,242753536,1379979264,353566720,224063488,30842880,430501888,847872
13,2021-12-27,19:56:50,0.5,ROS_VNF_state,1.1,2084077568,1680351232,19.4,242753536,1379979264,353566720,224063488,30842880,430501888,847872
14,2021-12-27,19:56:51,0.5,ROS_VNF_state,3.1,2084077568,1680285696,19.4,242819072,1379913728,353566720,224063488,30842880,430501888,847872
15,2021-12-27,19:56:51,0.5,ROS_VNF_state,2.1,2084077568,1680252928,19.4,242851840,1379880960,353566720,224063488,30842880,430501888,847872
16,2021-12-27,19:56:52,0.5,ROS_VNF_state,6.1,2084077568,1680285696,19.4,242819072,1379913728,353566720,224063488,30842880,430501888,847872
17,2021-12-27,19:56:52,0.5,ROS_VNF_state,3.1,2084077568,1680318464,19.4,242786304,1379946496,353566720,224063488,30842880,430501888,847872
18,2021-12-27,19:56:53,0.5,ROS_VNF_state,2.1,2084077568,1680449536,19.4,242655232,1380077568,353566720,224063488,30842880,430501888,847872
19,2021-12-27,19:56:53,0.5,ROS_VNF_state,3.1,2084077568,1680449536,19.4,242655232,1380077568,353566720,224063488,30842880,430501888,847872
20,2021-12-27,19:56:54,0.5,ROS_VNF_state,2.1,2084077568,1680416768,19.4,242679808,1380044800,353566720,224063488,30851072,430501888,847872
21,2021-12-27,19:56:54,0.5,ROS_VNF_state,2.1,2084077568,1680449536,19.4,242647040,1380077568,353566720,224063488,30851072,430501888,847872
22,2021-12-27,19:56:55,0.5,ROS_VNF_state,3.1,2084077568,1680547840,19.4,242548736,1380175872,353566720,224063488,30851072,430501888,847872
23,2021-12-27,19:56:55,0.5,ROS_VNF_state,0.0,2084077568,1680547840,19.4,242548736,1380175872,353566720,224063488,30851072,430501888,847872
24,2021-12-27,19:56:56,0.5,ROS_VNF_state,2.1,2084077568,1680580608,19.4,242515968,1380208640,353566720,224063488,30851072,430501888,847872
25,2021-12-27,19:56:56,0.5,ROS_VNF_state,0.0,2084077568,1680547840,19.4,242548736,1380175872,353566720,224063488,30851072,430501888,847872
26,2021-12-27,19:56:57,0.5,ROS_VNF_state,5.1,2084077568,1680449536,19.4,242647040,1380077568,353566720,224063488,30851072,430501888,847872
27,2021-12-27,19:56:57,0.5,ROS_VNF_state,1.1,2084077568,1680482304,19.4,242614272,1380110336,353566720,224063488,30851072,430501888,847872
28,2021-12-27,19:56:58,0.5,ROS_VNF_state,1.0,2084077568,1680384000,19.4,242712576,1380012032,353566720,224063488,30851072,430501888,847872
29,2021-12-27,19:56:58,0.5,ROS_VNF_state,0.0,2084077568,1680384000,19.4,242712576,1380012032,353566720,224063488,30851072,430501888,847872
30,2021-12-27,19:56:59,0.5,ROS_VNF_state,5.0,2084077568,1680318464,19.4,242774016,1379946496,353566720,224063488,30851072,430505984,847872
31,2021-12-27,19:56:59,0.5,ROS_VNF_state,6.1,2084077568,1680318464,19.4,242765824,1379946496,353566720,224063488,30859264,430505984,847872
