iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,05:50:28,0.5,ROS_VNF_state,18.2,2084077568,1244651520,40.3,670392320,923963392,763871232,211255296,33456128,456265728,1339392
1,2022-01-02,05:50:28,0.5,ROS_VNF_state,16.0,2084077568,1244495872,40.3,670547968,923807744,763871232,211255296,33456128,456265728,1339392
2,2022-01-02,05:50:29,0.5,ROS_VNF_state,12.9,2084077568,1244651520,40.3,670392320,923963392,763871232,211255296,33456128,456265728,1339392
3,2022-01-02,05:50:29,0.5,ROS_VNF_state,9.1,2084077568,1244594176,40.3,670449664,923906048,763871232,211255296,33456128,456265728,1339392
4,2022-01-02,05:50:30,0.5,ROS_VNF_state,9.0,2084077568,1244741632,40.3,670302208,924053504,763899904,211255296,33456128,456265728,1339392
5,2022-01-02,05:50:30,0.5,ROS_VNF_state,6.8,2084077568,1244725248,40.3,670318592,924037120,763899904,211255296,33456128,456265728,1339392
6,2022-01-02,05:50:31,0.5,ROS_VNF_state,20.9,2084077568,1254346752,39.8,660697088,933658624,755814400,211255296,33464320,456257536,1339392
7,2022-01-02,05:50:31,0.5,ROS_VNF_state,21.3,2084077568,1254256640,39.8,660803584,933576704,755769344,211255296,33464320,456232960,1339392
8,2022-01-02,05:50:32,0.5,ROS_VNF_state,16.9,2084077568,1254363136,39.8,660697088,933683200,755769344,211255296,33464320,456232960,1339392
9,2022-01-02,05:50:32,0.5,ROS_VNF_state,19.1,2084077568,1254338560,39.8,660721664,933658624,755769344,211255296,33464320,456232960,1339392
10,2022-01-02,05:50:33,0.5,ROS_VNF_state,18.0,2084077568,1254395904,39.8,660664320,933715968,755769344,211255296,33464320,456232960,1339392
11,2022-01-02,05:50:33,0.5,ROS_VNF_state,17.0,2084077568,1254313984,39.8,660746240,933634048,755769344,211255296,33464320,456232960,1339392
12,2022-01-02,05:50:34,0.5,ROS_VNF_state,19.8,2084077568,1254404096,39.8,660656128,933724160,755769344,211255296,33464320,456232960,1339392
13,2022-01-02,05:50:34,0.5,ROS_VNF_state,18.2,2084077568,1254305792,39.8,660754432,933625856,755769344,211255296,33464320,456232960,1339392
14,2022-01-02,05:50:35,0.5,ROS_VNF_state,15.1,2084077568,1254281216,39.8,660779008,933601280,755769344,211255296,33464320,456232960,1339392
15,2022-01-02,05:50:35,0.5,ROS_VNF_state,16.9,2084077568,1254043648,39.8,661016576,933363712,755769344,211255296,33464320,456232960,1339392
16,2022-01-02,05:50:36,0.5,ROS_VNF_state,20.0,2084077568,1254027264,39.8,661032960,933347328,755769344,211255296,33464320,456232960,1339392
17,2022-01-02,05:50:36,0.5,ROS_VNF_state,17.8,2084077568,1254182912,39.8,660869120,933502976,755769344,211255296,33472512,456232960,1339392
18,2022-01-02,05:50:37,0.5,ROS_VNF_state,17.8,2084077568,1254256640,39.8,660795392,933576704,755769344,211255296,33472512,456232960,1339392
19,2022-01-02,05:50:37,0.5,ROS_VNF_state,13.3,2084077568,1254150144,39.8,660901888,933470208,755769344,211255296,33472512,456232960,1339392
20,2022-01-02,05:50:38,0.5,ROS_VNF_state,15.1,2084077568,1254002688,39.8,661049344,933322752,755769344,211255296,33472512,456232960,1339392
21,2022-01-02,05:50:38,0.5,ROS_VNF_state,12.2,2084077568,1253994496,39.8,661057536,933314560,755769344,211255296,33472512,456232960,1339392
22,2022-01-02,05:50:39,0.5,ROS_VNF_state,12.9,2084077568,1254256640,39.8,660795392,933576704,755769344,211255296,33472512,456232960,1339392
23,2022-01-02,05:50:39,0.5,ROS_VNF_state,16.9,2084077568,1254150144,39.8,660901888,933470208,755769344,211255296,33472512,456232960,1339392
24,2022-01-02,05:50:40,0.5,ROS_VNF_state,15.4,2084077568,1253978112,39.8,661073920,933298176,755769344,211255296,33472512,456232960,1339392
25,2022-01-02,05:50:40,0.5,ROS_VNF_state,10.2,2084077568,1254150144,39.8,660910080,933462016,755843072,211255296,33472512,456232960,1339392
26,2022-01-02,05:50:41,0.5,ROS_VNF_state,10.2,2084077568,1254043648,39.8,661016576,933355520,755843072,211255296,33472512,456232960,1339392
27,2022-01-02,05:50:41,0.5,ROS_VNF_state,22.1,2084077568,1254150144,39.8,660910080,933462016,755843072,211255296,33472512,456232960,1339392
28,2022-01-02,05:50:42,0.5,ROS_VNF_state,19.3,2084077568,1254060032,39.8,661000192,933371904,755843072,211255296,33480704,456224768,1339392
29,2022-01-02,05:50:42,0.5,ROS_VNF_state,12.2,2084077568,1254232064,39.8,660815872,933543936,755843072,211255296,33480704,456237056,1339392
30,2022-01-02,05:50:43,0.5,ROS_VNF_state,13.3,2084077568,1254346752,39.8,660701184,933658624,755843072,211255296,33480704,456237056,1339392
31,2022-01-02,05:50:43,0.5,ROS_VNF_state,12.2,2084077568,1254510592,39.8,660537344,933822464,755843072,211255296,33480704,456237056,1339392
32,2022-01-02,05:50:44,0.5,ROS_VNF_state,11.2,2084077568,1254551552,39.8,660496384,933863424,755843072,211255296,33480704,456237056,1339392
33,2022-01-02,05:50:44,0.5,ROS_VNF_state,12.6,2084077568,1254518784,39.8,660701184,933658624,755671040,211427328,33480704,456237056,1339392
34,2022-01-02,05:50:45,0.5,ROS_VNF_state,12.6,2084077568,1254678528,39.8,660602880,933756928,755625984,211480576,33480704,456237056,1339392
35,2022-01-02,05:50:45,0.5,ROS_VNF_state,12.4,2084077568,1254625280,39.8,660692992,933666816,755593216,211517440,33480704,456237056,1339392
36,2022-01-02,05:50:46,0.5,ROS_VNF_state,15.7,2084077568,1254535168,39.8,660783104,933576704,755593216,211517440,33480704,456237056,1339392
37,2022-01-02,05:50:46,0.5,ROS_VNF_state,16.5,2084077568,1254477824,39.8,660840448,933519360,755593216,211517440,33480704,456237056,1339392
38,2022-01-02,05:50:47,0.5,ROS_VNF_state,19.3,2084077568,1254445056,39.8,660873216,933486592,755593216,211517440,33480704,456237056,1339392
39,2022-01-02,05:50:47,0.5,ROS_VNF_state,8.0,2084077568,1254502400,39.8,660807680,933543936,755593216,211517440,33488896,456237056,1339392
40,2022-01-02,05:50:48,0.5,ROS_VNF_state,17.6,2084077568,1254305792,39.8,661004288,933347328,755593216,211517440,33488896,456237056,1339392
41,2022-01-02,05:50:48,0.5,ROS_VNF_state,16.1,2084077568,1254412288,39.8,660897792,933453824,755593216,211517440,33488896,456237056,1339392
42,2022-01-02,05:50:49,0.5,ROS_VNF_state,20.2,2084077568,1254436864,39.8,660873216,933478400,755593216,211517440,33488896,456237056,1339392
43,2022-01-02,05:50:49,0.5,ROS_VNF_state,14.0,2084077568,1254371328,39.8,660938752,933412864,755593216,211517440,33488896,456237056,1339392
44,2022-01-02,05:50:50,0.5,ROS_VNF_state,15.7,2084077568,1254510592,39.8,660799488,933552128,755593216,211517440,33488896,456237056,1339392
