iteration,measurement_period,machine/VNF,usercpu,syscpu,nicecpu,idlecpu,IOwaitcpu,HWInteruptscpu,SWInteruptscpu,stolencpu,Total(NoIdle),RAMused
2,0.1,ROS_VNF_motionplanning,0.0,15.0,0.0,75.0,0.0,0.0,10.0,0.0,25.0,1006.2
4,0.1,ROS_VNF_motionplanning,5.0,5.0,0.0,80.0,0.0,0.0,10.0,0.0,20.0,1006.2
6,0.1,ROS_VNF_motionplanning,18.2,4.5,0.0,63.6,0.0,0.0,13.6,0.0,36.3,1006.2
8,0.1,ROS_VNF_motionplanning,0.0,15.8,0.0,78.9,0.0,0.0,5.3,0.0,21.1,1006.2
10,0.1,ROS_VNF_motionplanning,4.8,4.8,0.0,76.2,0.0,0.0,14.3,0.0,23.9,1006.2
12,0.1,ROS_VNF_motionplanning,9.5,4.8,0.0,71.4,0.0,0.0,14.3,0.0,28.6,1006.2
14,0.1,ROS_VNF_motionplanning,9.5,9.5,0.0,76.2,0.0,0.0,4.8,0.0,23.8,1006.2
16,0.1,ROS_VNF_motionplanning,5.0,10.0,0.0,80.0,0.0,0.0,5.0,0.0,20.0,1006.2
18,0.1,ROS_VNF_motionplanning,5.3,15.8,0.0,78.9,0.0,0.0,0.0,0.0,21.1,1006.2
20,0.1,ROS_VNF_motionplanning,10.0,5.0,0.0,80.0,0.0,0.0,5.0,0.0,20.0,1006.2
22,0.1,ROS_VNF_motionplanning,5.6,11.1,0.0,83.3,0.0,0.0,0.0,0.0,16.7,1006.2
24,0.1,ROS_VNF_motionplanning,4.8,9.5,0.0,76.2,0.0,0.0,9.5,0.0,23.8,1006.2
26,0.1,ROS_VNF_motionplanning,10.5,0.0,0.0,84.2,0.0,0.0,5.3,0.0,15.8,1006.2
28,0.1,ROS_VNF_motionplanning,9.1,13.6,0.0,72.7,0.0,0.0,4.5,0.0,27.2,1006.2
30,0.1,ROS_VNF_motionplanning,5.3,10.5,0.0,78.9,0.0,0.0,5.3,0.0,21.1,1006.2
32,0.1,ROS_VNF_motionplanning,9.5,14.3,0.0,71.4,0.0,0.0,4.8,0.0,28.6,1006.2
34,0.1,ROS_VNF_motionplanning,5.0,10.0,0.0,80.0,0.0,0.0,5.0,0.0,20.0,1006.2
36,0.1,ROS_VNF_motionplanning,5.3,15.8,0.0,73.7,0.0,0.0,5.3,0.0,26.4,1006.2
38,0.1,ROS_VNF_motionplanning,0.0,11.1,0.0,83.3,0.0,0.0,5.6,0.0,16.7,1006.2
40,0.1,ROS_VNF_motionplanning,5.0,5.0,0.0,80.0,0.0,0.0,10.0,0.0,20.0,1006.2
42,0.1,ROS_VNF_motionplanning,5.6,11.1,0.0,83.3,0.0,0.0,0.0,0.0,16.7,1006.2
44,0.1,ROS_VNF_motionplanning,9.5,14.3,0.0,66.7,9.5,0.0,0.0,0.0,33.3,1006.2
46,0.1,ROS_VNF_motionplanning,9.5,9.5,0.0,71.4,0.0,0.0,9.5,0.0,28.5,1006.2
48,0.1,ROS_VNF_motionplanning,0.0,11.1,0.0,83.3,0.0,0.0,5.6,0.0,16.7,1006.2
50,0.1,ROS_VNF_motionplanning,10.0,5.0,0.0,75.0,0.0,0.0,10.0,0.0,25.0,1006.2
52,0.1,ROS_VNF_motionplanning,9.1,9.1,0.0,72.7,0.0,0.0,9.1,0.0,27.3,1006.2
54,0.1,ROS_VNF_motionplanning,5.3,5.3,0.0,84.2,0.0,0.0,5.3,0.0,15.9,1006.1
56,0.1,ROS_VNF_motionplanning,5.6,5.6,0.0,83.3,0.0,0.0,5.6,0.0,16.8,1006.1
58,0.1,ROS_VNF_motionplanning,9.5,28.6,0.0,57.1,0.0,0.0,4.8,0.0,42.9,1006.1
60,0.1,ROS_VNF_motionplanning,5.3,5.3,0.0,78.9,0.0,0.0,10.5,0.0,21.1,1006.1
62,0.1,ROS_VNF_motionplanning,5.3,10.5,0.0,78.9,0.0,0.0,5.3,0.0,21.1,1006.1
64,0.1,ROS_VNF_motionplanning,13.0,13.0,0.0,65.2,0.0,0.0,8.7,0.0,34.7,1006.1
66,0.1,ROS_VNF_motionplanning,11.1,22.2,0.0,55.6,0.0,0.0,11.1,0.0,44.4,1006.1
68,0.1,ROS_VNF_motionplanning,5.0,30.0,0.0,55.0,0.0,0.0,10.0,0.0,45.0,1006.1
70,0.1,ROS_VNF_motionplanning,10.5,21.1,0.0,57.9,0.0,0.0,10.5,0.0,42.1,1006.1
72,0.1,ROS_VNF_motionplanning,21.1,15.8,0.0,57.9,0.0,0.0,5.3,0.0,42.2,1006.1
74,0.1,ROS_VNF_motionplanning,11.1,11.1,0.0,61.1,0.0,0.0,16.7,0.0,38.9,1006.1
76,0.1,ROS_VNF_motionplanning,13.6,22.7,0.0,50.0,0.0,0.0,13.6,0.0,49.9,1006.1
78,0.1,ROS_VNF_motionplanning,9.5,28.6,0.0,52.4,0.0,0.0,9.5,0.0,47.6,1006.1
80,0.1,ROS_VNF_motionplanning,10.0,20.0,0.0,60.0,0.0,0.0,10.0,0.0,40.0,1006.1
82,0.1,ROS_VNF_motionplanning,15.0,15.0,0.0,60.0,0.0,0.0,10.0,0.0,40.0,1006.1
84,0.1,ROS_VNF_motionplanning,9.1,18.2,0.0,59.1,0.0,0.0,13.6,0.0,40.9,1006.1
86,0.1,ROS_VNF_motionplanning,12.5,12.5,0.0,54.2,0.0,0.0,20.8,0.0,45.8,1006.1
