iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,ROS_VNF_motionplanning,2035232,128672,702736,1332796
2,0.1,ROS_VNF_motionplanning,2035232,128256,702960,1332572
3,0.1,ROS_VNF_motionplanning,2035232,128248,702700,1332532
4,0.1,ROS_VNF_motionplanning,2035232,128128,702360,1332872
5,0.1,ROS_VNF_motionplanning,2035232,127988,702352,1332628
6,0.1,ROS_VNF_motionplanning,2035232,128272,702392,1332588
7,0.1,ROS_VNF_motionplanning,2035232,127640,702084,1333148
8,0.1,ROS_VNF_motionplanning,2035232,127736,702432,1332768
9,0.1,ROS_VNF_motionplanning,2035232,127988,702684,1332548
10,0.1,ROS_VNF_motionplanning,2035232,128256,702700,1332532
11,0.1,ROS_VNF_motionplanning,2035232,128384,702828,1332404
12,0.1,ROS_VNF_motionplanning,2035232,128224,702668,1332564
13,0.1,ROS_VNF_motionplanning,2035232,127996,702440,1332792
14,0.1,ROS_VNF_motionplanning,2035232,128068,702512,1332720
15,0.1,ROS_VNF_motionplanning,2035232,127972,702504,1332728
16,0.1,ROS_VNF_motionplanning,2035232,127972,702416,1332816
17,0.1,ROS_VNF_motionplanning,2035232,128380,702604,1332716
18,0.1,ROS_VNF_motionplanning,2035232,128192,702532,1332612
19,0.1,ROS_VNF_motionplanning,2035232,127948,702392,1332840
20,0.1,ROS_VNF_motionplanning,2035232,128200,702644,1332588
21,0.1,ROS_VNF_motionplanning,2035232,128232,702676,1332556
22,0.1,ROS_VNF_motionplanning,2035232,128200,702612,1332620
23,0.1,ROS_VNF_motionplanning,2035232,128264,702708,1332524
24,0.1,ROS_VNF_motionplanning,2035232,127900,707560,1322780
25,0.1,ROS_VNF_motionplanning,2035232,138220,712660,1322320
26,0.1,ROS_VNF_motionplanning,2035232,138448,712856,1322328
27,0.1,ROS_VNF_motionplanning,2035232,138424,712800,1322432
28,0.1,ROS_VNF_motionplanning,2035232,138416,713044,1322092
29,0.1,ROS_VNF_motionplanning,2035232,138668,712968,1322176
30,0.1,ROS_VNF_motionplanning,2035232,138448,712856,1322440
31,0.1,ROS_VNF_motionplanning,2035232,138636,713044,1322188
32,0.1,ROS_VNF_motionplanning,2035232,138668,713044,1322188
33,0.1,ROS_VNF_motionplanning,2035232,138700,713116,1322116
