iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,ROS_VNF_motionplanning,2035232,110980,746092,1289432
2,0.1,ROS_VNF_motionplanning,2035232,110252,745648,1289584
3,0.1,ROS_VNF_motionplanning,2035232,110120,745772,1289468
4,0.1,ROS_VNF_motionplanning,2035232,110072,745772,1289460
5,0.1,ROS_VNF_motionplanning,2035232,110040,745740,1289492
6,0.1,ROS_VNF_motionplanning,2035232,110104,745804,1289428
7,0.1,ROS_VNF_motionplanning,2035232,109716,745756,1289476
8,0.1,ROS_VNF_motionplanning,2035232,109724,745336,1289644
9,0.1,ROS_VNF_motionplanning,2035232,109976,745676,1289792
10,0.1,ROS_VNF_motionplanning,2035232,110000,745628,1289564
11,0.1,ROS_VNF_motionplanning,2035232,109968,745668,1289564
12,0.1,ROS_VNF_motionplanning,2035232,110072,745772,1289460
13,0.1,ROS_VNF_motionplanning,2035232,109960,745660,1289572
14,0.1,ROS_VNF_motionplanning,2035232,109920,745328,1289896
15,0.1,ROS_VNF_motionplanning,2035232,109724,745424,1290108
16,0.1,ROS_VNF_motionplanning,2035232,110008,745708,1289524
17,0.1,ROS_VNF_motionplanning,2035232,110260,745660,1289484
18,0.1,ROS_VNF_motionplanning,2035232,109984,745400,1289840
19,0.1,ROS_VNF_motionplanning,2035232,109692,745392,1289840
20,0.1,ROS_VNF_motionplanning,2035232,109756,745456,1289776
21,0.1,ROS_VNF_motionplanning,2035232,110008,745708,1289524
22,0.1,ROS_VNF_motionplanning,2035232,110072,745772,1289460
23,0.1,ROS_VNF_motionplanning,2035232,110228,745596,1289636
24,0.1,ROS_VNF_motionplanning,2035232,109880,745580,1289896
25,0.1,ROS_VNF_motionplanning,2035232,109788,745488,1290124
26,0.1,ROS_VNF_motionplanning,2035232,109472,745076,1290156
27,0.1,ROS_VNF_motionplanning,2035232,119248,754816,1280600
28,0.1,ROS_VNF_motionplanning,2035232,119184,754868,1280364
29,0.1,ROS_VNF_motionplanning,2035232,119540,755240,1280016
30,0.1,ROS_VNF_motionplanning,2035232,119444,755048,1280184
31,0.1,ROS_VNF_motionplanning,2035232,119664,755128,1279852
32,0.1,ROS_VNF_motionplanning,2035232,119696,755104,1280144
33,0.1,ROS_VNF_motionplanning,2035232,119728,755428,1279804
34,0.1,ROS_VNF_motionplanning,2035232,119632,755332,1280160
35,0.1,ROS_VNF_motionplanning,2035232,119444,755404,1279908
