iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,ROS_VNF_motionplanning,2035228,156092,1455044,580484
2,0.1,ROS_VNF_motionplanning,2035228,155760,1454844,580384
3,0.1,ROS_VNF_motionplanning,2035228,155760,1454592,580636
4,0.1,ROS_VNF_motionplanning,2035228,155540,1454316,580912
5,0.1,ROS_VNF_motionplanning,2035228,155232,1454284,580944
6,0.1,ROS_VNF_motionplanning,2035228,155216,1454308,580668
7,0.1,ROS_VNF_motionplanning,2035228,155532,1454876,580644
8,0.1,ROS_VNF_motionplanning,2035228,155216,1454560,580416
9,0.1,ROS_VNF_motionplanning,2035228,155436,1454356,580872
10,0.1,ROS_VNF_motionplanning,2035228,154956,1454300,580928
11,0.1,ROS_VNF_motionplanning,2035228,155420,1454512,580944
12,0.1,ROS_VNF_motionplanning,2035228,155224,1454316,580912
13,0.1,ROS_VNF_motionplanning,2035228,155168,1454260,580968
14,0.1,ROS_VNF_motionplanning,2035228,154860,1453952,581276
15,0.1,ROS_VNF_motionplanning,2035228,155168,1454512,581016
16,0.1,ROS_VNF_motionplanning,2035228,155200,1454292,580968
17,0.1,ROS_VNF_motionplanning,2035228,155184,1453968,581008
18,0.1,ROS_VNF_motionplanning,2035228,155152,1453960,581268
19,0.1,ROS_VNF_motionplanning,2035228,154916,1454000,581228
20,0.1,ROS_VNF_motionplanning,2035228,155120,1454180,581080
21,0.1,ROS_VNF_motionplanning,2035228,155160,1453936,581040
22,0.1,ROS_VNF_motionplanning,2035228,155176,1454268,580960
23,0.1,ROS_VNF_motionplanning,2035228,155168,1454260,580968
24,0.1,ROS_VNF_motionplanning,2035228,155200,1454292,581228
25,0.1,ROS_VNF_motionplanning,2035228,154892,1453984,581244
26,0.1,ROS_VNF_motionplanning,2035228,154988,1454080,581148
27,0.1,ROS_VNF_motionplanning,2035228,155028,1454120,581108
28,0.1,ROS_VNF_motionplanning,2035228,155036,1454128,581100
29,0.1,ROS_VNF_motionplanning,2035228,165796,1464872,570340
30,0.1,ROS_VNF_motionplanning,2035228,165748,1465092,570176
31,0.1,ROS_VNF_motionplanning,2035228,165976,1465068,569992
32,0.1,ROS_VNF_motionplanning,2035228,166188,1465004,570224
33,0.1,ROS_VNF_motionplanning,2035228,166188,1465280,569948
34,0.1,ROS_VNF_motionplanning,2035228,166188,1465280,569948
35,0.1,ROS_VNF_motionplanning,2035228,166124,1465216,570312
