iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,01:10:56,0.5,ROS_VNF_motionplanning,12.9,2084077568,1453600768,30.3,467279872,1115770880,567496704,242069504,31551488,469475328,1056768
1,2022-01-02,01:10:57,0.5,ROS_VNF_motionplanning,9.6,2084077568,1453469696,30.3,467410944,1115639808,567496704,242069504,31551488,469475328,1056768
2,2022-01-02,01:10:57,0.5,ROS_VNF_motionplanning,14.5,2084077568,1453371392,30.3,467509248,1115541504,567496704,242069504,31551488,469475328,1056768
3,2022-01-02,01:10:58,0.5,ROS_VNF_motionplanning,12.8,2084077568,1453305856,30.3,467574784,1115475968,567517184,242069504,31551488,469475328,1056768
4,2022-01-02,01:10:58,0.5,ROS_VNF_motionplanning,14.1,2084077568,1453338624,30.3,467542016,1115508736,567517184,242069504,31551488,469475328,1056768
5,2022-01-02,01:10:59,0.5,ROS_VNF_motionplanning,9.8,2084077568,1453305856,30.3,467574784,1115475968,567517184,242069504,31551488,469475328,1056768
6,2022-01-02,01:10:59,0.5,ROS_VNF_motionplanning,14.3,2084077568,1462845440,29.8,458035200,1125015552,559345664,242069504,31563776,469463040,1056768
7,2022-01-02,01:11:00,0.5,ROS_VNF_motionplanning,17.4,2084077568,1462898688,29.8,457990144,1125048320,559292416,242077696,31563776,469475328,1056768
8,2022-01-02,01:11:00,0.5,ROS_VNF_motionplanning,17.9,2084077568,1463193600,29.8,457695232,1125343232,559292416,242077696,31563776,469475328,1056768
9,2022-01-02,01:11:01,0.5,ROS_VNF_motionplanning,21.1,2084077568,1463193600,29.8,457695232,1125343232,559292416,242077696,31563776,469475328,1056768
10,2022-01-02,01:11:01,0.5,ROS_VNF_motionplanning,16.7,2084077568,1463095296,29.8,457793536,1125244928,559292416,242077696,31563776,469475328,1056768
11,2022-01-02,01:11:02,0.5,ROS_VNF_motionplanning,16.7,2084077568,1463029760,29.8,457859072,1125179392,559292416,242077696,31563776,469475328,1056768
12,2022-01-02,01:11:02,0.5,ROS_VNF_motionplanning,13.6,2084077568,1462964224,29.8,457924608,1125113856,559292416,242077696,31563776,469475328,1056768
13,2022-01-02,01:11:03,0.5,ROS_VNF_motionplanning,11.1,2084077568,1462800384,29.8,458088448,1124950016,559292416,242077696,31563776,469475328,1056768
