iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-29,20:16:35,0.5,ROS_VNF_state,0.0,2084077568,1753436160,15.9,176390144,1585553408,171474944,222916608,20090880,302043136,774144
1,2021-12-29,20:16:36,0.5,ROS_VNF_state,1.0,2084077568,1753436160,15.9,176390144,1585553408,171474944,222916608,20090880,302043136,774144
2,2021-12-29,20:16:36,0.5,ROS_VNF_state,0.0,2084077568,1753444352,15.9,176390144,1585553408,171507712,222924800,20090880,302043136,774144
3,2021-12-29,20:16:37,0.5,ROS_VNF_state,0.0,2084077568,1753444352,15.9,176390144,1585553408,171507712,222924800,20090880,302043136,774144
4,2021-12-29,20:16:37,0.5,ROS_VNF_state,0.0,2084077568,1753444352,15.9,176390144,1585553408,171507712,222924800,20090880,302043136,774144
5,2021-12-29,20:16:38,0.5,ROS_VNF_state,0.0,2084077568,1753186304,15.9,176648192,1585295360,170991616,222924800,20090880,302043136,774144
6,2021-12-29,20:16:38,0.5,ROS_VNF_state,0.0,2084077568,1753194496,15.9,176640000,1585303552,170991616,222924800,20090880,302043136,774144
7,2021-12-29,20:16:39,0.5,ROS_VNF_state,0.0,2084077568,1753194496,15.9,176640000,1585303552,170991616,222924800,20099072,302034944,774144
8,2021-12-29,20:16:39,0.5,ROS_VNF_state,0.0,2084077568,1753194496,15.9,176627712,1585303552,170991616,222924800,20099072,302047232,774144
9,2021-12-29,20:16:40,0.5,ROS_VNF_state,0.0,2084077568,1753194496,15.9,176627712,1585303552,170991616,222924800,20099072,302047232,774144
10,2021-12-29,20:16:40,0.5,ROS_VNF_state,1.0,2084077568,1753194496,15.9,176627712,1585303552,170991616,222924800,20099072,302047232,774144
11,2021-12-29,20:16:41,0.5,ROS_VNF_state,0.0,2084077568,1753194496,15.9,176627712,1585303552,170991616,222924800,20099072,302047232,774144
12,2021-12-29,20:16:41,0.5,ROS_VNF_state,0.0,2084077568,1753194496,15.9,176627712,1585303552,170991616,222924800,20099072,302047232,774144
13,2021-12-29,20:16:42,0.5,ROS_VNF_state,0.0,2084077568,1753194496,15.9,176627712,1585303552,170991616,222924800,20099072,302047232,774144
14,2021-12-29,20:16:42,0.5,ROS_VNF_state,0.0,2084077568,1753194496,15.9,176627712,1585303552,170991616,222924800,20099072,302047232,774144
15,2021-12-29,20:16:43,0.5,ROS_VNF_state,0.0,2084077568,1753194496,15.9,176627712,1585303552,170991616,222924800,20099072,302047232,774144
16,2021-12-29,20:16:43,0.5,ROS_VNF_state,0.0,2084077568,1753194496,15.9,176627712,1585303552,170991616,222924800,20099072,302047232,774144
17,2021-12-29,20:16:44,0.5,ROS_VNF_state,0.0,2084077568,1753194496,15.9,176627712,1585303552,170991616,222924800,20099072,302047232,774144
18,2021-12-29,20:16:44,0.5,ROS_VNF_state,0.0,2084077568,1753194496,15.9,176619520,1585303552,170991616,222924800,20107264,302047232,774144
19,2021-12-29,20:16:45,0.5,ROS_VNF_state,0.0,2084077568,1753194496,15.9,176619520,1585303552,170991616,222924800,20107264,302047232,774144
20,2021-12-29,20:16:45,0.5,ROS_VNF_state,0.0,2084077568,1753194496,15.9,176619520,1585303552,170991616,222924800,20107264,302047232,774144
21,2021-12-29,20:16:46,0.5,ROS_VNF_state,0.0,2084077568,1753194496,15.9,176619520,1585303552,170991616,222924800,20107264,302047232,774144
22,2021-12-29,20:16:46,0.5,ROS_VNF_state,1.0,2084077568,1753194496,15.9,176619520,1585303552,170991616,222924800,20107264,302047232,774144
