iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,00:21:01,0.5,ROS_VNF_motionplanning,22.9,2084077568,1452183552,30.3,468533248,1115557888,571084800,240545792,31596544,468389888,1056768
1,2022-01-02,00:21:02,0.5,ROS_VNF_motionplanning,21.7,2084077568,1452249088,30.3,468467712,1115623424,571088896,240545792,31596544,468389888,1056768
2,2022-01-02,00:21:02,0.5,ROS_VNF_motionplanning,27.6,2084077568,1452052480,30.3,468664320,1115426816,571088896,240545792,31596544,468389888,1056768
3,2022-01-02,00:21:03,0.5,ROS_VNF_motionplanning,20.2,2084077568,1452216320,30.3,468500480,1115590656,571097088,240545792,31596544,468389888,1056768
4,2022-01-02,00:21:03,0.5,ROS_VNF_motionplanning,21.1,2084077568,1452191744,30.3,468525056,1115557888,571105280,240545792,31604736,468389888,1056768
5,2022-01-02,00:21:04,0.5,ROS_VNF_motionplanning,30.4,2084077568,1452126208,30.3,468590592,1115492352,571105280,240545792,31604736,468389888,1056768
6,2022-01-02,00:21:04,0.5,ROS_VNF_motionplanning,30.0,2084077568,1452158976,30.3,468557824,1115525120,571105280,240545792,31604736,468389888,1056768
7,2022-01-02,00:21:05,0.5,ROS_VNF_motionplanning,24.7,2084077568,1461870592,29.9,458858496,1125253120,562835456,240545792,31604736,468361216,1056768
8,2022-01-02,00:21:05,0.5,ROS_VNF_motionplanning,24.7,2084077568,1461870592,29.9,458858496,1125253120,562835456,240545792,31604736,468361216,1056768
9,2022-01-02,00:21:06,0.5,ROS_VNF_motionplanning,19.5,2084077568,1461870592,29.9,458858496,1125253120,562835456,240545792,31604736,468361216,1056768
10,2022-01-02,00:21:06,0.5,ROS_VNF_motionplanning,13.3,2084077568,1461870592,29.9,458858496,1125253120,562835456,240545792,31604736,468361216,1056768
11,2022-01-02,00:21:07,0.5,ROS_VNF_motionplanning,21.4,2084077568,1461903360,29.9,458825728,1125285888,562835456,240545792,31604736,468361216,1056768
12,2022-01-02,00:21:07,0.5,ROS_VNF_motionplanning,28.3,2084077568,1461837824,29.9,458891264,1125220352,562835456,240545792,31604736,468361216,1056768
13,2022-01-02,00:21:08,0.5,ROS_VNF_motionplanning,30.0,2084077568,1462067200,29.8,458661888,1125449728,562843648,240545792,31604736,468361216,1056768
14,2022-01-02,00:21:08,0.5,ROS_VNF_motionplanning,18.6,2084077568,1461805056,29.9,458924032,1125187584,562843648,240545792,31604736,468361216,1056768
15,2022-01-02,00:21:09,0.5,ROS_VNF_motionplanning,14.6,2084077568,1461936128,29.9,458784768,1125318656,562843648,240545792,31612928,468361216,1056768
16,2022-01-02,00:21:09,0.5,ROS_VNF_motionplanning,16.7,2084077568,1462001664,29.8,458719232,1125384192,562843648,240545792,31612928,468361216,1056768
17,2022-01-02,00:21:10,0.5,ROS_VNF_motionplanning,27.0,2084077568,1461944320,29.9,458784768,1125318656,562851840,240545792,31612928,468361216,1056768
18,2022-01-02,00:21:10,0.5,ROS_VNF_motionplanning,23.3,2084077568,1461911552,29.9,458817536,1125285888,562851840,240545792,31612928,468361216,1056768
19,2022-01-02,00:21:11,0.5,ROS_VNF_motionplanning,21.2,2084077568,1461895168,29.9,458850304,1125253120,562868224,240562176,31612928,468361216,1056768
20,2022-01-02,00:21:11,0.5,ROS_VNF_motionplanning,18.6,2084077568,1461993472,29.8,458752000,1125351424,562868224,240562176,31612928,468361216,1056768
21,2022-01-02,00:21:12,0.5,ROS_VNF_motionplanning,17.4,2084077568,1461993472,29.8,458752000,1125351424,562868224,240562176,31612928,468361216,1056768
22,2022-01-02,00:21:12,0.5,ROS_VNF_motionplanning,16.3,2084077568,1461993472,29.8,458752000,1125351424,562868224,240562176,31612928,468361216,1056768
23,2022-01-02,00:21:13,0.5,ROS_VNF_motionplanning,23.5,2084077568,1461927936,29.9,458817536,1125285888,562868224,240562176,31612928,468361216,1056768
24,2022-01-02,00:21:13,0.5,ROS_VNF_motionplanning,23.9,2084077568,1461862400,29.9,458883072,1125220352,562868224,240562176,31612928,468361216,1056768
