iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-01,19:44:00,0.5,ROS_VNF_motionplanning,8.3,2084077568,1663709184,20.2,259317760,1335287808,369635328,250675200,33505280,455966720,843776
1,2022-01-01,19:44:00,0.5,ROS_VNF_motionplanning,2.1,2084077568,1663709184,20.2,259317760,1335287808,369635328,250675200,33505280,455966720,843776
2,2022-01-01,19:44:01,0.5,ROS_VNF_motionplanning,3.2,2084077568,1663610880,20.2,259416064,1335189504,369635328,250675200,33505280,455966720,843776
3,2022-01-01,19:44:01,0.5,ROS_VNF_motionplanning,4.2,2084077568,1663545344,20.2,259481600,1335123968,369635328,250675200,33505280,455966720,843776
4,2022-01-01,19:44:02,0.5,ROS_VNF_motionplanning,11.8,2084077568,1663512576,20.2,259514368,1335091200,369635328,250675200,33505280,455966720,843776
5,2022-01-01,19:44:02,0.5,ROS_VNF_motionplanning,14.6,2084077568,1663684608,20.2,259342336,1335263232,369635328,250675200,33505280,455966720,843776
6,2022-01-01,19:44:03,0.5,ROS_VNF_motionplanning,5.3,2084077568,1673375744,19.7,249651200,1344954368,361410560,250675200,33505280,455966720,843776
7,2022-01-01,19:44:03,0.5,ROS_VNF_motionplanning,3.2,2084077568,1673342976,19.7,249683968,1344921600,361410560,250675200,33505280,455966720,843776
8,2022-01-01,19:44:04,0.5,ROS_VNF_motionplanning,3.1,2084077568,1673342976,19.7,249683968,1344921600,361410560,250675200,33505280,455966720,843776
9,2022-01-01,19:44:04,0.5,ROS_VNF_motionplanning,6.2,2084077568,1673342976,19.7,249683968,1344921600,361410560,250675200,33505280,455966720,843776
10,2022-01-01,19:44:05,0.5,ROS_VNF_motionplanning,4.2,2084077568,1673277440,19.7,249737216,1344856064,361410560,250675200,33517568,455966720,843776
11,2022-01-01,19:44:05,0.5,ROS_VNF_motionplanning,2.1,2084077568,1673375744,19.7,249638912,1344954368,361410560,250675200,33517568,455966720,843776
12,2022-01-01,19:44:06,0.5,ROS_VNF_motionplanning,5.2,2084077568,1673572352,19.7,249442304,1345150976,361410560,250675200,33517568,455966720,843776
13,2022-01-01,19:44:06,0.5,ROS_VNF_motionplanning,6.3,2084077568,1673506816,19.7,249507840,1345085440,361410560,250675200,33517568,455966720,843776
14,2022-01-01,19:44:07,0.5,ROS_VNF_motionplanning,2.2,2084077568,1673420800,19.7,249606144,1344987136,361422848,250675200,33517568,455966720,843776
15,2022-01-01,19:44:07,0.5,ROS_VNF_motionplanning,3.2,2084077568,1673388032,19.7,249638912,1344954368,361422848,250675200,33517568,455966720,843776
16,2022-01-01,19:44:08,0.5,ROS_VNF_motionplanning,5.4,2084077568,1673388032,19.7,249638912,1344954368,361422848,250675200,33517568,455966720,843776
17,2022-01-01,19:44:08,0.5,ROS_VNF_motionplanning,1.1,2084077568,1673388032,19.7,249638912,1344954368,361422848,250675200,33517568,455966720,843776
18,2022-01-01,19:44:09,0.5,ROS_VNF_motionplanning,4.2,2084077568,1673355264,19.7,249671680,1344921600,361422848,250675200,33517568,455966720,843776
19,2022-01-01,19:44:09,0.5,ROS_VNF_motionplanning,2.1,2084077568,1673355264,19.7,249671680,1344921600,361422848,250675200,33517568,455966720,843776
20,2022-01-01,19:44:10,0.5,ROS_VNF_motionplanning,9.5,2084077568,1673453568,19.7,249573376,1345019904,361422848,250675200,33517568,455966720,843776
21,2022-01-01,19:44:10,0.5,ROS_VNF_motionplanning,1.1,2084077568,1673453568,19.7,249573376,1345019904,361422848,250675200,33525760,455958528,843776
22,2022-01-01,19:44:11,0.5,ROS_VNF_motionplanning,3.2,2084077568,1673420800,19.7,249597952,1344987136,361422848,250675200,33525760,455966720,843776
23,2022-01-01,19:44:11,0.5,ROS_VNF_motionplanning,3.1,2084077568,1673355264,19.7,249663488,1344921600,361422848,250675200,33525760,455966720,843776
24,2022-01-01,19:44:12,0.5,ROS_VNF_motionplanning,1.1,2084077568,1673453568,19.7,249565184,1345019904,361422848,250675200,33525760,455966720,843776
25,2022-01-01,19:44:12,0.5,ROS_VNF_motionplanning,3.2,2084077568,1673388032,19.7,249630720,1344954368,361422848,250675200,33525760,455966720,843776
26,2022-01-01,19:44:13,0.5,ROS_VNF_motionplanning,2.1,2084077568,1673388032,19.7,249630720,1344954368,361422848,250675200,33525760,455966720,843776
27,2022-01-01,19:44:13,0.5,ROS_VNF_motionplanning,21.9,2084077568,1673363456,19.7,249663488,1344921600,361435136,250675200,33525760,455966720,843776
28,2022-01-01,19:44:14,0.5,ROS_VNF_motionplanning,2.2,2084077568,1673428992,19.7,249593856,1344978944,361435136,250679296,33525760,455979008,843776
29,2022-01-01,19:44:14,0.5,ROS_VNF_motionplanning,2.1,2084077568,1673396224,19.7,249626624,1344946176,361435136,250679296,33525760,455979008,843776
30,2022-01-01,19:44:15,0.5,ROS_VNF_motionplanning,4.2,2084077568,1673363456,19.7,249659392,1344913408,361435136,250679296,33525760,455979008,843776
31,2022-01-01,19:44:15,0.5,ROS_VNF_motionplanning,0.0,2084077568,1673363456,19.7,249659392,1344913408,361435136,250679296,33525760,455979008,843776
32,2022-01-01,19:44:16,0.5,ROS_VNF_motionplanning,4.2,2084077568,1673232384,19.7,249782272,1344782336,361435136,250679296,33533952,455979008,843776
33,2022-01-01,19:44:16,0.5,ROS_VNF_motionplanning,3.2,2084077568,1673330688,19.7,249683968,1344880640,361435136,250679296,33533952,455979008,843776
34,2022-01-01,19:44:17,0.5,ROS_VNF_motionplanning,8.2,2084077568,1673404416,19.7,249618432,1344946176,361443328,250679296,33533952,455979008,843776
35,2022-01-01,19:44:17,0.5,ROS_VNF_motionplanning,0.0,2084077568,1673437184,19.7,249585664,1344978944,361443328,250679296,33533952,455979008,843776
36,2022-01-01,19:44:18,0.5,ROS_VNF_motionplanning,2.2,2084077568,1673404416,19.7,249618432,1344946176,361443328,250679296,33533952,455979008,843776
37,2022-01-01,19:44:18,0.5,ROS_VNF_motionplanning,4.2,2084077568,1673437184,19.7,249585664,1344978944,361443328,250679296,33533952,455979008,843776
38,2022-01-01,19:44:19,0.5,ROS_VNF_motionplanning,20.2,2084077568,1673469952,19.7,249552896,1345011712,361443328,250679296,33533952,455979008,843776
39,2022-01-01,19:44:19,0.5,ROS_VNF_motionplanning,2.1,2084077568,1673535488,19.7,249487360,1345077248,361443328,250679296,33533952,455979008,843776
40,2022-01-01,19:44:20,0.5,ROS_VNF_motionplanning,2.2,2084077568,1673535488,19.7,249487360,1345077248,361443328,250679296,33533952,455979008,843776
41,2022-01-01,19:44:20,0.5,ROS_VNF_motionplanning,1.1,2084077568,1673469952,19.7,249552896,1345011712,361443328,250679296,33533952,455979008,843776
42,2022-01-01,19:44:21,0.5,ROS_VNF_motionplanning,2.1,2084077568,1673535488,19.7,249487360,1345077248,361443328,250679296,33533952,455979008,843776
