iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-01,17:37:40,0.5,ROS_VNF_motionplanning,10.3,2084077568,1663746048,20.2,260575232,1335717888,364277760,255406080,30961664,456822784,847872
1,2022-01-01,17:37:40,0.5,ROS_VNF_motionplanning,1.1,2084077568,1663746048,20.2,260575232,1335717888,364277760,255406080,30961664,456822784,847872
2,2022-01-01,17:37:41,0.5,ROS_VNF_motionplanning,3.2,2084077568,1663844352,20.2,260476928,1335816192,364277760,255406080,30961664,456822784,847872
3,2022-01-01,17:37:41,0.5,ROS_VNF_motionplanning,2.1,2084077568,1663877120,20.2,260444160,1335848960,364277760,255406080,30961664,456822784,847872
4,2022-01-01,17:37:42,0.5,ROS_VNF_motionplanning,3.2,2084077568,1663844352,20.2,260476928,1335816192,364277760,255406080,30961664,456822784,847872
5,2022-01-01,17:37:42,0.5,ROS_VNF_motionplanning,1.1,2084077568,1663844352,20.2,260476928,1335816192,364277760,255406080,30961664,456822784,847872
6,2022-01-01,17:37:43,0.5,ROS_VNF_motionplanning,2.1,2084077568,1663811584,20.2,260509696,1335783424,364277760,255406080,30961664,456822784,847872
7,2022-01-01,17:37:43,0.5,ROS_VNF_motionplanning,3.2,2084077568,1673523200,19.7,250810368,1345511424,355995648,255406080,30961664,456794112,847872
8,2022-01-01,17:37:44,0.5,ROS_VNF_motionplanning,0.0,2084077568,1673555968,19.7,250777600,1345544192,355995648,255406080,30973952,456781824,847872
9,2022-01-01,17:37:44,0.5,ROS_VNF_motionplanning,3.1,2084077568,1673555968,19.7,250777600,1345544192,355995648,255406080,30973952,456781824,847872
10,2022-01-01,17:37:45,0.5,ROS_VNF_motionplanning,2.2,2084077568,1673654272,19.7,250667008,1345642496,355995648,255406080,30973952,456794112,847872
11,2022-01-01,17:37:45,0.5,ROS_VNF_motionplanning,3.1,2084077568,1673654272,19.7,250667008,1345642496,355995648,255406080,30973952,456794112,847872
