iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-28,02:34:55,0.5,ROS_VNF_motionplanning,15.2,2084077568,1456660480,30.1,464269312,1117630464,566317056,244416512,31485952,470691840,1052672
1,2021-12-28,02:34:55,0.5,ROS_VNF_motionplanning,12.6,2084077568,1456463872,30.1,464465920,1117433856,566317056,244416512,31485952,470691840,1052672
2,2021-12-28,02:34:56,0.5,ROS_VNF_motionplanning,9.9,2084077568,1456529408,30.1,464400384,1117499392,566317056,244416512,31485952,470691840,1052672
3,2021-12-28,02:34:56,0.5,ROS_VNF_motionplanning,17.6,2084077568,1456726016,30.1,464203776,1117696000,566317056,244416512,31485952,470691840,1052672
4,2021-12-28,02:34:57,0.5,ROS_VNF_motionplanning,16.1,2084077568,1456660480,30.1,464269312,1117630464,566317056,244416512,31485952,470691840,1052672
5,2021-12-28,02:34:57,0.5,ROS_VNF_motionplanning,14.6,2084077568,1463193600,29.8,457736192,1124163584,559951872,244416512,31485952,470691840,1052672
6,2021-12-28,02:34:58,0.5,ROS_VNF_motionplanning,12.5,2084077568,1463218176,29.8,457719808,1124179968,559923200,244424704,31485952,470691840,1052672
7,2021-12-28,02:34:58,0.5,ROS_VNF_motionplanning,9.3,2084077568,1463185408,29.8,457752576,1124147200,559923200,244424704,31494144,470683648,1052672
8,2021-12-28,02:34:59,0.5,ROS_VNF_motionplanning,11.6,2084077568,1463349248,29.8,457580544,1124311040,559923200,244424704,31494144,470691840,1052672
9,2021-12-28,02:34:59,0.5,ROS_VNF_motionplanning,10.5,2084077568,1463250944,29.8,457678848,1124212736,559923200,244424704,31494144,470691840,1052672
10,2021-12-28,02:35:00,0.5,ROS_VNF_motionplanning,10.5,2084077568,1463226368,29.8,457711616,1124179968,559931392,244424704,31494144,470691840,1052672
11,2021-12-28,02:35:00,0.5,ROS_VNF_motionplanning,13.5,2084077568,1463324672,29.8,457613312,1124278272,559931392,244424704,31494144,470691840,1052672
12,2021-12-28,02:35:01,0.5,ROS_VNF_motionplanning,12.6,2084077568,1463160832,29.8,457777152,1124114432,559931392,244424704,31494144,470691840,1052672
13,2021-12-28,02:35:01,0.5,ROS_VNF_motionplanning,11.5,2084077568,1463193600,29.8,457744384,1124147200,559931392,244424704,31494144,470691840,1052672
14,2021-12-28,02:35:02,0.5,ROS_VNF_motionplanning,7.2,2084077568,1463259136,29.8,457678848,1124212736,559931392,244424704,31494144,470691840,1052672
15,2021-12-28,02:35:02,0.5,ROS_VNF_motionplanning,12.8,2084077568,1463357440,29.8,457580544,1124311040,559931392,244424704,31494144,470691840,1052672
16,2021-12-28,02:35:03,0.5,ROS_VNF_motionplanning,18.1,2084077568,1463226368,29.8,457711616,1124179968,559931392,244424704,31494144,470691840,1052672
17,2021-12-28,02:35:03,0.5,ROS_VNF_motionplanning,12.6,2084077568,1463193600,29.8,457744384,1124147200,559931392,244424704,31494144,470691840,1052672
18,2021-12-28,02:35:04,0.5,ROS_VNF_motionplanning,14.8,2084077568,1463291904,29.8,457637888,1124245504,559931392,244424704,31502336,470691840,1052672
19,2021-12-28,02:35:04,0.5,ROS_VNF_motionplanning,9.5,2084077568,1463193600,29.8,457736192,1124147200,559931392,244424704,31502336,470691840,1052672
20,2021-12-28,02:35:05,0.5,ROS_VNF_motionplanning,10.6,2084077568,1463029760,29.8,457900032,1123983360,559931392,244424704,31502336,470691840,1052672
21,2021-12-28,02:35:05,0.5,ROS_VNF_motionplanning,7.3,2084077568,1463095296,29.8,457834496,1124048896,559931392,244424704,31502336,470691840,1052672
22,2021-12-28,02:35:06,0.5,ROS_VNF_motionplanning,8.5,2084077568,1463234560,29.8,457703424,1124179968,559939584,244424704,31502336,470691840,1052672
23,2021-12-28,02:35:06,0.5,ROS_VNF_motionplanning,9.6,2084077568,1463201792,29.8,457736192,1124147200,559939584,244424704,31502336,470691840,1052672
24,2021-12-28,02:35:07,0.5,ROS_VNF_motionplanning,9.2,2084077568,1463267328,29.8,457670656,1124212736,559939584,244424704,31502336,470691840,1052672
25,2021-12-28,02:35:07,0.5,ROS_VNF_motionplanning,5.8,2084077568,1463136256,29.8,457801728,1124081664,559939584,244424704,31502336,470691840,1052672
26,2021-12-28,02:35:08,0.5,ROS_VNF_motionplanning,11.1,2084077568,1463201792,29.8,457736192,1124147200,559939584,244424704,31502336,470691840,1052672
27,2021-12-28,02:35:08,0.5,ROS_VNF_motionplanning,8.1,2084077568,1463234560,29.8,457699328,1124179968,559939584,244424704,31502336,470695936,1052672
28,2021-12-28,02:35:09,0.5,ROS_VNF_motionplanning,14.6,2084077568,1463332864,29.8,457592832,1124278272,559939584,244424704,31510528,470695936,1052672
29,2021-12-28,02:35:09,0.5,ROS_VNF_motionplanning,10.6,2084077568,1463300096,29.8,457625600,1124245504,559939584,244424704,31510528,470695936,1052672
30,2021-12-28,02:35:10,0.5,ROS_VNF_motionplanning,7.4,2084077568,1463431168,29.8,457494528,1124376576,559939584,244424704,31510528,470695936,1052672
31,2021-12-28,02:35:10,0.5,ROS_VNF_motionplanning,9.2,2084077568,1463332864,29.8,457592832,1124278272,559939584,244424704,31510528,470695936,1052672
32,2021-12-28,02:35:11,0.5,ROS_VNF_motionplanning,12.1,2084077568,1463267328,29.8,457658368,1124212736,559939584,244424704,31510528,470695936,1052672
33,2021-12-28,02:35:11,0.5,ROS_VNF_motionplanning,14.1,2084077568,1463267328,29.8,457658368,1124212736,559939584,244424704,31510528,470695936,1052672
34,2021-12-28,02:35:12,0.5,ROS_VNF_motionplanning,15.1,2084077568,1463201792,29.8,457723904,1124147200,559939584,244424704,31510528,470695936,1052672
35,2021-12-28,02:35:12,0.5,ROS_VNF_motionplanning,20.5,2084077568,1463201792,29.8,457723904,1124147200,559939584,244424704,31510528,470695936,1052672
36,2021-12-28,02:35:13,0.5,ROS_VNF_motionplanning,15.4,2084077568,1463300096,29.8,457625600,1124245504,559939584,244424704,31510528,470695936,1052672
37,2021-12-28,02:35:13,0.5,ROS_VNF_motionplanning,25.6,2084077568,1463267328,29.8,457658368,1124212736,559939584,244424704,31510528,470695936,1052672
38,2021-12-28,02:35:14,0.5,ROS_VNF_motionplanning,7.1,2084077568,1463169024,29.8,457756672,1124114432,559939584,244424704,31510528,470695936,1052672
39,2021-12-28,02:35:14,0.5,ROS_VNF_motionplanning,6.0,2084077568,1463267328,29.8,457658368,1124212736,559939584,244424704,31518720,470687744,1052672
40,2021-12-28,02:35:15,0.5,ROS_VNF_motionplanning,14.3,2084077568,1463267328,29.8,457650176,1124212736,559939584,244424704,31518720,470695936,1052672
41,2021-12-28,02:35:15,0.5,ROS_VNF_motionplanning,17.2,2084077568,1463169024,29.8,457748480,1124114432,559939584,244424704,31518720,470695936,1052672
42,2021-12-28,02:35:16,0.5,ROS_VNF_motionplanning,15.1,2084077568,1463234560,29.8,457682944,1124179968,559939584,244424704,31518720,470695936,1052672
43,2021-12-28,02:35:16,0.5,ROS_VNF_motionplanning,21.5,2084077568,1463300096,29.8,457617408,1124245504,559939584,244424704,31518720,470695936,1052672
44,2021-12-28,02:35:17,0.5,ROS_VNF_motionplanning,18.0,2084077568,1463234560,29.8,457682944,1124179968,559939584,244424704,31518720,470695936,1052672
45,2021-12-28,02:35:17,0.5,ROS_VNF_motionplanning,12.0,2084077568,1463136256,29.8,457781248,1124081664,559939584,244424704,31518720,470695936,1052672
46,2021-12-28,02:35:18,0.5,ROS_VNF_motionplanning,10.7,2084077568,1463169024,29.8,457748480,1124114432,559939584,244424704,31518720,470695936,1052672
47,2021-12-28,02:35:18,0.5,ROS_VNF_motionplanning,16.3,2084077568,1463267328,29.8,457650176,1124212736,559939584,244424704,31518720,470695936,1052672
48,2021-12-28,02:35:19,0.5,ROS_VNF_motionplanning,22.3,2084077568,1463201792,29.8,457715712,1124147200,559939584,244424704,31518720,470695936,1052672
49,2021-12-28,02:35:19,0.5,ROS_VNF_motionplanning,18.9,2084077568,1463169024,29.8,457748480,1124114432,559939584,244424704,31518720,470695936,1052672
50,2021-12-28,02:35:20,0.5,ROS_VNF_motionplanning,15.9,2084077568,1463201792,29.8,457707520,1124147200,559939584,244424704,31526912,470695936,1052672
51,2021-12-28,02:35:20,0.5,ROS_VNF_motionplanning,9.8,2084077568,1463267328,29.8,457641984,1124212736,559939584,244424704,31526912,470695936,1052672
52,2021-12-28,02:35:21,0.5,ROS_VNF_motionplanning,10.8,2084077568,1463300096,29.8,457609216,1124245504,559939584,244424704,31526912,470695936,1052672
53,2021-12-28,02:35:21,0.5,ROS_VNF_motionplanning,14.1,2084077568,1463234560,29.8,457674752,1124179968,559939584,244424704,31526912,470695936,1052672
54,2021-12-28,02:35:22,0.5,ROS_VNF_motionplanning,16.1,2084077568,1463332864,29.8,457572352,1124278272,559939584,244424704,31526912,470700032,1052672
55,2021-12-28,02:35:22,0.5,ROS_VNF_motionplanning,20.2,2084077568,1463275520,29.8,457637888,1124212736,559992832,244432896,31526912,470700032,1052672
56,2021-12-28,02:35:23,0.5,ROS_VNF_motionplanning,13.3,2084077568,1463144448,29.8,457768960,1124081664,559992832,244432896,31526912,470700032,1052672
57,2021-12-28,02:35:23,0.5,ROS_VNF_motionplanning,13.1,2084077568,1463439360,29.8,457474048,1124376576,559992832,244432896,31526912,470700032,1052672
58,2021-12-28,02:35:24,0.5,ROS_VNF_motionplanning,14.8,2084077568,1463406592,29.8,457506816,1124343808,559992832,244432896,31526912,470700032,1052672
59,2021-12-28,02:35:24,0.5,ROS_VNF_motionplanning,17.0,2084077568,1463406592,29.8,457506816,1124343808,559992832,244432896,31526912,470700032,1052672
60,2021-12-28,02:35:25,0.5,ROS_VNF_motionplanning,14.9,2084077568,1463144448,29.8,457768960,1124081664,559992832,244432896,31526912,470700032,1052672
61,2021-12-28,02:35:25,0.5,ROS_VNF_motionplanning,14.5,2084077568,1463242752,29.8,457695232,1124147200,560029696,244432896,31535104,470700032,1052672
62,2021-12-28,02:35:26,0.5,ROS_VNF_motionplanning,9.9,2084077568,1463275520,29.8,457662464,1124179968,560029696,244432896,31535104,470700032,1052672
63,2021-12-28,02:35:26,0.5,ROS_VNF_motionplanning,12.9,2084077568,1463242752,29.8,457695232,1124147200,560029696,244432896,31535104,470700032,1052672
64,2021-12-28,02:35:27,0.5,ROS_VNF_motionplanning,16.1,2084077568,1463275520,29.8,457662464,1124179968,560029696,244432896,31535104,470700032,1052672
65,2021-12-28,02:35:27,0.5,ROS_VNF_motionplanning,22.8,2084077568,1463209984,29.8,457728000,1124114432,560029696,244432896,31535104,470700032,1052672
66,2021-12-28,02:35:28,0.5,ROS_VNF_motionplanning,15.3,2084077568,1463341056,29.8,457596928,1124245504,560029696,244432896,31535104,470700032,1052672
67,2021-12-28,02:35:28,0.5,ROS_VNF_motionplanning,17.2,2084077568,1463308288,29.8,457629696,1124212736,560029696,244432896,31535104,470700032,1052672
68,2021-12-28,02:35:29,0.5,ROS_VNF_motionplanning,18.9,2084077568,1463308288,29.8,457629696,1124212736,560029696,244432896,31535104,470700032,1052672
69,2021-12-28,02:35:29,0.5,ROS_VNF_motionplanning,13.1,2084077568,1463177216,29.8,457760768,1124081664,560029696,244432896,31535104,470700032,1052672
70,2021-12-28,02:35:30,0.5,ROS_VNF_motionplanning,15.9,2084077568,1463341056,29.8,457596928,1124245504,560029696,244432896,31535104,470700032,1052672
71,2021-12-28,02:35:30,0.5,ROS_VNF_motionplanning,13.3,2084077568,1463242752,29.8,457695232,1124147200,560029696,244432896,31535104,470700032,1052672
72,2021-12-28,02:35:31,0.5,ROS_VNF_motionplanning,17.0,2084077568,1463242752,29.8,457687040,1124147200,560029696,244432896,31543296,470700032,1052672
73,2021-12-28,02:35:31,0.5,ROS_VNF_motionplanning,14.9,2084077568,1463341056,29.8,457588736,1124245504,560029696,244432896,31543296,470700032,1052672
74,2021-12-28,02:35:32,0.5,ROS_VNF_motionplanning,15.1,2084077568,1463242752,29.8,457687040,1124147200,560029696,244432896,31543296,470700032,1052672
75,2021-12-28,02:35:32,0.5,ROS_VNF_motionplanning,14.1,2084077568,1463341056,29.8,457588736,1124245504,560029696,244432896,31543296,470700032,1052672
76,2021-12-28,02:35:33,0.5,ROS_VNF_motionplanning,11.9,2084077568,1463341056,29.8,457588736,1124245504,560029696,244432896,31543296,470700032,1052672
77,2021-12-28,02:35:33,0.5,ROS_VNF_motionplanning,17.0,2084077568,1463275520,29.8,457654272,1124179968,560029696,244432896,31543296,470700032,1052672
78,2021-12-28,02:35:34,0.5,ROS_VNF_motionplanning,19.1,2084077568,1463242752,29.8,457687040,1124147200,560029696,244432896,31543296,470700032,1052672
79,2021-12-28,02:35:34,0.5,ROS_VNF_motionplanning,15.1,2084077568,1463308288,29.8,457621504,1124212736,560029696,244432896,31543296,470700032,1052672
80,2021-12-28,02:35:35,0.5,ROS_VNF_motionplanning,7.5,2084077568,1463275520,29.8,457654272,1124179968,560029696,244432896,31543296,470700032,1052672
81,2021-12-28,02:35:35,0.5,ROS_VNF_motionplanning,15.3,2084077568,1463341056,29.8,457588736,1124245504,560029696,244432896,31543296,470700032,1052672
82,2021-12-28,02:35:36,0.5,ROS_VNF_motionplanning,14.0,2084077568,1463054336,29.8,457871360,1123954688,560029696,244432896,31543296,470708224,1052672
83,2021-12-28,02:35:36,0.5,ROS_VNF_motionplanning,17.0,2084077568,1463345152,29.8,457572352,1124245504,560029696,244432896,31551488,470708224,1052672
84,2021-12-28,02:35:37,0.5,ROS_VNF_motionplanning,18.9,2084077568,1463148544,29.8,457768960,1124048896,560029696,244432896,31551488,470708224,1052672
85,2021-12-28,02:35:37,0.5,ROS_VNF_motionplanning,18.4,2084077568,1463214080,29.8,457703424,1124114432,560029696,244432896,31551488,470708224,1052672
86,2021-12-28,02:35:38,0.5,ROS_VNF_motionplanning,19.8,2084077568,1463377920,29.8,457539584,1124278272,560029696,244432896,31551488,470708224,1052672
87,2021-12-28,02:35:38,0.5,ROS_VNF_motionplanning,17.2,2084077568,1463246848,29.8,457670656,1124147200,560029696,244432896,31551488,470708224,1052672
88,2021-12-28,02:35:39,0.5,ROS_VNF_motionplanning,20.7,2084077568,1463148544,29.8,457768960,1124048896,560029696,244432896,31551488,470708224,1052672
89,2021-12-28,02:35:39,0.5,ROS_VNF_motionplanning,18.2,2084077568,1463312384,29.8,457605120,1124212736,560029696,244432896,31551488,470708224,1052672
90,2021-12-28,02:35:40,0.5,ROS_VNF_motionplanning,22.3,2084077568,1463345152,29.8,457572352,1124245504,560029696,244432896,31551488,470708224,1052672
91,2021-12-28,02:35:40,0.5,ROS_VNF_motionplanning,11.1,2084077568,1463246848,29.8,457670656,1124147200,560029696,244432896,31551488,470708224,1052672
92,2021-12-28,02:35:41,0.5,ROS_VNF_motionplanning,12.8,2084077568,1463214080,29.8,457703424,1124114432,560029696,244432896,31551488,470708224,1052672
93,2021-12-28,02:35:41,0.5,ROS_VNF_motionplanning,14.3,2084077568,1463148544,29.8,457768960,1124048896,560029696,244432896,31551488,470708224,1052672
