iteration,measurement_period,machine/VNF,usercpu,syscpu,nicecpu,idlecpu,IOwaitcpu,HWInteruptscpu,SWInteruptscpu,stolencpu,Total(NoIdle),RAMused
2,0.1,ROS_VNF_command,14.3,9.5,0.0,61.9,0.0,0.0,14.3,0.0,38.1,1450.3
4,0.1,ROS_VNF_command,11.1,16.7,0.0,66.7,0.0,0.0,5.6,0.0,33.4,1450.3
6,0.1,ROS_VNF_command,9.5,19.0,0.0,61.9,0.0,0.0,9.5,0.0,38.0,1450.3
8,0.1,ROS_VNF_command,11.8,11.8,0.0,76.5,0.0,0.0,0.0,0.0,23.6,1450.3
10,0.1,ROS_VNF_command,10.5,15.8,0.0,57.9,5.3,0.0,10.5,0.0,42.1,1450.3
12,0.1,ROS_VNF_command,11.1,11.1,0.0,38.9,33.3,0.0,5.6,0.0,61.1,1450.3
14,0.1,ROS_VNF_command,10.0,10.0,0.0,40.0,35.0,0.0,5.0,0.0,60.0,1450.3
16,0.1,ROS_VNF_command,10.5,5.3,0.0,36.8,36.8,0.0,10.5,0.0,63.1,1450.3
18,0.1,ROS_VNF_command,10.5,15.8,0.0,31.6,31.6,0.0,10.5,0.0,68.4,1450.3
20,0.1,ROS_VNF_command,5.3,15.8,0.0,36.8,31.6,0.0,10.5,0.0,63.2,1450.3
22,0.1,ROS_VNF_command,21.1,10.5,0.0,42.1,26.3,0.0,0.0,0.0,57.9,1450.3
24,0.1,ROS_VNF_command,10.0,15.0,0.0,65.0,0.0,0.0,10.0,0.0,35.0,1450.3
26,0.1,ROS_VNF_command,16.7,11.1,0.0,66.7,0.0,0.0,5.6,0.0,33.4,1450.3
28,0.1,ROS_VNF_command,5.6,16.7,0.0,72.2,0.0,0.0,5.6,0.0,27.9,1450.3
30,0.1,ROS_VNF_command,13.0,17.4,0.0,56.5,0.0,0.0,13.0,0.0,43.4,1450.3
32,0.1,ROS_VNF_command,11.8,5.9,0.0,76.5,0.0,0.0,5.9,0.0,23.6,1450.3
34,0.1,ROS_VNF_command,10.5,5.3,0.0,78.9,0.0,0.0,5.3,0.0,21.1,1450.3
36,0.1,ROS_VNF_command,15.0,20.0,0.0,45.0,15.0,0.0,5.0,0.0,55.0,1450.3
38,0.1,ROS_VNF_command,5.6,11.1,0.0,33.3,33.3,0.0,16.7,0.0,66.7,1450.3
40,0.1,ROS_VNF_command,10.5,5.3,0.0,36.8,36.8,0.0,10.5,0.0,63.1,1450.3
42,0.1,ROS_VNF_command,17.4,30.4,0.0,21.7,21.7,0.0,8.7,0.0,78.2,1450.8
44,0.1,ROS_VNF_command,11.8,11.8,0.0,35.3,35.3,0.0,5.9,0.0,64.8,1450.8
46,0.1,ROS_VNF_command,18.8,6.2,0.0,37.5,37.5,0.0,0.0,0.0,62.5,1450.8
48,0.1,ROS_VNF_command,5.0,15.0,0.0,15.0,50.0,0.0,15.0,0.0,85.0,1450.8
50,0.1,ROS_VNF_command,15.8,5.3,0.0,0.0,63.2,0.0,15.8,0.0,100.1,1450.8
52,0.1,ROS_VNF_command,10.0,15.0,0.0,0.0,65.0,0.0,10.0,0.0,100.0,1450.8
54,0.1,ROS_VNF_command,5.9,11.8,0.0,41.2,29.4,0.0,11.8,0.0,58.9,1450.8
56,0.1,ROS_VNF_command,13.6,9.1,0.0,36.4,27.3,0.0,13.6,0.0,63.6,1450.8
58,0.1,ROS_VNF_command,10.5,15.8,0.0,21.1,47.4,0.0,5.3,0.0,79.0,1450.8
60,0.1,ROS_VNF_command,10.5,10.5,0.0,0.0,73.7,0.0,5.3,0.0,100.0,1450.8
62,0.1,ROS_VNF_command,5.9,11.8,0.0,0.0,70.6,0.0,11.8,0.0,100.1,1450.8
64,0.1,ROS_VNF_command,15.0,15.0,0.0,0.0,65.0,0.0,5.0,0.0,100.0,1450.8
66,0.1,ROS_VNF_command,15.0,15.0,0.0,0.0,60.0,0.0,10.0,0.0,100.0,1450.8
68,0.1,ROS_VNF_command,15.8,10.5,0.0,15.8,47.4,0.0,10.5,0.0,84.2,1450.8
70,0.1,ROS_VNF_command,32.0,20.0,0.0,16.0,12.0,0.0,20.0,0.0,84.0,1450.8
72,0.1,ROS_VNF_command,9.5,9.5,0.0,38.1,33.3,0.0,9.5,0.0,61.8,1450.8
74,0.1,ROS_VNF_command,5.9,11.8,0.0,35.3,35.3,0.0,11.8,0.0,64.8,1450.8
76,0.1,ROS_VNF_command,14.3,19.0,0.0,38.1,19.0,0.0,9.5,0.0,61.8,1450.8
78,0.1,ROS_VNF_command,29.2,16.7,0.0,41.7,0.0,0.0,12.5,0.0,58.4,1450.8
