iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,ROS_VNF_command,2035232,203400,896036,1139196
2,0.1,ROS_VNF_command,2035232,202452,895848,1139668
3,0.1,ROS_VNF_command,2035232,202224,895360,1139872
4,0.1,ROS_VNF_command,2035232,202216,895612,1139880
5,0.1,ROS_VNF_command,2035232,202296,895440,1140132
6,0.1,ROS_VNF_command,2035232,202044,895124,1140108
7,0.1,ROS_VNF_command,2035232,201996,895124,1140108
8,0.1,ROS_VNF_command,2035232,202232,895376,1140156
9,0.1,ROS_VNF_command,2035232,201972,895368,1139808
10,0.1,ROS_VNF_command,2035232,202280,895424,1139808
11,0.1,ROS_VNF_command,2035232,202320,895464,1139824
12,0.1,ROS_VNF_command,2035232,202856,895732,1139768
13,0.1,ROS_VNF_command,2035232,202352,895472,1139760
14,0.1,ROS_VNF_command,2035232,202320,895464,1139808
15,0.1,ROS_VNF_command,2035232,202532,895676,1139556
16,0.1,ROS_VNF_command,2035232,202500,895644,1139588
17,0.1,ROS_VNF_command,2035232,202500,895644,1139588
18,0.1,ROS_VNF_command,2035232,202500,895644,1139588
19,0.1,ROS_VNF_command,2035232,202248,895392,1139840
20,0.1,ROS_VNF_command,2035232,202248,895392,1139840
21,0.1,ROS_VNF_command,2035232,202500,895368,1139864
22,0.1,ROS_VNF_command,2035232,202184,895548,1139432
23,0.1,ROS_VNF_command,2035232,202656,895532,1139700
24,0.1,ROS_VNF_command,2035232,202484,895328,1139904
25,0.1,ROS_VNF_command,2035232,202184,895328,1139904
26,0.1,ROS_VNF_command,2035232,202272,895416,1139816
27,0.1,ROS_VNF_command,2035232,202184,895328,1139904
28,0.1,ROS_VNF_command,2035232,212368,905528,1129436
29,0.1,ROS_VNF_command,2035232,212668,905824,1129692
30,0.1,ROS_VNF_command,2035232,212668,905824,1129408
31,0.1,ROS_VNF_command,2035232,212856,905752,1129228
32,0.1,ROS_VNF_command,2035232,212864,906020,1129496
33,0.1,ROS_VNF_command,2035232,212572,905728,1129528
34,0.1,ROS_VNF_command,2035232,212572,905428,1129804
35,0.1,ROS_VNF_command,2035232,212524,905680,1129552
36,0.1,ROS_VNF_command,2035232,212864,906020,1129212
37,0.1,ROS_VNF_command,2035232,212864,906020,1129496
38,0.1,ROS_VNF_command,2035232,212832,905988,1129244
39,0.1,ROS_VNF_command,2035232,212744,905988,1129244
40,0.1,ROS_VNF_command,2035232,212904,906060,1129172
41,0.1,ROS_VNF_command,2035232,212904,906060,1129456
42,0.1,ROS_VNF_command,2035232,212788,905944,1129288
43,0.1,ROS_VNF_command,2035232,212824,905980,1129252
44,0.1,ROS_VNF_command,2035232,212912,906328,1128904
45,0.1,ROS_VNF_command,2035232,213416,906580,1128652
46,0.1,ROS_VNF_command,2035232,213384,906216,1129016
47,0.1,ROS_VNF_command,2035232,213060,906476,1128756
48,0.1,ROS_VNF_command,2035232,213384,906548,1129016
49,0.1,ROS_VNF_command,2035232,213384,906256,1128976
50,0.1,ROS_VNF_command,2035232,213196,906612,1128620
51,0.1,ROS_VNF_command,2035232,213504,906668,1128564
52,0.1,ROS_VNF_command,2035232,213228,906352,1128880
53,0.1,ROS_VNF_command,2035232,213204,906368,1128864
54,0.1,ROS_VNF_command,2035232,213196,906360,1128928
55,0.1,ROS_VNF_command,2035232,213156,906320,1128912
56,0.1,ROS_VNF_command,2035232,213148,906312,1128920
57,0.1,ROS_VNF_command,2035232,213124,906288,1129228
58,0.1,ROS_VNF_command,2035232,213164,906328,1129180
59,0.1,ROS_VNF_command,2035232,212864,906028,1129204
60,0.1,ROS_VNF_command,2035232,212840,906004,1129228
61,0.1,ROS_VNF_command,2035232,212816,905972,1129260
62,0.1,ROS_VNF_command,2035232,212792,905924,1129308
63,0.1,ROS_VNF_command,2035232,212792,906208,1129024
64,0.1,ROS_VNF_command,2035232,213052,906436,1129064
65,0.1,ROS_VNF_command,2035232,213092,906052,1128928
66,0.1,ROS_VNF_command,2035232,213096,906272,1128960
67,0.1,ROS_VNF_command,2035232,213220,906264,1129176
68,0.1,ROS_VNF_command,2035232,213148,906576,1128956
69,0.1,ROS_VNF_command,2035232,213148,906324,1128908
70,0.1,ROS_VNF_command,2035232,213148,906016,1129216
71,0.1,ROS_VNF_command,2035232,213100,906276,1128956
72,0.1,ROS_VNF_command,2035232,213060,906236,1128996
