iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,ROS_VNF_command,2035232,203292,858252,1177068
2,0.1,ROS_VNF_command,2035232,202472,857292,1177852
3,0.1,ROS_VNF_command,2035232,202244,857344,1178204
4,0.1,ROS_VNF_command,2035232,201376,856740,1178784
5,0.1,ROS_VNF_command,2035232,200964,856400,1178832
6,0.1,ROS_VNF_command,2035232,200924,856108,1179124
7,0.1,ROS_VNF_command,2035232,200964,856404,1178828
8,0.1,ROS_VNF_command,2035232,201232,856152,1179080
9,0.1,ROS_VNF_command,2035232,201280,856192,1178788
10,0.1,ROS_VNF_command,2035232,201216,856404,1178828
11,0.1,ROS_VNF_command,2035232,201312,856500,1178992
12,0.1,ROS_VNF_command,2035232,200988,856176,1179056
13,0.1,ROS_VNF_command,2035232,200892,856080,1179152
14,0.1,ROS_VNF_command,2035232,200956,856144,1179088
15,0.1,ROS_VNF_command,2035232,201176,856096,1179388
16,0.1,ROS_VNF_command,2035232,200712,855836,1179144
17,0.1,ROS_VNF_command,2035232,200932,856120,1179112
18,0.1,ROS_VNF_command,2035232,200940,856384,1178596
19,0.1,ROS_VNF_command,2035232,201680,856852,1178380
20,0.1,ROS_VNF_command,2035232,201364,856560,1178672
21,0.1,ROS_VNF_command,2035232,201972,857332,1177900
22,0.1,ROS_VNF_command,2035232,202224,857128,1178104
23,0.1,ROS_VNF_command,2035232,201972,857136,1178096
24,0.1,ROS_VNF_command,2035232,202036,857232,1178056
25,0.1,ROS_VNF_command,2035232,202256,857152,1178080
26,0.1,ROS_VNF_command,2035232,202288,857736,1177496
27,0.1,ROS_VNF_command,2035232,212552,867424,1167556
28,0.1,ROS_VNF_command,2035232,212724,867660,1167320
29,0.1,ROS_VNF_command,2035232,212676,867872,1167360
30,0.1,ROS_VNF_command,2035232,212928,868132,1167100
31,0.1,ROS_VNF_command,2035232,212896,868100,1167132
32,0.1,ROS_VNF_command,2035232,212992,867928,1167304
33,0.1,ROS_VNF_command,2035232,212740,867944,1167288
34,0.1,ROS_VNF_command,2035232,212740,868236,1167288
35,0.1,ROS_VNF_command,2035232,213024,868228,1167004
36,0.1,ROS_VNF_command,2035232,212944,868316,1166832
37,0.1,ROS_VNF_command,2035232,213228,868432,1166800
38,0.1,ROS_VNF_command,2035232,213196,868652,1166580
39,0.1,ROS_VNF_command,2035232,213100,868304,1166904
40,0.1,ROS_VNF_command,2035232,213196,868400,1166832
41,0.1,ROS_VNF_command,2035232,213132,868336,1167180
42,0.1,ROS_VNF_command,2035232,212880,867784,1167196
43,0.1,ROS_VNF_command,2035232,212944,868148,1167084
44,0.1,ROS_VNF_command,2035232,212644,867848,1167384
45,0.1,ROS_VNF_command,2035232,212628,867816,1167416
46,0.1,ROS_VNF_command,2035232,212668,868124,1167108
47,0.1,ROS_VNF_command,2035232,212620,867824,1167408
48,0.1,ROS_VNF_command,2035232,212628,867800,1167180
49,0.1,ROS_VNF_command,2035232,213008,868212,1167020
50,0.1,ROS_VNF_command,2035232,213260,868464,1166768
51,0.1,ROS_VNF_command,2035232,213260,868464,1167100
52,0.1,ROS_VNF_command,2035232,213292,868496,1167068
53,0.1,ROS_VNF_command,2035232,213228,868684,1166816
54,0.1,ROS_VNF_command,2035232,213164,868872,1166580
55,0.1,ROS_VNF_command,2035232,213156,868612,1166848
56,0.1,ROS_VNF_command,2035232,213416,868620,1166888
57,0.1,ROS_VNF_command,2035232,213384,868588,1166928
58,0.1,ROS_VNF_command,2035232,213100,868304,1166928
59,0.1,ROS_VNF_command,2035232,213100,868304,1166928
60,0.1,ROS_VNF_command,2035232,213068,868272,1166960
61,0.1,ROS_VNF_command,2035232,213132,868336,1166896
62,0.1,ROS_VNF_command,2035232,213132,868028,1166864
63,0.1,ROS_VNF_command,2035232,213448,868652,1166580
64,0.1,ROS_VNF_command,2035232,213416,868336,1166904
65,0.1,ROS_VNF_command,2035232,213416,868092,1166888
66,0.1,ROS_VNF_command,2035232,213196,868612,1166912
67,0.1,ROS_VNF_command,2035232,213448,868660,1166572
68,0.1,ROS_VNF_command,2035232,213204,868416,1166816
69,0.1,ROS_VNF_command,2035232,213132,868344,1166888
70,0.1,ROS_VNF_command,2035232,213260,868472,1166760
71,0.1,ROS_VNF_command,2035232,213260,868472,1166760
72,0.1,ROS_VNF_command,2035232,213292,868504,1166728
73,0.1,ROS_VNF_command,2035232,213292,868504,1166728
74,0.1,ROS_VNF_command,2035232,213292,868504,1166728
75,0.1,ROS_VNF_command,2035232,213388,868568,1166940
76,0.1,ROS_VNF_command,2035232,213152,868364,1166868
77,0.1,ROS_VNF_command,2035232,212932,868404,1166828
78,0.1,ROS_VNF_command,2035232,213152,868352,1166880
79,0.1,ROS_VNF_command,2035232,213120,868312,1166920
80,0.1,ROS_VNF_command,2035232,212796,868020,1167496
81,0.1,ROS_VNF_command,2035232,212804,868028,1167204
82,0.1,ROS_VNF_command,2035232,212740,867964,1167268
83,0.1,ROS_VNF_command,2035232,212992,868216,1167016
84,0.1,ROS_VNF_command,2035232,212976,868452,1166780
85,0.1,ROS_VNF_command,2035232,212740,868152,1166828
86,0.1,ROS_VNF_command,2035232,213212,868688,1166544
87,0.1,ROS_VNF_command,2035232,213464,868688,1166836
88,0.1,ROS_VNF_command,2035232,213276,868500,1166732
89,0.1,ROS_VNF_command,2035232,213212,868436,1166796
90,0.1,ROS_VNF_command,2035232,212896,868120,1167112
91,0.1,ROS_VNF_command,2035232,212960,868184,1167048
92,0.1,ROS_VNF_command,2035232,212896,868120,1167112
93,0.1,ROS_VNF_command,2035232,212928,867836,1167144
94,0.1,ROS_VNF_command,2035232,212896,868072,1166908
95,0.1,ROS_VNF_command,2035232,212832,868560,1166672
96,0.1,ROS_VNF_command,2035232,213092,868316,1166916
97,0.1,ROS_VNF_command,2035232,213148,868372,1166948
98,0.1,ROS_VNF_command,2035232,212896,868372,1166860
99,0.1,ROS_VNF_command,2035232,212856,868080,1167152
100,0.1,ROS_VNF_command,2035232,212784,868260,1166972
101,0.1,ROS_VNF_command,2035232,213084,868048,1167184
102,0.1,ROS_VNF_command,2035232,212872,868348,1166884
103,0.1,ROS_VNF_command,2035232,213188,868412,1166820
104,0.1,ROS_VNF_command,2035232,212888,867868,1167112
105,0.1,ROS_VNF_command,2035232,213148,868372,1166860
106,0.1,ROS_VNF_command,2035232,213084,868308,1166836
107,0.1,ROS_VNF_command,2035232,213148,868112,1167120
108,0.1,ROS_VNF_command,2035232,212960,868184,1167048
109,0.1,ROS_VNF_command,2035232,212896,868128,1167104
110,0.1,ROS_VNF_command,2035232,212832,868064,1167168
111,0.1,ROS_VNF_command,2035232,212832,868064,1167168
112,0.1,ROS_VNF_command,2035232,212612,867844,1167452
113,0.1,ROS_VNF_command,2035232,212612,867844,1167664
114,0.1,ROS_VNF_command,2035232,212484,867716,1167516
115,0.1,ROS_VNF_command,2035232,212168,867652,1167580
116,0.1,ROS_VNF_command,2035232,212420,867652,1167580
117,0.1,ROS_VNF_command,2035232,212484,867716,1167776
118,0.1,ROS_VNF_command,2035232,212452,867684,1167548
119,0.1,ROS_VNF_command,2035232,212388,867620,1167612
120,0.1,ROS_VNF_command,2035232,212452,867644,1167588
121,0.1,ROS_VNF_command,2035232,212468,867376,1167856
122,0.1,ROS_VNF_command,2035232,212200,867432,1167800
123,0.1,ROS_VNF_command,2035232,212240,867472,1167760
124,0.1,ROS_VNF_command,2035232,212288,867520,1167712
125,0.1,ROS_VNF_command,2035232,212216,867180,1167548
126,0.1,ROS_VNF_command,2035232,212564,867504,1167728
127,0.1,ROS_VNF_command,2035232,212264,867212,1167768
128,0.1,ROS_VNF_command,2035232,212328,867560,1167672
129,0.1,ROS_VNF_command,2035232,212424,867656,1167576
130,0.1,ROS_VNF_command,2035232,212392,867624,1167608
131,0.1,ROS_VNF_command,2035232,212676,867616,1167616
132,0.1,ROS_VNF_command,2035232,212456,867688,1167544
133,0.1,ROS_VNF_command,2035232,212424,867656,1167408
134,0.1,ROS_VNF_command,2035232,212072,867304,1168212
135,0.1,ROS_VNF_command,2035232,211280,866012,1169552
136,0.1,ROS_VNF_command,2035232,210492,865728,1169504
137,0.1,ROS_VNF_command,2035232,210508,865468,1169856
138,0.1,ROS_VNF_command,2035232,209972,865460,1169772
139,0.1,ROS_VNF_command,2035232,210224,865460,1169772
140,0.1,ROS_VNF_command,2035232,210192,865428,1169804
141,0.1,ROS_VNF_command,2035232,210192,865428,1169804
142,0.1,ROS_VNF_command,2035232,210192,865428,1169804
143,0.1,ROS_VNF_command,2035232,210192,865428,1169804
144,0.1,ROS_VNF_command,2035232,210224,865428,1169804
145,0.1,ROS_VNF_command,2035232,210256,865492,1169740
146,0.1,ROS_VNF_command,2035232,210256,865208,1170032
147,0.1,ROS_VNF_command,2035232,210004,865500,1170024
148,0.1,ROS_VNF_command,2035232,210036,865524,1169992
149,0.1,ROS_VNF_command,2035232,210068,865304,1169928
150,0.1,ROS_VNF_command,2035232,210132,865368,1169864
151,0.1,ROS_VNF_command,2035232,209880,865292,1169856
152,0.1,ROS_VNF_command,2035232,210384,865344,1169636
