iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,ROS_VNF_command,2035232,479048,1124968,910604
2,0.1,ROS_VNF_command,2035232,478496,1124404,910576
3,0.1,ROS_VNF_command,2035232,478180,1124376,911180
4,0.1,ROS_VNF_command,2035232,477920,1124136,910932
5,0.1,ROS_VNF_command,2035232,478116,1124332,911152
6,0.1,ROS_VNF_command,2035232,477848,1124064,911168
7,0.1,ROS_VNF_command,2035232,477864,1124040,911192
8,0.1,ROS_VNF_command,2035232,478248,1123984,910996
9,0.1,ROS_VNF_command,2035232,478004,1124260,910468
10,0.1,ROS_VNF_command,2035232,478168,1124384,911084
11,0.1,ROS_VNF_command,2035232,477844,1124060,911172
12,0.1,ROS_VNF_command,2035232,477908,1124124,911108
13,0.1,ROS_VNF_command,2035232,477940,1124156,911076
14,0.1,ROS_VNF_command,2035232,478044,1123756,911476
15,0.1,ROS_VNF_command,2035232,477548,1123764,911468
16,0.1,ROS_VNF_command,2035232,477484,1123660,911572
17,0.1,ROS_VNF_command,2035232,477680,1123700,911280
18,0.1,ROS_VNF_command,2035232,477776,1123676,911556
19,0.1,ROS_VNF_command,2035232,477452,1123668,911564
20,0.1,ROS_VNF_command,2035232,477476,1123708,911524
21,0.1,ROS_VNF_command,2035232,477744,1123960,911800
22,0.1,ROS_VNF_command,2035232,477208,1123424,911808
23,0.1,ROS_VNF_command,2035232,477460,1123676,911864
24,0.1,ROS_VNF_command,2035232,477208,1123676,911556
25,0.1,ROS_VNF_command,2035232,477460,1123680,911820
26,0.1,ROS_VNF_command,2035232,477176,1123648,911584
27,0.1,ROS_VNF_command,2035232,477492,1123712,911520
28,0.1,ROS_VNF_command,2035232,477492,1123712,911520
29,0.1,ROS_VNF_command,2035232,477460,1123404,911576
30,0.1,ROS_VNF_command,2035232,477460,1123680,911552
31,0.1,ROS_VNF_command,2035232,477556,1123776,911456
32,0.1,ROS_VNF_command,2035232,487236,1133700,901532
33,0.1,ROS_VNF_command,2035232,487480,1133700,901824
34,0.1,ROS_VNF_command,2035232,487536,1134008,901224
35,0.1,ROS_VNF_command,2035232,487788,1134008,901508
36,0.1,ROS_VNF_command,2035232,487756,1133976,901548
37,0.1,ROS_VNF_command,2035232,487536,1133756,901476
38,0.1,ROS_VNF_command,2035232,487700,1134172,901240
39,0.1,ROS_VNF_command,2035232,488024,1134584,900736
40,0.1,ROS_VNF_command,2035232,487700,1133628,901352
41,0.1,ROS_VNF_command,2035232,487716,1134188,901216
42,0.1,ROS_VNF_command,2035232,487952,1133968,901264
43,0.1,ROS_VNF_command,2035232,488000,1133652,901580
44,0.1,ROS_VNF_command,2035232,487432,1133620,901612
45,0.1,ROS_VNF_command,2035232,487440,1133668,901564
46,0.1,ROS_VNF_command,2035232,487376,1133604,901912
47,0.1,ROS_VNF_command,2035232,487376,1133572,901692
48,0.1,ROS_VNF_command,2035232,487272,1133752,901480
49,0.1,ROS_VNF_command,2035232,487628,1133856,901660
50,0.1,ROS_VNF_command,2035232,487408,1133352,901628
51,0.1,ROS_VNF_command,2035232,487432,1133664,901632
52,0.1,ROS_VNF_command,2035232,487432,1133664,901544
53,0.1,ROS_VNF_command,2035232,487400,1133632,901348
54,0.1,ROS_VNF_command,2035232,487620,1133852,901380
55,0.1,ROS_VNF_command,2035232,487684,1133916,901316
56,0.1,ROS_VNF_command,2035232,487684,1133916,901316
57,0.1,ROS_VNF_command,2035232,487716,1133860,901372
58,0.1,ROS_VNF_command,2035232,487652,1133884,901348
59,0.1,ROS_VNF_command,2035232,487652,1133884,901348
60,0.1,ROS_VNF_command,2035232,487620,1133852,901380
61,0.1,ROS_VNF_command,2035232,487588,1133820,901412
62,0.1,ROS_VNF_command,2035232,487588,1133732,901500
63,0.1,ROS_VNF_command,2035232,487588,1133512,901720
64,0.1,ROS_VNF_command,2035232,487636,1133868,901364
65,0.1,ROS_VNF_command,2035232,487320,1133552,901680
66,0.1,ROS_VNF_command,2035232,487320,1133292,901940
67,0.1,ROS_VNF_command,2035232,487312,1133796,901436
68,0.1,ROS_VNF_command,2035232,487564,1133796,901728
69,0.1,ROS_VNF_command,2035232,487360,1133592,901388
70,0.1,ROS_VNF_command,2035232,487620,1133564,901756
71,0.1,ROS_VNF_command,2035232,487336,1133572,901660
72,0.1,ROS_VNF_command,2035232,487336,1133572,901660
73,0.1,ROS_VNF_command,2035232,487304,1133540,901692
74,0.1,ROS_VNF_command,2035232,487368,1133604,901628
75,0.1,ROS_VNF_command,2035232,487368,1133604,901628
76,0.1,ROS_VNF_command,2035232,487212,1133448,902108
77,0.1,ROS_VNF_command,2035232,486432,1132408,902824
78,0.1,ROS_VNF_command,2035232,486008,1132212,902768
79,0.1,ROS_VNF_command,2035232,486292,1132448,902792
80,0.1,ROS_VNF_command,2035232,486560,1132804,902428
81,0.1,ROS_VNF_command,2035232,486544,1132788,902744
82,0.1,ROS_VNF_command,2035232,486244,1132656,902324
83,0.1,ROS_VNF_command,2035232,486732,1132756,902752
84,0.1,ROS_VNF_command,2035232,486576,1132820,902696
85,0.1,ROS_VNF_command,2035232,486224,1132468,902764
86,0.1,ROS_VNF_command,2035232,486324,1132576,902656
87,0.1,ROS_VNF_command,2035232,486324,1132828,902316
88,0.1,ROS_VNF_command,2035232,486608,1132536,902696
89,0.1,ROS_VNF_command,2035232,486324,1132576,902656
90,0.1,ROS_VNF_command,2035232,486356,1132608,902664
91,0.1,ROS_VNF_command,2035232,486576,1132916,902632
92,0.1,ROS_VNF_command,2035232,486576,1132796,902436
93,0.1,ROS_VNF_command,2035232,486608,1132828,902680
94,0.1,ROS_VNF_command,2035232,486292,1132544,902688
95,0.1,ROS_VNF_command,2035232,486228,1132732,902500
96,0.1,ROS_VNF_command,2035232,486700,1132384,902596
97,0.1,ROS_VNF_command,2035232,486392,1132644,902588
98,0.1,ROS_VNF_command,2035232,486148,1132652,902904
99,0.1,ROS_VNF_command,2035232,486164,1132416,902872
100,0.1,ROS_VNF_command,2035232,486220,1132480,902752
101,0.1,ROS_VNF_command,2035232,485944,1132196,903036
102,0.1,ROS_VNF_command,2035232,485944,1132200,903032
103,0.1,ROS_VNF_command,2035232,485976,1132232,903000
104,0.1,ROS_VNF_command,2035232,485976,1131972,903260
105,0.1,ROS_VNF_command,2035232,485628,1131884,903348
106,0.1,ROS_VNF_command,2035232,485880,1132136,903348
107,0.1,ROS_VNF_command,2035232,485968,1132476,903008
108,0.1,ROS_VNF_command,2035232,485968,1132476,902756
109,0.1,ROS_VNF_command,2035232,486220,1132476,903040
110,0.1,ROS_VNF_command,2035232,486188,1132444,902788
111,0.1,ROS_VNF_command,2035232,486456,1132712,902796
112,0.1,ROS_VNF_command,2035232,486172,1132432,902548
113,0.1,ROS_VNF_command,2035232,486392,1132620,902612
114,0.1,ROS_VNF_command,2035232,486424,1132684,902848
115,0.1,ROS_VNF_command,2035232,486392,1132652,902580
116,0.1,ROS_VNF_command,2035232,486360,1132620,902612
117,0.1,ROS_VNF_command,2035232,486328,1132588,902644
118,0.1,ROS_VNF_command,2035232,486360,1132344,902888
119,0.1,ROS_VNF_command,2035232,486172,1132436,902544
120,0.1,ROS_VNF_command,2035232,486488,1132752,902480
121,0.1,ROS_VNF_command,2035232,486520,1132784,902284
122,0.1,ROS_VNF_command,2035232,486488,1132720,902172
123,0.1,ROS_VNF_command,2035232,486836,1133100,902132
124,0.1,ROS_VNF_command,2035232,486772,1133044,902188
125,0.1,ROS_VNF_command,2035232,486448,1132940,902284
126,0.1,ROS_VNF_command,2035232,486708,1132980,902252
127,0.1,ROS_VNF_command,2035232,486772,1133044,902244
128,0.1,ROS_VNF_command,2035232,486740,1133012,902220
129,0.1,ROS_VNF_command,2035232,486740,1133012,902276
130,0.1,ROS_VNF_command,2035232,486424,1132948,902608
131,0.1,ROS_VNF_command,2035232,486456,1132404,903080
132,0.1,ROS_VNF_command,2035232,485912,1132184,902796
133,0.1,ROS_VNF_command,2035232,486156,1132680,902552
134,0.1,ROS_VNF_command,2035232,486456,1132728,902504
135,0.1,ROS_VNF_command,2035232,486140,1132412,902568
136,0.1,ROS_VNF_command,2035232,486424,1132696,902536
137,0.1,ROS_VNF_command,2035232,486392,1132664,902568
138,0.1,ROS_VNF_command,2035232,486132,1132388,902488
139,0.1,ROS_VNF_command,2035232,486164,1132688,902544
140,0.1,ROS_VNF_command,2035232,486164,1132688,902544
141,0.1,ROS_VNF_command,2035232,486172,1132444,902788
142,0.1,ROS_VNF_command,2035232,486140,1132664,902568
143,0.1,ROS_VNF_command,2035232,486360,1132308,902672
144,0.1,ROS_VNF_command,2035232,486360,1132632,902600
145,0.1,ROS_VNF_command,2035232,486344,1132316,902916
146,0.1,ROS_VNF_command,2035232,486028,1132300,902932
147,0.1,ROS_VNF_command,2035232,486068,1132048,903184
148,0.1,ROS_VNF_command,2035232,485816,1132088,903144
149,0.1,ROS_VNF_command,2035232,485872,1132144,903144
150,0.1,ROS_VNF_command,2035232,485832,1132272,902960
