iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,01:10:57,0.5,ROS_VNF_command,17.2,2084077568,1139142656,45.3,773074944,576466944,932859904,367878144,62201856,672333824,1359872
1,2022-01-02,01:10:57,0.5,ROS_VNF_command,10.7,2084077568,1139142656,45.3,773074944,576466944,932859904,367878144,62201856,672333824,1359872
2,2022-01-02,01:10:58,0.5,ROS_VNF_command,19.6,2084077568,1138946048,45.4,773271552,576270336,932859904,367878144,62201856,672333824,1359872
3,2022-01-02,01:10:58,0.5,ROS_VNF_command,16.9,2084077568,1139077120,45.3,773140480,576401408,932864000,367878144,62201856,672333824,1359872
4,2022-01-02,01:10:59,0.5,ROS_VNF_command,18.2,2084077568,1139077120,45.3,773132288,576401408,932864000,367878144,62210048,672333824,1359872
5,2022-01-02,01:10:59,0.5,ROS_VNF_command,14.6,2084077568,1139142656,45.3,773066752,576466944,932864000,367878144,62210048,672333824,1359872
6,2022-01-02,01:11:00,0.5,ROS_VNF_command,19.6,2084077568,1139240960,45.3,772968448,576565248,932864000,367878144,62210048,672333824,1359872
7,2022-01-02,01:11:00,0.5,ROS_VNF_command,22.1,2084077568,1150513152,44.8,761720832,587841536,923262976,367878144,62210048,672305152,1359872
8,2022-01-02,01:11:01,0.5,ROS_VNF_command,22.8,2084077568,1150447616,44.8,761786368,587776000,923262976,367878144,62210048,672305152,1359872
9,2022-01-02,01:11:01,0.5,ROS_VNF_command,18.4,2084077568,1150316544,44.8,761917440,587644928,923226112,367878144,62210048,672305152,1359872
10,2022-01-02,01:11:02,0.5,ROS_VNF_command,20.0,2084077568,1150251008,44.8,761982976,587579392,923226112,367878144,62210048,672305152,1359872
11,2022-01-02,01:11:02,0.5,ROS_VNF_command,19.3,2084077568,1150316544,44.8,761917440,587644928,923226112,367878144,62210048,672305152,1359872
12,2022-01-02,01:11:03,0.5,ROS_VNF_command,19.8,2084077568,1150349312,44.8,761884672,587677696,923226112,367878144,62210048,672305152,1359872
13,2022-01-02,01:11:03,0.5,ROS_VNF_command,18.2,2084077568,1150349312,44.8,761884672,587677696,923226112,367878144,62210048,672305152,1359872
14,2022-01-02,01:11:04,0.5,ROS_VNF_command,22.6,2084077568,1150349312,44.8,761884672,587677696,923226112,367878144,62210048,672305152,1359872
15,2022-01-02,01:11:04,0.5,ROS_VNF_command,19.3,2084077568,1150414848,44.8,761810944,587743232,923226112,367878144,62218240,672305152,1359872
