iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,06:46:14,0.5,ROS_VNF_command,30.0,2084077568,590729216,71.7,1317109760,117874688,1221656576,492167168,58433536,590659584,1527808
1,2022-01-02,06:46:15,0.5,ROS_VNF_command,25.3,2084077568,590761984,71.7,1317076992,117907456,1221718016,492167168,58433536,590659584,1527808
2,2022-01-02,06:46:15,0.5,ROS_VNF_command,15.7,2084077568,590700544,71.7,1317138432,117841920,1221791744,492163072,58433536,590663680,1527808
3,2022-01-02,06:46:16,0.5,ROS_VNF_command,17.6,2084077568,590733312,71.7,1317105664,117874688,1221935104,492163072,58433536,590663680,1527808
4,2022-01-02,06:46:16,0.5,ROS_VNF_command,21.3,2084077568,590864384,71.6,1316974592,118005760,1221935104,492163072,58433536,590663680,1527808
5,2022-01-02,06:46:17,0.5,ROS_VNF_command,21.6,2084077568,590770176,71.7,1317068800,117907456,1222033408,492167168,58433536,590667776,1527808
6,2022-01-02,06:46:17,0.5,ROS_VNF_command,17.6,2084077568,590770176,71.7,1317068800,117907456,1222139904,492167168,58433536,590667776,1527808
7,2022-01-02,06:46:18,0.5,ROS_VNF_command,17.6,2084077568,598077440,71.3,1309761536,125214720,1217753088,489930752,58433536,590667776,1527808
8,2022-01-02,06:46:18,0.5,ROS_VNF_command,30.4,2084077568,598077440,71.3,1309761536,125214720,1217753088,489930752,58433536,590667776,1527808
9,2022-01-02,06:46:19,0.5,ROS_VNF_command,22.5,2084077568,598048768,71.3,1309798400,125186048,1217777664,489848832,58433536,590659584,1527808
10,2022-01-02,06:46:19,0.5,ROS_VNF_command,17.6,2084077568,598179840,71.3,1309667328,125317120,1217908736,489848832,58433536,590659584,1527808
11,2022-01-02,06:46:20,0.5,ROS_VNF_command,23.9,2084077568,598220800,71.3,1309626368,125349888,1218117632,489848832,58441728,590659584,1527808
12,2022-01-02,06:46:20,0.5,ROS_VNF_command,28.4,2084077568,598089728,71.3,1309757440,125218816,1218179072,489848832,58441728,590659584,1527808
13,2022-01-02,06:46:21,0.5,ROS_VNF_command,26.7,2084077568,598188032,71.3,1309659136,125317120,1218179072,489848832,58441728,590659584,1527808
14,2022-01-02,06:46:21,0.5,ROS_VNF_command,20.2,2084077568,598188032,71.3,1309659136,125317120,1218228224,489848832,58441728,590659584,1527808
15,2022-01-02,06:46:22,0.5,ROS_VNF_command,17.6,2084077568,598220800,71.3,1309626368,125349888,1218318336,489848832,58441728,590659584,1527808
16,2022-01-02,06:46:22,0.5,ROS_VNF_command,16.9,2084077568,598061056,71.3,1309786112,125186048,1218318336,489852928,58441728,590663680,1527808
17,2022-01-02,06:46:23,0.5,ROS_VNF_command,29.2,2084077568,598159360,71.3,1309687808,125284352,1218318336,489852928,58441728,590663680,1527808
18,2022-01-02,06:46:23,0.5,ROS_VNF_command,25.0,2084077568,598257664,71.3,1309589504,125382656,1218318336,489852928,58441728,590663680,1527808
19,2022-01-02,06:46:24,0.5,ROS_VNF_command,24.7,2084077568,598192128,71.3,1309655040,125317120,1218633728,489852928,58441728,590663680,1527808
20,2022-01-02,06:46:24,0.5,ROS_VNF_command,19.0,2084077568,598290432,71.3,1309556736,125415424,1218650112,489852928,58441728,590663680,1527808
21,2022-01-02,06:46:25,0.5,ROS_VNF_command,28.7,2084077568,598159360,71.3,1309687808,125284352,1218650112,489852928,58449920,590655488,1527808
22,2022-01-02,06:46:26,0.5,ROS_VNF_command,25.0,2084077568,598265856,71.3,1309581312,125382656,1218662400,489852928,58449920,590663680,1527808
23,2022-01-02,06:46:26,0.5,ROS_VNF_command,18.6,2084077568,598134784,71.3,1309708288,125251584,1218674688,489852928,58449920,590667776,1527808
24,2022-01-02,06:46:27,0.5,ROS_VNF_command,21.6,2084077568,598159360,71.3,1309704192,125251584,1218703360,489877504,58449920,590671872,1527808
25,2022-01-02,06:46:27,0.5,ROS_VNF_command,23.9,2084077568,598028288,71.3,1309835264,125120512,1218732032,489877504,58449920,590671872,1527808
26,2022-01-02,06:46:28,0.5,ROS_VNF_command,20.7,2084077568,598065152,71.3,1309798400,125153280,1218768896,489881600,58449920,590675968,1527808
27,2022-01-02,06:46:28,0.5,ROS_VNF_command,16.7,2084077568,598167552,71.3,1309696000,125251584,1218768896,489885696,58449920,590680064,1527808
28,2022-01-02,06:46:29,0.5,ROS_VNF_command,24.1,2084077568,598208512,71.3,1309655040,125284352,1218871296,489893888,58449920,590688256,1527808
29,2022-01-02,06:46:29,0.5,ROS_VNF_command,24.4,2084077568,598077440,71.3,1309786112,125153280,1218871296,489893888,58449920,590688256,1527808
30,2022-01-02,06:46:30,0.5,ROS_VNF_command,13.4,2084077568,598208512,71.3,1309655040,125284352,1218904064,489893888,58449920,590688256,1527808
31,2022-01-02,06:46:30,0.5,ROS_VNF_command,15.9,2084077568,598306816,71.3,1309556736,125382656,1218904064,489893888,58449920,590688256,1527808
32,2022-01-02,06:46:31,0.5,ROS_VNF_command,26.5,2084077568,598151168,71.3,1309712384,125218816,1218949120,489893888,58458112,590688256,1527808
33,2022-01-02,06:46:31,0.5,ROS_VNF_command,21.2,2084077568,598052864,71.3,1309810688,125120512,1218949120,489893888,58458112,590688256,1527808
34,2022-01-02,06:46:32,0.5,ROS_VNF_command,11.6,2084077568,598216704,71.3,1309646848,125284352,1218949120,489893888,58458112,590688256,1527808
35,2022-01-02,06:46:32,0.5,ROS_VNF_command,20.7,2084077568,598020096,71.3,1309843456,125087744,1219129344,489893888,58458112,590688256,1527808
36,2022-01-02,06:46:33,0.5,ROS_VNF_command,21.0,2084077568,598085632,71.3,1309777920,125153280,1219129344,489893888,58458112,590688256,1527808
37,2022-01-02,06:46:33,0.5,ROS_VNF_command,29.9,2084077568,598286336,71.3,1309577216,125349888,1219129344,489897984,58458112,590692352,1527808
38,2022-01-02,06:46:34,0.5,ROS_VNF_command,9.5,2084077568,598253568,71.3,1309609984,125317120,1219149824,489897984,58458112,590692352,1527808
39,2022-01-02,06:46:34,0.5,ROS_VNF_command,17.0,2084077568,598122496,71.3,1309741056,125186048,1219162112,489897984,58458112,590692352,1527808
40,2022-01-02,06:46:35,0.5,ROS_VNF_command,24.1,2084077568,598192128,71.3,1309671424,125251584,1219162112,489902080,58458112,590696448,1527808
41,2022-01-02,06:46:35,0.5,ROS_VNF_command,20.5,2084077568,598192128,71.3,1309671424,125251584,1219198976,489902080,58458112,590696448,1527808
42,2022-01-02,06:46:36,0.5,ROS_VNF_command,15.9,2084077568,598200320,71.3,1309659136,125251584,1219219456,489902080,58466304,590700544,1527808
43,2022-01-02,06:46:36,0.5,ROS_VNF_command,13.1,2084077568,598233088,71.3,1309626368,125284352,1219219456,489902080,58466304,590700544,1527808
44,2022-01-02,06:46:37,0.5,ROS_VNF_command,17.2,2084077568,598110208,71.3,1309753344,125153280,1219219456,489910272,58466304,590704640,1527808
45,2022-01-02,06:46:37,0.5,ROS_VNF_command,15.0,2084077568,598208512,71.3,1309655040,125251584,1219219456,489910272,58466304,590704640,1527808
46,2022-01-02,06:46:38,0.5,ROS_VNF_command,21.6,2084077568,598175744,71.3,1309687808,125218816,1219280896,489910272,58466304,590704640,1527808
47,2022-01-02,06:46:38,0.5,ROS_VNF_command,18.2,2084077568,598208512,71.3,1309655040,125251584,1219416064,489910272,58466304,590704640,1527808
48,2022-01-02,06:46:39,0.5,ROS_VNF_command,19.5,2084077568,598241280,71.3,1309622272,125284352,1219440640,489910272,58466304,590704640,1527808
49,2022-01-02,06:46:39,0.5,ROS_VNF_command,16.5,2084077568,598142976,71.3,1309720576,125186048,1219440640,489910272,58466304,590704640,1527808
50,2022-01-02,06:46:40,0.5,ROS_VNF_command,23.9,2084077568,598339584,71.3,1309523968,125382656,1219489792,489910272,58466304,590704640,1527808
51,2022-01-02,06:46:40,0.5,ROS_VNF_command,20.2,2084077568,598175744,71.3,1309687808,125218816,1219489792,489910272,58466304,590704640,1527808
52,2022-01-02,06:46:41,0.5,ROS_VNF_command,28.1,2084077568,598339584,71.3,1309515776,125382656,1219502080,489910272,58474496,590704640,1527808
53,2022-01-02,06:46:41,0.5,ROS_VNF_command,39.8,2084077568,598315008,71.3,1309548544,125349888,1219596288,489910272,58474496,590704640,1527808
54,2022-01-02,06:46:42,0.5,ROS_VNF_command,22.5,2084077568,598290432,71.3,1309573120,125317120,1219596288,489918464,58474496,590712832,1527808
55,2022-01-02,06:46:42,0.5,ROS_VNF_command,20.7,2084077568,598355968,71.3,1309507584,125382656,1219629056,489918464,58474496,590712832,1527808
56,2022-01-02,06:46:43,0.5,ROS_VNF_command,21.1,2084077568,598265856,71.3,1309597696,125284352,1219637248,489926656,58474496,590721024,1527808
57,2022-01-02,06:46:43,0.5,ROS_VNF_command,22.7,2084077568,598204416,71.3,1309659136,125218816,1219702784,489930752,58474496,590725120,1527808
58,2022-01-02,06:46:44,0.5,ROS_VNF_command,34.4,2084077568,598269952,71.3,1309593600,125284352,1219702784,489930752,58474496,590725120,1527808
59,2022-01-02,06:46:44,0.5,ROS_VNF_command,20.5,2084077568,598138880,71.3,1309724672,125153280,1219805184,489930752,58474496,590725120,1527808
60,2022-01-02,06:46:45,0.5,ROS_VNF_command,14.3,2084077568,598269952,71.3,1309593600,125284352,1219846144,489930752,58474496,590725120,1527808
61,2022-01-02,06:46:45,0.5,ROS_VNF_command,18.8,2084077568,598077440,71.3,1309786112,125091840,1219858432,489930752,58474496,590725120,1527808
62,2022-01-02,06:46:46,0.5,ROS_VNF_command,16.3,2084077568,598020096,71.3,1309843456,125026304,1219866624,489930752,58482688,590725120,1527808
63,2022-01-02,06:46:46,0.5,ROS_VNF_command,21.1,2084077568,597954560,71.3,1309908992,124960768,1219866624,489930752,58482688,590725120,1527808
64,2022-01-02,06:46:47,0.5,ROS_VNF_command,30.2,2084077568,598052864,71.3,1309810688,125059072,1219870720,489930752,58482688,590725120,1527808
65,2022-01-02,06:46:47,0.5,ROS_VNF_command,27.9,2084077568,598020096,71.3,1309843456,125026304,1220001792,489930752,58482688,590725120,1527808
66,2022-01-02,06:46:48,0.5,ROS_VNF_command,25.6,2084077568,597991424,71.3,1309872128,124993536,1220005888,489934848,58482688,590729216,1527808
67,2022-01-02,06:46:48,0.5,ROS_VNF_command,18.4,2084077568,598056960,71.3,1309806592,125059072,1220005888,489934848,58482688,590729216,1527808
68,2022-01-02,06:46:49,0.5,ROS_VNF_command,19.3,2084077568,597925888,71.3,1309937664,124928000,1220005888,489934848,58482688,590729216,1527808
69,2022-01-02,06:46:49,0.5,ROS_VNF_command,34.4,2084077568,597991424,71.3,1309872128,124993536,1220116480,489934848,58482688,590729216,1527808
70,2022-01-02,06:46:50,0.5,ROS_VNF_command,20.0,2084077568,598056960,71.3,1309802496,125059072,1220141056,489934848,58482688,590733312,1527808
71,2022-01-02,06:46:50,0.5,ROS_VNF_command,15.3,2084077568,598024192,71.3,1309831168,125026304,1220141056,489934848,58482688,590737408,1527808
72,2022-01-02,06:46:51,0.5,ROS_VNF_command,16.3,2084077568,597966848,71.3,1309892608,124960768,1220186112,489943040,58482688,590741504,1527808
