iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-01,19:44:00,0.5,ROS_VNF_command,2.1,2084077568,1553854464,25.4,364957696,1010688000,523001856,388182016,63721472,644710400,1155072
1,2022-01-01,19:44:01,0.5,ROS_VNF_command,3.1,2084077568,1553854464,25.4,364957696,1010688000,523001856,388182016,63721472,644710400,1155072
2,2022-01-01,19:44:01,0.5,ROS_VNF_command,2.1,2084077568,1553952768,25.4,364859392,1010786304,523001856,388182016,63721472,644710400,1155072
3,2022-01-01,19:44:02,0.5,ROS_VNF_command,3.2,2084077568,1553920000,25.4,364892160,1010753536,523001856,388182016,63721472,644710400,1155072
4,2022-01-01,19:44:02,0.5,ROS_VNF_command,5.2,2084077568,1553956864,25.4,364859392,1010786304,523120640,388186112,63721472,644710400,1155072
5,2022-01-01,19:44:03,0.5,ROS_VNF_command,0.0,2084077568,1553924096,25.4,364892160,1010753536,523120640,388186112,63721472,644710400,1155072
6,2022-01-01,19:44:03,0.5,ROS_VNF_command,9.3,2084077568,1562791936,25.0,356036608,1019633664,514113536,388186112,63721472,644685824,1155072
7,2022-01-01,19:44:04,0.5,ROS_VNF_command,3.1,2084077568,1562791936,25.0,356036608,1019633664,514113536,388186112,63721472,644685824,1155072
8,2022-01-01,19:44:04,0.5,ROS_VNF_command,2.1,2084077568,1562857472,25.0,355971072,1019699200,514105344,388186112,63721472,644685824,1155072
9,2022-01-01,19:44:05,0.5,ROS_VNF_command,6.1,2084077568,1562890240,25.0,355938304,1019731968,514105344,388186112,63721472,644685824,1155072
10,2022-01-01,19:44:05,0.5,ROS_VNF_command,5.2,2084077568,1562791936,25.0,356028416,1019633664,514105344,388186112,63729664,644685824,1155072
11,2022-01-01,19:44:06,0.5,ROS_VNF_command,3.2,2084077568,1562791936,25.0,356028416,1019633664,514105344,388186112,63729664,644685824,1155072
12,2022-01-01,19:44:06,0.5,ROS_VNF_command,5.3,2084077568,1562857472,25.0,355962880,1019699200,514105344,388186112,63729664,644685824,1155072
13,2022-01-01,19:44:07,0.5,ROS_VNF_command,6.1,2084077568,1562824704,25.0,355995648,1019666432,514105344,388186112,63729664,644685824,1155072
14,2022-01-01,19:44:07,0.5,ROS_VNF_command,4.2,2084077568,1562697728,25.0,356122624,1019535360,514105344,388190208,63729664,644689920,1155072
15,2022-01-01,19:44:08,0.5,ROS_VNF_command,3.1,2084077568,1562796032,25.0,356024320,1019633664,514105344,388190208,63729664,644689920,1155072
16,2022-01-01,19:44:08,0.5,ROS_VNF_command,5.3,2084077568,1562861568,25.0,355958784,1019699200,514138112,388190208,63729664,644689920,1155072
