iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-01,20:31:47,0.5,ROS_VNF_command,10.8,2084077568,1417187328,32.0,498864128,871104512,672133120,364875776,60948480,653160448,1224704
1,2022-01-01,20:31:47,0.5,ROS_VNF_command,4.3,2084077568,1417187328,32.0,498864128,871104512,672133120,364875776,60948480,653160448,1224704
2,2022-01-01,20:31:48,0.5,ROS_VNF_command,4.3,2084077568,1417187328,32.0,498864128,871104512,672133120,364875776,60948480,653160448,1224704
3,2022-01-01,20:31:48,0.5,ROS_VNF_command,8.4,2084077568,1417154560,32.0,498896896,871071744,672133120,364875776,60948480,653160448,1224704
4,2022-01-01,20:31:49,0.5,ROS_VNF_command,7.4,2084077568,1417154560,32.0,498896896,871071744,672133120,364875776,60948480,653160448,1224704
5,2022-01-01,20:31:49,0.5,ROS_VNF_command,9.5,2084077568,1417154560,32.0,498896896,871071744,672133120,364875776,60948480,653160448,1224704
6,2022-01-01,20:31:50,0.5,ROS_VNF_command,5.5,2084077568,1417154560,32.0,498896896,871071744,672133120,364875776,60960768,653148160,1224704
7,2022-01-01,20:31:50,0.5,ROS_VNF_command,12.9,2084077568,1428201472,31.5,487862272,882098176,662806528,364883968,60960768,653156352,1224704
8,2022-01-01,20:31:51,0.5,ROS_VNF_command,9.5,2084077568,1428234240,31.5,487829504,882130944,662806528,364883968,60960768,653156352,1224704
9,2022-01-01,20:31:51,0.5,ROS_VNF_command,5.6,2084077568,1428267008,31.5,487796736,882163712,662806528,364883968,60960768,653156352,1224704
10,2022-01-01,20:31:52,0.5,ROS_VNF_command,9.6,2084077568,1428267008,31.5,487796736,882163712,662806528,364883968,60960768,653156352,1224704
11,2022-01-01,20:31:52,0.5,ROS_VNF_command,7.5,2084077568,1428234240,31.5,487829504,882130944,662863872,364883968,60960768,653156352,1224704
12,2022-01-01,20:31:53,0.5,ROS_VNF_command,5.6,2084077568,1428135936,31.5,487927808,882032640,662863872,364883968,60960768,653156352,1224704
13,2022-01-01,20:31:53,0.5,ROS_VNF_command,7.5,2084077568,1428004864,31.5,488058880,881901568,662863872,364883968,60960768,653156352,1224704
14,2022-01-01,20:31:54,0.5,ROS_VNF_command,5.5,2084077568,1428004864,31.5,488058880,881901568,662863872,364883968,60960768,653156352,1224704
15,2022-01-01,20:31:54,0.5,ROS_VNF_command,11.2,2084077568,1428103168,31.5,487960576,881999872,662863872,364883968,60960768,653156352,1224704
16,2022-01-01,20:31:55,0.5,ROS_VNF_command,8.5,2084077568,1428103168,31.5,487960576,881999872,662863872,364883968,60960768,653156352,1224704
17,2022-01-01,20:31:55,0.5,ROS_VNF_command,5.6,2084077568,1428201472,31.5,487854080,882098176,662863872,364883968,60968960,653156352,1224704
18,2022-01-01,20:31:56,0.5,ROS_VNF_command,3.4,2084077568,1428201472,31.5,487854080,882098176,662863872,364883968,60968960,653156352,1224704
19,2022-01-01,20:31:56,0.5,ROS_VNF_command,4.4,2084077568,1428201472,31.5,487854080,882098176,662863872,364883968,60968960,653156352,1224704
20,2022-01-01,20:31:57,0.5,ROS_VNF_command,6.5,2084077568,1428103168,31.5,487952384,881999872,662863872,364883968,60968960,653156352,1224704
21,2022-01-01,20:31:57,0.5,ROS_VNF_command,6.6,2084077568,1428037632,31.5,488017920,881934336,662863872,364883968,60968960,653156352,1224704
22,2022-01-01,20:31:58,0.5,ROS_VNF_command,6.7,2084077568,1428037632,31.5,488017920,881934336,662863872,364883968,60968960,653156352,1224704
23,2022-01-01,20:31:58,0.5,ROS_VNF_command,5.6,2084077568,1428111360,31.5,487952384,881999872,662859776,364892160,60968960,653156352,1224704
24,2022-01-01,20:31:59,0.5,ROS_VNF_command,5.5,2084077568,1428078592,31.5,487985152,881967104,662859776,364892160,60968960,653156352,1224704
