iteration,measurement_period,machine/VNF,usercpu,syscpu,nicecpu,idlecpu,IOwaitcpu,HWInteruptscpu,SWInteruptscpu,stolencpu,Total(NoIdle),RAMused
2,0.1,ROS_VNF_interface,27.3,36.4,0.0,0.0,6.1,0.0,30.3,0.0,100.1,1792.1
4,0.1,ROS_VNF_interface,32.1,28.6,0.0,0.0,3.6,0.0,35.7,0.0,100.0,1792.1
6,0.1,ROS_VNF_interface,41.7,25.0,0.0,0.0,16.7,0.0,16.7,0.0,100.1,1792.1
8,0.1,ROS_VNF_interface,39.1,21.7,0.0,0.0,13.0,0.0,26.1,0.0,99.9,1792.1
10,0.1,ROS_VNF_interface,32.1,32.1,0.0,0.0,17.9,0.0,17.9,0.0,100.0,1792.1
12,0.1,ROS_VNF_interface,25.8,29.0,0.0,0.0,12.9,0.0,32.3,0.0,100.0,1792.1
14,0.1,ROS_VNF_interface,23.1,26.9,0.0,0.0,15.4,0.0,34.6,0.0,100.0,1792.1
16,0.1,ROS_VNF_interface,31.8,31.8,0.0,0.0,13.6,0.0,22.7,0.0,99.9,1792.1
18,0.1,ROS_VNF_interface,20.0,34.5,0.0,0.0,21.8,0.0,23.6,0.0,99.9,1792.1
20,0.1,ROS_VNF_interface,20.8,12.5,0.0,0.0,37.5,0.0,29.2,0.0,100.0,1792.1
22,0.1,ROS_VNF_interface,13.6,9.1,0.0,0.0,45.5,0.0,31.8,0.0,100.0,1792.1
24,0.1,ROS_VNF_interface,27.3,18.2,0.0,0.0,36.4,0.0,18.2,0.0,100.1,1792.1
26,0.1,ROS_VNF_interface,18.2,22.7,0.0,0.0,27.3,0.0,31.8,0.0,100.0,1792.1
28,0.1,ROS_VNF_interface,25.0,12.5,0.0,0.0,37.5,0.0,25.0,0.0,100.0,1795.0
30,0.1,ROS_VNF_interface,31.0,31.0,0.0,0.0,0.0,0.0,37.9,0.0,99.9,1795.0
32,0.1,ROS_VNF_interface,20.0,28.0,0.0,0.0,20.0,0.0,32.0,0.0,100.0,1795.0
34,0.1,ROS_VNF_interface,18.2,27.3,0.0,0.0,31.8,0.0,22.7,0.0,100.0,1795.0
36,0.1,ROS_VNF_interface,24.0,36.0,0.0,0.0,16.0,0.0,24.0,0.0,100.0,1795.0
38,0.1,ROS_VNF_interface,11.5,19.2,0.0,0.0,30.8,0.0,38.5,0.0,100.0,1795.0
40,0.1,ROS_VNF_interface,26.9,26.9,0.0,0.0,19.2,0.0,26.9,0.0,99.9,1795.0
42,0.1,ROS_VNF_interface,22.2,22.2,0.0,0.0,25.9,0.0,29.6,0.0,99.9,1795.0
44,0.1,ROS_VNF_interface,23.1,19.2,0.0,0.0,26.9,0.0,30.8,0.0,100.0,1795.0
46,0.1,ROS_VNF_interface,25.9,25.9,0.0,0.0,22.2,0.0,25.9,0.0,99.9,1795.0
48,0.1,ROS_VNF_interface,29.2,20.8,0.0,0.0,16.7,0.0,33.3,0.0,100.0,1795.0
50,0.1,ROS_VNF_interface,34.6,26.9,0.0,0.0,19.2,0.0,19.2,0.0,99.9,1795.0
52,0.1,ROS_VNF_interface,34.6,19.2,0.0,0.0,15.4,0.0,30.8,0.0,100.0,1795.0
54,0.1,ROS_VNF_interface,30.4,26.1,0.0,0.0,17.4,0.0,26.1,0.0,100.0,1795.0
56,0.1,ROS_VNF_interface,26.9,23.1,0.0,0.0,19.2,0.0,30.8,0.0,100.0,1795.0
58,0.1,ROS_VNF_interface,23.3,23.3,0.0,0.0,23.3,0.0,30.0,0.0,99.9,1795.0
60,0.1,ROS_VNF_interface,37.5,12.5,0.0,0.0,25.0,0.0,25.0,0.0,100.0,1795.0
62,0.1,ROS_VNF_interface,21.7,17.4,0.0,0.0,26.1,0.0,34.8,0.0,100.0,1795.0
64,0.1,ROS_VNF_interface,19.2,23.1,0.0,0.0,26.9,0.0,30.8,0.0,100.0,1795.0
66,0.1,ROS_VNF_interface,30.4,26.1,0.0,0.0,21.7,0.0,21.7,0.0,99.9,1795.0
68,0.1,ROS_VNF_interface,20.8,25.0,0.0,0.0,20.8,0.0,33.3,0.0,99.9,1795.0
70,0.1,ROS_VNF_interface,23.8,23.8,0.0,0.0,23.8,0.0,28.6,0.0,100.0,1795.0
72,0.1,ROS_VNF_interface,25.9,33.3,0.0,0.0,14.8,0.0,25.9,0.0,99.9,1796.0
74,0.1,ROS_VNF_interface,30.0,30.0,0.0,0.0,20.0,0.0,20.0,0.0,100.0,1796.0
76,0.1,ROS_VNF_interface,25.0,16.7,0.0,0.0,25.0,0.0,33.3,0.0,100.0,1796.0
78,0.1,ROS_VNF_interface,27.3,13.6,0.0,0.0,31.8,0.0,27.3,0.0,100.0,1796.0
80,0.1,ROS_VNF_interface,39.1,17.4,0.0,0.0,21.7,0.0,21.7,0.0,99.9,1796.0
82,0.1,ROS_VNF_interface,32.0,28.0,0.0,0.0,20.0,0.0,20.0,0.0,100.0,1796.0
84,0.1,ROS_VNF_interface,29.2,29.2,0.0,0.0,12.5,0.0,29.2,0.0,100.1,1796.0
86,0.1,ROS_VNF_interface,32.0,40.0,0.0,0.0,4.0,0.0,24.0,0.0,100.0,1796.0
88,0.1,ROS_VNF_interface,35.7,21.4,0.0,0.0,21.4,0.0,21.4,0.0,99.9,1796.0
90,0.1,ROS_VNF_interface,16.1,29.0,0.0,0.0,25.8,0.0,29.0,0.0,99.9,1796.0
92,0.1,ROS_VNF_interface,28.6,14.3,0.0,0.0,23.8,0.0,33.3,0.0,100.0,1796.0
94,0.1,ROS_VNF_interface,36.0,24.0,0.0,0.0,12.0,0.0,28.0,0.0,100.0,1796.0
96,0.1,ROS_VNF_interface,25.0,50.0,0.0,0.0,3.6,0.0,21.4,0.0,100.0,1796.0
98,0.1,ROS_VNF_interface,24.0,32.0,0.0,0.0,20.0,0.0,24.0,0.0,100.0,1796.0
100,0.1,ROS_VNF_interface,38.5,26.9,0.0,0.0,11.5,0.0,23.1,0.0,100.0,1796.0
102,0.1,ROS_VNF_interface,44.4,22.2,0.0,0.0,7.4,0.0,25.9,0.0,99.9,1796.0
104,0.1,ROS_VNF_interface,35.7,42.9,0.0,0.0,0.0,0.0,21.4,0.0,100.0,1796.0
106,0.1,ROS_VNF_interface,41.7,20.8,0.0,0.0,8.3,0.0,29.2,0.0,100.0,1796.0
108,0.1,ROS_VNF_interface,30.4,26.1,0.0,0.0,13.0,0.0,30.4,0.0,99.9,1796.0
110,0.1,ROS_VNF_interface,30.8,23.1,0.0,0.0,19.2,0.0,26.9,0.0,100.0,1796.0
112,0.1,ROS_VNF_interface,21.2,51.5,0.0,0.0,6.1,0.0,21.2,0.0,100.0,1796.0
114,0.1,ROS_VNF_interface,23.7,47.4,0.0,0.0,2.6,0.0,26.3,0.0,100.0,1796.5
116,0.1,ROS_VNF_interface,38.2,38.2,0.0,0.0,0.0,0.0,23.5,0.0,99.9,1796.5
118,0.1,ROS_VNF_interface,53.1,34.4,0.0,0.0,0.0,0.0,12.5,0.0,100.0,1796.5
120,0.1,ROS_VNF_interface,36.7,30.0,0.0,0.0,6.7,0.0,26.7,0.0,100.1,1796.5
122,0.1,ROS_VNF_interface,33.3,25.0,0.0,0.0,16.7,0.0,25.0,0.0,100.0,1796.5
124,0.1,ROS_VNF_interface,27.6,31.0,0.0,0.0,20.7,0.0,20.7,0.0,100.0,1796.5
126,0.1,ROS_VNF_interface,37.5,15.6,0.0,0.0,18.8,0.0,28.1,0.0,100.0,1796.5
128,0.1,ROS_VNF_interface,17.2,31.0,0.0,0.0,10.3,0.0,41.4,0.0,99.9,1796.5
130,0.1,ROS_VNF_interface,26.7,20.0,0.0,0.0,20.0,0.0,33.3,0.0,100.0,1796.5
132,0.1,ROS_VNF_interface,21.2,57.6,0.0,0.0,3.0,0.0,18.2,0.0,100.0,1796.5
134,0.1,ROS_VNF_interface,27.8,50.0,0.0,0.0,2.8,0.0,19.4,0.0,100.0,1796.5
136,0.1,ROS_VNF_interface,22.2,22.2,0.0,0.0,18.5,0.0,37.0,0.0,99.9,1796.5
138,0.1,ROS_VNF_interface,25.8,25.8,0.0,0.0,16.1,0.0,32.3,0.0,100.0,1796.5
140,0.1,ROS_VNF_interface,32.3,32.3,0.0,0.0,16.1,0.0,19.4,0.0,100.1,1796.5
142,0.1,ROS_VNF_interface,23.5,26.5,0.0,0.0,20.6,0.0,29.4,0.0,100.0,1796.5
144,0.1,ROS_VNF_interface,20.7,51.7,0.0,0.0,6.9,0.0,20.7,0.0,100.0,1796.5
146,0.1,ROS_VNF_interface,21.1,42.1,0.0,0.0,10.5,0.0,26.3,0.0,100.0,1796.5
148,0.1,ROS_VNF_interface,23.3,33.3,0.0,0.0,13.3,0.0,30.0,0.0,99.9,1796.5
150,0.1,ROS_VNF_interface,32.4,26.5,0.0,0.0,11.8,0.0,29.4,0.0,100.1,1798.5
152,0.1,ROS_VNF_interface,24.4,41.5,0.0,0.0,7.3,0.0,26.8,0.0,100.0,1798.5
154,0.1,ROS_VNF_interface,32.3,25.8,0.0,6.5,9.7,0.0,25.8,0.0,93.6,1798.5
156,0.1,ROS_VNF_interface,37.9,17.2,0.0,0.0,17.2,0.0,27.6,0.0,99.9,1798.5
158,0.1,ROS_VNF_interface,30.8,23.1,0.0,11.5,15.4,0.0,19.2,0.0,88.5,1798.5
160,0.1,ROS_VNF_interface,32.0,28.0,0.0,0.0,12.0,0.0,28.0,0.0,100.0,1798.5
162,0.1,ROS_VNF_interface,20.0,48.0,0.0,0.0,8.0,0.0,24.0,0.0,100.0,1798.5
164,0.1,ROS_VNF_interface,26.7,46.7,0.0,0.0,3.3,0.0,23.3,0.0,100.0,1798.5
166,0.1,ROS_VNF_interface,34.6,26.9,0.0,0.0,11.5,0.0,26.9,0.0,99.9,1798.5
168,0.1,ROS_VNF_interface,33.3,23.8,0.0,0.0,19.0,0.0,23.8,0.0,99.9,1798.5
170,0.1,ROS_VNF_interface,24.0,24.0,0.0,0.0,24.0,0.0,28.0,0.0,100.0,1798.5
172,0.1,ROS_VNF_interface,26.9,23.1,0.0,0.0,34.6,0.0,15.4,0.0,100.0,1798.5
174,0.1,ROS_VNF_interface,31.0,17.2,0.0,0.0,24.1,0.0,27.6,0.0,99.9,1798.5
176,0.1,ROS_VNF_interface,29.0,25.8,0.0,0.0,16.1,0.0,29.0,0.0,99.9,1798.5
178,0.1,ROS_VNF_interface,23.3,33.3,0.0,0.0,13.3,0.0,30.0,0.0,99.9,1798.5
180,0.1,ROS_VNF_interface,46.2,19.2,0.0,0.0,11.5,0.0,23.1,0.0,100.0,1798.5
182,0.1,ROS_VNF_interface,28.0,40.0,0.0,0.0,8.0,0.0,24.0,0.0,100.0,1798.5
184,0.1,ROS_VNF_interface,20.0,48.0,0.0,0.0,8.0,0.0,24.0,0.0,100.0,1798.5
186,0.1,ROS_VNF_interface,25.0,44.4,0.0,0.0,2.8,0.0,27.8,0.0,100.0,1798.5
188,0.1,ROS_VNF_interface,30.4,26.1,0.0,0.0,13.0,0.0,30.4,0.0,99.9,1799.3
190,0.1,ROS_VNF_interface,10.5,10.5,0.0,0.0,47.4,0.0,31.6,0.0,100.0,1799.3
192,0.1,ROS_VNF_interface,24.3,16.2,0.0,0.0,24.3,0.0,35.1,0.0,99.9,1799.3
194,0.1,ROS_VNF_interface,34.6,26.9,0.0,0.0,23.1,0.0,15.4,0.0,100.0,1799.3
196,0.1,ROS_VNF_interface,28.6,25.0,0.0,0.0,25.0,0.0,21.4,0.0,100.0,1799.3
198,0.1,ROS_VNF_interface,23.8,9.5,0.0,0.0,33.3,0.0,33.3,0.0,99.9,1799.3
200,0.1,ROS_VNF_interface,20.0,40.0,0.0,0.0,16.0,0.0,24.0,0.0,100.0,1799.3
202,0.1,ROS_VNF_interface,23.8,23.8,0.0,0.0,19.0,0.0,33.3,0.0,99.9,1799.3
204,0.1,ROS_VNF_interface,25.0,37.5,0.0,0.0,8.3,0.0,29.2,0.0,100.0,1799.3
206,0.1,ROS_VNF_interface,32.0,16.0,0.0,0.0,24.0,0.0,28.0,0.0,100.0,1799.3
208,0.1,ROS_VNF_interface,20.8,33.3,0.0,0.0,20.8,0.0,25.0,0.0,99.9,1799.3
210,0.1,ROS_VNF_interface,28.2,35.9,0.0,0.0,10.3,0.0,25.6,0.0,100.0,1799.3
212,0.1,ROS_VNF_interface,25.8,32.3,0.0,0.0,12.9,0.0,29.0,0.0,100.0,1799.3
214,0.1,ROS_VNF_interface,27.6,37.9,0.0,0.0,3.4,0.0,31.0,0.0,99.9,1799.3
216,0.1,ROS_VNF_interface,18.8,21.9,0.0,0.0,25.0,0.0,34.4,0.0,100.1,1799.3
218,0.1,ROS_VNF_interface,31.0,27.6,0.0,0.0,20.7,0.0,20.7,0.0,100.0,1799.3
220,0.1,ROS_VNF_interface,33.3,19.0,0.0,0.0,23.8,0.0,23.8,0.0,99.9,1799.3
222,0.1,ROS_VNF_interface,30.8,23.1,0.0,0.0,23.1,0.0,23.1,0.0,100.1,1799.3
224,0.1,ROS_VNF_interface,34.8,21.7,0.0,0.0,26.1,0.0,17.4,0.0,100.0,1799.3
226,0.1,ROS_VNF_interface,37.5,20.8,0.0,0.0,16.7,0.0,25.0,0.0,100.0,1799.3
228,0.1,ROS_VNF_interface,21.7,26.1,0.0,0.0,17.4,0.0,34.8,0.0,100.0,1800.9
230,0.1,ROS_VNF_interface,19.2,26.9,0.0,0.0,23.1,0.0,30.8,0.0,100.0,1800.9
232,0.1,ROS_VNF_interface,34.8,21.7,0.0,0.0,26.1,0.0,17.4,0.0,100.0,1800.9
234,0.1,ROS_VNF_interface,14.8,37.0,0.0,0.0,11.1,0.0,37.0,0.0,99.9,1800.9
236,0.1,ROS_VNF_interface,36.0,24.0,0.0,0.0,20.0,0.0,20.0,0.0,100.0,1800.9
238,0.1,ROS_VNF_interface,29.2,16.7,0.0,0.0,25.0,0.0,29.2,0.0,100.1,1800.9
240,0.1,ROS_VNF_interface,20.0,32.0,0.0,0.0,16.0,0.0,32.0,0.0,100.0,1800.9
242,0.1,ROS_VNF_interface,22.7,13.6,0.0,0.0,31.8,0.0,31.8,0.0,99.9,1800.9
244,0.1,ROS_VNF_interface,28.6,19.0,0.0,0.0,19.0,0.0,33.3,0.0,99.9,1800.9
246,0.1,ROS_VNF_interface,19.4,25.8,0.0,0.0,19.4,0.0,35.5,0.0,100.1,1800.9
248,0.1,ROS_VNF_interface,26.9,23.1,0.0,0.0,23.1,0.0,26.9,0.0,100.0,1800.9
250,0.1,ROS_VNF_interface,18.5,25.9,0.0,0.0,25.9,0.0,29.6,0.0,99.9,1800.9
252,0.1,ROS_VNF_interface,24.0,32.0,0.0,0.0,24.0,0.0,20.0,0.0,100.0,1800.9
254,0.1,ROS_VNF_interface,26.1,21.7,0.0,0.0,21.7,0.0,30.4,0.0,99.9,1800.9
256,0.1,ROS_VNF_interface,34.6,26.9,0.0,0.0,19.2,0.0,19.2,0.0,99.9,1800.9
258,0.1,ROS_VNF_interface,28.0,24.0,0.0,0.0,20.0,0.0,28.0,0.0,100.0,1800.9
260,0.1,ROS_VNF_interface,28.0,20.0,0.0,0.0,20.0,0.0,32.0,0.0,100.0,1800.9
262,0.1,ROS_VNF_interface,26.1,39.1,0.0,0.0,4.3,0.0,30.4,0.0,99.9,1800.9
264,0.1,ROS_VNF_interface,26.9,26.9,0.0,0.0,19.2,0.0,26.9,0.0,99.9,1800.9
266,0.1,ROS_VNF_interface,37.5,20.8,0.0,0.0,16.7,0.0,25.0,0.0,100.0,1800.9
268,0.1,ROS_VNF_interface,25.9,18.5,0.0,0.0,29.6,0.0,25.9,0.0,99.9,1800.9
270,0.1,ROS_VNF_interface,27.8,30.6,0.0,0.0,16.7,0.0,25.0,0.0,100.1,1801.9
272,0.1,ROS_VNF_interface,13.8,58.6,0.0,0.0,0.0,0.0,27.6,0.0,100.0,1801.9
274,0.1,ROS_VNF_interface,23.6,50.9,0.0,0.0,0.0,0.0,25.5,0.0,100.0,1801.9
276,0.1,ROS_VNF_interface,18.5,63.0,0.0,0.0,0.0,0.0,18.5,0.0,100.0,1801.9
278,0.1,ROS_VNF_interface,28.6,53.6,0.0,0.0,0.0,0.0,17.9,0.0,100.1,1801.9
280,0.1,ROS_VNF_interface,26.7,40.0,0.0,0.0,6.7,0.0,26.7,0.0,100.1,1801.9
282,0.1,ROS_VNF_interface,25.8,41.9,0.0,0.0,9.7,0.0,22.6,0.0,100.0,1801.9
284,0.1,ROS_VNF_interface,8.7,34.8,0.0,0.0,21.7,0.0,34.8,0.0,100.0,1801.9
286,0.1,ROS_VNF_interface,29.6,25.9,0.0,0.0,11.1,0.0,33.3,0.0,99.9,1801.9
288,0.1,ROS_VNF_interface,29.6,29.6,0.0,0.0,18.5,0.0,22.2,0.0,99.9,1801.9
290,0.1,ROS_VNF_interface,36.4,13.6,0.0,0.0,27.3,0.0,22.7,0.0,100.0,1801.9
292,0.1,ROS_VNF_interface,28.6,35.7,0.0,0.0,10.7,0.0,25.0,0.0,100.0,1801.9
294,0.1,ROS_VNF_interface,25.0,30.0,0.0,0.0,20.0,0.0,25.0,0.0,100.0,1801.9
296,0.1,ROS_VNF_interface,22.6,32.3,0.0,0.0,22.6,0.0,22.6,0.0,100.1,1801.9
298,0.1,ROS_VNF_interface,34.3,31.4,0.0,0.0,8.6,0.0,25.7,0.0,100.0,1801.9
300,0.1,ROS_VNF_interface,26.7,30.0,0.0,0.0,13.3,0.0,30.0,0.0,100.0,1801.9
302,0.1,ROS_VNF_interface,28.0,36.0,0.0,0.0,4.0,0.0,32.0,0.0,100.0,1801.9
304,0.1,ROS_VNF_interface,33.3,51.9,0.0,0.0,0.0,0.0,14.8,0.0,100.0,1801.9
306,0.1,ROS_VNF_interface,30.0,33.3,0.0,0.0,3.3,0.0,33.3,0.0,99.9,1801.9
308,0.1,ROS_VNF_interface,36.2,33.3,0.0,0.0,1.4,0.0,29.0,0.0,99.9,1801.9
310,0.1,ROS_VNF_interface,33.3,28.6,0.0,0.0,2.4,0.0,35.7,0.0,100.0,1801.1
312,0.1,ROS_VNF_interface,29.2,33.3,0.0,0.0,8.3,0.0,29.2,0.0,100.0,1801.1
314,0.1,ROS_VNF_interface,13.8,44.8,0.0,0.0,13.8,0.0,27.6,0.0,100.0,1801.1
316,0.1,ROS_VNF_interface,25.0,29.2,0.0,0.0,12.5,0.0,33.3,0.0,100.0,1801.1
318,0.1,ROS_VNF_interface,24.2,27.3,0.0,0.0,18.2,0.0,30.3,0.0,100.0,1801.1
320,0.1,ROS_VNF_interface,28.6,32.1,0.0,0.0,14.3,0.0,25.0,0.0,100.0,1801.1
322,0.1,ROS_VNF_interface,19.4,22.2,0.0,0.0,16.7,0.0,41.7,0.0,100.0,1801.1
324,0.1,ROS_VNF_interface,29.2,37.5,0.0,0.0,4.2,0.0,29.2,0.0,100.1,1801.1
326,0.1,ROS_VNF_interface,20.7,51.7,0.0,3.4,0.0,0.0,24.1,0.0,96.5,1801.1
328,0.1,ROS_VNF_interface,37.9,37.9,0.0,0.0,0.0,0.0,24.1,0.0,99.9,1801.1
330,0.1,ROS_VNF_interface,21.4,32.1,0.0,0.0,14.3,0.0,32.1,0.0,99.9,1801.1
332,0.1,ROS_VNF_interface,18.2,30.3,0.0,0.0,24.2,0.0,27.3,0.0,100.0,1801.1
334,0.1,ROS_VNF_interface,25.9,25.9,0.0,0.0,22.2,0.0,25.9,0.0,99.9,1801.1
336,0.1,ROS_VNF_interface,23.8,23.8,0.0,0.0,28.6,0.0,23.8,0.0,100.0,1801.1
338,0.1,ROS_VNF_interface,37.0,22.2,0.0,0.0,7.4,0.0,33.3,0.0,99.9,1801.1
340,0.1,ROS_VNF_interface,16.7,45.8,0.0,0.0,8.3,0.0,29.2,0.0,100.0,1801.1
342,0.1,ROS_VNF_interface,28.0,36.0,0.0,0.0,12.0,0.0,24.0,0.0,100.0,1801.1
344,0.1,ROS_VNF_interface,25.0,28.6,0.0,0.0,21.4,0.0,25.0,0.0,100.0,1801.1
346,0.1,ROS_VNF_interface,30.8,30.8,0.0,0.0,15.4,0.0,23.1,0.0,100.1,1802.8
348,0.1,ROS_VNF_interface,32.3,38.7,0.0,0.0,3.2,0.0,25.8,0.0,100.0,1802.8
350,0.1,ROS_VNF_interface,21.9,46.9,0.0,0.0,3.1,0.0,28.1,0.0,100.0,1802.8
352,0.1,ROS_VNF_interface,24.2,45.5,0.0,0.0,0.0,0.0,30.3,0.0,100.0,1802.8
354,0.1,ROS_VNF_interface,28.6,35.7,0.0,0.0,3.6,0.0,32.1,0.0,100.0,1802.8
356,0.1,ROS_VNF_interface,30.0,5.0,0.0,0.0,40.0,0.0,25.0,0.0,100.0,1802.8
