iteration,measurement_period,machine/VNF,usercpu,syscpu,nicecpu,idlecpu,IOwaitcpu,HWInteruptscpu,SWInteruptscpu,stolencpu,Total(NoIdle),RAMused
2,0.1,ROS_VNF_interface,39.1,21.7,0.0,17.4,0.0,0.0,21.7,0.0,82.5,1769.8
4,0.1,ROS_VNF_interface,33.3,29.6,0.0,0.0,0.0,0.0,37.0,0.0,99.9,1769.8
6,0.1,ROS_VNF_interface,32.0,24.0,0.0,8.0,0.0,0.0,36.0,0.0,92.0,1769.8
8,0.1,ROS_VNF_interface,33.3,16.7,0.0,12.5,8.3,0.0,29.2,0.0,87.5,1769.8
10,0.1,ROS_VNF_interface,25.0,12.5,0.0,20.8,12.5,0.0,29.2,0.0,79.2,1769.8
12,0.1,ROS_VNF_interface,25.0,20.0,0.0,20.0,5.0,0.0,30.0,0.0,80.0,1769.8
14,0.1,ROS_VNF_interface,10.5,26.3,0.0,36.8,0.0,0.0,26.3,0.0,63.1,1769.8
16,0.1,ROS_VNF_interface,18.2,18.2,0.0,36.4,0.0,0.0,27.3,0.0,63.7,1769.8
18,0.1,ROS_VNF_interface,31.8,13.6,0.0,31.8,0.0,0.0,22.7,0.0,68.1,1769.8
20,0.1,ROS_VNF_interface,22.7,13.6,0.0,27.3,0.0,0.0,36.4,0.0,72.7,1769.8
22,0.1,ROS_VNF_interface,27.3,13.6,0.0,40.9,0.0,0.0,18.2,0.0,59.1,1769.8
24,0.1,ROS_VNF_interface,26.1,13.0,0.0,43.5,0.0,0.0,17.4,0.0,56.5,1769.8
26,0.1,ROS_VNF_interface,21.7,17.4,0.0,30.4,0.0,0.0,30.4,0.0,69.5,1769.8
28,0.1,ROS_VNF_interface,21.7,26.1,0.0,34.8,0.0,0.0,17.4,0.0,65.2,1769.8
30,0.1,ROS_VNF_interface,25.9,11.1,0.0,29.6,0.0,0.0,33.3,0.0,70.3,1769.8
32,0.1,ROS_VNF_interface,25.0,16.7,0.0,41.7,0.0,0.0,16.7,0.0,58.4,1769.8
34,0.1,ROS_VNF_interface,23.1,11.5,0.0,34.6,0.0,0.0,30.8,0.0,65.4,1769.8
36,0.1,ROS_VNF_interface,15.8,10.5,0.0,47.4,0.0,0.0,26.3,0.0,52.6,1769.8
38,0.1,ROS_VNF_interface,15.8,15.8,0.0,42.1,0.0,0.0,26.3,0.0,57.9,1769.8
40,0.1,ROS_VNF_interface,23.8,19.0,0.0,33.3,0.0,0.0,23.8,0.0,66.6,1769.8
42,0.1,ROS_VNF_interface,21.1,15.8,0.0,36.8,0.0,0.0,26.3,0.0,63.2,1771.1
44,0.1,ROS_VNF_interface,28.0,24.0,0.0,20.0,0.0,0.0,28.0,0.0,80.0,1771.1
46,0.1,ROS_VNF_interface,17.4,17.4,0.0,30.4,0.0,0.0,34.8,0.0,69.6,1771.1
48,0.1,ROS_VNF_interface,26.9,15.4,0.0,15.4,0.0,0.0,42.3,0.0,84.6,1771.1
50,0.1,ROS_VNF_interface,25.0,15.0,0.0,40.0,0.0,0.0,20.0,0.0,60.0,1771.1
52,0.1,ROS_VNF_interface,18.2,18.2,0.0,27.3,0.0,0.0,36.4,0.0,72.8,1771.1
54,0.1,ROS_VNF_interface,25.0,16.7,0.0,29.2,0.0,0.0,29.2,0.0,70.9,1771.1
56,0.1,ROS_VNF_interface,19.0,23.8,0.0,33.3,0.0,0.0,23.8,0.0,66.6,1771.1
58,0.1,ROS_VNF_interface,24.0,16.0,0.0,24.0,4.0,0.0,32.0,0.0,76.0,1771.1
60,0.1,ROS_VNF_interface,29.2,12.5,0.0,12.5,20.8,0.0,25.0,0.0,87.5,1771.1
62,0.1,ROS_VNF_interface,21.7,13.0,0.0,0.0,43.5,0.0,21.7,0.0,99.9,1771.1
64,0.1,ROS_VNF_interface,31.8,13.6,0.0,0.0,36.4,0.0,18.2,0.0,100.0,1771.1
66,0.1,ROS_VNF_interface,9.1,27.3,0.0,22.7,13.6,0.0,27.3,0.0,77.3,1771.1
68,0.1,ROS_VNF_interface,19.0,23.8,0.0,33.3,0.0,0.0,23.8,0.0,66.6,1771.1
70,0.1,ROS_VNF_interface,34.6,11.5,0.0,19.2,0.0,0.0,34.6,0.0,80.7,1771.1
72,0.1,ROS_VNF_interface,31.8,22.7,0.0,27.3,0.0,0.0,18.2,0.0,72.7,1771.1
74,0.1,ROS_VNF_interface,16.7,25.0,0.0,33.3,0.0,0.0,25.0,0.0,66.7,1771.1
76,0.1,ROS_VNF_interface,37.5,12.5,0.0,25.0,0.0,0.0,25.0,0.0,75.0,1771.1
78,0.1,ROS_VNF_interface,22.2,11.1,0.0,44.4,0.0,0.0,22.2,0.0,55.5,1771.1
80,0.1,ROS_VNF_interface,19.0,14.3,0.0,42.9,0.0,0.0,23.8,0.0,57.1,1771.1
82,0.1,ROS_VNF_interface,27.3,18.2,0.0,36.4,0.0,0.0,18.2,0.0,63.7,1771.1
84,0.1,ROS_VNF_interface,27.3,18.2,0.0,31.8,0.0,0.0,22.7,0.0,68.2,1771.1
86,0.1,ROS_VNF_interface,23.8,14.3,0.0,42.9,0.0,0.0,19.0,0.0,57.1,1771.1
88,0.1,ROS_VNF_interface,22.7,13.6,0.0,45.5,0.0,0.0,18.2,0.0,54.5,1771.1
90,0.1,ROS_VNF_interface,16.7,22.2,0.0,44.4,0.0,0.0,16.7,0.0,55.6,1772.0
92,0.1,ROS_VNF_interface,15.8,21.1,0.0,31.6,0.0,0.0,31.6,0.0,68.5,1772.0
94,0.1,ROS_VNF_interface,14.3,19.0,0.0,38.1,0.0,0.0,28.6,0.0,61.9,1772.0
96,0.1,ROS_VNF_interface,15.0,20.0,0.0,35.0,0.0,0.0,30.0,0.0,65.0,1772.0
98,0.1,ROS_VNF_interface,25.0,20.0,0.0,35.0,0.0,0.0,20.0,0.0,65.0,1772.0
100,0.1,ROS_VNF_interface,22.7,18.2,0.0,36.4,0.0,0.0,22.7,0.0,63.6,1772.0
102,0.1,ROS_VNF_interface,33.3,19.0,0.0,23.8,4.8,0.0,19.0,0.0,76.1,1772.0
104,0.1,ROS_VNF_interface,25.0,15.0,0.0,35.0,0.0,0.0,25.0,0.0,65.0,1772.0
106,0.1,ROS_VNF_interface,27.3,18.2,0.0,27.3,0.0,0.0,27.3,0.0,72.8,1772.0
108,0.1,ROS_VNF_interface,27.3,18.2,0.0,31.8,0.0,0.0,22.7,0.0,68.2,1772.0
110,0.1,ROS_VNF_interface,30.0,15.0,0.0,25.0,0.0,0.0,30.0,0.0,75.0,1772.0
112,0.1,ROS_VNF_interface,22.7,9.1,0.0,40.9,0.0,0.0,27.3,0.0,59.1,1772.0
114,0.1,ROS_VNF_interface,21.4,14.3,0.0,28.6,3.6,0.0,32.1,0.0,71.4,1772.0
116,0.1,ROS_VNF_interface,21.7,8.7,0.0,30.4,0.0,0.0,39.1,0.0,69.5,1772.0
118,0.1,ROS_VNF_interface,9.5,19.0,0.0,38.1,0.0,0.0,33.3,0.0,61.8,1772.0
120,0.1,ROS_VNF_interface,22.7,22.7,0.0,31.8,0.0,0.0,22.7,0.0,68.1,1772.0
122,0.1,ROS_VNF_interface,25.0,21.4,0.0,25.0,0.0,0.0,28.6,0.0,75.0,1772.0
124,0.1,ROS_VNF_interface,10.5,15.8,0.0,47.4,0.0,0.0,26.3,0.0,52.6,1772.0
126,0.1,ROS_VNF_interface,27.3,18.2,0.0,31.8,0.0,0.0,22.7,0.0,68.2,1772.0
128,0.1,ROS_VNF_interface,23.8,19.0,0.0,33.3,0.0,0.0,23.8,0.0,66.6,1772.0
130,0.1,ROS_VNF_interface,32.0,16.0,0.0,28.0,0.0,0.0,24.0,0.0,72.0,1772.0
132,0.1,ROS_VNF_interface,21.1,15.8,0.0,36.8,0.0,0.0,26.3,0.0,63.2,1772.0
134,0.1,ROS_VNF_interface,25.0,15.0,0.0,40.0,0.0,0.0,20.0,0.0,60.0,1772.0
136,0.1,ROS_VNF_interface,5.3,36.8,0.0,42.1,0.0,0.0,15.8,0.0,57.9,1772.0
138,0.1,ROS_VNF_interface,27.3,9.1,0.0,40.9,0.0,0.0,22.7,0.0,59.1,1772.0
140,0.1,ROS_VNF_interface,23.8,14.3,0.0,42.9,0.0,0.0,19.0,0.0,57.1,1771.7
142,0.1,ROS_VNF_interface,18.2,22.7,0.0,40.9,0.0,0.0,18.2,0.0,59.1,1771.7
144,0.1,ROS_VNF_interface,28.6,9.5,0.0,23.8,19.0,0.0,19.0,0.0,76.1,1771.7
146,0.1,ROS_VNF_interface,15.0,15.0,0.0,30.0,15.0,0.0,25.0,0.0,70.0,1771.7
148,0.1,ROS_VNF_interface,30.4,13.0,0.0,34.8,0.0,0.0,21.7,0.0,65.1,1771.7
150,0.1,ROS_VNF_interface,18.2,27.3,0.0,22.7,0.0,0.0,31.8,0.0,77.3,1771.7
152,0.1,ROS_VNF_interface,26.3,15.8,0.0,42.1,0.0,0.0,15.8,0.0,57.9,1771.7
154,0.1,ROS_VNF_interface,22.7,18.2,0.0,31.8,0.0,0.0,27.3,0.0,68.2,1771.7
156,0.1,ROS_VNF_interface,28.0,12.0,0.0,36.0,0.0,0.0,24.0,0.0,64.0,1771.7
158,0.1,ROS_VNF_interface,28.6,14.3,0.0,23.8,9.5,0.0,23.8,0.0,76.2,1771.7
160,0.1,ROS_VNF_interface,26.1,8.7,0.0,34.8,0.0,0.0,30.4,0.0,65.2,1771.7
162,0.1,ROS_VNF_interface,34.8,8.7,0.0,30.4,0.0,0.0,26.1,0.0,69.6,1771.7
164,0.1,ROS_VNF_interface,16.0,16.0,0.0,36.0,0.0,0.0,32.0,0.0,64.0,1771.7
166,0.1,ROS_VNF_interface,26.1,8.7,0.0,39.1,0.0,0.0,26.1,0.0,60.9,1771.7
168,0.1,ROS_VNF_interface,16.7,20.8,0.0,29.2,0.0,0.0,33.3,0.0,70.8,1771.7
170,0.1,ROS_VNF_interface,23.8,9.5,0.0,38.1,0.0,0.0,28.6,0.0,61.9,1771.7
172,0.1,ROS_VNF_interface,24.0,16.0,0.0,28.0,0.0,0.0,32.0,0.0,72.0,1771.7
174,0.1,ROS_VNF_interface,23.1,11.5,0.0,30.8,0.0,0.0,34.6,0.0,69.2,1771.7
176,0.1,ROS_VNF_interface,21.7,13.0,0.0,34.8,0.0,0.0,30.4,0.0,65.1,1771.7
178,0.1,ROS_VNF_interface,14.3,14.3,0.0,38.1,0.0,0.0,33.3,0.0,61.9,1771.7
180,0.1,ROS_VNF_interface,25.9,18.5,0.0,25.9,3.7,0.0,25.9,0.0,74.0,1771.7
182,0.1,ROS_VNF_interface,20.8,16.7,0.0,33.3,0.0,0.0,29.2,0.0,66.7,1771.7
184,0.1,ROS_VNF_interface,20.0,20.0,0.0,28.0,4.0,0.0,28.0,0.0,72.0,1771.7
186,0.1,ROS_VNF_interface,19.0,23.8,0.0,23.8,4.8,0.0,28.6,0.0,76.2,1771.7
188,0.1,ROS_VNF_interface,16.7,16.7,0.0,29.2,0.0,0.0,37.5,0.0,70.9,1772.0
190,0.1,ROS_VNF_interface,22.7,22.7,0.0,22.7,0.0,0.0,31.8,0.0,77.2,1772.0
192,0.1,ROS_VNF_interface,18.2,18.2,0.0,27.3,0.0,0.0,36.4,0.0,72.8,1772.0
194,0.1,ROS_VNF_interface,16.0,20.0,0.0,36.0,0.0,0.0,28.0,0.0,64.0,1772.0
196,0.1,ROS_VNF_interface,28.1,18.8,0.0,21.9,3.1,0.0,28.1,0.0,78.1,1772.0
198,0.1,ROS_VNF_interface,33.3,16.7,0.0,8.3,16.7,0.0,25.0,0.0,91.7,1772.0
200,0.1,ROS_VNF_interface,29.2,16.7,0.0,20.8,0.0,0.0,33.3,0.0,79.2,1772.0
202,0.1,ROS_VNF_interface,23.8,14.3,0.0,23.8,0.0,0.0,38.1,0.0,76.2,1772.0
204,0.1,ROS_VNF_interface,16.7,25.0,0.0,25.0,0.0,0.0,33.3,0.0,75.0,1772.0
206,0.1,ROS_VNF_interface,28.0,24.0,0.0,24.0,0.0,0.0,24.0,0.0,76.0,1772.0
208,0.1,ROS_VNF_interface,30.4,17.4,0.0,26.1,0.0,0.0,26.1,0.0,73.9,1772.0
210,0.1,ROS_VNF_interface,30.4,21.7,0.0,21.7,0.0,0.0,26.1,0.0,78.2,1772.0
212,0.1,ROS_VNF_interface,33.3,19.0,0.0,23.8,0.0,0.0,23.8,0.0,76.1,1772.0
214,0.1,ROS_VNF_interface,33.3,8.3,0.0,29.2,0.0,0.0,29.2,0.0,70.8,1772.0
216,0.1,ROS_VNF_interface,21.9,18.8,0.0,28.1,0.0,0.0,31.2,0.0,71.9,1772.0
218,0.1,ROS_VNF_interface,35.5,16.1,0.0,22.6,0.0,0.0,25.8,0.0,77.4,1772.0
220,0.1,ROS_VNF_interface,20.7,20.7,0.0,31.0,0.0,0.0,27.6,0.0,69.0,1772.0
222,0.1,ROS_VNF_interface,31.2,18.8,0.0,12.5,9.4,0.0,28.1,0.0,87.5,1772.0
224,0.1,ROS_VNF_interface,26.1,8.7,0.0,17.4,8.7,0.0,39.1,0.0,82.6,1772.0
226,0.1,ROS_VNF_interface,31.8,18.2,0.0,22.7,0.0,0.0,27.3,0.0,77.3,1772.0
228,0.1,ROS_VNF_interface,27.3,18.2,0.0,22.7,0.0,0.0,31.8,0.0,77.3,1772.0
230,0.1,ROS_VNF_interface,28.0,24.0,0.0,20.0,0.0,0.0,28.0,0.0,80.0,1772.4
232,0.1,ROS_VNF_interface,35.0,20.0,0.0,20.0,0.0,0.0,25.0,0.0,80.0,1772.4
234,0.1,ROS_VNF_interface,38.5,15.4,0.0,7.7,0.0,0.0,38.5,0.0,92.4,1772.4
236,0.1,ROS_VNF_interface,37.9,17.2,0.0,13.8,0.0,0.0,31.0,0.0,86.1,1772.4
238,0.1,ROS_VNF_interface,21.7,21.7,0.0,21.7,0.0,0.0,34.8,0.0,78.2,1772.4
240,0.1,ROS_VNF_interface,29.2,20.8,0.0,16.7,0.0,0.0,33.3,0.0,83.3,1772.4
242,0.1,ROS_VNF_interface,36.0,16.0,0.0,16.0,0.0,0.0,32.0,0.0,84.0,1772.4
244,0.1,ROS_VNF_interface,20.0,15.0,0.0,25.0,0.0,0.0,40.0,0.0,75.0,1772.4
246,0.1,ROS_VNF_interface,33.3,16.7,0.0,20.8,0.0,0.0,29.2,0.0,79.2,1772.4
248,0.1,ROS_VNF_interface,32.0,12.0,0.0,28.0,0.0,0.0,28.0,0.0,72.0,1772.4
250,0.1,ROS_VNF_interface,33.3,16.7,0.0,10.0,16.7,0.0,23.3,0.0,90.0,1772.4
252,0.1,ROS_VNF_interface,26.1,21.7,0.0,13.0,8.7,0.0,30.4,0.0,86.9,1772.4
254,0.1,ROS_VNF_interface,29.6,25.9,0.0,14.8,7.4,0.0,22.2,0.0,85.1,1772.4
256,0.1,ROS_VNF_interface,28.6,14.3,0.0,23.8,0.0,0.0,33.3,0.0,76.2,1772.4
258,0.1,ROS_VNF_interface,21.7,21.7,0.0,34.8,0.0,0.0,21.7,0.0,65.1,1772.4
260,0.1,ROS_VNF_interface,25.0,25.0,0.0,29.2,0.0,0.0,20.8,0.0,70.8,1772.4
262,0.1,ROS_VNF_interface,28.6,19.0,0.0,28.6,0.0,0.0,23.8,0.0,71.4,1772.4
264,0.1,ROS_VNF_interface,21.1,31.6,0.0,21.1,0.0,0.0,26.3,0.0,79.0,1772.4
266,0.1,ROS_VNF_interface,27.3,18.2,0.0,36.4,0.0,0.0,18.2,0.0,63.7,1772.4
