iteration,measurement_period,machine/VNF,usercpu,syscpu,nicecpu,idlecpu,IOwaitcpu,HWInteruptscpu,SWInteruptscpu,stolencpu,Total(NoIdle),RAMused
2,0.1,ROS_VNF_interface,22.7,9.1,0.0,9.1,22.7,0.0,36.4,0.0,90.9,1770.5
4,0.1,ROS_VNF_interface,23.8,23.8,0.0,14.3,14.3,0.0,23.8,0.0,85.7,1770.5
6,0.1,ROS_VNF_interface,21.7,21.7,0.0,8.7,21.7,0.0,26.1,0.0,91.2,1770.5
8,0.1,ROS_VNF_interface,23.8,14.3,0.0,14.3,23.8,0.0,23.8,0.0,85.7,1770.5
10,0.1,ROS_VNF_interface,11.8,23.5,0.0,17.6,23.5,0.0,23.5,0.0,82.3,1770.5
12,0.1,ROS_VNF_interface,27.3,22.7,0.0,13.6,13.6,0.0,22.7,0.0,86.3,1770.5
14,0.1,ROS_VNF_interface,20.8,16.7,0.0,16.7,16.7,0.0,29.2,0.0,83.4,1770.5
16,0.1,ROS_VNF_interface,28.6,9.5,0.0,23.8,14.3,0.0,23.8,0.0,76.2,1770.5
18,0.1,ROS_VNF_interface,15.8,26.3,0.0,15.8,15.8,0.0,26.3,0.0,84.2,1770.5
20,0.1,ROS_VNF_interface,30.4,17.4,0.0,17.4,13.0,0.0,21.7,0.0,82.5,1770.5
22,0.1,ROS_VNF_interface,25.0,20.0,0.0,20.0,0.0,0.0,35.0,0.0,80.0,1770.5
24,0.1,ROS_VNF_interface,18.2,18.2,0.0,31.8,0.0,0.0,31.8,0.0,68.2,1770.5
26,0.1,ROS_VNF_interface,35.7,21.4,0.0,10.7,0.0,0.0,32.1,0.0,89.2,1770.5
28,0.1,ROS_VNF_interface,28.6,14.3,0.0,14.3,4.8,0.0,38.1,0.0,85.8,1770.5
30,0.1,ROS_VNF_interface,30.8,15.4,0.0,19.2,0.0,0.0,34.6,0.0,80.8,1770.5
32,0.1,ROS_VNF_interface,31.6,21.1,0.0,21.1,0.0,0.0,26.3,0.0,79.0,1770.5
34,0.1,ROS_VNF_interface,26.7,20.0,0.0,23.3,0.0,0.0,30.0,0.0,76.7,1770.5
36,0.1,ROS_VNF_interface,25.9,11.1,0.0,29.6,0.0,0.0,33.3,0.0,70.3,1770.5
38,0.1,ROS_VNF_interface,25.0,15.0,0.0,35.0,0.0,0.0,25.0,0.0,65.0,1770.5
40,0.1,ROS_VNF_interface,15.0,10.0,0.0,40.0,0.0,0.0,35.0,0.0,60.0,1770.5
42,0.1,ROS_VNF_interface,19.0,23.8,0.0,38.1,0.0,0.0,19.0,0.0,61.8,1770.5
44,0.1,ROS_VNF_interface,14.3,23.8,0.0,33.3,0.0,0.0,28.6,0.0,66.7,1770.5
46,0.1,ROS_VNF_interface,27.8,11.1,0.0,44.4,0.0,0.0,16.7,0.0,55.6,1770.5
48,0.1,ROS_VNF_interface,29.2,16.7,0.0,33.3,0.0,0.0,20.8,0.0,66.7,1771.4
50,0.1,ROS_VNF_interface,20.0,25.0,0.0,35.0,0.0,0.0,20.0,0.0,65.0,1771.4
52,0.1,ROS_VNF_interface,26.1,13.0,0.0,34.8,0.0,0.0,26.1,0.0,65.2,1771.4
54,0.1,ROS_VNF_interface,25.9,25.9,0.0,22.2,0.0,0.0,25.9,0.0,77.7,1771.4
56,0.1,ROS_VNF_interface,15.0,10.0,0.0,50.0,0.0,0.0,25.0,0.0,50.0,1771.4
58,0.1,ROS_VNF_interface,22.7,13.6,0.0,36.4,0.0,0.0,27.3,0.0,63.6,1771.4
60,0.1,ROS_VNF_interface,31.8,13.6,0.0,40.9,0.0,0.0,13.6,0.0,59.0,1771.4
62,0.1,ROS_VNF_interface,27.3,13.6,0.0,36.4,0.0,0.0,22.7,0.0,63.6,1771.4
64,0.1,ROS_VNF_interface,25.0,10.0,0.0,35.0,0.0,0.0,30.0,0.0,65.0,1771.4
66,0.1,ROS_VNF_interface,23.8,19.0,0.0,28.6,0.0,0.0,28.6,0.0,71.4,1771.4
68,0.1,ROS_VNF_interface,25.0,20.0,0.0,35.0,0.0,0.0,20.0,0.0,65.0,1771.4
70,0.1,ROS_VNF_interface,18.2,27.3,0.0,27.3,0.0,0.0,27.3,0.0,72.8,1771.4
72,0.1,ROS_VNF_interface,15.8,15.8,0.0,47.4,0.0,0.0,21.1,0.0,52.7,1771.4
74,0.1,ROS_VNF_interface,26.1,13.0,0.0,39.1,0.0,0.0,21.7,0.0,60.8,1771.4
76,0.1,ROS_VNF_interface,23.8,9.5,0.0,42.9,0.0,0.0,23.8,0.0,57.1,1771.4
78,0.1,ROS_VNF_interface,30.0,15.0,0.0,35.0,0.0,0.0,20.0,0.0,65.0,1771.4
80,0.1,ROS_VNF_interface,21.7,21.7,0.0,26.1,0.0,0.0,30.4,0.0,73.8,1771.4
82,0.1,ROS_VNF_interface,22.7,18.2,0.0,31.8,0.0,0.0,27.3,0.0,68.2,1771.4
84,0.1,ROS_VNF_interface,19.0,14.3,0.0,38.1,0.0,0.0,28.6,0.0,61.9,1771.4
86,0.1,ROS_VNF_interface,31.6,15.8,0.0,36.8,0.0,0.0,15.8,0.0,63.2,1771.4
88,0.1,ROS_VNF_interface,21.1,10.5,0.0,47.4,0.0,0.0,21.1,0.0,52.7,1771.4
90,0.1,ROS_VNF_interface,29.2,20.8,0.0,33.3,0.0,0.0,16.7,0.0,66.7,1771.4
92,0.1,ROS_VNF_interface,19.0,14.3,0.0,38.1,0.0,0.0,28.6,0.0,61.9,1771.4
94,0.1,ROS_VNF_interface,10.5,31.6,0.0,42.1,0.0,0.0,15.8,0.0,57.9,1771.4
96,0.1,ROS_VNF_interface,30.0,10.0,0.0,35.0,10.0,0.0,15.0,0.0,65.0,1770.9
98,0.1,ROS_VNF_interface,40.0,5.0,0.0,25.0,15.0,0.0,15.0,0.0,75.0,1770.9
100,0.1,ROS_VNF_interface,30.0,20.0,0.0,25.0,5.0,0.0,20.0,0.0,75.0,1770.9
102,0.1,ROS_VNF_interface,20.0,10.0,0.0,45.0,0.0,0.0,25.0,0.0,55.0,1770.9
104,0.1,ROS_VNF_interface,26.1,21.7,0.0,34.8,0.0,0.0,17.4,0.0,65.2,1770.9
106,0.1,ROS_VNF_interface,20.0,15.0,0.0,40.0,0.0,0.0,25.0,0.0,60.0,1770.9
108,0.1,ROS_VNF_interface,31.8,13.6,0.0,36.4,0.0,0.0,18.2,0.0,63.6,1770.9
110,0.1,ROS_VNF_interface,25.0,10.0,0.0,45.0,0.0,0.0,20.0,0.0,55.0,1770.9
112,0.1,ROS_VNF_interface,26.9,23.1,0.0,34.6,0.0,0.0,15.4,0.0,65.4,1770.9
114,0.1,ROS_VNF_interface,23.8,19.0,0.0,42.9,0.0,0.0,14.3,0.0,57.1,1770.9
