iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,ROS_VNF_interface,2035232,71124,188316,1846916
2,0.1,ROS_VNF_interface,2035232,69912,187220,1848012
3,0.1,ROS_VNF_interface,2035232,69572,187204,1848320
4,0.1,ROS_VNF_interface,2035232,69320,186644,1848588
5,0.1,ROS_VNF_interface,2035232,68848,186480,1848752
6,0.1,ROS_VNF_interface,2035232,68460,186344,1848888
7,0.1,ROS_VNF_interface,2035232,68784,186320,1848912
8,0.1,ROS_VNF_interface,2035232,68752,186384,1848848
9,0.1,ROS_VNF_interface,2035232,68848,186392,1848744
10,0.1,ROS_VNF_interface,2035232,68364,186000,1849232
11,0.1,ROS_VNF_interface,2035232,68712,186348,1848796
12,0.1,ROS_VNF_interface,2035232,68776,186412,1848820
13,0.1,ROS_VNF_interface,2035232,68476,186364,1848868
14,0.1,ROS_VNF_interface,2035232,68444,186080,1849240
15,0.1,ROS_VNF_interface,2035232,68420,186056,1849088
16,0.1,ROS_VNF_interface,2035232,68436,186240,1848992
17,0.1,ROS_VNF_interface,2035232,68536,186088,1849144
18,0.1,ROS_VNF_interface,2035232,68824,186200,1849032
19,0.1,ROS_VNF_interface,2035232,68572,186376,1848768
20,0.1,ROS_VNF_interface,2035232,75624,193564,1841676
21,0.1,ROS_VNF_interface,2035232,75840,193436,1841544
22,0.1,ROS_VNF_interface,2035232,75840,193696,1841368
23,0.1,ROS_VNF_interface,2035232,76440,194020,1841212
24,0.1,ROS_VNF_interface,2035232,76376,193916,1841316
25,0.1,ROS_VNF_interface,2035232,76248,193988,1841552
26,0.1,ROS_VNF_interface,2035232,76408,194280,1841212
27,0.1,ROS_VNF_interface,2035232,76456,194260,1840972
28,0.1,ROS_VNF_interface,2035232,76384,194272,1840708
29,0.1,ROS_VNF_interface,2035232,76572,194460,1840772
30,0.1,ROS_VNF_interface,2035232,76736,194088,1841144
31,0.1,ROS_VNF_interface,2035232,76564,194200,1841032
32,0.1,ROS_VNF_interface,2035232,76660,194296,1841024
33,0.1,ROS_VNF_interface,2035232,76596,194232,1841000
34,0.1,ROS_VNF_interface,2035232,76660,194232,1841000
35,0.1,ROS_VNF_interface,2035232,76532,194420,1840812
36,0.1,ROS_VNF_interface,2035232,76848,194484,1840748
37,0.1,ROS_VNF_interface,2035232,76848,194484,1841056
38,0.1,ROS_VNF_interface,2035232,76848,194216,1841016
39,0.1,ROS_VNF_interface,2035232,76620,194612,1840880
40,0.1,ROS_VNF_interface,2035232,76668,194564,1840936
41,0.1,ROS_VNF_interface,2035232,76752,194120,1841088
42,0.1,ROS_VNF_interface,2035232,76532,194428,1841112
43,0.1,ROS_VNF_interface,2035232,76596,194232,1841088
44,0.1,ROS_VNF_interface,2035232,76660,194216,1841016
45,0.1,ROS_VNF_interface,2035232,76508,194152,1841080
46,0.1,ROS_VNF_interface,2035232,76596,194240,1840992
47,0.1,ROS_VNF_interface,2035232,76692,194336,1840896
48,0.1,ROS_VNF_interface,2035232,76564,194208,1840856
49,0.1,ROS_VNF_interface,2035232,76856,194500,1840732
50,0.1,ROS_VNF_interface,2035232,76564,194208,1840936
