iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,ROS_VNF_interface,2035232,63980,59944,1970708
2,0.1,ROS_VNF_interface,2035232,77236,68896,1966336
3,0.1,ROS_VNF_interface,2035232,75944,68216,1967308
4,0.1,ROS_VNF_interface,2035232,73148,66728,1968676
5,0.1,ROS_VNF_interface,2035232,71192,65260,1969972
6,0.1,ROS_VNF_interface,2035232,70956,65352,1970180
7,0.1,ROS_VNF_interface,2035232,70356,64836,1970396
8,0.1,ROS_VNF_interface,2035232,70260,64756,1970476
9,0.1,ROS_VNF_interface,2035232,70164,64660,1970760
10,0.1,ROS_VNF_interface,2035232,69860,64356,1971160
11,0.1,ROS_VNF_interface,2035232,69696,64192,1971040
12,0.1,ROS_VNF_interface,2035232,69216,63712,1971520
13,0.1,ROS_VNF_interface,2035232,69160,63372,1972168
14,0.1,ROS_VNF_interface,2035232,68688,63184,1972316
15,0.1,ROS_VNF_interface,2035232,68372,62868,1972364
16,0.1,ROS_VNF_interface,2035232,68276,62684,1972816
17,0.1,ROS_VNF_interface,2035232,67816,62324,1972908
18,0.1,ROS_VNF_interface,2035232,67176,61700,1973532
19,0.1,ROS_VNF_interface,2035232,66948,61732,1973500
20,0.1,ROS_VNF_interface,2035232,67296,61548,1973684
21,0.1,ROS_VNF_interface,2035232,66980,61516,1973716
22,0.1,ROS_VNF_interface,2035232,66884,61424,1974028
23,0.1,ROS_VNF_interface,2035232,66664,61216,1974016
24,0.1,ROS_VNF_interface,2035232,67624,62412,1972836
25,0.1,ROS_VNF_interface,2035232,68136,62736,1972156
26,0.1,ROS_VNF_interface,2035232,68016,62616,1972876
27,0.1,ROS_VNF_interface,2035232,67552,62028,1973204
28,0.1,ROS_VNF_interface,2035232,67300,62076,1973156
29,0.1,ROS_VNF_interface,2035232,67120,61896,1973336
30,0.1,ROS_VNF_interface,2035232,67112,61888,1973344
31,0.1,ROS_VNF_interface,2035232,67080,61856,1973208
32,0.1,ROS_VNF_interface,2035232,67520,62256,1972904
33,0.1,ROS_VNF_interface,2035232,67300,62084,1973440
34,0.1,ROS_VNF_interface,2035232,67048,61992,1973240
35,0.1,ROS_VNF_interface,2035232,67236,62012,1973496
36,0.1,ROS_VNF_interface,2035232,66968,61748,1973508
37,0.1,ROS_VNF_interface,2035232,67220,61944,1973516
38,0.1,ROS_VNF_interface,2035232,66740,61520,1973800
39,0.1,ROS_VNF_interface,2035232,66812,61852,1973380
40,0.1,ROS_VNF_interface,2035232,67284,62104,1973460
41,0.1,ROS_VNF_interface,2035232,67284,61796,1973436
42,0.1,ROS_VNF_interface,2035232,67000,61800,1973432
43,0.1,ROS_VNF_interface,2035232,66968,61776,1973780
