iteration,measurement_period,machine/VNF,RAMTotal,RAMFree,RAMAvailable,RAM_usage
1,0.1,ROS_VNF_interface,2035232,91612,219560,1816064
2,0.1,ROS_VNF_interface,2035232,90000,219140,1816092
3,0.1,ROS_VNF_interface,2035232,89920,219144,1816088
4,0.1,ROS_VNF_interface,2035232,89848,218892,1816624
5,0.1,ROS_VNF_interface,2035232,89740,218752,1816480
6,0.1,ROS_VNF_interface,2035232,89440,218664,1816568
7,0.1,ROS_VNF_interface,2035232,89520,218516,1816548
8,0.1,ROS_VNF_interface,2035232,89204,218508,1816764
9,0.1,ROS_VNF_interface,2035232,89456,218768,1816552
10,0.1,ROS_VNF_interface,2035232,89344,218668,1816564
11,0.1,ROS_VNF_interface,2035232,89312,218644,1816588
12,0.1,ROS_VNF_interface,2035232,89312,218644,1816424
13,0.1,ROS_VNF_interface,2035232,89532,218288,1816944
14,0.1,ROS_VNF_interface,2035232,88996,218224,1817008
15,0.1,ROS_VNF_interface,2035232,89216,218256,1816636
16,0.1,ROS_VNF_interface,2035232,88832,218416,1816564
17,0.1,ROS_VNF_interface,2035232,89328,218660,1816572
18,0.1,ROS_VNF_interface,2035232,89312,218644,1816840
19,0.1,ROS_VNF_interface,2035232,89352,218684,1816548
20,0.1,ROS_VNF_interface,2035232,89288,218372,1816860
21,0.1,ROS_VNF_interface,2035232,88972,218332,1816924
22,0.1,ROS_VNF_interface,2035232,89256,218364,1816868
23,0.1,ROS_VNF_interface,2035232,89344,218424,1816556
24,0.1,ROS_VNF_interface,2035232,89312,218584,1816548
25,0.1,ROS_VNF_interface,2035232,89028,218652,1817140
26,0.1,ROS_VNF_interface,2035232,88996,218368,1816612
27,0.1,ROS_VNF_interface,2035232,96344,225716,1809608
28,0.1,ROS_VNF_interface,2035232,96424,226024,1809516
29,0.1,ROS_VNF_interface,2035232,96368,225992,1809240
30,0.1,ROS_VNF_interface,2035232,96676,226012,1809220
31,0.1,ROS_VNF_interface,2035232,96676,226060,1808920
32,0.1,ROS_VNF_interface,2035232,96824,225972,1809260
33,0.1,ROS_VNF_interface,2035232,96580,226132,1809100
34,0.1,ROS_VNF_interface,2035232,96900,226284,1808948
35,0.1,ROS_VNF_interface,2035232,96992,226376,1808856
36,0.1,ROS_VNF_interface,2035232,96960,226304,1808928
37,0.1,ROS_VNF_interface,2035232,97156,226452,1809012
38,0.1,ROS_VNF_interface,2035232,96824,226248,1808984
39,0.1,ROS_VNF_interface,2035232,96824,226252,1808980
40,0.1,ROS_VNF_interface,2035232,96856,226284,1808948
41,0.1,ROS_VNF_interface,2035232,96792,226220,1809036
42,0.1,ROS_VNF_interface,2035232,96604,226044,1809276
43,0.1,ROS_VNF_interface,2035232,96636,226084,1809148
44,0.1,ROS_VNF_interface,2035232,96760,226208,1809024
45,0.1,ROS_VNF_interface,2035232,96760,225916,1809316
46,0.1,ROS_VNF_interface,2035232,96572,226020,1809300
47,0.1,ROS_VNF_interface,2035232,96668,226116,1809408
48,0.1,ROS_VNF_interface,2035232,96384,225832,1809148
49,0.1,ROS_VNF_interface,2035232,96648,226064,1809160
