iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,01:10:57,0.5,ROS_VNF_interface,25.3,4127358976,2476724224,40.0,1398104064,2015780864,1545744384,332599296,62435328,651038720,1368064
1,2022-01-02,01:10:57,0.5,ROS_VNF_interface,20.0,4127358976,2476724224,40.0,1398104064,2015780864,1545744384,332599296,62435328,651038720,1368064
2,2022-01-02,01:10:58,0.5,ROS_VNF_interface,22.8,4127358976,2476822528,40.0,1398005760,2015879168,1545744384,332599296,62435328,651038720,1368064
3,2022-01-02,01:10:58,0.5,ROS_VNF_interface,32.6,4127358976,2476195840,40.0,1398583296,2015207424,1546608640,332603392,62451712,651116544,1372160
4,2022-01-02,01:10:59,0.5,ROS_VNF_interface,40.4,4127358976,2475925504,40.0,1398775808,2014461952,1546207232,332599296,62828544,651292672,1368064
5,2022-01-02,01:10:59,0.5,ROS_VNF_interface,19.1,4127358976,2476023808,40.0,1398665216,2014560256,1546207232,332599296,62840832,651292672,1368064
6,2022-01-02,01:11:00,0.5,ROS_VNF_interface,21.8,4127358976,2475958272,40.0,1398730752,2014494720,1546207232,332599296,62840832,651292672,1368064
7,2022-01-02,01:11:00,0.5,ROS_VNF_interface,25.8,4127358976,2475958272,40.0,1398730752,2014494720,1546207232,332599296,62840832,651292672,1368064
8,2022-01-02,01:11:01,0.5,ROS_VNF_interface,26.1,4127358976,2476068864,40.0,1398632448,2014593024,1546223616,332599296,62840832,651292672,1368064
9,2022-01-02,01:11:01,0.5,ROS_VNF_interface,29.5,4127358976,2476199936,40.0,1398501376,2014724096,1546223616,332599296,62840832,651292672,1368064
10,2022-01-02,01:11:02,0.5,ROS_VNF_interface,27.2,4127358976,2476199936,40.0,1398501376,2014724096,1546223616,332599296,62840832,651292672,1368064
11,2022-01-02,01:11:02,0.5,ROS_VNF_interface,23.0,4127358976,2476003328,40.0,1398697984,2014527488,1546223616,332599296,62840832,651292672,1368064
12,2022-01-02,01:11:03,0.5,ROS_VNF_interface,32.6,4127358976,2484609024,39.8,1390108672,2023149568,1538179072,332599296,62840832,651259904,1368064
13,2022-01-02,01:11:03,0.5,ROS_VNF_interface,25.0,4127358976,2484707328,39.8,1390010368,2023247872,1538179072,332599296,62840832,651259904,1368064
14,2022-01-02,01:11:04,0.5,ROS_VNF_interface,25.0,4127358976,2484772864,39.8,1389944832,2023313408,1538179072,332599296,62840832,651259904,1368064
15,2022-01-02,01:11:04,0.5,ROS_VNF_interface,25.6,4127358976,2484641792,39.8,1390075904,2023182336,1538179072,332599296,62840832,651259904,1368064
16,2022-01-02,01:11:05,0.5,ROS_VNF_interface,32.0,4127358976,2484707328,39.8,1390002176,2023247872,1538179072,332599296,62849024,651259904,1368064
17,2022-01-02,01:11:05,0.5,ROS_VNF_interface,28.3,4127358976,2484707328,39.8,1390002176,2023247872,1538179072,332599296,62849024,651259904,1368064
18,2022-01-02,01:11:06,0.5,ROS_VNF_interface,23.0,4127358976,2484740096,39.8,1389969408,2023280640,1538179072,332599296,62849024,651259904,1368064
19,2022-01-02,01:11:06,0.5,ROS_VNF_interface,23.6,4127358976,2484740096,39.8,1389969408,2023280640,1538179072,332599296,62849024,651259904,1368064
