iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2021-12-29,20:59:49,0.5,ROS_VNF_driver,0.0,4127342592,3681705984,10.8,217866240,3395829760,258195456,341819392,47611904,466034688,1085440
1,2021-12-29,20:59:49,0.5,ROS_VNF_driver,0.0,4127342592,3681824768,10.8,217849856,3395829760,258281472,341917696,47611904,466051072,1085440
2,2021-12-29,20:59:50,0.5,ROS_VNF_driver,0.0,4127342592,3681824768,10.8,217849856,3395829760,258281472,341917696,47611904,466051072,1085440
3,2021-12-29,20:59:50,0.5,ROS_VNF_driver,0.0,4127342592,3681824768,10.8,217849856,3395829760,258281472,341917696,47611904,466051072,1085440
4,2021-12-29,20:59:51,0.5,ROS_VNF_driver,0.0,4127342592,3681931264,10.8,217743360,3395936256,257769472,341917696,47611904,466051072,1085440
5,2021-12-29,20:59:51,0.5,ROS_VNF_driver,0.0,4127342592,3681972224,10.8,217714688,3395964928,257720320,341917696,47611904,466051072,1085440
6,2021-12-29,20:59:52,0.5,ROS_VNF_driver,0.0,4127342592,3681972224,10.8,217714688,3395964928,257720320,341917696,47611904,466051072,1085440
7,2021-12-29,20:59:52,0.5,ROS_VNF_driver,0.0,4127342592,3681972224,10.8,217714688,3395964928,257720320,341917696,47611904,466051072,1085440
8,2021-12-29,20:59:53,0.5,ROS_VNF_driver,0.0,4127342592,3681972224,10.8,217714688,3395964928,257720320,341917696,47611904,466051072,1085440
9,2021-12-29,20:59:53,0.5,ROS_VNF_driver,0.0,4127342592,3681972224,10.8,217714688,3395964928,257720320,341917696,47611904,466051072,1085440
10,2021-12-29,20:59:54,0.5,ROS_VNF_driver,0.0,4127342592,3681972224,10.8,217714688,3395964928,257720320,341917696,47611904,466051072,1085440
11,2021-12-29,20:59:54,0.5,ROS_VNF_driver,0.0,4127342592,3681972224,10.8,217714688,3395964928,257720320,341917696,47620096,466042880,1085440
12,2021-12-29,20:59:55,0.5,ROS_VNF_driver,0.0,4127342592,3681972224,10.8,217714688,3395964928,257720320,341917696,47620096,466042880,1085440
13,2021-12-29,20:59:55,0.5,ROS_VNF_driver,0.0,4127342592,3681972224,10.8,217706496,3395964928,257720320,341917696,47620096,466051072,1085440
14,2021-12-29,20:59:56,0.5,ROS_VNF_driver,0.0,4127342592,3681972224,10.8,217706496,3395964928,257720320,341917696,47620096,466051072,1085440
15,2021-12-29,20:59:56,0.5,ROS_VNF_driver,0.0,4127342592,3681972224,10.8,217706496,3395964928,257720320,341917696,47620096,466051072,1085440
16,2021-12-29,20:59:57,0.5,ROS_VNF_driver,0.0,4127342592,3681972224,10.8,217706496,3395964928,257720320,341917696,47620096,466051072,1085440
17,2021-12-29,20:59:57,0.5,ROS_VNF_driver,0.0,4127342592,3681972224,10.8,217706496,3395964928,257720320,341917696,47620096,466051072,1085440
18,2021-12-29,20:59:58,0.5,ROS_VNF_driver,0.0,4127342592,3681972224,10.8,217706496,3395964928,257720320,341917696,47620096,466051072,1085440
19,2021-12-29,20:59:58,0.5,ROS_VNF_driver,0.0,4127342592,3681972224,10.8,217706496,3395964928,257720320,341917696,47620096,466051072,1085440
20,2021-12-29,20:59:59,0.5,ROS_VNF_driver,0.0,4127342592,3681972224,10.8,217706496,3395964928,257720320,341917696,47620096,466051072,1085440
21,2021-12-29,20:59:59,0.5,ROS_VNF_driver,0.0,4127342592,3681972224,10.8,217706496,3395964928,257720320,341917696,47620096,466051072,1085440
22,2021-12-29,21:00:00,0.5,ROS_VNF_driver,0.0,4127342592,3681972224,10.8,217698304,3395964928,257720320,341917696,47628288,466051072,1085440
23,2021-12-29,21:00:00,0.5,ROS_VNF_driver,0.0,4127342592,3681972224,10.8,217698304,3395964928,257720320,341917696,47628288,466051072,1085440
24,2021-12-29,21:00:01,0.5,ROS_VNF_driver,0.0,4127342592,3681972224,10.8,217698304,3395964928,257720320,341917696,47628288,466051072,1085440
25,2021-12-29,21:00:01,0.5,ROS_VNF_driver,0.0,4127342592,3681972224,10.8,217698304,3395964928,257720320,341917696,47628288,466051072,1085440
26,2021-12-29,21:00:02,0.5,ROS_VNF_driver,0.0,4127342592,3681972224,10.8,217698304,3395964928,257720320,341917696,47628288,466051072,1085440
27,2021-12-29,21:00:02,0.5,ROS_VNF_driver,1.0,4127342592,3681988608,10.8,217698304,3395964928,257736704,341917696,47628288,466051072,1085440
28,2021-12-29,21:00:03,0.5,ROS_VNF_driver,0.0,4127342592,3681988608,10.8,217698304,3395964928,257736704,341917696,47628288,466051072,1085440
29,2021-12-29,21:00:03,0.5,ROS_VNF_driver,0.0,4127342592,3681988608,10.8,217694208,3395964928,257736704,341917696,47628288,466055168,1085440
30,2021-12-29,21:00:04,0.5,ROS_VNF_driver,0.0,4127342592,3681988608,10.8,217694208,3395964928,257736704,341917696,47628288,466055168,1085440
31,2021-12-29,21:00:04,0.5,ROS_VNF_driver,0.0,4127342592,3681988608,10.8,217694208,3395964928,257736704,341917696,47628288,466055168,1085440
32,2021-12-29,21:00:05,0.5,ROS_VNF_driver,0.0,4127342592,3681988608,10.8,217694208,3395964928,257736704,341917696,47628288,466055168,1085440
33,2021-12-29,21:00:05,0.5,ROS_VNF_driver,0.0,4127342592,3681988608,10.8,217686016,3395964928,257736704,341917696,47636480,466055168,1085440
34,2021-12-29,21:00:06,0.5,ROS_VNF_driver,0.0,4127342592,3681988608,10.8,217686016,3395964928,257736704,341917696,47636480,466055168,1085440
35,2021-12-29,21:00:06,0.5,ROS_VNF_driver,0.0,4127342592,3681988608,10.8,217686016,3395964928,257736704,341917696,47636480,466055168,1085440
36,2021-12-29,21:00:07,0.5,ROS_VNF_driver,0.0,4127342592,3681988608,10.8,217686016,3395964928,257736704,341917696,47636480,466055168,1085440
37,2021-12-29,21:00:07,0.5,ROS_VNF_driver,0.0,4127342592,3681988608,10.8,217686016,3395964928,257736704,341917696,47636480,466055168,1085440
38,2021-12-29,21:00:08,0.5,ROS_VNF_driver,0.0,4127342592,3681988608,10.8,217686016,3395964928,257736704,341917696,47636480,466055168,1085440
39,2021-12-29,21:00:08,0.5,ROS_VNF_driver,0.0,4127342592,3681996800,10.8,217686016,3395964928,257744896,341917696,47636480,466055168,1085440
40,2021-12-29,21:00:09,0.5,ROS_VNF_driver,0.0,4127342592,3681996800,10.8,217686016,3395964928,257744896,341917696,47636480,466055168,1085440
41,2021-12-29,21:00:09,0.5,ROS_VNF_driver,0.0,4127342592,3681996800,10.8,217686016,3395964928,257744896,341917696,47636480,466055168,1085440
42,2021-12-29,21:00:10,0.5,ROS_VNF_driver,0.0,4127342592,3681996800,10.8,217686016,3395964928,257744896,341917696,47636480,466055168,1085440
43,2021-12-29,21:00:10,0.5,ROS_VNF_driver,0.0,4127342592,3681996800,10.8,217686016,3395964928,257744896,341917696,47636480,466055168,1085440
44,2021-12-29,21:00:11,0.5,ROS_VNF_driver,0.0,4127342592,3681996800,10.8,217686016,3395964928,257744896,341917696,47644672,466046976,1085440
45,2021-12-29,21:00:11,0.5,ROS_VNF_driver,3.0,4127342592,3681996800,10.8,217677824,3395964928,257744896,341917696,47644672,466055168,1085440
46,2021-12-29,21:00:12,0.5,ROS_VNF_driver,0.0,4127342592,3681996800,10.8,217677824,3395964928,257744896,341917696,47644672,466055168,1085440
47,2021-12-29,21:00:12,0.5,ROS_VNF_driver,0.0,4127342592,3681996800,10.8,217677824,3395964928,257744896,341917696,47644672,466055168,1085440
48,2021-12-29,21:00:13,0.5,ROS_VNF_driver,0.0,4127342592,3681996800,10.8,217677824,3395964928,257744896,341917696,47644672,466055168,1085440
49,2021-12-29,21:00:13,0.5,ROS_VNF_driver,0.0,4127342592,3681996800,10.8,217677824,3395964928,257744896,341917696,47644672,466055168,1085440
50,2021-12-29,21:00:14,0.5,ROS_VNF_driver,0.0,4127342592,3681996800,10.8,217677824,3395964928,257744896,341917696,47644672,466055168,1085440
51,2021-12-29,21:00:14,0.5,ROS_VNF_driver,0.0,4127342592,3681996800,10.8,217677824,3395964928,257744896,341917696,47644672,466055168,1085440
52,2021-12-29,21:00:15,0.5,ROS_VNF_driver,0.0,4127342592,3681996800,10.8,217677824,3395964928,257744896,341917696,47644672,466055168,1085440
53,2021-12-29,21:00:15,0.5,ROS_VNF_driver,1.0,4127342592,3681996800,10.8,217677824,3395964928,257744896,341917696,47644672,466055168,1085440
54,2021-12-29,21:00:16,0.5,ROS_VNF_driver,0.0,4127342592,3681996800,10.8,217677824,3395964928,257744896,341917696,47644672,466055168,1085440
55,2021-12-29,21:00:16,0.5,ROS_VNF_driver,0.0,4127342592,3681996800,10.8,217677824,3395964928,257744896,341917696,47652864,466046976,1085440
56,2021-12-29,21:00:17,0.5,ROS_VNF_driver,0.0,4127342592,3681996800,10.8,217677824,3395964928,257744896,341917696,47652864,466046976,1085440
57,2021-12-29,21:00:17,0.5,ROS_VNF_driver,0.0,4127342592,3681996800,10.8,217669632,3395964928,257744896,341917696,47652864,466055168,1085440
58,2021-12-29,21:00:18,0.5,ROS_VNF_driver,0.0,4127342592,3682013184,10.8,217669632,3395964928,257765376,341917696,47652864,466055168,1085440
59,2021-12-29,21:00:18,0.5,ROS_VNF_driver,0.0,4127342592,3682013184,10.8,217665536,3395964928,257765376,341917696,47652864,466059264,1085440
60,2021-12-29,21:00:19,0.5,ROS_VNF_driver,0.0,4127342592,3682013184,10.8,217665536,3395964928,257765376,341917696,47652864,466059264,1085440
61,2021-12-29,21:00:19,0.5,ROS_VNF_driver,0.0,4127342592,3682013184,10.8,217665536,3395964928,257765376,341917696,47652864,466059264,1085440
62,2021-12-29,21:00:20,0.5,ROS_VNF_driver,0.0,4127342592,3682013184,10.8,217665536,3395964928,257765376,341917696,47652864,466059264,1085440
63,2021-12-29,21:00:20,0.5,ROS_VNF_driver,0.0,4127342592,3682013184,10.8,217665536,3395964928,257765376,341917696,47652864,466059264,1085440
64,2021-12-29,21:00:21,0.5,ROS_VNF_driver,0.0,4127342592,3682013184,10.8,217665536,3395964928,257765376,341917696,47652864,466059264,1085440
65,2021-12-29,21:00:21,0.5,ROS_VNF_driver,0.0,4127342592,3682013184,10.8,217665536,3395964928,257765376,341917696,47652864,466059264,1085440
66,2021-12-29,21:00:22,0.5,ROS_VNF_driver,0.0,4127342592,3682013184,10.8,217665536,3395964928,257765376,341917696,47661056,466051072,1085440
67,2021-12-29,21:00:22,0.5,ROS_VNF_driver,0.0,4127342592,3682013184,10.8,217665536,3395964928,257765376,341917696,47661056,466051072,1085440
68,2021-12-29,21:00:23,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217657344,3395964928,257773568,341917696,47661056,466059264,1085440
69,2021-12-29,21:00:23,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217657344,3395964928,257773568,341917696,47661056,466059264,1085440
70,2021-12-29,21:00:24,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217657344,3395964928,257773568,341917696,47661056,466059264,1085440
71,2021-12-29,21:00:24,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217657344,3395964928,257773568,341917696,47661056,466059264,1085440
72,2021-12-29,21:00:25,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217657344,3395964928,257773568,341917696,47661056,466059264,1085440
73,2021-12-29,21:00:25,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217657344,3395964928,257773568,341917696,47661056,466059264,1085440
74,2021-12-29,21:00:26,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217657344,3395964928,257773568,341917696,47661056,466059264,1085440
75,2021-12-29,21:00:26,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217657344,3395964928,257773568,341917696,47661056,466059264,1085440
76,2021-12-29,21:00:27,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217657344,3395964928,257773568,341917696,47661056,466059264,1085440
77,2021-12-29,21:00:27,0.5,ROS_VNF_driver,1.0,4127342592,3682021376,10.8,217649152,3395964928,257773568,341917696,47669248,466059264,1085440
78,2021-12-29,21:00:28,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217649152,3395964928,257773568,341917696,47669248,466059264,1085440
79,2021-12-29,21:00:28,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217649152,3395964928,257773568,341917696,47669248,466059264,1085440
80,2021-12-29,21:00:29,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217649152,3395964928,257773568,341917696,47669248,466059264,1085440
81,2021-12-29,21:00:29,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217649152,3395964928,257773568,341917696,47669248,466059264,1085440
82,2021-12-29,21:00:30,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217649152,3395964928,257773568,341917696,47669248,466059264,1085440
83,2021-12-29,21:00:30,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217649152,3395964928,257773568,341917696,47669248,466059264,1085440
84,2021-12-29,21:00:31,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217649152,3395964928,257773568,341917696,47669248,466059264,1085440
85,2021-12-29,21:00:31,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217649152,3395964928,257773568,341917696,47669248,466059264,1085440
86,2021-12-29,21:00:32,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217649152,3395964928,257773568,341917696,47669248,466059264,1085440
87,2021-12-29,21:00:32,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217645056,3395964928,257773568,341917696,47669248,466063360,1085440
88,2021-12-29,21:00:33,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217636864,3395964928,257773568,341917696,47677440,466063360,1085440
89,2021-12-29,21:00:33,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217636864,3395964928,257773568,341917696,47677440,466063360,1085440
90,2021-12-29,21:00:34,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217636864,3395964928,257773568,341917696,47677440,466063360,1085440
91,2021-12-29,21:00:34,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217636864,3395964928,257773568,341917696,47677440,466063360,1085440
92,2021-12-29,21:00:35,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217636864,3395964928,257773568,341917696,47677440,466063360,1085440
93,2021-12-29,21:00:35,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217636864,3395964928,257773568,341917696,47677440,466063360,1085440
94,2021-12-29,21:00:36,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217636864,3395964928,257773568,341917696,47677440,466063360,1085440
95,2021-12-29,21:00:36,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217636864,3395964928,257773568,341917696,47677440,466063360,1085440
96,2021-12-29,21:00:37,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217636864,3395964928,257773568,341917696,47677440,466063360,1085440
97,2021-12-29,21:00:37,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217636864,3395964928,257773568,341917696,47677440,466063360,1085440
98,2021-12-29,21:00:38,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217636864,3395964928,257773568,341917696,47677440,466063360,1085440
99,2021-12-29,21:00:38,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217628672,3395964928,257773568,341917696,47685632,466063360,1085440
100,2021-12-29,21:00:39,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217628672,3395964928,257773568,341917696,47685632,466063360,1085440
101,2021-12-29,21:00:39,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217628672,3395964928,257773568,341917696,47685632,466063360,1085440
102,2021-12-29,21:00:40,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217628672,3395964928,257773568,341917696,47685632,466063360,1085440
103,2021-12-29,21:00:40,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217628672,3395964928,257773568,341917696,47685632,466063360,1085440
104,2021-12-29,21:00:41,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217628672,3395964928,257773568,341917696,47685632,466063360,1085440
105,2021-12-29,21:00:41,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217628672,3395964928,257773568,341917696,47685632,466063360,1085440
106,2021-12-29,21:00:42,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217628672,3395964928,257773568,341917696,47685632,466063360,1085440
107,2021-12-29,21:00:42,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217628672,3395964928,257773568,341917696,47685632,466063360,1085440
108,2021-12-29,21:00:43,0.5,ROS_VNF_driver,1.0,4127342592,3682021376,10.8,217628672,3395964928,257773568,341917696,47685632,466063360,1085440
109,2021-12-29,21:00:43,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217628672,3395964928,257773568,341917696,47685632,466063360,1085440
110,2021-12-29,21:00:44,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217620480,3395964928,257773568,341917696,47693824,466063360,1085440
111,2021-12-29,21:00:44,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217620480,3395964928,257773568,341917696,47693824,466063360,1085440
112,2021-12-29,21:00:45,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217620480,3395964928,257773568,341917696,47693824,466063360,1085440
113,2021-12-29,21:00:45,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217620480,3395964928,257773568,341917696,47693824,466063360,1085440
114,2021-12-29,21:00:46,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217620480,3395964928,257773568,341917696,47693824,466063360,1085440
115,2021-12-29,21:00:46,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217620480,3395964928,257773568,341917696,47693824,466063360,1085440
116,2021-12-29,21:00:47,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217620480,3395964928,257773568,341917696,47693824,466063360,1085440
117,2021-12-29,21:00:47,0.5,ROS_VNF_driver,1.0,4127342592,3682021376,10.8,217616384,3395964928,257773568,341917696,47693824,466067456,1085440
118,2021-12-29,21:00:48,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217616384,3395964928,257773568,341917696,47693824,466067456,1085440
119,2021-12-29,21:00:48,0.5,ROS_VNF_driver,0.0,4127342592,3682021376,10.8,217616384,3395964928,257773568,341917696,47693824,466067456,1085440
120,2021-12-29,21:00:49,0.5,ROS_VNF_driver,0.0,4127342592,3682054144,10.8,217616384,3395964928,257814528,341917696,47693824,466067456,1085440
121,2021-12-29,21:00:49,0.5,ROS_VNF_driver,0.0,4127342592,3682054144,10.8,217608192,3395964928,257814528,341917696,47702016,466067456,1085440
122,2021-12-29,21:00:50,0.5,ROS_VNF_driver,0.0,4127342592,3682054144,10.8,217608192,3395964928,257814528,341917696,47702016,466067456,1085440
123,2021-12-29,21:00:50,0.5,ROS_VNF_driver,0.0,4127342592,3682054144,10.8,217608192,3395964928,257814528,341917696,47702016,466067456,1085440
124,2021-12-29,21:00:51,0.5,ROS_VNF_driver,0.0,4127342592,3682054144,10.8,217608192,3395964928,257814528,341917696,47702016,466067456,1085440
125,2021-12-29,21:00:51,0.5,ROS_VNF_driver,0.0,4127342592,3682054144,10.8,217608192,3395964928,257814528,341917696,47702016,466067456,1085440
126,2021-12-29,21:00:52,0.5,ROS_VNF_driver,0.0,4127342592,3682054144,10.8,217608192,3395964928,257814528,341917696,47702016,466067456,1085440
127,2021-12-29,21:00:52,0.5,ROS_VNF_driver,0.0,4127342592,3682054144,10.8,217608192,3395964928,257814528,341917696,47702016,466067456,1085440
128,2021-12-29,21:00:53,0.5,ROS_VNF_driver,0.0,4127342592,3682054144,10.8,217608192,3395964928,257814528,341917696,47702016,466067456,1085440
129,2021-12-29,21:00:53,0.5,ROS_VNF_driver,1.0,4127342592,3682054144,10.8,217608192,3395964928,257814528,341917696,47702016,466067456,1085440
130,2021-12-29,21:00:54,0.5,ROS_VNF_driver,0.0,4127342592,3682054144,10.8,217608192,3395964928,257814528,341917696,47702016,466067456,1085440
