iteration,date,time,measurement_period,machine/VNF,sys_cpu,totalmem,availablemem,percentmem,usedmem,freemem,activemem,inactivemem,buffers,cached,shared
0,2022-01-02,06:46:12,0.5,ROS_VNF_interface,41.2,4127342592,859803648,79.2,2997198848,303345664,3131375616,355418112,66080768,760717312,1642496
1,2022-01-02,06:46:12,0.5,ROS_VNF_interface,35.7,4127342592,859729920,79.2,2997256192,303247360,3131400192,355442688,66080768,760758272,1642496
2,2022-01-02,06:46:13,0.5,ROS_VNF_interface,36.5,4127342592,859766784,79.2,2997215232,303247360,3131416576,355479552,66080768,760799232,1642496
3,2022-01-02,06:46:13,0.5,ROS_VNF_interface,31.3,4127342592,859807744,79.2,2997182464,303247360,3131424768,355520512,66080768,760832000,1642496
4,2022-01-02,06:46:14,0.5,ROS_VNF_interface,30.4,4127342592,859901952,79.2,2997096448,303280128,3131461632,355581952,66080768,760885248,1642496
5,2022-01-02,06:46:14,0.5,ROS_VNF_interface,33.7,4127342592,859791360,79.2,2997186560,303140864,3131473920,355606528,66080768,760934400,1642496
6,2022-01-02,06:46:15,0.5,ROS_VNF_interface,42.0,4127342592,869969920,78.9,2987020288,313257984,3122417664,355663872,66080768,760983552,1642496
7,2022-01-02,06:46:15,0.5,ROS_VNF_interface,34.1,4127342592,869830656,78.9,2987139072,313094144,3122421760,355688448,66080768,761028608,1642496
8,2022-01-02,06:46:16,0.5,ROS_VNF_interface,34.9,4127342592,869892096,78.9,2987085824,313085952,3122470912,355741696,66093056,761077760,1642496
9,2022-01-02,06:46:16,0.5,ROS_VNF_interface,34.1,4127342592,869974016,78.9,2987016192,313151488,3122483200,355758080,66093056,761081856,1642496
10,2022-01-02,06:46:17,0.5,ROS_VNF_interface,36.4,4127342592,870100992,78.9,2986872832,313217024,3122511872,355819520,66093056,761159680,1642496
11,2022-01-02,06:46:17,0.5,ROS_VNF_interface,30.4,4127342592,869883904,78.9,2987085824,312958976,3122540544,355856384,66093056,761204736,1642496
12,2022-01-02,06:46:18,0.5,ROS_VNF_interface,27.5,4127342592,869720064,78.9,2987261952,312762368,3122565120,355889152,66093056,761225216,1642496
13,2022-01-02,06:46:18,0.5,ROS_VNF_interface,36.7,4127342592,869519360,78.9,2987446272,312537088,3122597888,355913728,66093056,761266176,1642496
14,2022-01-02,06:46:19,0.5,ROS_VNF_interface,41.6,4127342592,869629952,78.9,2987339776,312602624,3122601984,355958784,66093056,761307136,1642496
15,2022-01-02,06:46:19,0.5,ROS_VNF_interface,32.9,4127342592,869609472,78.9,2987368448,312569856,3122626560,355971072,66093056,761311232,1642496
16,2022-01-02,06:46:20,0.5,ROS_VNF_interface,35.7,4127342592,869847040,78.9,2987126784,312700928,3122663424,356077568,66093056,761421824,1642496
17,2022-01-02,06:46:20,0.5,ROS_VNF_interface,35.1,4127342592,869715968,78.9,2987266048,312537088,3122675712,356110336,66093056,761446400,1642496
18,2022-01-02,06:46:21,0.5,ROS_VNF_interface,34.6,4127342592,869650432,78.9,2987331584,312471552,3122675712,356110336,66101248,761438208,1642496
19,2022-01-02,06:46:21,0.5,ROS_VNF_interface,28.0,4127342592,869781504,78.9,2987200512,312602624,3122675712,356110336,66101248,761438208,1642496
20,2022-01-02,06:46:22,0.5,ROS_VNF_interface,36.7,4127342592,869863424,78.9,2987098112,312635392,3122712576,356151296,66101248,761507840,1642496
21,2022-01-02,06:46:22,0.5,ROS_VNF_interface,42.1,4127342592,869875712,78.9,2987102208,312569856,3122720768,356229120,66101248,761569280,1642496
22,2022-01-02,06:46:23,0.5,ROS_VNF_interface,51.1,4127342592,869793792,78.9,2987200512,312471552,3122782208,356245504,66101248,761569280,1642496
23,2022-01-02,06:46:23,0.5,ROS_VNF_interface,41.9,4127342592,869924864,78.9,2987069440,312602624,3122782208,356245504,66101248,761569280,1642496
24,2022-01-02,06:46:24,0.5,ROS_VNF_interface,41.5,4127342592,869912576,78.9,2987036672,312537088,3122802688,356298752,66101248,761667584,1642496
25,2022-01-02,06:46:24,0.5,ROS_VNF_interface,42.0,4127342592,870039552,78.9,2986917888,312635392,3122806784,356327424,66101248,761688064,1642496
26,2022-01-02,06:46:25,0.5,ROS_VNF_interface,49.5,4127342592,870072320,78.9,2986909696,312602624,3122827264,356392960,66101248,761729024,1642496
27,2022-01-02,06:46:25,0.5,ROS_VNF_interface,43.5,4127342592,869974016,78.9,2987008000,312504320,3122827264,356392960,66101248,761729024,1642496
28,2022-01-02,06:46:26,0.5,ROS_VNF_interface,37.2,4127342592,869957632,78.9,2987012096,312442880,3122835456,356438016,66109440,761778176,1642496
29,2022-01-02,06:46:26,0.5,ROS_VNF_interface,34.9,4127342592,869916672,78.9,2987069440,312377344,3122843648,356454400,66109440,761786368,1642496
30,2022-01-02,06:46:27,0.5,ROS_VNF_interface,41.1,4127342592,869568512,78.9,2987397120,311955456,3122864128,356524032,66109440,761880576,1642496
31,2022-01-02,06:46:27,0.5,ROS_VNF_interface,36.0,4127342592,869691392,78.9,2987282432,312053760,3122864128,356548608,66109440,761896960,1642496
32,2022-01-02,06:46:28,0.5,ROS_VNF_interface,36.4,4127342592,869707776,78.9,2987274240,312020992,3122872320,356597760,66109440,761937920,1642496
33,2022-01-02,06:46:28,0.5,ROS_VNF_interface,50.0,4127342592,869916672,78.9,2987044864,312184832,3122872320,356642816,66109440,762003456,1642496
34,2022-01-02,06:46:29,0.5,ROS_VNF_interface,50.6,4127342592,869859328,78.9,2987114496,312045568,3122888704,356720640,66109440,762073088,1642496
35,2022-01-02,06:46:29,0.5,ROS_VNF_interface,36.1,4127342592,869982208,78.9,2986987520,312143872,3122888704,356741120,66109440,762101760,1642496
36,2022-01-02,06:46:30,0.5,ROS_VNF_interface,43.9,4127342592,869752832,78.9,2987216896,311914496,3122888704,356741120,66109440,762101760,1642496
37,2022-01-02,06:46:30,0.5,ROS_VNF_interface,51.6,4127342592,869920768,78.9,2987032576,312045568,3122913280,356777984,66109440,762155008,1642496
38,2022-01-02,06:46:31,0.5,ROS_VNF_interface,47.1,4127342592,870068224,78.9,2986905600,312111104,3122937856,356859904,66109440,762216448,1642496
39,2022-01-02,06:46:31,0.5,ROS_VNF_interface,25.0,4127342592,870068224,78.9,2986889216,312111104,3122937856,356859904,66117632,762224640,1642496
40,2022-01-02,06:46:32,0.5,ROS_VNF_interface,33.8,4127342592,869781504,78.9,2987184128,311754752,3122970624,356921344,66117632,762286080,1642496
41,2022-01-02,06:46:33,0.5,ROS_VNF_interface,47.6,4127342592,869740544,78.9,2987225088,311689216,3123027968,356945920,66117632,762310656,1642496
42,2022-01-02,06:46:33,0.5,ROS_VNF_interface,57.8,4127342592,869822464,78.9,2987130880,311689216,3123077120,357023744,66117632,762404864,1642496
43,2022-01-02,06:46:34,0.5,ROS_VNF_interface,28.9,4127342592,869953536,78.9,2986999808,311820288,3123077120,357023744,66117632,762404864,1642496
44,2022-01-02,06:46:34,0.5,ROS_VNF_interface,40.0,4127342592,869949440,78.9,2987008000,311754752,3123093504,357085184,66117632,762462208,1642496
45,2022-01-02,06:46:35,0.5,ROS_VNF_interface,39.8,4127342592,870068224,78.9,2986897408,311820288,3123118080,357138432,66117632,762507264,1642496
46,2022-01-02,06:46:35,0.5,ROS_VNF_interface,42.5,4127342592,869994496,78.9,2986971136,311721984,3123122176,357163008,66117632,762531840,1642496
47,2022-01-02,06:46:36,0.5,ROS_VNF_interface,47.4,4127342592,870187008,78.9,2986770432,311885824,3123130368,357191680,66117632,762568704,1642496
48,2022-01-02,06:46:36,0.5,ROS_VNF_interface,42.9,4127342592,870084608,78.9,2986881024,311754752,3123130368,357220352,66117632,762589184,1642496
49,2022-01-02,06:46:37,0.5,ROS_VNF_interface,35.4,4127342592,870182912,78.9,2986778624,311853056,3123130368,357220352,66125824,762585088,1642496
50,2022-01-02,06:46:37,0.5,ROS_VNF_interface,38.3,4127342592,870092800,78.9,2986872832,311689216,3123175424,357285888,66125824,762654720,1642496
51,2022-01-02,06:46:38,0.5,ROS_VNF_interface,37.0,4127342592,870047744,78.9,2986909696,311595008,3123191808,357335040,66125824,762712064,1642496
52,2022-01-02,06:46:38,0.5,ROS_VNF_interface,41.2,4127342592,870051840,78.9,2986893312,311554048,3123191808,357371904,66125824,762769408,1642496
53,2022-01-02,06:46:39,0.5,ROS_VNF_interface,50.0,4127342592,869896192,78.9,2987061248,311361536,3123212288,357408768,66125824,762793984,1642496
54,2022-01-02,06:46:39,0.5,ROS_VNF_interface,31.3,4127342592,869834752,78.9,2987122688,311263232,3123212288,357445632,66125824,762830848,1642496
55,2022-01-02,06:46:40,0.5,ROS_VNF_interface,40.7,4127342592,869703680,78.9,2987253760,311132160,3123212288,357445632,66125824,762830848,1642496
56,2022-01-02,06:46:40,0.5,ROS_VNF_interface,32.5,4127342592,869859328,78.9,2987102208,311263232,3123232768,357470208,66125824,762851328,1642496
57,2022-01-02,06:46:41,0.5,ROS_VNF_interface,47.8,4127342592,869916672,78.9,2987044864,311296000,3123245056,357494784,66125824,762875904,1642496
58,2022-01-02,06:46:41,0.5,ROS_VNF_interface,58.6,4127342592,869896192,78.9,2987020288,311230464,3123269632,357535744,66125824,762966016,1642496
59,2022-01-02,06:46:42,0.5,ROS_VNF_interface,41.9,4127342592,869994496,78.9,2986913792,311328768,3123269632,357535744,66134016,762966016,1642496
60,2022-01-02,06:46:42,0.5,ROS_VNF_interface,43.0,4127342592,869818368,78.9,2987130880,311070720,3123306496,357609472,66134016,763006976,1642496
61,2022-01-02,06:46:43,0.5,ROS_VNF_interface,31.8,4127342592,869949440,78.9,2986999808,311201792,3123306496,357609472,66134016,763006976,1642496
62,2022-01-02,06:46:43,0.5,ROS_VNF_interface,39.3,4127342592,869814272,78.9,2987134976,310972416,3123347456,357703680,66134016,763101184,1642496
63,2022-01-02,06:46:44,0.5,ROS_VNF_interface,53.4,4127342592,869908480,78.9,2987036672,311037952,3123347456,357732352,66134016,763133952,1642496
64,2022-01-02,06:46:44,0.5,ROS_VNF_interface,33.3,4127342592,869683200,78.9,2987253760,310779904,3123347456,357761024,66134016,763174912,1642496
